travel at the speed of light
travel at the speed of light
FixStart
List

0.6 0.6
432 388.8
Began 775.1127 397 423 0.0856481 0.09002049
Stationary 775.1434 397 423 0.0856481 0.09002049
Moved 775.1742 388.0793 434.4695 0.06499837 0.1195202
Moved 775.205 382.9157 448.253 0.05304555 0.1549716
Moved 775.2357 379.5548 460.2261 0.04526565 0.1857665
Moved 775.2664 376.7984 474.0081 0.03888508 0.2212141
Moved 775.2971 374.0353 488.8236 0.0324891 0.2593199
Moved 775.3278 371.2795 502.6023 0.02611001 0.2947589
Moved 775.3586 367.8381 513.6478 0.01814366 0.323168
Moved 775.3894 365.0952 523.7146 0.01179437 0.3490601
Moved 775.42 363.3568 531.2865 0.00777026 0.3685351
Moved 775.4508 363 535.3893 0.006944438 0.3790877
Moved 775.4815 362 540.6148 0.004629592 0.3925277
Moved 775.5123 362 544.5576 0.004629592 0.4026686
Moved 775.543 362 548.3121 0.004629592 0.4123252
Moved 775.5737 362 550.5 0.004629592 0.4179526
Moved 775.6045 362 552.5 0.004629592 0.4230966
Moved 775.6353 362 553.3557 0.004629592 0.4252973
Moved 775.666 362 554.3319 0.004629592 0.4278083
Moved 775.6967 362 555.1345 0.004629592 0.4298725
Stationary 775.7275 362 555.1345 0.004629592 0.4298725
Moved 775.7582 360.0475 555 0.0001099706 0.4295266
Moved 775.7889 358.2863 555 -0.003966838 0.4295266
Moved 775.8196 354.7588 555 -0.01213253 0.4295266
Moved 775.8504 350.2327 555 -0.02260948 0.4295266
Moved 775.8811 345.361 555 -0.03388653 0.4295266
Moved 775.9119 341.6055 555 -0.04257977 0.4295266
Moved 775.9426 338.1591 555 -0.0505576 0.4295266
Moved 775.9734 334.8063 555 -0.05831867 0.4295266
Moved 776.0041 327.5307 545.2653 -0.07516041 0.4044889
Moved 776.0349 325.3331 544.1666 -0.08024737 0.4016629
Moved 776.0656 319.9211 540.4605 -0.09277532 0.3921309
Moved 776.0963 314.3929 536.6965 -0.1055719 0.3824497
Moved 776.1271 305.8666 526.8221 -0.1253088 0.3570527
Moved 776.1578 298.8389 517.4518 -0.1415767 0.3329522
Moved 776.1885 290.2644 506.0192 -0.1614249 0.3035473
Moved 776.2193 280.9893 495.9919 -0.1828952 0.277757
Moved 776.25 271.7588 485.0118 -0.204262 0.2495158
Moved 776.2807 264.4726 478.4726 -0.2211283 0.2326969
Moved 776.3115 254.315 469.2362 -0.2446412 0.2089408
Moved 776.3422 244.3371 459.0029 -0.2677381 0.1826205
Moved 776.3729 235.7506 449.3341 -0.2876144 0.1577523
Moved 776.4037 227.549 441.732 -0.3065995 0.1381995
