if you were not so stupid
if you were not so stupid
Basic
List

0.6 0.6
432 388.8
Began 1771.211 522 531 0.375 0.3677982
Stationary 1771.242 522 531 0.375 0.3677982
Stationary 1771.273 522 531 0.375 0.3677982
Stationary 1771.303 522 531 0.375 0.3677982
Stationary 1771.334 522 531 0.375 0.3677982
Stationary 1771.365 522 531 0.375 0.3677982
Stationary 1771.396 522 531 0.375 0.3677982
Stationary 1771.426 522 531 0.375 0.3677982
Stationary 1771.457 522 531 0.375 0.3677982
Stationary 1771.488 522 531 0.375 0.3677982
Stationary 1771.518 522 531 0.375 0.3677982
Stationary 1771.549 522 531 0.375 0.3677982
Stationary 1771.58 522 531 0.375 0.3677982
Stationary 1771.611 522 531 0.375 0.3677982
Stationary 1771.641 522 531 0.375 0.3677982
Stationary 1771.672 522 531 0.375 0.3677982
Stationary 1771.703 522 531 0.375 0.3677982
Stationary 1771.734 522 531 0.375 0.3677982
Stationary 1771.764 522 531 0.375 0.3677982
Moved 1771.795 510.0767 531 0.3473997 0.3677982
Moved 1771.826 503.5758 531 0.3323514 0.3677982
Moved 1771.856 497.0351 531 0.3172107 0.3677982
Moved 1771.887 489.3193 531 0.2993502 0.3677982
Moved 1771.918 482.8842 522.5895 0.2844542 0.3461663
Moved 1771.948 474.1164 518.0582 0.2641584 0.3345118
Moved 1771.979 465.2944 511.5296 0.243737 0.3177201
Moved 1772.01 456.717 505.478 0.223882 0.3021553
Moved 1772.041 447.207 499.1035 0.2018681 0.28576
Moved 1772.071 438.1786 492.5893 0.1809689 0.2690053
Moved 1772.102 427.2281 485.114 0.1556206 0.2497788
Moved 1772.133 419.239 478.239 0.1371272 0.232096
Moved 1772.163 404.7826 468.8696 0.1036634 0.2079978
Moved 1772.194 394.0096 459.7572 0.07872592 0.1845606
Moved 1772.225 381.5544 449.5544 0.04989445 0.158319
Moved 1772.256 369.3424 439.2739 0.02162606 0.1318773
Moved 1772.286 358.2747 429.2747 -0.00399361 0.1061592
Moved 1772.317 341.5575 410.7433 -0.04269098 0.05849618
Moved 1772.348 336.2297 405.2297 -0.05502383 0.04431504
Moved 1772.379 329.1997 396.5995 -0.07129703 0.02211806
Moved 1772.409 323.2834 389.2834 -0.0849921 0.003301008
Moved 1772.44 316.7918 381.7918 -0.1000189 -0.01596765
Moved 1772.471 311.6855 376.6855 -0.111839 -0.02910096
Moved 1772.501 306.3664 372.6832 -0.1241518 -0.03939507
Moved 1772.532 302.9361 367.9361 -0.1320923 -0.05160477
Moved 1772.563 300.1876 364.1876 -0.1384546 -0.06124606
Moved 1772.594 297.8192 361.8192 -0.143937 -0.06733749
Moved 1772.624 296 359.017 -0.1481481 -0.07454499
Moved 1772.655 294.2684 358 -0.1521564 -0.07716057
Ended 1772.686 294 356.8998 -0.1527778 -0.07999035
Candidates 1772.747 13 if of off odd id ps pd kids oops pigs is odds pa
Began 1773.546 386 540 0.06018519 0.3909464
Stationary 1773.576 386 540 0.06018519 0.3909464
Stationary 1773.607 386 540 0.06018519 0.3909464
Stationary 1773.638 386 540 0.06018519 0.3909464
Stationary 1773.668 386 540 0.06018519 0.3909464
Stationary 1773.699 386 540 0.06018519 0.3909464
Stationary 1773.73 386 540 0.06018519 0.3909464
Stationary 1773.761 386 540 0.06018519 0.3909464
Stationary 1773.791 386 540 0.06018519 0.3909464
Stationary 1773.822 386 540 0.06018519 0.3909464
Stationary 1773.853 386 540 0.06018519 0.3909464
Stationary 1773.884 386 540 0.06018519 0.3909464
Stationary 1773.914 386 540 0.06018519 0.3909464
Stationary 1773.945 386 540 0.06018519 0.3909464
Stationary 1773.976 386 540 0.06018519 0.3909464
Stationary 1774.006 386 540 0.06018519 0.3909464
Stationary 1774.037 386 540 0.06018519 0.3909464
Stationary 1774.068 386 540 0.06018519 0.3909464
Stationary 1774.099 386 540 0.06018519 0.3909464
Stationary 1774.129 386 540 0.06018519 0.3909464
Moved 1774.16 416.4884 540 0.1307602 0.3909464
Moved 1774.191 442.2383 540 0.1903665 0.3909464
Moved 1774.221 466.1758 540 0.2457774 0.3909464
Moved 1774.252 487.1934 540 0.2944292 0.3909464
Moved 1774.283 504.2669 540 0.3339511 0.3909464
Moved 1774.313 515.7841 540 0.3606114 0.3909464
Moved 1774.343 524.416 540 0.3805926 0.3909464
Moved 1774.375 533.4236 540 0.4014437 0.3909464
Moved 1774.406 539.2169 540 0.414854 0.3909464
Moved 1774.436 542.7236 540 0.4229712 0.3909464
Moved 1774.467 545.2479 540 0.4288147 0.3909464
Moved 1774.498 547.0748 540 0.4330434 0.3909464
Moved 1774.529 548.3566 540 0.4360108 0.3909464
Stationary 1774.559 548.3566 540 0.4360108 0.3909464
Stationary 1774.59 548.3566 540 0.4360108 0.3909464
Stationary 1774.621 548 540 0.4351853 0.3909464
Moved 1774.651 538.9857 540 0.4143189 0.3909464
Moved 1774.682 525.7159 529.9455 0.3836017 0.365086
Moved 1774.713 497.8054 524.9756 0.3189939 0.3523036
Moved 1774.744 482.2974 522.2162 0.2830958 0.3452063
Moved 1774.774 469.3082 521 0.2530282 0.3420781
Moved 1774.805 463.4967 520.2994 0.2395758 0.3402761
Moved 1774.836 451.5693 520 0.2119659 0.3395061
Moved 1774.866 441.6031 520 0.188896 0.3395061
Moved 1774.897 433.4751 520 0.1700814 0.3395061
Moved 1774.928 426.4512 520 0.1538223 0.3395061
Moved 1774.959 419.0232 519.0116 0.1366276 0.336964
Moved 1774.989 411.5319 519 0.1192867 0.3369341
Moved 1775.02 406.0339 519 0.10656 0.3369341
Moved 1775.051 402.1029 519 0.09746045 0.3369341
Moved 1775.081 399.3008 519 0.09097397 0.3369341
Moved 1775.112 397.9297 519 0.08780032 0.3369341
Moved 1775.143 395.5 519 0.08217593 0.3369341
Moved 1775.174 394.3902 519 0.07960697 0.3369341
Ended 1775.204 393.5 519 0.07754634 0.3369341
Accept 1775.296 0 if
Candidates 1775.296 13 you i your toy u tour roy it root o iu utility yo
Began 1775.911 231 460 -0.2986111 0.1851851
Stationary 1775.941 231 460 -0.2986111 0.1851851
Stationary 1775.972 231 460 -0.2986111 0.1851851
Stationary 1776.003 231 460 -0.2986111 0.1851851
Stationary 1776.034 231 460 -0.2986111 0.1851851
Stationary 1776.064 231 460 -0.2986111 0.1851851
Stationary 1776.095 231 460 -0.2986111 0.1851851
Moved 1776.126 222.67 469.3713 -0.3178936 0.2092881
Moved 1776.156 221.5 471.5 -0.3206019 0.2147633
Moved 1776.187 222 472.2924 -0.3194444 0.2168013
Moved 1776.218 220.5 473 -0.3229167 0.2186213
Moved 1776.249 221 474.3066 -0.3217593 0.2219818
Stationary 1776.279 221 474.3066 -0.3217593 0.2219818
Moved 1776.31 221 475.1798 -0.3217593 0.2242279
Moved 1776.341 219.9951 476.0049 -0.3240854 0.2263499
Stationary 1776.371 219.9951 476.0049 -0.3240854 0.2263499
Moved 1776.402 220 477.1677 -0.3240741 0.2293408
