I will meet you at noon
I will meet you at noon
FixStart
Radial

0.6 0.6
432 388.8
Began 858.6856 362 286 0.004629592 -0.2623458
Stationary 858.7163 362 286 0.004629592 -0.2623458
Moved 858.7471 369.5497 298.9424 0.02210577 -0.2290577
Moved 858.7777 384.152 314.796 0.05590747 -0.1882819
Moved 858.8084 403.0775 338.9678 0.09971629 -0.1261117
Moved 858.8392 423.2583 358.226 0.1464312 -0.07657926
Moved 858.8699 440.7843 374.7843 0.1870007 -0.03399099
Moved 858.9006 451.7255 386.7255 0.2123276 -0.003277971
Moved 858.9314 464.9772 398.9818 0.2430027 0.0282452
Moved 858.9621 476.7887 408.2732 0.2703442 0.05214299
Moved 858.9928 488.5197 415.0131 0.2974993 0.06947812
Moved 859.0236 497.6829 419.8415 0.3187105 0.0818968
Moved 859.0543 509.0385 424.6795 0.3449965 0.09434017
Moved 859.085 521.0841 425 0.3728799 0.09516452
Moved 859.1157 530.7457 425 0.3952446 0.09516452
Moved 859.1464 539.9039 416.0961 0.4164442 0.07226358
Moved 859.1771 549.6301 407.3699 0.4389585 0.04981971
Moved 859.2079 556.463 400.6914 0.4547754 0.03264247
Moved 859.2386 559.0754 396.3869 0.4608227 0.02157121
Moved 859.2693 564.3173 385.048 0.4729568 -0.007592582
Moved 859.3 566.0696 380.9304 0.4770131 -0.01818331
Moved 859.3307 567.824 376.3521 0.4810741 -0.02995879
Ended 859.3615 568 376 0.4814814 -0.03086435
Candidates 859.5151 13 ip up p go o hip po pop gop pp iop I gp
Began 860.314 393 377 0.07638891 -0.02829226
Stationary 860.3447 393 377 0.07638891 -0.02829226
Ended 860.3754 393 377 0.07638891 -0.02829226
NextCandidatePanel 860.4369
Began 860.9592 385 349 0.05787035 -0.1003086
Stationary 860.9899 385 349 0.05787035 -0.1003086
Ended 861.0206 385 349 0.05787035 -0.1003086
NextCandidatePanel 861.0821
Began 861.2664 416 321 0.1296297 -0.1723252
Stationary 861.2972 416 321 0.1296297 -0.1723252
Moved 861.3279 386.3112 321 0.06090572 -0.1723252
Moved 861.3583 350.5374 321 -0.02190411 -0.1723252
Moved 861.3893 324.2265 332.2956 -0.08280893 -0.1432726
Moved 861.4201 300.6885 337.9016 -0.137295 -0.1288539
Moved 861.4509 287.4378 339 -0.1679681 -0.1260288
Moved 861.4815 280.3456 339 -0.1843852 -0.1260288
Ended 861.5123 277.2155 339 -0.1916307 -0.1260288
Cancel 861.5737
Began 861.9117 292 336 -0.1574074 -0.1337449
Stationary 861.9424 292 336 -0.1574074 -0.1337449
Moved 861.9731 304.4626 354.2064 -0.1285587 -0.08691771
Moved 862.0038 324 381 -0.08333336 -0.01800419
Moved 862.0345 340.6543 402.5391 -0.04478166 0.03739486
Moved 862.0653 356.2312 422.9363 -0.008724133 0.08985672
Moved 862.096 372.3238 440.3238 0.02852738 0.1345776
Moved 862.1267 381.7322 451.6429 0.05030592 0.1636905
Moved 862.1575 389.9301 461.9301 0.06928265 0.1901492
Moved 862.1882 394.4117 467.8234 0.07965674 0.205307
Moved 862.2189 397.1766 471.1766 0.08605689 0.2139314
Moved 862.2496 398 473.6558 0.08796295 0.2203081
Moved 862.2803 399.0298 474 0.09034684 0.2211934
Ended 862.3111 399 475 0.09027779 0.2237653
Candidates 862.4032 13 I ii iii u go gi o hi you iu it up to
Began 862.987 335 439 -0.05787035 0.1311728
Moved 863.0178 343.0808 439 -0.03916487 0.1311728
Moved 863.0485 384.5045 434.3849 0.05672326 0.1193028
Moved 863.0792 436.3802 426.1493 0.176806 0.09812052
Moved 863.1099 454.9181 425 0.2197177 0.09516452
Moved 863.1406 466.8053 424 0.2472346 0.09259254
Ended 863.1705 471.7573 423 0.2586974 0.09002049
Accept 863.2328 0 I
Began 863.6937 430 327 0.162037 -0.1568931
Moved 863.7244 416.9294 327 0.1317809 -0.1568931
Moved 863.7551 386.9411 343.0294 0.06236365 -0.1156651
Moved 863.7859 354.5165 362.2901 -0.01269321 -0.06612628
Moved 863.8166 325.3717 382.9026 -0.08015817 -0.01311055
Moved 863.8473 308.3549 397.5161 -0.1195489 0.02447548
Moved 863.8781 293.546 408.6724 -0.1538287 0.05316973
Moved 863.9088 284.0511 417.949 -0.1758077 0.07702921
Moved 863.9395 277.8276 427.2585 -0.1902138 0.1009735
Moved 863.9702 275 435.5479 -0.1967592 0.1222938
Moved 864.001 275 442.8177 -0.1967592 0.1409921
Moved 864.0317 287.9832 454.4916 -0.1667057 0.1710174
Moved 864.0624 325.5383 469.2307 -0.07977238 0.2089267
Moved 864.0931 371.1682 474.6112 0.02585232 0.2227653
Moved 864.1239 416.9798 475 0.1318976 0.2237653
Moved 864.1546 446.0854 467.7231 0.1992717 0.2050492
Moved 864.1853 469.9921 455.7188 0.2546114 0.1741738
Moved 864.216 486.7422 444.6063 0.2933847 0.1455921
Moved 864.2468 501.428 427.965 0.3273796 0.1027906
Moved 864.2775 520.5 400.5 0.3715278 0.03215016
Moved 864.3082 539.4507 379.3075 0.4153952 -0.02235734
Moved 864.3389 556.0489 355.9315 0.4538169 -0.08248074
Moved 864.3697 565.3487 342.977 0.4753442 -0.1158
Moved 864.4003 578.9189 323.7135 0.5067567 -0.165346
Moved 864.4311 591.7576 299.4363 0.5364759 -0.2277873
Ended 864.4619 597.2463 292.4421 0.5491813 -0.2457766
Candidates 864.554 13 will feel still week fell sell well del wool tell swim seek gel
Began 865.0763 349 354 -0.02546296 -0.08744855
Stationary 865.1071 349 354 -0.02546296 -0.08744855
Moved 865.1378 362.8958 354 0.006703138 -0.08744855
Moved 865.1685 395.2756 354 0.08165638 -0.08744855
Moved 865.1992 421.055 354 0.141331 -0.08744855
Moved 865.2299 443.3658 354 0.1929764 -0.08744855
Moved 865.2607 456.0027 354 0.2222285 -0.08744855
Moved 865.2914 463.852 354 0.2403981 -0.08744855
Ended 865.3221 467.5 354 0.2488426 -0.08744855
Accept 865.3835 0 will
Began 865.6294 435 371 0.1736111 -0.04372435
Stationary 865.6602 435 371 0.1736111 -0.04372435
Moved 865.6908 449.3343 342.4645 0.2067924 -0.1171182
Moved 865.7214 464.5 307.5 0.2418981 -0.2070474
