watch out for low flying objects
watch out for low flying objects
FixStart
Radial

0.6 0.6
432 388.8
Began 732.4556 397 442 0.0856481 0.1388888
Stationary 732.4863 397 442 0.0856481 0.1388888
Moved 732.517 384.4954 442 0.05670239 0.1388888
Moved 732.5477 364.0467 460.7208 0.009367268 0.1870391
Moved 732.5784 337.3718 477.7521 -0.05238011 0.2308439
Moved 732.6092 299.1476 505.2349 -0.1408619 0.30153
Moved 732.6399 278.7928 517.1036 -0.1879796 0.3320564
Moved 732.6706 270.1902 523.9049 -0.2078932 0.3495496
Moved 732.7014 265.1804 527.4098 -0.2194898 0.3585642
Moved 732.7321 262 531 -0.2268519 0.3677982
Moved 732.7628 259.8467 532.1533 -0.2318364 0.3707646
Moved 732.7935 258.5 532 -0.2349537 0.3703703
Moved 732.8243 247.7002 513.4003 -0.2599533 0.3225317
Moved 732.855 233.1879 481.1108 -0.2935465 0.2394823
Moved 732.8857 223.0235 447.4194 -0.3170753 0.1528275
Moved 732.9164 218.305 428.915 -0.3279977 0.1052339
Moved 732.9471 215.2799 416.8396 -0.3350003 0.07417584
Moved 732.9778 214.4083 410.4083 -0.3370178 0.0576343
Moved 733.0086 214 407.942 -0.3379629 0.05129111
Moved 733.0393 214 407 -0.3379629 0.04886827
Moved 733.07 228.4668 417.0224 -0.304475 0.074646
Moved 733.1008 247.2213 441.7766 -0.2610618 0.1383143
Moved 733.1315 265.6823 466.4033 -0.2183281 0.2016544
Moved 733.1622 284.0134 490.4188 -0.1758949 0.2634227
Moved 733.1929 295.2586 505.3232 -0.1498644 0.3017573
Moved 733.2236 311.6196 518.683 -0.1119916 0.3361188
Moved 733.2543 327.2137 530.3282 -0.07589424 0.3660704
Moved 733.285 342.5808 540.9485 -0.04032215 0.3933859
Moved 733.3158 356.9467 550.3787 -0.007067919 0.4176404
Moved 733.3465 368.202 557.601 0.01898607 0.4362165
Moved 733.3772 376.8391 563.2261 0.03897945 0.4506843
Moved 733.4079 383.4811 567 0.05435447 0.4603909
Moved 733.4387 386.3561 568 0.06100962 0.4629629
Moved 733.4694 387.5 569.5 0.06365737 0.4668209
Moved 733.5001 388 569 0.06481478 0.4655349
Stationary 733.5309 388 569 0.06481478 0.4655349
Moved 733.5616 371.5237 548.5193 0.02667517 0.4128583
Moved 733.5923 330.9779 483.3391 -0.06718079 0.2452135
Moved 733.623 300.5391 428.138 -0.1376411 0.1032356
Moved 733.6537 281.9506 390.4716 -0.1806699 0.006356886
Moved 733.6844 275.4756 368.9025 -0.1956582 -0.04911909
Moved 733.7151 271.7797 349.8985 -0.2042137 -0.09799776
Moved 733.7458 272 341.7278 -0.2037037 -0.119013
Moved 733.7766 272 340.5 -0.2037037 -0.1221709
Moved 733.8074 311.2729 349.3738 -0.1127941 -0.09934711
Moved 733.838 347.5388 372.1423 -0.02884527 -0.04078641
Moved 733.8688 395.1987 407.5132 0.08147835 0.05018831
Moved 733.8995 419.7391 428.9193 0.1382851 0.1052449
Moved 733.9302 441.4983 448.8557 0.1886534 0.1565217
Moved 733.9609 460.0604 467.0604 0.2316214 0.2033447
Moved 733.9917 474.9244 484.3093 0.2660287 0.247709
Ended 734.0224 490 502 0.300926 0.2932098
Candidates 734.1452 13 search watch arch hatch research attack sarah federal fatal each audio all catch
Began 735.1284 351 418 -0.02083332 0.07716041
Moved 735.1591 370.2819 447.0425 0.02380063 0.1518583
Moved 735.1898 402.3802 493.651 0.09810229 0.271736
Moved 735.2205 444.0412 542.9213 0.1945398 0.3984601
Ended 735.2513 540 627 0.4166667 0.6147118
Accept 735.3127 1 watch
Began 735.8043 271 450 -0.2060186 0.1594649
Moved 735.835 281.0946 458.4122 -0.1826514 0.1811012
Moved 735.8657 318.6462 487.7733 -0.09572634 0.2566185
Moved 735.8963 373.2066 530.8473 0.03057083 0.3674055
Moved 735.9271 418.1515 564.5538 0.1346098 0.4540993
Moved 735.9578 442.9767 582.98 0.1920758 0.5014918
Moved 735.9886 457.3633 594.4907 0.2253781 0.5310973
Moved 736.0193 466.5 602.5 0.2465278 0.5516974
Moved 736.05 471.2505 606.2505 0.2575242 0.5613438
Moved 736.0807 474.1241 609.1241 0.2641762 0.5687349
Moved 736.1115 475 611 0.2662037 0.5735595
Moved 736.1422 475 612.4349 0.2662037 0.5772501
Stationary 736.1729 475 612 0.2662037 0.5761316
Moved 736.2036 450.9696 612 0.2105778 0.5761316
Moved 736.2343 424.568 599.5226 0.1494629 0.5440396
Moved 736.265 399.2668 591.6476 0.0908953 0.523785
Moved 736.2958 380.2484 585.8994 0.04687131 0.5090003
Moved 736.3265 363.0414 581.1547 0.007040203 0.4967969
Moved 736.3572 348.0215 576.0092 -0.02772788 0.4835627
Moved 736.3879 327.7815 566.3907 -0.07457982 0.4588239
Moved 736.4186 309.5563 557.7781 -0.1167678 0.4366721
Moved 736.4493 292.3379 549.7793 -0.1566253 0.4160989
Moved 736.4801 281.389 544.6945 -0.18197 0.4030206
Moved 736.5108 273.9516 540.9758 -0.1991861 0.3934561
Moved 736.5415 268.2022 538.1011 -0.212495 0.3860623
Moved 736.5722 265.5 535.5 -0.21875 0.3793723
Moved 736.603 262.7136 532.4271 -0.2252001 0.3714689
Ended 736.6337 262.7136 532.4271 -0.2252001 0.3714689
Candidates 736.7873 13 out put our got or poor it for hot pot pt pr pit
Began 737.4324 195 472 -0.3819444 0.2160493
Moved 737.4632 266.8272 464.2681 -0.2156778 0.1961627
Moved 737.4939 394.9351 451.4509 0.0808682 0.1631967
Moved 737.5247 504 451 0.3333333 0.162037
Ended 737.5554 521 451 0.3726852 0.162037
Accept 737.6168 0 out
Began 737.8626 377 477 0.03935188 0.2289094
Stationary 737.8933 377 477 0.03935188 0.2289094
Stationary 737.9241 377 477 0.03935188 0.2289094
Moved 737.9547 357.2298 477 -0.006412417 0.2289094
Moved 737.9855 335.7154 477 -0.05621428 0.2289094
Moved 738.0162 318.7238 477 -0.09554684 0.2289094
Moved 738.0469 304.882 477 -0.1275879 0.2289094
Moved 738.0776 293.7787 477 -0.1532899 0.2289094
Moved 738.1083 288.0279 477 -0.1666021 0.2289094
Moved 738.139 284.1558 477 -0.1755654 0.2289094
Moved 738.1697 282.7217 477 -0.1788849 0.2289094
Moved 738.2005 281.6255 477 -0.1814224 0.2289094
Stationary 738.2312 282 477 -0.1805555 0.2289094
Moved 738.262 303.0723 485.0826 -0.1317772 0.249698
Moved 738.2927 327.0398 491.64 -0.07629668 0.2665635
Moved 738.3234 361.7586 502.9196 0.004070798 0.2955749
Moved 738.3541 393.7799 517.2635 0.07819413 0.3324679
Moved 738.3848 425.256 535.8373 0.1510556 0.3802399
Moved 738.4156 451.612 554.0896 0.2120648 0.4271851
Moved 738.4462 478.8931 572.7808 0.2752154 0.4752591
Moved 738.477 499.0357 586.1683 0.3218418 0.5096921
Moved 738.5078 515.8082 595.2055 0.3606672 0.5329359
Moved 738.5384 533.7637 602.4702 0.4022308 0.5516207
