I just cannot figure this out
I just cannot figure this out
FixStart
Radial

0.6 0.6
432 388.8
Began 2735.323 341 402 -0.04398147 0.03600815
Stationary 2735.354 341 402 -0.04398147 0.03600815
Stationary 2735.385 341 402 -0.04398147 0.03600815
Stationary 2735.416 341 402 -0.04398147 0.03600815
Stationary 2735.446 341 402 -0.04398147 0.03600815
Stationary 2735.477 341 402 -0.04398147 0.03600815
Stationary 2735.508 341 402 -0.04398147 0.03600815
Stationary 2735.538 341 402 -0.04398147 0.03600815
Stationary 2735.569 341 402 -0.04398147 0.03600815
Stationary 2735.6 341 402 -0.04398147 0.03600815
Stationary 2735.63 341 402 -0.04398147 0.03600815
Stationary 2735.661 341 402 -0.04398147 0.03600815
Stationary 2735.692 341 402 -0.04398147 0.03600815
Stationary 2735.723 341 402 -0.04398147 0.03600815
Stationary 2735.753 341 402 -0.04398147 0.03600815
Stationary 2735.784 341 402 -0.04398147 0.03600815
Stationary 2735.815 341 402 -0.04398147 0.03600815
Stationary 2735.845 341 402 -0.04398147 0.03600815
Moved 2735.876 353.5408 417.1556 -0.01495183 0.07498854
Moved 2735.907 375.0758 436.0759 0.03489773 0.1236518
Moved 2735.938 411.9017 461.9344 0.1201428 0.1901605
Moved 2735.969 464.9155 491.9578 0.24286 0.267381
Moved 2735.999 498.2906 509.4957 0.3201173 0.3124889
Moved 2736.03 516.8994 518.5283 0.3631929 0.3357209
Moved 2736.061 528.2825 523.0706 0.3895428 0.3474038
Moved 2736.091 534.2614 526 0.4033829 0.3549381
Ended 2736.122 536.5 526 0.4085648 0.3549381
Candidates 2736.214 13 p go o pp po gp I ip pop gop hip up ho
Began 2737.044 434 438 0.1712963 0.1286007
Stationary 2737.074 434 438 0.1712963 0.1286007
Stationary 2737.105 434 438 0.1712963 0.1286007
Stationary 2737.136 434 438 0.1712963 0.1286007
Moved 2737.167 417.494 438 0.1330878 0.1286007
Moved 2737.198 401.2863 438 0.09556998 0.1286007
Moved 2737.228 383.5 438 0.05439818 0.1286007
Moved 2737.259 371.8229 438 0.02736787 0.1286007
Moved 2737.29 345.2751 438 -0.03408546 0.1286007
Moved 2737.32 326.1502 438 -0.07835592 0.1286007
Moved 2737.351 316.4623 438 -0.1007818 0.1286007
Moved 2737.382 313.0836 444.4148 -0.1086028 0.1450997
Ended 2737.413 313 445 -0.1087963 0.1466049
Cancel 2737.474
Began 2737.75 350 387 -0.02314816 -0.002572055
Stationary 2737.781 350 387 -0.02314816 -0.002572055
Moved 2737.812 354.4199 393.9455 -0.01291692 0.01529187
Moved 2737.843 370.2754 412.4576 0.02378563 0.06290521
Moved 2737.873 394.9566 442.7894 0.08091797 0.1409191
Moved 2737.904 423.9909 470.9903 0.1481271 0.2134523
Moved 2737.935 454.8098 506.8984 0.2194673 0.3058085
Moved 2737.966 468.4129 522.4955 0.2509558 0.3459245
Moved 2737.996 474.6581 528.6581 0.2654123 0.3617748
Moved 2738.027 477.8683 532.8683 0.2728432 0.3726035
Moved 2738.058 480.4254 535.4254 0.2787624 0.3791803
Moved 2738.088 481 537.9651 0.2800926 0.3857128
Moved 2738.119 482 539.1677 0.2824074 0.3888057
Moved 2738.15 483 539.7257 0.2847222 0.3902409
Moved 2738.18 483 540.5 0.2847222 0.3922324
Moved 2738.211 483 541 0.2847222 0.3935184
Moved 2738.242 484.5 542.5 0.2881944 0.3973764
Moved 2738.273 484 543.2091 0.287037 0.3992003
Stationary 2738.303 484 543.2091 0.287037 0.3992003
Moved 2738.334 484 544 0.287037 0.4012345
Stationary 2738.365 484 544 0.287037 0.4012345
Stationary 2738.396 484 544 0.287037 0.4012345
Stationary 2738.426 484 544 0.287037 0.4012345
Ended 2738.457 484 544 0.287037 0.4012345
Candidates 2738.518 13 I go o ii iii ip you gi up hi p iu u
Began 2739.102 388 487 0.06481478 0.2546296
Stationary 2739.133 388 487 0.06481478 0.2546296
Moved 2739.164 401.8727 487 0.09692758 0.2546296
Moved 2739.194 432.1867 487 0.1670988 0.2546296
Moved 2739.225 454.8835 487 0.2196377 0.2546296
Moved 2739.256 468.1276 487 0.2502953 0.2546296
Moved 2739.287 475.7348 477.4283 0.2679046 0.2300109
Moved 2739.317 480.9053 480 0.2798734 0.2366254
Moved 2739.348 483.1514 479 0.2850726 0.2340534
Moved 2739.379 485.689 479 0.2909467 0.2340534
Ended 2739.409 486 479 0.2916667 0.2340534
Accept 2739.471 0 I
Began 2739.901 355 448 -0.01157408 0.1543209
Stationary 2739.932 355 448 -0.01157408 0.1543209
Stationary 2739.962 355 448 -0.01157408 0.1543209
Stationary 2739.993 355 448 -0.01157408 0.1543209
Stationary 2740.024 355 448 -0.01157408 0.1543209
Stationary 2740.055 355 448 -0.01157408 0.1543209
Stationary 2740.085 355 448 -0.01157408 0.1543209
Stationary 2740.116 355 448 -0.01157408 0.1543209
Moved 2740.147 389.8383 448 0.06907016 0.1543209
Moved 2740.177 423.4433 448 0.1468595 0.1543209
Moved 2740.208 442.4931 448 0.1909563 0.1543209
Moved 2740.239 453.9828 448 0.2175528 0.1543209
Moved 2740.27 458 441 0.2268519 0.1363167
Moved 2740.301 462.0279 440 0.2361757 0.1337448
Moved 2740.331 464.5739 439 0.2420694 0.1311728
Stationary 2740.362 465 439 0.2430555 0.1311728
Moved 2740.393 466 439 0.2453704 0.1311728
Moved 2740.423 466 450.772 0.2453704 0.1614506
Moved 2740.454 451.0538 465.4327 0.2107726 0.1991582
Moved 2740.485 437.8186 486.2721 0.1801357 0.2527574
Moved 2740.516 420.5 511.5 0.1400463 0.317644
Moved 2740.546 403.8909 537.5745 0.1015994 0.3847081
Moved 2740.577 392.5059 556.2411 0.0752452 0.4327187
Moved 2740.608 386.2348 563.7652 0.06072869 0.4520708
Moved 2740.638 382.072 568.928 0.0510925 0.4653498
Moved 2740.669 379.3237 570.6763 0.0447309 0.4698463
Moved 2740.7 375.5478 572.2261 0.03599028 0.4738324
Moved 2740.731 373.2419 572 0.03065268 0.4732509
Moved 2740.761 367.0969 572 0.01642803 0.4732509
Moved 2740.792 351 554.5 -0.02083332 0.4282407
Moved 2740.823 322.1035 516.7051 -0.08772334 0.3310316
Moved 2740.854 299.6025 481.7639 -0.1398091 0.2411622
Moved 2740.884 283.903 452.806 -0.1761505 0.166682
Moved 2740.915 270.5382 432.897 -0.2070874 0.1154758
Moved 2740.946 257.2371 412.3319 -0.2378771 0.06258207
Moved 2740.976 247.0202 398.5252 -0.2615274 0.02707089
Moved 2741.007 240.9075 392.9075 -0.2756772 0.01262205
Moved 2741.038 237.6823 389.6823 -0.2831428 0.004326895
Moved 2741.069 236 388.1481 -0.287037 0.0003807633
Moved 2741.099 234.8784 388 -0.2896332 -3.924585E-08
Moved 2741.13 233.5 388 -0.2928241 -3.924585E-08
Moved 2741.161 234 396.4576 -0.2916667 0.02175307
Moved 2741.191 234 408.6991 -0.2916667 0.05323842
Moved 2741.222 244.8507 423.985 -0.2665493 0.09255389
Moved 2741.253 257.1591 444.8227 -0.2380577 0.1461488
Moved 2741.284 277.6517 470.8146 -0.1906211 0.2130005
Moved 2741.314 296.5323 493.121 -0.1469159 0.2703729
Moved 2741.345 311.7104 509.7104 -0.1117815 0.313041
Moved 2741.376 328.5197 523.1398 -0.07287105 0.3475816
Moved 2741.406 340.7628 532.8221 -0.04453043 0.3724848
Moved 2741.437 346.9611 538.9611 -0.0301826 0.3882743
Moved 2741.468 351.0355 541.0178 -0.02075111 0.3935641
Moved 2741.499 353.5 542 -0.0150463 0.3960905
Moved 2741.529 354.783 543 -0.01207635 0.3986624
Ended 2741.56 355 543 -0.01157408 0.3986624
Candidates 2741.683 13 just judy use user left judge lost first list used lady lay hyde
Began 2742.175 340 456 -0.04629632 0.174897
Stationary 2742.205 340 456 -0.04629632 0.174897
Moved 2742.236 349.4377 456 -0.02444968 0.174897
Moved 2742.267 365.8863 456 0.01362572 0.174897
Moved 2742.298 380.8138 463 0.04818003 0.1929011
Moved 2742.328 393.5 464.5 0.07754634 0.1967592
Moved 2742.359 402.1521 464 0.09757429 0.1954732
Moved 2742.39 408.2039 464 0.1115831 0.1954732
Moved 2742.42 412.6996 464 0.1219898 0.1954732
Ended 2742.451 413 464 0.1226852 0.1954732
Accept 2742.851 0 just
Began 2742.881 387 462 0.06250004 0.1903292
Stationary 2742.912 387 462 0.06250004 0.1903292
Stationary 2742.943 387 462 0.06250004 0.1903292
Stationary 2742.973 387 462 0.06250004 0.1903292
Stationary 2743.004 387 462 0.06250004 0.1903292
Stationary 2743.035 387 462 0.06250004 0.1903292
Stationary 2743.066 387 462 0.06250004 0.1903292
Stationary 2743.096 387 462 0.06250004 0.1903292
Stationary 2743.127 387 462 0.06250004 0.1903292
