I will meet you at noon
I will meet you at noon
FixStart
List

0.6 0.6
432 388.8
Began 2312.625 344 370 -0.03703703 -0.04629637
Stationary 2312.656 344 370 -0.03703703 -0.04629637
Stationary 2312.687 344 370 -0.03703703 -0.04629637
Moved 2312.718 354.7138 389.4276 -0.01223664 0.003671685
Moved 2312.749 370.9541 414.3564 0.02535661 0.06778901
Moved 2312.779 390.3486 443.0275 0.07025142 0.1415317
Moved 2312.81 402.1614 463.7825 0.09759585 0.1949137
Moved 2312.841 412.2346 482.4692 0.1209134 0.2429762
Moved 2312.872 418.8517 493.8023 0.1362309 0.2721252
Moved 2312.902 422.8119 503.4356 0.1453978 0.2969021
Moved 2312.933 425.6815 509.363 0.1520405 0.3121476
Moved 2312.964 428.5 515 0.1585648 0.326646
Moved 2312.994 429 518.0913 0.1597223 0.3345969
Moved 2313.025 429 520.9142 0.1597223 0.3418574
Moved 2313.056 430.3463 522.3463 0.1628386 0.3455408
Moved 2313.087 430 523 0.162037 0.3472221
Ended 2313.117 431.5 523 0.1655093 0.3472221
Candidates 2313.209 13 I u ii iii it go gi guy you o hi iu to
Began 2313.732 383 407 0.05324075 0.04886827
Stationary 2313.763 383 407 0.05324075 0.04886827
Stationary 2313.794 383 407 0.05324075 0.04886827
Moved 2313.824 371.0735 420.9265 0.02563308 0.08468746
Moved 2313.855 351.9214 443.3864 -0.01870036 0.1424547
Moved 2313.886 328.6047 471.5698 -0.07267436 0.2149427
Moved 2313.917 309.7292 495.3611 -0.1163676 0.2761345
Moved 2313.947 292.486 514.2168 -0.1562824 0.3246316
Moved 2313.978 277.5522 527.9583 -0.1908515 0.359975
Moved 2314.009 265.555 540.445 -0.2186227 0.392091
Moved 2314.04 259.5298 545.4702 -0.2325699 0.4050158
Moved 2314.07 256.2357 548.7643 -0.240195 0.4134882
Moved 2314.101 256 550.1936 -0.2407407 0.4171645
Moved 2314.132 256 551.1215 -0.2407407 0.419551
Moved 2314.163 267.7331 552 -0.2135809 0.4218106
Moved 2314.193 276.5936 553 -0.1930704 0.4243826
Moved 2314.224 286.4711 553 -0.1702059 0.4243826
Moved 2314.255 296.8156 553 -0.1462602 0.4243826
Moved 2314.285 306.4607 553 -0.1239336 0.4243826
Moved 2314.316 320.0797 553 -0.09240816 0.4243826
Moved 2314.347 333.4128 553 -0.06154448 0.4243826
Moved 2314.378 346.7962 553 -0.03056427 0.4243826
Moved 2314.408 359.3933 553 -0.001404285 0.4243826
Moved 2314.439 374.7131 553 0.0340581 0.4243826
Moved 2314.47 391.0561 553 0.07188906 0.4243826
Moved 2314.501 404.3751 553 0.1027202 0.4243826
Moved 2314.531 420.2204 553 0.1393992 0.4243826
Moved 2314.562 432.9333 543.8221 0.1688272 0.400777
Moved 2314.593 443.531 546 0.1933587 0.4063785
Moved 2314.624 452.1711 545 0.213359 0.4038065
Moved 2314.654 459.1856 545 0.2295962 0.4038065
Moved 2314.685 463.4653 544 0.2395031 0.4012345
Moved 2314.716 466.329 543 0.2461319 0.3986624
Moved 2314.747 469.6653 536.502 0.2538549 0.3819495
Moved 2314.777 478.8399 520.7402 0.2750923 0.34141
Moved 2314.808 491.9137 501.5036 0.3053557 0.291933
Moved 2314.839 504.5924 486.3089 0.3347046 0.252852
Moved 2314.87 518.0285 470.9715 0.3658067 0.2134039
Moved 2314.9 528.608 456.5226 0.3902963 0.1762413
Moved 2314.931 534.4944 445.011 0.4039223 0.1466333
Moved 2314.962 538.2637 434.9451 0.4126475 0.1207436
Moved 2314.992 542.1371 424.4514 0.4216137 0.09375356
Moved 2315.023 546.0099 415.9852 0.4305785 0.07197827
Moved 2315.054 548.6729 408.9814 0.4367427 0.05396454
Moved 2315.085 550 403.107 0.4398148 0.0388554
Moved 2315.115 553.3133 397.3734 0.4474844 0.02410834
Moved 2315.146 554 393.8141 0.4490741 0.01495408
Moved 2315.177 555.7304 391.2696 0.4530796 0.008409445
Moved 2315.208 557 388.3925 0.4560185 0.00100956
Ended 2315.238 561 387 0.4652777 -0.002572055
Accept 2315.3 0 I
Candidates 2315.3 13 will feel still wool grill roll fell took tell till week gel well
Began 2316.284 360 454 0 0.169753
Stationary 2316.314 360 454 0 0.169753
Stationary 2316.345 360 454 0 0.169753
Moved 2316.376 367.757 439.6906 0.017956 0.1329489
Moved 2316.406 382.2019 425.4311 0.05139331 0.09627334
Moved 2316.437 402.631 405.3691 0.09868273 0.04467352
Moved 2316.468 422.5038 388.597 0.1446847 0.001535455
Moved 2316.499 435.9365 377.0635 0.175779 -0.02812892
Moved 2316.53 449.0702 367.4474 0.2061809 -0.05286166
Moved 2316.56 460.9081 358.8552 0.2335836 -0.074961
Moved 2316.591 471.0219 353.4891 0.2569951 -0.08876274
Moved 2316.622 481.1049 349.4476 0.2803353 -0.09915756
Moved 2316.652 490.9483 345.7012 0.303121 -0.1087934
Moved 2316.683 498.5588 342.4804 0.3207381 -0.1170772
Moved 2316.714 505.7813 339.6094 0.3374566 -0.1244616
Moved 2316.745 509.9144 338.0428 0.347024 -0.1284909
Moved 2316.775 512.8337 337.1663 0.3537818 -0.1307453
Moved 2316.806 514.2679 335.7321 0.3571016 -0.1344339
Moved 2316.837 515 334.8612 0.3587963 -0.1366738
Moved 2316.868 516.2892 333.7108 0.3617806 -0.1396329
Moved 2316.898 516 331.5 0.3611111 -0.145319
Moved 2316.929 516 330.7985 0.3611111 -0.1471231
Moved 2316.96 516 329 0.3611111 -0.151749
Moved 2316.99 498.6639 329 0.3209813 -0.151749
Moved 2317.021 476.3013 348.5989 0.269216 -0.1013404
Moved 2317.052 457.6094 367.3906 0.2259476 -0.05300765
Moved 2317.083 437.4099 393.1288 0.1791894 0.01319124
Moved 2317.114 418.2981 418.4738 0.1349494 0.07837908
Moved 2317.144 399.5064 446.2404 0.09145011 0.1497951
Moved 2317.175 383.8012 469.5233 0.05509536 0.2096792
Moved 2317.206 368.4161 494.5485 0.01948168 0.2740443
Moved 2317.237 353.4079 516.629 -0.01525948 0.3308357
Moved 2317.267 340.0166 533.9835 -0.04625792 0.3754718
Moved 2317.298 331.098 548.8367 -0.06690274 0.4136744
