the facts get in the way
the facts get in the way
FixStart
List

0.6 0.6
432 388.8
Began 930.966 497 259 0.3171296 -0.3317901
Stationary 930.9968 497 259 0.3171296 -0.3317901
Stationary 931.0275 497 259 0.3171296 -0.3317901
Moved 931.0582 488.2366 278.7024 0.2968439 -0.2811153
Moved 931.0889 479.2175 304.4564 0.2759663 -0.2148757
Moved 931.118 475.673 327.9431 0.2677616 -0.1544673
Moved 931.1503 471.7928 345.0357 0.2587797 -0.1105049
Moved 931.1811 470.2606 354.9576 0.2552329 -0.08498572
Moved 931.2118 470 363.1992 0.2546296 -0.06378801
Moved 931.2425 470 368.4732 0.2546296 -0.05022331
Moved 931.2733 470 370.5 0.2546296 -0.04501037
Moved 931.304 470 371.173 0.2546296 -0.04327931
Moved 931.3348 475.0392 371 0.2662944 -0.04372435
Moved 931.3655 489.2199 354.5743 0.2991202 -0.08597142
Moved 931.3962 507.256 327.0463 0.3408703 -0.156774
Moved 931.4269 519.0714 303.8572 0.3682209 -0.2164168
Moved 931.4576 529.7605 279.7186 0.392964 -0.2785018
Moved 931.4883 536.111 264.7781 0.4076643 -0.3169289
Moved 931.5191 540.5326 251.6686 0.4178995 -0.3506467
Moved 931.5499 542 240.4143 0.4212962 -0.3795928
Moved 931.5806 544.018 230.9281 0.4259676 -0.4039915
Moved 931.6113 544 224.8361 0.4259259 -0.4196604
Moved 931.6421 544 222.526 0.4259259 -0.4256018
Moved 931.6728 525.0674 222 0.3821004 -0.4269547
Moved 931.7035 491.9774 259.821 0.3055033 -0.3296784
Moved 931.7343 465.0046 293.4942 0.2430663 -0.2430706
Moved 931.765 440.128 323.09 0.1854815 -0.1669496
Moved 931.7957 421.5603 346.9277 0.1425006 -0.1056388
Moved 931.8265 412.0526 359.9343 0.1204921 -0.07218561
Moved 931.8571 402.7209 373.0388 0.09889096 -0.03848048
Moved 931.8879 397.3683 381.2634 0.08650075 -0.01732681
Ended 931.9186 396 385 0.08333336 -0.007716127
Candidates 932.0108 13 the there they that this he time rubber these where tube huge enter
Began 932.6562 465 281 0.2430555 -0.2752058
Stationary 932.6869 465 281 0.2430555 -0.2752058
Moved 932.7177 451.6404 281 0.2121305 -0.2752058
Moved 932.7482 437.0517 281 0.1783604 -0.2752058
Moved 932.7791 423.776 293.6896 0.1476296 -0.2425678
Moved 932.8098 413.8573 296.7142 0.1246696 -0.2347885
Moved 932.8406 406.8306 298 0.1084041 -0.2314816
Moved 932.8713 401.7606 299 0.09666809 -0.2289095
Moved 932.902 396.9453 300 0.08552153 -0.2263375
Moved 932.9327 393.191 300 0.07683098 -0.2263375
Moved 932.9634 386.6858 300 0.06177276 -0.2263375
Moved 932.9941 375.1232 300 0.0350073 -0.2263375
Moved 933.0249 354.7068 300 -0.01225288 -0.2263375
Moved 933.0557 335.6007 300 -0.05647983 -0.2263375
Moved 933.0864 320.5972 300 -0.09121021 -0.2263375
Moved 933.1171 310.2513 300 -0.1151592 -0.2263375
Moved 933.1479 304.3853 300 -0.1287378 -0.2263375
Moved 933.1786 299.821 300 -0.1393031 -0.2263375
Moved 933.2094 297 300 -0.1458333 -0.2263375
Moved 933.2401 296 289.7888 -0.1481481 -0.2526008
Moved 933.2708 306.3823 280.0673 -0.1241152 -0.2776048
Moved 933.3015 336.6695 250.6897 -0.05400578 -0.3531644
Moved 933.3323 357.8984 230.2393 -0.004864733 -0.4057633
Moved 933.363 373.1941 212.3431 0.03054192 -0.4517924
Moved 933.3937 383.2263 197.5474 0.05376458 -0.4898473
Moved 933.4244 390.2875 186.5687 0.07010987 -0.5180846
Moved 933.4551 393.0576 177.8849 0.07652213 -0.5404195
Moved 933.4859 395 172.1499 0.08101851 -0.5551701
Moved 933.5167 396.7982 169.2018 0.0851811 -0.5627527
Moved 933.5474 397 167.5 0.0856481 -0.5671297
Moved 933.5781 398.2092 168 0.08844723 -0.5658437
Moved 933.6088 403.1367 209.2305 0.09985347 -0.4597982
Moved 933.6396 415.8465 255.6167 0.1292743 -0.3404921
Moved 933.6703 438.1157 333.0176 0.1808233 -0.1414158
Moved 933.701 443.9173 356.6691 0.1942529 -0.08058367
Moved 933.7318 449.1864 379.305 0.20645 -0.0223637
Moved 933.7625 452.7405 391.9622 0.2146772 0.01019077
Moved 933.7933 457.2207 402.8311 0.225048 0.0381458
Moved 933.824 462.9585 410.9585 0.23833 0.05904955
Ended 933.8547 465 414 0.2430555 0.06687239
Accept 933.9469 0 the
Candidates 933.9469 13 fact act gave face react save facts age scr ace dave secret day
Began 935.6678 415 247 0.1273148 -0.3626543
Moved 935.6986 398.046 247 0.08806943 -0.3626543
Moved 935.7293 369.625 254 0.02228002 -0.3446502
Moved 935.76 336.2856 254 -0.05489438 -0.3446502
Moved 935.7908 290.6751 246.8375 -0.1604743 -0.3630722
Moved 935.8215 257.9912 244.1101 -0.2361314 -0.3700872
Moved 935.8522 231.1126 244 -0.2983505 -0.3703704
Moved 935.8829 206.9992 244 -0.3541685 -0.3703704
Moved 935.9137 191.1277 252.1744 -0.3909081 -0.3493456
Moved 935.9444 178.8453 255.0387 -0.4193395 -0.3419787
Moved 935.9752 171.0032 256.6656 -0.4374925 -0.3377944
Moved 936.0059 163.7495 257 -0.4542836 -0.3369342
Moved 936.0366 158.4312 258 -0.4665944 -0.3343622
Moved 936.0673 153.6945 259 -0.477559 -0.3317901
