this is a very good idea
this is a very good idea
FixStart
Radial

0.6 0.6
432 388.8
Began 352.1273 271 361 -0.2060186 -0.06944452
Stationary 352.1581 271 361 -0.2060186 -0.06944452
Moved 352.1888 255.6662 395.4456 -0.2415135 0.01915025
Moved 352.2195 239.4333 455.7202 -0.2790895 0.1741772
Moved 352.2502 237 497.3068 -0.2847222 0.2811389
Moved 352.2809 236 519.2919 -0.287037 0.3376849
Moved 352.3117 236 521 -0.287037 0.3420781
Moved 352.3424 242.3187 511.8729 -0.2724104 0.3186032
Moved 352.3731 268.4065 460.187 -0.212022 0.1856661
Moved 352.4038 292.7839 408.4321 -0.1555928 0.05255169
Moved 352.4346 306.1981 379.6038 -0.1245414 -0.02159527
Moved 352.4653 313.5486 363.6284 -0.1075263 -0.06268419
Moved 352.4961 316.6436 361 -0.1003622 -0.06944452
Moved 352.5268 321.7395 361 -0.08856595 -0.06944452
Moved 352.5575 347.7823 413.6516 -0.02828161 0.06597632
Moved 352.5882 360.5 441 0.001157423 0.1363167
Moved 352.619 361 448.418 0.002314846 0.1553959
Moved 352.6497 361 451.9252 0.002314846 0.1644165
Moved 352.6804 314.2235 441.0308 -0.1059641 0.1363959
Moved 352.7112 242.1853 407.647 -0.2727191 0.0505323
Moved 352.7419 187.5868 376.6461 -0.3991047 -0.02920237
Moved 352.7726 156.1611 352.1288 -0.4718493 -0.09226128
Moved 352.8033 140.9984 340.399 -0.5069481 -0.1224304
Moved 352.834 135.3535 336 -0.5200151 -0.1337449
Ended 352.8647 135 336 -0.5208333 -0.1337449
Candidates 352.9569 13 this thus third gross ross grid did road us if is rod tips
Began 353.2335 170 390 -0.4398148 0.005143954
Moved 353.2643 181.7579 390 -0.4125974 0.005143954
Moved 353.295 227.6567 390 -0.3063502 0.005143954
Moved 353.3257 299.3932 390 -0.1402934 0.005143954
Moved 353.3564 345.4333 390 -0.03371919 0.005143954
Moved 353.3871 372.8144 396.0573 0.02966295 0.0207233
Ended 353.4178 375 398 0.03472219 0.02572008
Accept 353.4793 0 this
Began 353.5408 237 332 -0.2847222 -0.144033
Stationary 353.5715 237 332 -0.2847222 -0.144033
