I listen to the tape everyday
I listen to the tape everyday
Basic
List

0.6 0.6
432 388.8
Began 909.5214 448 419 0.2037037 0.07973251
Stationary 909.5521 448 419 0.2037037 0.07973251
Stationary 909.5826 448 419 0.2037037 0.07973251
Moved 909.6135 436.5 440.5 0.1770833 0.1350308
Moved 909.6442 430.2142 451.1786 0.1625329 0.1624965
Moved 909.675 426.7455 457.5089 0.1545036 0.178778
Moved 909.7057 423.869 462.131 0.1478449 0.1906662
Moved 909.7364 422.3334 465.6666 0.1442902 0.1997598
Moved 909.7672 421 468.5341 0.1412037 0.207135
Moved 909.7979 420 471.4142 0.1388889 0.2145426
Moved 909.8286 418.7313 474.2687 0.135952 0.2218845
Moved 909.8593 419 476.5 0.1365741 0.2276234
Moved 909.89 418 478.5 0.1342593 0.2327674
Moved 909.9208 418 480.5 0.1342593 0.2379114
Moved 909.9515 418 482.0555 0.1342593 0.2419121
Moved 909.9822 418 484.9415 0.1342593 0.2493351
Moved 910.0128 423.7247 486.8178 0.1475109 0.254161
Moved 910.0436 429.3835 489.6917 0.1606099 0.2615527
Moved 910.0744 435.6029 492.201 0.1750068 0.2680067
Moved 910.1051 442.1728 496.1728 0.1902147 0.2782221
Moved 910.1359 447.9148 497.9574 0.2035064 0.2828121
Moved 910.1666 451.6369 499 0.2121225 0.2854938
Moved 910.1973 454.4007 500 0.2185202 0.2880658
Moved 910.228 457.2744 502.2744 0.2251723 0.2939155
Moved 910.2588 461.1454 503 0.2341328 0.2957818
Moved 910.2895 463.6854 504 0.2400126 0.2983539
Moved 910.3202 467.1086 505.5543 0.2479365 0.3023516
Moved 910.3509 470.4255 507.4255 0.2556146 0.3071644
Moved 910.3817 473.2968 507 0.2622612 0.3060699
Moved 910.4124 475.8057 508 0.2680687 0.3086419
Moved 910.4431 478.6767 509 0.2747145 0.3112139
Moved 910.4738 481.5519 509 0.2813703 0.3112139
Moved 910.5046 482 510.043 0.2824074 0.3138966
Moved 910.5353 483 510 0.2847222 0.3137859
Stationary 910.566 483 510 0.2847222 0.3137859
Ended 910.5967 483 510 0.2847222 0.3137859
Candidates 910.6889 13 hi go I hip to gi ho u ohio you photo do july
Began 911.3649 411 484 0.1180555 0.2469135
Stationary 911.3956 411 484 0.1180555 0.2469135
Stationary 911.4263 411 484 0.1180555 0.2469135
Moved 911.4571 411 499.2665 0.1180555 0.2861793
Moved 911.4878 411 505.5056 0.1180555 0.3022261
Moved 911.5185 411 512.1196 0.1180555 0.3192375
Moved 911.5493 411 517.7955 0.1180555 0.3338362
Moved 911.58 411 523 0.1180555 0.3472221
Moved 911.6107 411 529.6955 0.1180555 0.3644431
Moved 911.6414 411 536.4335 0.1180555 0.3817733
Moved 911.6721 411 544.2734 0.1180555 0.4019376
Moved 911.7029 411 549.2592 0.1180555 0.4147612
Moved 911.7336 411 555.5 0.1180555 0.4308127
Moved 911.7643 411 559.3814 0.1180555 0.4407957
Moved 911.795 411 562.259 0.1180555 0.4481969
Moved 911.8258 418.7607 565.5213 0.13602 0.4565877
Moved 911.8565 421.6325 568.6326 0.1426679 0.4645899
Moved 911.8872 425.994 573.994 0.1527638 0.4783796
Moved 911.918 429.0351 577.0701 0.1598034 0.4862914
Moved 911.9487 433.8404 579.9202 0.170927 0.4936219
Moved 911.9794 436.8 582.8 0.1777777 0.5010287
Moved 912.0101 439.6646 585.6646 0.1844087 0.5083964
Moved 912.0408 442.1822 588.1822 0.1902367 0.5148718
Moved 912.0716 444 591.0614 0.1944444 0.5222772
Moved 912.1023 446.5 593.5 0.2002315 0.5285493
Moved 912.1331 447 595.5 0.2013889 0.5336933
Moved 912.1638 449.3666 596 0.2068671 0.5349793
Moved 912.1945 449 598.1243 0.2060185 0.540443
Stationary 912.2252 449 598 0.2060185 0.5401233
Ended 912.2559 449 598 0.2060185 0.5401233
Accept 912.3174 2 I
Began 912.8085 574 333 0.4953703 -0.141461
Stationary 912.8398 574 333 0.4953703 -0.141461
Stationary 912.8705 574 333 0.4953703 -0.141461
Stationary 912.9011 574 333 0.4953703 -0.141461
Stationary 912.9319 574 333 0.4953703 -0.141461
Stationary 912.9626 574 333 0.4953703 -0.141461
Stationary 912.9933 574 333 0.4953703 -0.141461
Stationary 913.0241 574 333 0.4953703 -0.141461
Stationary 913.0549 574 333 0.4953703 -0.141461
Stationary 913.0855 574 333 0.4953703 -0.141461
Stationary 913.1163 574 333 0.4953703 -0.141461
Stationary 913.147 574 333 0.4953703 -0.141461
Moved 913.1777 560.0009 344.9988 0.462965 -0.1105997
Moved 913.2084 549.3851 356.6149 0.4383914 -0.08072307
Moved 913.2391 541.5 368 0.4201389 -0.05144041
Moved 913.2699 532.0419 387.2357 0.3982451 -0.001965982
Moved 913.3006 524.6252 408.3119 0.3810768 0.05224243
Moved 913.3314 518.9123 430.3948 0.3678525 0.1090401
Moved 913.3621 514.8605 445.4183 0.3584734 0.1476808
Moved 913.3928 510.291 458.7724 0.3478959 0.1820277
Moved 913.4236 505.5591 474.1024 0.3369423 0.2214566
Moved 913.4543 500.8134 490.5599 0.3259569 0.2637856
Moved 913.485 496.3966 501.8103 0.3157329 0.2927219
Moved 913.5157 492.0388 510.4418 0.3056454 0.3149222
Moved 913.5464 488.2942 517.7058 0.2969773 0.3336054
Moved 913.5771 486.0788 522.8423 0.2918492 0.3468166
Moved 913.6079 483.2314 526.7686 0.2852579 0.3569151
Moved 913.6386 480.3586 529.6414 0.2786078 0.3643039
Moved 913.6693 475.4545 532.5152 0.2672557 0.3716953
Moved 913.7 468.8961 534 0.2520742 0.3755144
Moved 913.7308 455.5512 535 0.2211834 0.3780863
Moved 913.7615 432.928 529.4996 0.1688148 0.3639392
Moved 913.7922 405 518 0.1041667 0.3343621
Moved 913.823 359.788 495.959 -0.0004907449 0.2776724
Moved 913.8537 320.9897 472.9932 -0.09030159 0.2186037
Moved 913.8845 287.3772 452.8764 -0.1681083 0.1668631
Moved 913.9152 262.5569 436.4959 -0.2255628 0.1247322
Moved 913.9459 235.0547 415.6438 -0.2892251 0.07110026
Moved 913.9766 217.2064 399.2064 -0.3305406 0.0288231
Moved 914.0073 201.8081 383.808 -0.3661851 -0.01078178
Moved 914.0381 189.8428 370.8428 -0.3938824 -0.04412875
Moved 914.0688 178.3317 357.3317 -0.4205284 -0.0788793
Moved 914.0995 170.1453 348.1453 -0.4394785 -0.102507
Moved 914.1302 163.2606 340.3909 -0.4554152 -0.1224514
Moved 914.1609 158.293 336.293 -0.4669145 -0.1329914
Moved 914.1917 156.4221 334 -0.4712451 -0.1388889
Moved 914.2224 156 333 -0.4722222 -0.141461
Moved 914.2531 163.8609 342.8262 -0.4540257 -0.1161879
Moved 914.2839 206.4124 374.275 -0.3555268 -0.0353011
Moved 914.3145 259.5498 407.4968 -0.2325235 0.05014592
Moved 914.3453 288.5 423.5 -0.1655093 0.09130646
Moved 914.376 310.1254 433.4823 -0.1154505 0.1169811
Moved 914.4068 324.1497 445.1497 -0.08298684 0.1469898
Moved 914.4375 333.7678 454.7678 -0.06072278 0.1717277
Moved 914.4682 341.0359 463.0359 -0.04389843 0.1929934
Moved 914.4989 349.9676 473.9677 -0.02322311 0.2211102
Moved 914.5297 355.3838 481.3838 -0.01068567 0.2401845
Moved 914.5604 362.2073 492.3455 0.005109409 0.2683782
Moved 914.5911 368.1485 501.297 0.01886229 0.2914017
Moved 914.6218 372.4536 508.9073 0.02882789 0.3109754
Moved 914.6525 374.3338 514.6676 0.03318012 0.325791
Moved 914.6833 374 518.7993 0.03240744 0.3364177
Moved 914.7141 374 521.7403 0.03240744 0.3439822
Moved 914.7446 365.148 525.6174 0.01191666 0.353954
Moved 914.7755 355.0864 528.4784 -0.01137416 0.3613127
Moved 914.8062 341.9818 530 -0.04170889 0.3652262
Moved 914.8369 328.4479 530 -0.07303734 0.3652262
Moved 914.8676 311.6649 530 -0.1118869 0.3652262
Moved 914.8984 294 530 -0.1527778 0.3652262
Moved 914.9291 280.8391 519.4195 -0.183243 0.338013
Moved 914.9598 266.6507 512.8603 -0.2160863 0.3211426
Moved 914.9905 255.2249 505.1686 -0.2425351 0.3013596
Moved 915.0213 244.2031 497.9219 -0.2680483 0.2827208
Moved 915.0521 233.9413 488.9413 -0.2918024 0.2596228
Moved 915.0828 227.5673 483.5673 -0.3065571 0.2458006
Moved 915.1135 222.8172 479.8171 -0.3175529 0.236155
Moved 915.1442 220.3989 478.3989 -0.3231508 0.2325073
