is there any indication of this
is there any indication of this
Basic
Radial

0.6 0.6
432 388.8
Began 1146.489 481 502 0.2800926 0.2932098
Stationary 1146.52 481 502 0.2800926 0.2932098
Moved 1146.551 448.0674 493.577 0.2038598 0.2715458
Moved 1146.582 373.9773 462.6356 0.03235489 0.1919639
Moved 1146.612 324.2222 442.0101 -0.08281896 0.1389147
Moved 1146.643 282.2832 421.6416 -0.1799 0.08652671
Moved 1146.674 258.2502 411.3183 -0.2355319 0.05997496
Moved 1146.705 240.0157 402.6719 -0.2777416 0.0377363
Moved 1146.735 231.104 398.7014 -0.2983704 0.02752406
Moved 1146.766 224.1864 397 -0.3143833 0.02314815
Ended 1146.797 222.5 397 -0.318287 0.02314815
Candidates 1146.889 13 is us id usa oa if pa pass its odds ps his posts
Began 1147.35 387 406 0.06250004 0.04629618
Stationary 1147.381 387 406 0.06250004 0.04629618
Moved 1147.411 416.0917 406 0.129842 0.04629618
Moved 1147.442 446.7645 406 0.2008437 0.04629618
Moved 1147.473 467.5306 406 0.2489134 0.04629618
Ended 1147.504 475 406 0.2662037 0.04629618
Accept 1147.565 0 is
Began 1147.934 341 500 -0.04398147 0.2880658
Stationary 1147.965 341 500 -0.04398147 0.2880658
Stationary 1147.995 341 500 -0.04398147 0.2880658
Stationary 1148.026 341 500 -0.04398147 0.2880658
Stationary 1148.057 341 500 -0.04398147 0.2880658
Moved 1148.088 341 484.2419 -0.04398147 0.2475356
Moved 1148.118 372.5216 443.7973 0.02898524 0.1435115
Moved 1148.149 391.747 412.0052 0.07348835 0.0617417
Moved 1148.18 400.5 399.5 0.09374996 0.02957815
Moved 1148.21 411.0571 384.9286 0.1181878 -0.007899759
Moved 1148.241 416.1324 375.3015 0.129936 -0.03266095
Moved 1148.272 419.1175 369.7651 0.136846 -0.04690053
Moved 1148.303 419 365 0.1365741 -0.05915646
Moved 1148.333 399.1329 365 0.09058535 -0.05915646
Moved 1148.364 351.6438 397.5493 -0.01934305 0.024561
Moved 1148.395 313.5811 428.3909 -0.1074511 0.1038861
Moved 1148.426 276 460.5 -0.1944444 0.1864711
Moved 1148.456 249.9234 486.8843 -0.254807 0.2543319
Moved 1148.487 231.4605 505.5395 -0.2975451 0.3023134
Moved 1148.518 225.157 514.7645 -0.3121366 0.3260404
Moved 1148.549 221.526 519.9481 -0.3205417 0.3393724
Moved 1148.579 220 522.7611 -0.3240741 0.3466077
Moved 1148.61 219 525.3156 -0.3263889 0.353178
