I want to hold your hand
I want to hold your hand
FixStart
List

0.6 0.6
432 388.8
Began 1433.313 370 235 0.02314816 -0.3935186
Stationary 1433.344 370 235 0.02314816 -0.3935186
Stationary 1433.374 370 235 0.02314816 -0.3935186
Moved 1433.405 370 249.342 0.02314816 -0.3566305
Moved 1433.436 387.6057 265.54 0.06390204 -0.3149693
Moved 1433.466 402.4717 286.166 0.09831408 -0.2619188
Moved 1433.497 418.2039 303.2039 0.1347313 -0.218097
Moved 1433.528 431.5881 315.6705 0.1657132 -0.1860327
Moved 1433.559 441.9727 325.9727 0.1897515 -0.1595353
Moved 1433.589 450.2516 333.2516 0.2089158 -0.1408137
Moved 1433.62 456.3518 338.3518 0.2230366 -0.127696
Moved 1433.651 460.7665 343.1777 0.2332557 -0.1152838
Moved 1433.682 466.695 348.695 0.2469793 -0.1010932
Moved 1433.712 474.2464 355.2464 0.2644591 -0.08424288
Moved 1433.743 481.5684 361.7123 0.2814083 -0.06761252
Moved 1433.774 490.2426 368.9319 0.3014873 -0.04904335
Moved 1433.805 498.236 377.236 0.3199906 -0.02768544
Moved 1433.835 505.6579 383.6579 0.337171 -0.01116796
Moved 1433.866 511 388 0.349537 -3.924585E-08
Ended 1433.897 512 388 0.3518519 -3.924585E-08
Candidates 1433.989 13 I go o ii up iii ip you gi u hi p to
Began 1434.296 409 215 0.113426 -0.4449589
Stationary 1434.327 409 215 0.113426 -0.4449589
Stationary 1434.358 409 215 0.113426 -0.4449589
Stationary 1434.389 409 215 0.113426 -0.4449589
Stationary 1434.419 409 215 0.113426 -0.4449589
Moved 1434.45 403.9297 238.3459 0.1016891 -0.3849127
Moved 1434.481 390.5125 257.9801 0.07063071 -0.3344134
Moved 1434.511 375.4532 278.0624 0.03577133 -0.2827615
Moved 1434.542 357.7744 296.2256 -0.005151977 -0.2360451
Moved 1434.573 335.2735 314.7949 -0.0572372 -0.1882849
Moved 1434.604 315.3062 333.4821 -0.1034578 -0.140221
Moved 1434.634 291.2435 350.8376 -0.1591585 -0.09558226
Moved 1434.665 271.9696 361.5152 -0.203774 -0.06811942
Moved 1434.696 259.451 369.2745 -0.2327524 -0.04816228
Moved 1434.727 250.214 372.893 -0.2541343 -0.03885552
Moved 1434.757 245 374 -0.2662037 -0.03600823
Moved 1434.788 240.8953 375 -0.2757054 -0.03343629
Moved 1434.819 238.1299 375 -0.2821068 -0.03343629
Moved 1434.85 236 375 -0.287037 -0.03343629
Moved 1434.88 233.9588 375 -0.2917621 -0.03343629
Moved 1434.911 231.175 357.225 -0.298206 -0.07915379
Moved 1434.942 231 322.3997 -0.2986111 -0.1687252
Moved 1434.973 231 299 -0.2986111 -0.2289095
Moved 1435.003 231 283.8618 -0.2986111 -0.2678452
Moved 1435.034 231 254.9526 -0.2986111 -0.3422001
Moved 1435.065 240.1631 233.8369 -0.2774003 -0.3965102
Moved 1435.095 242.0741 213.5555 -0.2729767 -0.4486741
Moved 1435.126 245.5117 196.4181 -0.2650192 -0.4927519
Moved 1435.157 249.5426 183.9148 -0.2556884 -0.5249106
Moved 1435.188 254.0591 172.8817 -0.2452335 -0.5532878
Moved 1435.219 259.5 164 -0.2326389 -0.5761318
Moved 1435.249 270.9852 154.4089 -0.2060528 -0.6008
Moved 1435.28 281.8458 148.0771 -0.1809125 -0.6170855
Moved 1435.311 296.3382 142.554 -0.1473654 -0.6312913
Moved 1435.341 312.0452 136.7386 -0.1110064 -0.6462483
Moved 1435.372 331.5532 131.1277 -0.06584902 -0.6606798
Moved 1435.403 349.8622 126.6108 -0.02346719 -0.6722973
Moved 1435.434 367.3104 121.0758 0.01692216 -0.6865333
Moved 1435.464 385.2716 113.3121 0.05849897 -0.7065016
Moved 1435.495 402.6742 105.163 0.09878288 -0.7274616
Moved 1435.526 419.2862 95.85693 0.1372365 -0.7513968
Moved 1435.557 437.0093 84.42322 0.1782624 -0.7808045
