why do you ask silly questions
why do you ask silly questions
FixStart
Radial

0.6 0.6
432 388.8
Began 3153.029 416 414 0.1296297 0.06687239
Stationary 3153.06 416 414 0.1296297 0.06687239
Moved 3153.09 406.1214 429.3179 0.1067625 0.1062701
Moved 3153.121 392.6837 447.5356 0.07565677 0.1531265
Moved 3153.152 369.8504 482.9708 0.02280186 0.2442663
Moved 3153.183 353.8214 506.2233 -0.01430238 0.3040721
Moved 3153.213 344.2524 517.7476 -0.03645266 0.3337128
Moved 3153.244 336.6909 524.3091 -0.05395626 0.3505891
Moved 3153.275 326.0348 534.6435 -0.07862325 0.3771693
Moved 3153.305 318.613 543.5804 -0.09580314 0.4001553
Moved 3153.336 313.447 547.553 -0.1077617 0.4103729
Moved 3153.367 308.8567 550.5717 -0.1183873 0.4181369
Moved 3153.397 304.1087 554.4456 -0.1293779 0.4281008
Moved 3153.428 296.0466 560.6356 -0.1480402 0.4440215
Moved 3153.459 294.5 561.5 -0.1516204 0.4462448
Moved 3153.49 294 562 -0.1527778 0.4475308
Moved 3153.521 292.8263 562 -0.1554946 0.4475308
Stationary 3153.551 293 562 -0.1550926 0.4475308
Moved 3153.582 302.0794 552.9206 -0.1340754 0.4241784
Moved 3153.613 329.8331 525.2836 -0.06983086 0.3530957
Moved 3153.643 361.1122 497.4066 0.002574424 0.2813954
Moved 3153.674 386.5146 476.9883 0.06137639 0.2288793
Moved 3153.705 413.593 457.0044 0.1240579 0.1774804
Moved 3153.735 433.5524 441.5266 0.1702601 0.1376712
Moved 3153.766 449.7036 429.2371 0.2076473 0.1060623
Moved 3153.797 469.7015 414.2239 0.2539386 0.06744812
Moved 3153.828 474.0724 408.5701 0.2640566 0.05290643
Moved 3153.858 483.7045 400.2955 0.2863529 0.03162427
Moved 3153.889 491.423 393.577 0.3042199 0.01434416
Moved 3153.92 498.2104 385.7896 0.3199315 -0.005685233
Moved 3153.95 502.4722 381.5278 0.3297968 -0.0166466
Moved 3153.981 505.3389 378.6611 0.3364326 -0.02401988
Moved 3154.012 506 377.1224 0.337963 -0.02797735
Moved 3154.042 507.309 377 0.340993 -0.02829226
Moved 3154.073 508 376 0.3425926 -0.03086435
Moved 3154.104 496.0605 389.4319 0.314955 0.003682752
Moved 3154.135 484.9743 403.0322 0.2892923 0.03866286
Moved 3154.166 472.5328 420.0675 0.2604927 0.08247811
Moved 3154.196 459.7656 449.9585 0.2309388 0.1593582
Moved 3154.227 454.7595 463.9622 0.2193506 0.195376
Moved 3154.258 447.4591 484.6228 0.2024516 0.2485154
Moved 3154.288 445 507.2931 0.1967593 0.3068238
Moved 3154.319 444 526.5275 0.1944444 0.356295
Moved 3154.35 444 538.8799 0.1944444 0.3880655
Moved 3154.38 443 547.671 0.1921296 0.4106764
Moved 3154.411 443 555.6286 0.1921296 0.4311434
Moved 3154.442 443 561.584 0.1921296 0.4464608
Moved 3154.472 443 566.5891 0.1921296 0.459334
Moved 3154.503 443 569.4718 0.1921296 0.4667484
Moved 3154.534 443 572.3434 0.1921296 0.4741343
Moved 3154.565 443 573.8867 0.1921296 0.4781036
Moved 3154.595 443 575.5 0.1921296 0.482253
Moved 3154.626 443 576 0.1921296 0.483539
Moved 3154.657 443 577.0638 0.1921296 0.4862752
Ended 3154.688 443 577 0.1921296 0.4861111
Candidates 3154.78 13 why who weekly rent jewelry jeremy enter edit henry entry weight went army
Began 3155.087 253 566 -0.2476852 0.4578188
Moved 3155.118 258.7348 566 -0.2344103 0.4578188
Moved 3155.148 285.0266 566 -0.1735497 0.4578188
Moved 3155.179 314.7667 566 -0.1047068 0.4578188
Moved 3155.21 353.1089 574 -0.01595159 0.478395
Moved 3155.24 378.4429 575 0.04269192 0.480967
Moved 3155.271 397.1149 575 0.08591424 0.480967
Moved 3155.302 413.9981 575 0.1249955 0.480967
Moved 3155.333 431.9929 575 0.1666503 0.480967
Moved 3155.363 442.6104 575 0.1912279 0.480967
Moved 3155.394 448 575 0.2037037 0.480967
Moved 3155.425 451.246 575 0.2112177 0.480967
Ended 3155.455 452 575 0.2129629 0.480967
Accept 3155.517 0 why
Began 3155.793 426 541 0.1527777 0.3935184
Stationary 3155.824 426 541 0.1527777 0.3935184
Moved 3155.855 414.6806 541 0.1265755 0.3935184
Moved 3155.885 400.0956 530.6985 0.09281377 0.3670229
Moved 3155.916 383.808 525.6027 0.05511125 0.3539162
Moved 3155.947 364.5887 520.9315 0.01062214 0.3419018
Moved 3155.978 346.2798 518.056 -0.03175964 0.334506
Moved 3156.008 331.5 516.5 -0.06597221 0.3305041
Moved 3156.039 320.6411 517 -0.09110853 0.33179
Moved 3156.07 312.3784 517 -0.1102353 0.33179
Moved 3156.1 306.8354 517 -0.1230662 0.33179
Moved 3156.131 305 517 -0.1273148 0.33179
Moved 3156.162 303.9102 517 -0.1298375 0.33179
Stationary 3156.193 303.9102 517 -0.1298375 0.33179
Moved 3156.223 319.25 530.0833 -0.09432878 0.3654405
Moved 3156.254 350.6915 542.2305 -0.02154753 0.3966832
Moved 3156.285 381.8345 550.7338 0.05054275 0.4185538
Moved 3156.315 417.6063 561.6516 0.133348 0.4466347
Moved 3156.346 452.6895 572.2155 0.214559 0.4738051
Moved 3156.377 500.0708 585.7141 0.3242379 0.5085239
Moved 3156.407 536.6573 593.6096 0.4089289 0.528831
Moved 3156.438 562.7251 599.675 0.469271 0.5444314
Moved 3156.469 584.2112 603.4423 0.5190074 0.554121
Moved 3156.5 601.5051 606 0.5590396 0.5606995
Moved 3156.531 616.8626 609.9725 0.5945894 0.5709169
Moved 3156.561 625.8779 611.626 0.615458 0.5751696
Moved 3156.592 631.733 613.3665 0.6290117 0.5796463
Moved 3156.623 635.2463 613 0.6371441 0.5787036
Moved 3156.653 637.1161 614 0.6414725 0.5812756
Moved 3156.684 639.5 614 0.6469907 0.5812756
Moved 3156.715 640 614.5614 0.6481482 0.5827195
Moved 3156.745 641.2156 615 0.6509619 0.5838476
Moved 3156.776 642.3094 618.3094 0.6534941 0.5923596
Moved 3156.807 642 623.5311 0.6527777 0.6057898
Moved 3156.837 642 631.1617 0.6527777 0.6254157
Moved 3156.868 642 640.3672 0.6527777 0.6490927
Moved 3156.899 642 647.2166 0.6527777 0.6667091
Moved 3156.93 642 653.9344 0.6527777 0.6839877
Moved 3156.96 642 659.6881 0.6527777 0.6987861
Moved 3156.991 635 664.7166 0.636574 0.7117195
Moved 3157.021 634 667.2672 0.6342593 0.7182797
Moved 3157.052 633 671.141 0.6319444 0.7282431
Moved 3157.083 631.9926 673.0074 0.6296124 0.7330437
Moved 3157.114 632 675.6539 0.6296296 0.7398505
Moved 3157.145 632 677.5 0.6296296 0.7445986
Moved 3157.175 631 679.5 0.6273149 0.7497426
Moved 3157.206 631 680.3555 0.6273149 0.7519431
Moved 3157.237 631 681.1953 0.6273149 0.7541028
Stationary 3157.268 631 681 0.6273149 0.7536006
Ended 3157.298 631 681 0.6273149 0.7536006
Candidates 3157.36 13 shop do ship so skip gdp sp slip solo help gap ap ali
Began 3158.035 338 519 -0.05092591 0.3369341
Stationary 3158.066 338 519 -0.05092591 0.3369341
Moved 3158.097 368.8959 572.0335 0.02059241 0.4733371
Moved 3158.127 394.5535 609.2611 0.07998506 0.5690871
Moved 3158.158 415.9814 638.472 0.1295865 0.644218
Moved 3158.189 432.8566 658.8279 0.1686496 0.6965737
Moved 3158.22 442.5465 669.5465 0.1910799 0.7241421
Moved 3158.25 447 675 0.2013889 0.7381686
Moved 3158.281 448 677.2281 0.2037037 0.7438995
Moved 3158.312 450.1129 678 0.2085946 0.7458847
Ended 3158.343 450.1129 678 0.2085946 0.7458847
Accept 3158.373 1 do
Began 3158.742 309 560 -0.1180555 0.4423867
Stationary 3158.772 309 560 -0.1180555 0.4423867
Stationary 3158.803 309 560 -0.1180555 0.4423867
Moved 3158.834 309 565.6773 -0.1180555 0.4569889
Moved 3158.865 316.7926 578.5661 -0.1000172 0.4901391
Moved 3158.895 326.9529 595.9058 -0.07649795 0.5347369
Moved 3158.926 334.7209 611.3022 -0.05851641 0.574337
Moved 3158.957 340 623.5 -0.04629632 0.6057097
Moved 3158.988 344.2482 637.2412 -0.03646244 0.6410524
Moved 3159.018 345 648.3773 -0.03472224 0.6696944
Moved 3159.049 346 657.004 -0.03240739 0.6918826
Moved 3159.08 346 662.1392 -0.03240739 0.7050904
Moved 3159.11 347 666.4435 -0.0300926 0.7161614
Moved 3159.141 347 670.6152 -0.0300926 0.7268909
Moved 3159.172 348.1803 673.1803 -0.02736047 0.7334884
Moved 3159.202 348 674.713 -0.0277778 0.7374304
Moved 3159.233 349 676 -0.02546296 0.7407405
Moved 3159.264 349 677.0215 -0.02546296 0.7433679
