I can still feel your presence
I can still feel your presence
FixStart
List

0.6 0.6
432 388.8
Began 2167.558 330 417 -0.06944443 0.0745884
Moved 2167.589 338.5493 430.8927 -0.04965429 0.1103207
Moved 2167.619 373.1211 477.8506 0.03037294 0.2310973
Moved 2167.65 403.9898 520.3867 0.1018283 0.3405008
Moved 2167.681 419.4245 540.6619 0.1375568 0.3926489
Moved 2167.711 428.3764 553.5646 0.1582786 0.4258347
Moved 2167.742 432.0548 560.0549 0.1667936 0.4425278
Moved 2167.772 434 564.8499 0.1712963 0.4548607
Moved 2167.803 435.0398 566.0398 0.1737032 0.4579212
Moved 2167.834 435 569.3566 0.1736111 0.4664519
Moved 2167.865 435 570.3729 0.1736111 0.4690659
Ended 2167.896 439 572.5 0.1828703 0.474537
Candidates 2167.988 13 I ii iii go u o gi you hi iu up ip to
Began 2168.879 369 512 0.02083332 0.31893
Moved 2168.91 369 502.8781 0.02083332 0.2954683
Moved 2168.941 340.695 454.1096 -0.04468749 0.1700348
Moved 2168.971 313.4817 405.4031 -0.1076813 0.04476111
Moved 2169.002 298.2756 384.4409 -0.1428806 -0.009154056
Moved 2169.033 285.5346 369.7128 -0.1723735 -0.04703498
Moved 2169.063 276.6118 362.3059 -0.1930282 -0.06608563
Moved 2169.094 269.5 359.5 -0.2094908 -0.07330247
Moved 2169.125 260.5786 360 -0.2301422 -0.07201654
Moved 2169.156 236.204 384.8145 -0.2865647 -0.008193122
Moved 2169.186 202.09 425.3129 -0.3655325 0.09596938
Moved 2169.217 175.0529 459.7509 -0.4281184 0.1845443
Moved 2169.248 156.8134 484.6613 -0.4703394 0.2486143
Moved 2169.279 149.7804 496.4391 -0.4866194 0.2789072
Moved 2169.309 148 499.9767 -0.4907407 0.2880059
Moved 2169.34 152.4051 504.5507 -0.4805436 0.2997702
Moved 2169.371 186.2303 506 -0.4022446 0.3034978
Moved 2169.402 258.1633 473.1573 -0.2357331 0.219026
Moved 2169.432 322.0862 442.3936 -0.08776332 0.1399011
Moved 2169.463 387.5434 409.3768 0.0637579 0.05498152
