travel at the speed of light
travel at the speed of light
Basic
List

0.6 0.6
432 388.8
Began 1928.255 367 440 0.01620372 0.1337448
Stationary 1928.285 367 440 0.01620372 0.1337448
Ended 1928.316 367 440 0.01620372 0.1337448
Candidates 1928.377 10 g h f y t j u r d i
Began 1929.514 81 255 -0.6458333 -0.3420782
Stationary 1929.545 81 255 -0.6458333 -0.3420782
Stationary 1929.575 81 255 -0.6458333 -0.3420782
Stationary 1929.606 81 255 -0.6458333 -0.3420782
Ended 1929.637 81 255 -0.6458333 -0.3420782
Accept 1929.698 0 g
Delete 1929.698 LeftSwipe
Began 1930.128 331 409 -0.06712963 0.05401234
Stationary 1930.159 331 409 -0.06712963 0.05401234
Stationary 1930.19 331 409 -0.06712963 0.05401234
Moved 1930.221 316.5555 409 -0.1005659 0.05401234
Moved 1930.251 306.9716 409 -0.1227509 0.05401234
Moved 1930.282 289.8875 409 -0.1622975 0.05401234
Moved 1930.313 269.3174 409 -0.2099134 0.05401234
Moved 1930.344 251.6545 419.3382 -0.2507997 0.08060227
Moved 1930.374 240.9297 422.5352 -0.2756257 0.08882495
Moved 1930.405 234.1829 424.4086 -0.2912433 0.09364336
Moved 1930.436 228.4491 424 -0.3045161 0.09259254
Moved 1930.466 224.3754 425 -0.3139457 0.09516452
Moved 1930.497 221.5 425 -0.3206019 0.09516452
Moved 1930.528 218.8711 425 -0.3266872 0.09516452
Moved 1930.558 210.8231 417.6904 -0.3453169 0.07636423
Moved 1930.589 197.3562 402.4275 -0.3764902 0.03710766
Moved 1930.62 185.7825 389.7825 -0.4032812 0.004584622
Moved 1930.651 176.9689 378.9689 -0.4236832 -0.02322821
Moved 1930.681 170.5458 371.3187 -0.4385514 -0.04290475
Moved 1930.712 167 359.6444 -0.4467593 -0.07293113
Moved 1930.743 167 346.1799 -0.4467593 -0.107562
Moved 1930.774 184.318 328.682 -0.4066713 -0.1525669
Moved 1930.804 205.7918 303.8592 -0.3569634 -0.2164116
Moved 1930.835 236.753 283.3941 -0.2852939 -0.2690482
Moved 1930.866 262.8304 266.4464 -0.2249296 -0.312638
Moved 1930.896 282.6688 250.9982 -0.1790074 -0.352371
Moved 1930.927 298.7018 238.8385 -0.141894 -0.3836459
Moved 1930.958 318.4925 226.7538 -0.09608219 -0.414728
Moved 1930.989 331.8617 220.7128 -0.06513491 -0.4302655
Moved 1931.019 336.648 218.176 -0.0540556 -0.4367901
Moved 1931.05 340.691 217 -0.04469667 -0.4398148
Moved 1931.081 343.5655 216 -0.03804291 -0.4423869
Moved 1931.112 347.1088 216 -0.02984082 -0.4423869
Moved 1931.142 350.9429 228.7146 -0.02096549 -0.4096847
Moved 1931.173 351 252.2856 -0.02083332 -0.3490595
Moved 1931.204 339.257 286.8577 -0.04801631 -0.2601397
Moved 1931.234 323.4423 318.1154 -0.08462425 -0.1797445
Moved 1931.265 300.1783 355.2783 -0.1384762 -0.08416093
Moved 1931.296 278.1635 391.7275 -0.1894364 0.009587212
Moved 1931.327 259.8981 417.3427 -0.2317175 0.0754699
Moved 1931.357 245.2525 433.7475 -0.2656192 0.1176632
Moved 1931.388 234.5 444.5 -0.2905093 0.1453189
Moved 1931.419 223.0794 454.9404 -0.3169458 0.1721718
Moved 1931.449 217.902 461.098 -0.3289307 0.1880092
Moved 1931.48 213.5751 465.8498 -0.3389465 0.2002309
Moved 1931.511 210.7016 468.2984 -0.345598 0.2065288
Moved 1931.542 208.9153 470.0847 -0.3497331 0.2111232
Moved 1931.572 208.2953 472 -0.3511682 0.2160493
Moved 1931.603 208 474.5725 -0.3518518 0.2226659
Moved 1931.634 208 476.442 -0.3518518 0.2274741
Moved 1931.665 208 477.5 -0.3518518 0.2301954
Moved 1931.695 241.1462 477 -0.2751246 0.2289094
Moved 1931.726 288.6421 458.4924 -0.1651804 0.1813076
Moved 1931.757 333.7525 438.1237 -0.06075805 0.1289189
Moved 1931.787 372.7795 415.6378 0.02958228 0.07108468
Moved 1931.818 412.6395 393.1803 0.1218506 0.01332377
Moved 1931.849 440.866 379.067 0.1871898 -0.02297594
Moved 1931.88 466.679 365.845 0.246942 -0.05698302
Moved 1931.91 497.8668 349.3777 0.3191362 -0.09933715
Moved 1931.941 507.3597 345.3201 0.3411105 -0.1097734
Moved 1931.972 511.3371 343.8876 0.3503173 -0.1134578
Moved 1932.002 518.0159 344 0.3657775 -0.1131688
Moved 1932.033 523.5492 344 0.378586 -0.1131688
Moved 1932.064 527 343.151 0.3865741 -0.1153524
Moved 1932.095 528.2877 343 0.3895549 -0.1157408
Moved 1932.125 530.5 343 0.3946759 -0.1157408
Moved 1932.156 531.2324 343 0.3963712 -0.1157408
Moved 1932.187 532.0649 343 0.3982985 -0.1157408
Moved 1932.217 533.0002 343 0.4004633 -0.1157408
