they might find your comment offensive
they might find your comment offensive
FixStart
Radial

0.6 0.6
432 388.8
Began 864.4212 444 347 0.1944444 -0.1054527
Stationary 864.4518 444 347 0.1944444 -0.1054527
Stationary 864.4826 444 347 0.1944444 -0.1054527
Moved 864.5134 434.0625 365.6953 0.171441 -0.05736818
Moved 864.5441 430.3682 391.1589 0.1628894 0.008124834
Moved 864.5748 427.3201 413.119 0.1558336 0.06460645
Moved 864.6055 427 438.9404 0.1550926 0.1310195
Moved 864.6362 427 459.0408 0.1550926 0.1827179
Moved 864.6669 427 481.6915 0.1550926 0.2409759
Moved 864.6976 427 495.5022 0.1550926 0.2764974
Moved 864.7284 427 501.7097 0.1550926 0.2924632
Moved 864.7591 427 504.1533 0.1550926 0.2987482
Stationary 864.7898 427 504 0.1550926 0.2983539
Moved 864.8205 440.7878 483.3821 0.1870087 0.2453242
Moved 864.8512 463.4609 447.3942 0.2394928 0.1527627
Moved 864.882 482.9805 419.2744 0.2846771 0.08043811
Moved 864.9127 503.7987 390.6874 0.3328673 0.006911901
Moved 864.9434 519.5906 361.937 0.3694226 -0.06703443
Moved 864.9741 533.188 337.1653 0.4008982 -0.1307476
Moved 865.0048 537 324.4643 0.4097222 -0.1634149
Moved 865.0355 537 319.2127 0.4097222 -0.176922
Moved 865.0662 517.2198 318 0.3639348 -0.1800412
Moved 865.097 486.6754 329.5029 0.2932301 -0.1504554
Moved 865.1277 450.9596 358.6496 0.2105546 -0.0754898
Moved 865.1584 419.9297 386.5069 0.1387262 -0.003840403
Moved 865.1891 399.9391 405.0609 0.09245177 0.04388075
Moved 865.2198 386.1802 417.8499 0.06060233 0.07677423
Moved 865.2505 368.9182 436.0818 0.02064397 0.123667
Moved 865.2812 351.708 456.0073 -0.01919443 0.1749158
Moved 865.3119 340.3517 470.9725 -0.04548222 0.2134065
Moved 865.3427 327.7002 489.4997 -0.07476811 0.2610588
Moved 865.3734 321.0733 501.89 -0.09010802 0.2929269
Moved 865.4041 316.1687 511.4939 -0.1014614 0.3176283
Moved 865.4348 315 519.1205 -0.1041667 0.3372442
Moved 865.4656 314 525.505 -0.1064815 0.3536651
