I want to hold your hand
Basic
0.6 0.6
432 388.8
Moved 1729.388 459.8512 228 0.2311371 -0.4115227
Moved 1729.419 460 227 0.2314815 -0.4140947
Stationary 1729.45 460 227 0.2314815 -0.4140947
Moved 1729.48 449.1369 243.5789 0.2063354 -0.3714536
Moved 1729.511 438.2431 260.0745 0.1811184 -0.3290264
Moved 1729.542 427.3506 273.8118 0.1559042 -0.2936941
Moved 1729.573 415.3329 291.0007 0.1280854 -0.2494839
Moved 1729.603 402.6128 305.3872 0.09864072 -0.2124815
Moved 1729.634 388.9912 323.0088 0.06710926 -0.1671585
Moved 1729.665 378.8196 336.9072 0.04356384 -0.1314115
Moved 1729.695 371.6172 345.5104 0.02689163 -0.1092841
Moved 1729.726 364.2103 353.7897 0.009745955 -0.08798936
Moved 1729.757 358.164 360.224 -0.00425001 -0.07144041
Moved 1729.788 353.3206 365.6794 -0.01546154 -0.05740899
Moved 1729.818 350.2537 369.4926 -0.02256081 -0.04760145
Moved 1729.849 345.0626 373.9374 -0.03457735 -0.03616914
Moved 1729.88 340.6022 379.1989 -0.04490222 -0.02263654
Moved 1729.91 337.0772 387.691 -0.05306194 -0.0007946893
Moved 1729.941 334.7077 399.7538 -0.05854696 0.03023104
Moved 1729.972 335 417.1039 -0.05787035 0.07485558
Moved 1730.003 335 436.9893 -0.05787035 0.1260013
Moved 1730.033 342 454.8145 -0.04166668 0.1718478
Moved 1730.064 342 472.3689 -0.04166668 0.2169981
Moved 1730.095 342 493.3197 -0.04166668 0.2708839
Moved 1730.125 342 510.4493 -0.04166668 0.3149415
Moved 1730.156 342 524.6054 -0.04166668 0.3513513
Moved 1730.187 342 544.8317 -0.04166668 0.4033737
Ended 1730.218 342 556 -0.04166668 0.4320986
Began 1731.201 311 494 -0.113426 0.2726337
Stationary 1731.231 311 494 -0.113426 0.2726337
Stationary 1731.262 311 494 -0.113426 0.2726337
Stationary 1731.293 311 494 -0.113426 0.2726337
Stationary 1731.323 311 494 -0.113426 0.2726337
Moved 1731.354 328.343 486.5198 -0.07328013 0.2533946
Moved 1731.385 340.1765 483.2059 -0.04588768 0.244871
Moved 1731.415 351 480.5 -0.02083332 0.2379114
Moved 1731.446 359.7688 478.077 -0.0005351007 0.2316795
Moved 1731.477 366.972 474.3427 0.01613875 0.2220748
Moved 1731.508 373.7543 473 0.03183872 0.2186213
Moved 1731.538 381.1886 471 0.04904767 0.2134772
Moved 1731.569 385.9442 471 0.06005595 0.2134772
Moved 1731.6 392.3968 471 0.07499268 0.2134772
Moved 1731.631 397.8541 471 0.08762519 0.2134772
Moved 1731.661 403 471 0.09953707 0.2134772
Moved 1731.692 409.1521 480.1014 0.113778 0.2368862
Moved 1731.723 419.5417 489.7848 0.1378281 0.2617921
Moved 1731.753 432.4722 500.9777 0.1677597 0.2905805
Moved 1731.784 443.4765 511.5637 0.1932326 0.3178079
Moved 1731.815 460.6852 521.2284 0.2330676 0.3426656
Moved 1731.846 479.6725 526.6682 0.2770196 0.3566568
Moved 1731.876 498.4387 529.0627 0.3204599 0.3628154
Moved 1731.907 514.6749 529 0.3580437 0.3626543
Moved 1731.938 530.2326 529 0.3940569 0.3626543
Moved 1731.969 543.7482 518.1259 0.4253431 0.3346857
Moved 1731.999 556.6877 509.9843 0.4552956 0.3137454
Ended 1732.03 561 507 0.4652777 0.3060699
Began 1732.644 411 373 0.1180555 -0.03858032
Stationary 1732.675 411 373 0.1180555 -0.03858032
Stationary 1732.706 411 373 0.1180555 -0.03858032
Stationary 1732.736 411 373 0.1180555 -0.03858032
Moved 1732.767 399.2917 373 0.09095301 -0.03858032
Moved 1732.798 394.1331 373 0.07901181 -0.03858032
Moved 1732.829 388.6843 386.3157 0.06639878 -0.004332036
Moved 1732.859 383.6431 392.3569 0.05472948 0.01120591
Moved 1732.89 378.3864 397.6136 0.04256109 0.0247263
Moved 1732.921 374.9691 402.0617 0.03465076 0.03616682
Moved 1732.951 372.2466 404.7534 0.02834866 0.04308979
Moved 1732.982 370.8937 407.1063 0.02521684 0.04914173
Moved 1733.013 370 411.7336 0.02314816 0.06104312
Moved 1733.044 370 416.5895 0.02314816 0.07353253
Moved 1733.074 370 421.6221 0.02314816 0.08647659
Moved 1733.105 379.996 429.996 0.04628708 0.1080144
Moved 1733.136 389.9147 439.9147 0.06924699 0.1335255
Moved 1733.166 401.7911 449.7911 0.09673874 0.1589277
Moved 1733.197 416.5446 459.6964 0.1308903 0.1844043
Moved 1733.228 428.6562 468.3249 0.1589262 0.2065969
Moved 1733.259 445.3134 478.2089 0.1974846 0.2320187
Moved 1733.289 458.09 486.3174 0.2270601 0.252874
Moved 1733.32 470.4647 494.4788 0.2557053 0.2738653
Moved 1733.351 479.5918 502.5918 0.2768328 0.2947319
Moved 1733.381 488.7551 510.17 0.2980442 0.3142233
