win first prize in the contest
Basic
0.6 0.6
432 388.8
Began 220.8129 223 481 -0.3171296 0.2391974
Stationary 220.8436 223 481 -0.3171296 0.2391974
Stationary 220.8743 223 481 -0.3171296 0.2391974
Stationary 220.9051 223 481 -0.3171296 0.2391974
Stationary 220.9358 223 481 -0.3171296 0.2391974
Stationary 220.9665 223 481 -0.3171296 0.2391974
Moved 220.9972 250.7419 481 -0.2529124 0.2391974
Moved 221.028 270.8465 481 -0.2063739 0.2391974
Moved 221.0587 287.6203 486.3904 -0.1675456 0.2530616
Moved 221.0893 306.4845 491.2813 -0.1238784 0.2656412
Moved 221.1201 324 494.5 -0.08333336 0.2739197
Moved 221.1509 334.2069 498.0518 -0.05970617 0.2830548
Moved 221.1815 343.7617 499.9404 -0.03758853 0.2879125
Moved 221.2123 352.4482 502.816 -0.01748115 0.2953087
Moved 221.243 361.0271 504.6757 0.00237753 0.3000918
Moved 221.2738 368.8418 506.2104 0.02046724 0.3040392
Moved 221.3045 376.2268 507 0.03756195 0.3060699
Moved 221.3352 383.838 507 0.05518069 0.3060699
Moved 221.3659 391.8937 507 0.073828 0.3060699
Moved 221.3967 406.7616 507 0.1082443 0.3060699
Moved 221.4273 419.1264 507 0.1368667 0.3060699
Moved 221.4581 429.5541 507 0.1610048 0.3060699
Moved 221.4888 438.0706 507 0.180719 0.3060699
Moved 221.5196 445.1165 507 0.1970289 0.3060699
Moved 221.5503 450.4255 507 0.2093183 0.3060699
Moved 221.581 460.6309 507 0.2329418 0.3060699
Moved 221.6117 471.4327 507 0.2579461 0.3060699
Moved 221.6425 481.3968 507 0.2810111 0.3060699
Moved 221.6732 494.8048 507 0.3120481 0.3060699
Moved 221.7039 510.7387 507 0.3489322 0.3060699
Moved 221.7346 516.9768 507 0.3633723 0.3060699
Moved 221.7654 520.8514 507 0.3723413 0.3060699
Moved 221.7961 523.5 507 0.3784722 0.3060699
Stationary 221.8268 523.5 507 0.3784722 0.3060699
Moved 221.8575 523 494.7897 0.3773148 0.2746647
Moved 221.8882 498.038 473.038 0.3195324 0.2187191
Moved 221.919 485.6348 456.2888 0.2908214 0.1756397
Moved 221.9497 472.8136 433.5017 0.2611426 0.1170311
Moved 221.9804 466.3476 419.6951 0.2461749 0.08152031
Moved 222.0112 459.6288 406.0719 0.2306221 0.04648114
Moved 222.0419 455.5543 393.6628 0.2211905 0.01456472
Moved 222.0726 451.3996 376.3976 0.2115732 -0.02984161
Moved 222.1033 449.5317 362.6583 0.2072492 -0.06517928
Moved 222.134 447.6538 349.269 0.2029023 -0.0996168
Moved 222.1648 447 336.7363 0.2013889 -0.1318511
Moved 222.1955 446 324.3615 0.199074 -0.1636795
Moved 222.2262 444.3993 311.5971 0.1953686 -0.1965096
Moved 222.257 440.7573 298.2719 0.1869382 -0.2307822
Moved 222.2877 437 283.9213 0.1782407 -0.2676921
Moved 222.3184 433.1976 272.3951 0.1694388 -0.2973377
Moved 222.3491 429.45 265.45 0.1607638 -0.3152008
Moved 222.3799 422.834 256.834 0.1454491 -0.3373612
Moved 222.4106 411.0233 239.8606 0.1181096 -0.381017
Moved 222.4413 401.8675 223.735 0.09691545 -0.4224924
Moved 222.472 397.3031 216.6061 0.08634975 -0.440828
Moved 222.5028 395 211.5234 0.08101851 -0.4539007
Ended 222.5334 391.6501 208.65 0.07326405 -0.4612911
Began 223.3015 249 364 -0.2569445 -0.06172839
Stationary 223.3323 249 364 -0.2569445 -0.06172839
Stationary 223.363 249 364 -0.2569445 -0.06172839
Stationary 223.3938 249 364 -0.2569445 -0.06172839
Moved 223.4245 258.2503 364 -0.2355316 -0.06172839
Moved 223.4552 272.5417 378.325 -0.2024498 -0.0248843
Moved 223.4859 290.8542 394.8751 -0.1600597 0.01768273
Moved 223.5166 305.8873 409.8497 -0.1252609 0.05619783
Moved 223.5473 320.3963 429.0944 -0.09167533 0.1056955
Moved 223.5781 327.4784 444.196 -0.07528151 0.1445369
Moved 223.6088 334.328 452.3279 -0.05942598 0.1654525
Moved 223.6395 344.1885 465.2827 -0.03660073 0.1987723
Moved 223.6703 348.5928 469.0619 -0.02640555 0.2084924
Moved 223.701 358.5906 477.1929 -0.00326246 0.2294056
Moved 223.7317 370.7023 485.8214 0.02477388 0.2515982
Moved 223.7625 385.0195 495.4117 0.05791545 0.2762645
Moved 223.7931 398.6871 505.0153 0.0895534 0.3009653
Moved 223.8239 411.1463 513.6097 0.1183942 0.3230702
Moved 223.8546 423.5656 522.4525 0.1471427 0.345814
Moved 223.8853 438.9926 529.9963 0.1828533 0.3652168
Moved 223.9161 447.6023 533.7349 0.202783 0.3748324
Moved 223.9468 455.5 537 0.2210648 0.3832304
Moved 223.9776 469.0745 539.2686 0.2524872 0.3890653
Moved 224.0082 477.4388 541.1463 0.2718491 0.3938948
Moved 224.039 482.036 543.018 0.2824908 0.3987088
Moved 224.0697 484.3835 543 0.2879247 0.3986624
Moved 224.1004 485.3745 543 0.2902188 0.3986624
Moved 224.1311 485 544.3745 0.2893518 0.4021977
Stationary 224.1618 485 544 0.2893518 0.4012345
Moved 224.1926 460.1325 537.563 0.2317882 0.3846784
Moved 224.2233 436.8566 528.8162 0.1779088 0.3621814
Moved 224.254 416.7507 524.5358 0.1313673 0.3511723
Moved 224.2848 400.1305 519.049 0.09289463 0.33706
Moved 224.3155 380.8172 511.4086 0.04818807 0.3174089
Moved 224.3462 367.8206 507.2736 0.01810322 0.3067735
Moved 224.3769 357.5948 504.3987 -0.005567471 0.2993793
Moved 224.4076 347.3126 500.6563 -0.0293691 0.2897538
Moved 224.4384 336.8414 498.9603 -0.05360782 0.2853917
Moved 224.4691 327.225 497 -0.07586802 0.2803498
Moved 224.4998 320.208 495.4026 -0.09211108 0.2762413
Moved 224.5306 312.9936 493.6645 -0.1088112 0.2717707
Moved 224.5613 305.3727 491.7909 -0.1264521 0.2669518
Moved 224.592 296.7571 487.9191 -0.1463955 0.2569934
Moved 224.6227 288.6616 483.2462 -0.1651352 0.2449748
Moved 224.6535 277.1824 472.728 -0.1917073 0.2179218
