this is a non profit organization
Basic
0.6 0.6
432 388.8
Began 519.3837 298 578 -0.1435185 0.488683
Stationary 519.4144 298 578 -0.1435185 0.488683
Stationary 519.4451 298 578 -0.1435185 0.488683
Stationary 519.4758 298 578 -0.1435185 0.488683
Moved 519.5065 310.3773 562.1237 -0.1148674 0.4478489
Moved 519.5372 324.8204 540.4515 -0.08143429 0.3921076
Moved 519.568 336.7273 517.5453 -0.05387192 0.3331927
Moved 519.5987 344.2347 503.5305 -0.03649364 0.2971463
Moved 519.6294 350.8989 489.8351 -0.02106736 0.2619216
Moved 519.6601 358.0186 471.9442 -0.004586627 0.2159058
Moved 519.6909 364.7418 454.7747 0.01097629 0.1717454
Moved 519.7216 373.8559 430.4803 0.03207386 0.1092601
Moved 519.7523 383.4411 405.4904 0.05426179 0.0449856
Moved 519.783 389.3859 388.5352 0.068023 0.001376352
Moved 519.8137 393.5676 378.2973 0.0777027 -0.0249555
Moved 519.8445 395.091 373.909 0.08122922 -0.03624237
Moved 519.8752 396 370.0302 0.08333336 -0.04621882
Moved 519.9059 397 367.147 0.0856481 -0.05363425
Moved 519.9366 397 365.6357 0.0856481 -0.05752124
Moved 519.9673 398.0646 364.9354 0.08811255 -0.05932254
Stationary 519.9981 398.0646 364.9354 0.08811255 -0.05932254
Stationary 520.0288 398.0646 364.9354 0.08811255 -0.05932254
Moved 520.0595 399.5189 370.708 0.09147903 -0.04447537
Moved 520.0903 407.5693 408.2774 0.1101142 0.05215378
Moved 520.121 420.0629 450.4544 0.1390345 0.1606337
Moved 520.1517 432.6785 480.3569 0.1682372 0.2375435
Moved 520.1824 440.9692 497.282 0.1874288 0.2810751
Moved 520.2131 448.5775 509.5776 0.2050406 0.3126994
Moved 520.2439 454.7933 519.19 0.219429 0.3374228
Moved 520.2745 458.9726 524.9453 0.2291033 0.3522254
Moved 520.3053 461 528.6808 0.2337964 0.3618333
Moved 520.3361 462.7083 531 0.2377507 0.3677982
Moved 520.3667 463 532.1461 0.2384259 0.3707461
Moved 520.3975 464.374 533.374 0.2416064 0.3739041
Stationary 520.4282 464.374 533.374 0.2416064 0.3739041
Moved 520.4589 451.0204 533 0.2106955 0.3729423
Moved 520.4896 417.5 515 0.1331019 0.326646
Moved 520.5203 369.8484 487.4243 0.02279739 0.2557207
Moved 520.551 334.6161 469.2548 -0.05875901 0.2089887
Moved 520.5818 304.1331 452.076 -0.1293215 0.1648045
Moved 520.6125 286.3087 442.3634 -0.1705817 0.1398235
Moved 520.6432 269.045 431.827 -0.210544 0.1127236
Moved 520.674 256.2158 422.2158 -0.2402411 0.08800357
Moved 520.7047 246.6414 414.6414 -0.2624041 0.06852209
Moved 520.7354 238.081 408.7206 -0.2822199 0.05329371
Moved 520.7661 231.965 402.965 -0.2963775 0.0384901
Moved 520.7969 226.2081 397.2081 -0.3097034 0.02368342
Moved 520.8276 223.0372 395.0372 -0.3170435 0.0180998
Moved 520.8583 219.3518 391.1759 -0.3255746 0.008168475
Moved 520.889 217.3063 389 -0.3303095 0.002572016
Moved 520.9197 216 387.4326 -0.3333333 -0.001459514
Ended 520.9505 214.9517 387 -0.3357598 -0.002572055
Began 521.3806 489 565 0.2986111 0.4552468
Stationary 521.4113 489 565 0.2986111 0.4552468
Stationary 521.442 489 565 0.2986111 0.4552468
Stationary 521.4727 489 565 0.2986111 0.4552468
Moved 521.5035 465.8434 545.2028 0.2450079 0.4043282
Moved 521.5342 441.718 525.1744 0.189162 0.3528146
Moved 521.5649 423.4655 507.5724 0.1469108 0.3075421
Moved 521.5956 407.4426 494.7447 0.1098208 0.274549
Moved 521.6263 390.882 480.4017 0.07148603 0.2376586
Moved 521.657 378.4333 467.4333 0.04266977 0.2043038
Moved 521.6878 367.9398 455.6747 0.01837909 0.1740605
Moved 521.7185 359.6267 447.8356 -0.000864168 0.153898
Moved 521.7492 350.0444 440.6963 -0.02304529 0.1355357
Moved 521.7799 341.4336 433.9557 -0.04297778 0.1181989
Moved 521.8107 332.7234 427.7926 -0.06314015 0.1023471
Moved 521.8414 321.1096 418.1096 -0.09002412 0.0774422
Moved 521.8721 312.3237 410.4855 -0.1103618 0.05783312
Moved 521.9028 306.5722 405.5722 -0.1236754 0.04519596
Moved 521.9336 303.7534 402.7534 -0.1302005 0.03794592
Moved 521.9643 302 400.886 -0.1342593 0.03314308
Moved 521.9951 299.0136 399.0136 -0.1411722 0.02832711
Moved 522.0257 295.5 395 -0.1493056 0.01800408
Moved 522.0565 289.2502 391.2502 -0.1637727 0.008359445
Moved 522.0872 283.5057 388.7529 -0.1770702 0.001936312
Moved 522.1179 277.7584 385.8792 -0.1903742 -0.005454938
Moved 522.1486 273.6697 384.3348 -0.1998387 -0.009426894
Moved 522.1793 267.921 381.4605 -0.2131459 -0.01681975
Moved 522.2101 263.5952 378.5952 -0.2231593 -0.02418934
Moved 522.2408 258.7239 377 -0.2344354 -0.02829226
Moved 522.2715 257.2084 376 -0.2379435 -0.03086435
Moved 522.3022 255.3356 375 -0.2422787 -0.03343629
Ended 522.3329 255 375 -0.2430556 -0.03343629
Began 522.7938 154 412 -0.4768519 0.06172835
Stationary 522.8245 154 412 -0.4768519 0.06172835
Stationary 522.8552 154 412 -0.4768519 0.06172835
Ended 522.8859 154 412 -0.4768519 0.06172835
Began 523.5618 364 263 0.009259283 -0.3215021
Stationary 523.5925 364 263 0.009259283 -0.3215021
Stationary 523.6233 364 263 0.009259283 -0.3215021
Stationary 523.654 364 263 0.009259283 -0.3215021
Moved 523.6847 364 275.652 0.009259283 -0.2889608
Moved 523.7154 384.7351 301.5585 0.05725721 -0.2223289
Moved 523.7462 403.817 334.1409 0.1014281 -0.1385265
Moved 523.7769 422.8543 362.2413 0.1454961 -0.06625187
Moved 523.8076 439.8054 386.5791 0.1847347 -0.003654692
Moved 523.8383 455.7158 414.4316 0.2215644 0.06798234
Moved 523.869 468.0073 441.0169 0.2500168 0.1363604
Moved 523.8998 475.9239 457.8478 0.2683424 0.1796497
Moved 523.9305 482.773 474.3189 0.2841967 0.2220136
