what goes up must come down
Basic
0.6 0.6
432 388.8
Began 243.191 303 523 -0.1319445 0.3472221
Stationary 243.2217 303 523 -0.1319445 0.3472221
Stationary 243.2525 303 523 -0.1319445 0.3472221
Stationary 243.2832 303 523 -0.1319445 0.3472221
Stationary 243.3139 303 523 -0.1319445 0.3472221
Moved 243.3446 289.3122 510.3122 -0.1636291 0.3145889
Moved 243.3754 280.8521 504.5681 -0.1832127 0.2998149
Moved 243.4061 272.2604 498.4453 -0.203101 0.2840669
Moved 243.4369 262.5042 493.7521 -0.2256849 0.271996
Moved 243.4676 254.0115 487.0115 -0.2453437 0.2546592
Moved 243.4983 245.4216 481.2811 -0.2652277 0.2399203
Moved 243.5291 236.5337 474.9003 -0.2858016 0.2235089
Moved 243.5598 227.2786 465.2786 -0.3072254 0.1987618
Moved 243.5906 222.8842 459.6525 -0.3173978 0.1842913
Moved 243.6213 219.2566 455.5132 -0.3257949 0.173645
Moved 243.652 217.4706 451.4706 -0.3299292 0.1632473
Moved 243.6828 217 447.5969 -0.3310185 0.1532842
Moved 243.7135 217 444.7271 -0.3310185 0.145903
Moved 243.7442 217 442.2104 -0.3310185 0.1394301
Moved 243.775 217 439.3397 -0.3310185 0.1320464
Moved 243.8057 221.2539 436.4683 -0.3211716 0.1246612
Moved 243.8364 228.4106 433.5894 -0.304605 0.1172565
Moved 243.8672 235.9102 430.03 -0.2872449 0.1081017
Moved 243.8979 250.2042 425.3184 -0.254157 0.09598339
Moved 243.9287 264.5966 420.2807 -0.2208412 0.08302637
Moved 243.9594 275.9881 415.6048 -0.1944721 0.07099988
Moved 243.9901 289.642 409.7432 -0.1628658 0.05592389
Moved 244.0209 302.0027 404.9993 -0.134253 0.04372244
Moved 244.0515 313.4777 402.1306 -0.1076906 0.03634413
Moved 244.0823 320.1193 399.6269 -0.09231647 0.02990444
Moved 244.1131 326.4897 397.7551 -0.07757004 0.02509031
Moved 244.1438 332.2213 395.8893 -0.06430258 0.02029152
Moved 244.1745 336.4896 394.2552 -0.05442217 0.01608837
Moved 244.2053 340.0703 392.4648 -0.0461336 0.01148357
Moved 244.236 343.4099 390.5901 -0.03840307 0.006661788
Moved 244.2668 347.5581 388.7209 -0.02880066 0.00185417
Moved 244.2975 349.7841 387.2159 -0.02364789 -0.002016805
Moved 244.3282 354.3157 384.3422 -0.01315817 -0.009408134
Moved 244.3589 358.5288 381.4712 -0.003405511 -0.01679228
Moved 244.3897 362.3973 378.6027 0.005549391 -0.02417011
Moved 244.4204 365.9671 377.0329 0.01381278 -0.02820764
Moved 244.4512 369.8336 376 0.02276311 -0.03086435
Moved 244.4819 373.7108 375 0.03173808 -0.03343629
Moved 244.5126 377.1845 375 0.03977885 -0.03343629
Moved 244.5433 381.2344 374 0.04915367 -0.03600823
Moved 244.5741 383.9897 374 0.05553156 -0.03600823
Moved 244.6048 385.4311 374 0.05886823 -0.03600823
Moved 244.6356 387.5 374 0.06365737 -0.03600823
Moved 244.6664 388 374 0.06481478 -0.03600823
Moved 244.6971 389 374 0.06712963 -0.03600823
Moved 244.7278 390 374 0.06944448 -0.03600823
Stationary 244.7585 390 374 0.06944448 -0.03600823
Stationary 244.7892 390 374 0.06944448 -0.03600823
Stationary 244.82 390 374 0.06944448 -0.03600823
Stationary 244.8508 390 374 0.06944448 -0.03600823
Moved 244.8815 385.3582 378.6417 0.05869965 -0.02406964
Moved 244.9122 378.936 382.532 0.04383346 -0.01406391
Moved 244.9429 374.1906 385.4047 0.03284852 -0.006675131
Moved 244.9736 371.0237 388.9526 0.02551784 0.002449962
Moved 245.0044 366.3069 391.8466 0.01459926 0.009893331
Moved 245.0352 362.2831 395.4339 0.005284846 0.01912003
Moved 245.0659 358.8071 398.1929 -0.002761285 0.02621619
Moved 245.0966 353.8739 401.1261 -0.01418069 0.0337605
Moved 245.1274 348.02 403.9901 -0.02773156 0.04112668
Moved 245.1581 344.2742 405.8629 -0.0364024 0.04594367
Moved 245.1888 341.6256 407 -0.04253333 0.04886827
Moved 245.2196 336.5163 409.2419 -0.05436048 0.05463439
Moved 245.2503 331.7761 409 -0.06533305 0.05401234
Moved 245.2811 327.2587 410 -0.07579004 0.05658428
Moved 245.3118 322.4707 410 -0.08687342 0.05658428
Moved 245.3425 317.1913 410 -0.09909431 0.05658428
Moved 245.3732 310.1841 410 -0.1153145 0.05658428
Moved 245.404 303.8386 410 -0.1300032 0.05658428
Moved 245.4347 295.0327 402.3442 -0.1503874 0.03689358
Moved 245.4655 285.4175 399.4725 -0.1726446 0.0295075
Moved 245.4962 274.3961 395.1981 -0.1981572 0.01851349
Moved 245.5269 265.1111 393.037 -0.2196501 0.01295529
Moved 245.5576 255.4967 389.1656 -0.2419057 0.002997834
Moved 245.5884 245.1698 385.2924 -0.2658107 -0.006963941
Moved 245.6192 236.4477 381.8159 -0.2860006 -0.01590564
Moved 245.6499 227.6481 377.8827 -0.3063702 -0.02602196
Moved 245.6806 221.0206 375.0103 -0.3217115 -0.03340976
Moved 245.7113 215.2791 373.1395 -0.3350022 -0.03822146
Moved 245.7421 211.6364 372 -0.3434344 -0.04115226
Moved 245.7728 205.5293 370 -0.3575711 -0.04629637
Moved 245.8036 202.8989 369 -0.36366 -0.04886839
Moved 245.8343 200.2624 368 -0.3697629 -0.05144041
Moved 245.865 199 367.4805 -0.3726852 -0.05277665
Moved 245.8958 197.8038 367 -0.3754542 -0.05401234
Stationary 245.9265 197.8038 367 -0.3754542 -0.05401234
Stationary 245.9572 198 367 -0.375 -0.05401234
Stationary 245.988 198 367 -0.375 -0.05401234
Moved 246.0187 209.5439 381.5438 -0.3482781 -0.01660547
Moved 246.0495 220.4787 392.4788 -0.3229659 0.01151937
Moved 246.0801 236.7334 409.7335 -0.2853393 0.05589882
Moved 246.1109 255.7977 428.626 -0.241209 0.1044906
Moved 246.1417 274.423 448.1076 -0.1980949 0.1545977
Moved 246.1724 287.6651 459.665 -0.167442 0.1843236
Moved 246.2031 303.4998 472.3332 -0.1307876 0.2169062
Moved 246.2339 317.876 482.938 -0.09750918 0.2441821
