the collapse of the Roman empire
Basic
0.6 0.6
432 388.8
Began 498.2372 322 440 -0.08796295 0.1337448
Stationary 498.2679 322 440 -0.08796295 0.1337448
Stationary 498.2986 322 440 -0.08796295 0.1337448
Stationary 498.3293 322 440 -0.08796295 0.1337448
Stationary 498.36 322 440 -0.08796295 0.1337448
Stationary 498.3908 322 440 -0.08796295 0.1337448
Stationary 498.4215 322 440 -0.08796295 0.1337448
Stationary 498.4523 322 440 -0.08796295 0.1337448
Stationary 498.483 322 440 -0.08796295 0.1337448
Stationary 498.5137 322 440 -0.08796295 0.1337448
Stationary 498.5445 322 440 -0.08796295 0.1337448
Stationary 498.5751 322 440 -0.08796295 0.1337448
Stationary 498.6059 322 440 -0.08796295 0.1337448
Stationary 498.6366 322 440 -0.08796295 0.1337448
Moved 498.6673 331.8971 430.0343 -0.065053 0.1081128
Moved 498.6981 348.5739 420.4426 -0.02644941 0.08344277
Moved 498.7288 374.9568 396.0432 0.03462215 0.0206872
Moved 498.7595 395.5594 369.6608 0.08231352 -0.04716865
Moved 498.7902 402.6818 355.6364 0.09880046 -0.08323976
Moved 498.821 406.6507 347.6987 0.1079876 -0.1036557
Moved 498.8517 408 343.4762 0.1111111 -0.114516
Stationary 498.8824 408 343 0.1111111 -0.1157408
Moved 498.9131 370.7851 362.4243 0.02496541 -0.06578115
Moved 498.9439 337.5225 388.6467 -0.05203128 0.001663122
Moved 498.9746 313.0662 413.6387 -0.1086431 0.06594305
Moved 499.0053 292.5 436.5 -0.15625 0.1247428
Moved 499.0361 276.4882 455.5118 -0.1933144 0.1736415
Moved 499.0668 268.063 468.9161 -0.2128172 0.2081175
Moved 499.0975 263.2753 480.4494 -0.2238998 0.2377813
Moved 499.1282 263 492.4767 -0.2245371 0.2687158
Ended 499.159 263 497 -0.2245371 0.2803498
Began 499.7427 245 275 -0.2662037 -0.2906379
Stationary 499.7734 245 275 -0.2662037 -0.2906379
Stationary 499.8042 245 275 -0.2662037 -0.2906379
Stationary 499.8349 245 275 -0.2662037 -0.2906379
Moved 499.8656 261.2154 261.5231 -0.2286681 -0.3253008
Moved 499.8963 268.2332 256.3834 -0.2124231 -0.33852
Moved 499.9271 275.9669 254.5083 -0.194521 -0.3433429
Moved 499.9578 284.9866 254 -0.1736422 -0.3446502
Moved 499.9885 296.2449 262.7415 -0.1475813 -0.322167
Moved 500.0192 320.7058 289.9412 -0.09095872 -0.252209
Moved 500.05 354.142 338.8998 -0.01356021 -0.1262865
Moved 500.0807 390.8477 394.4495 0.07140666 0.01658805
Moved 500.1114 421.4644 441.6967 0.1422788 0.1381086
Moved 500.1421 438.6243 469.3238 0.1820008 0.2091661
Moved 500.1729 450 487.5 0.2083333 0.2559156
Moved 500.2036 455.3347 498.0042 0.2206823 0.2829326
Moved 500.2343 458 503.4127 0.2268519 0.2968433
Moved 500.265 460 507.0784 0.2314815 0.3062716
Moved 500.2958 461.5 509.5 0.2349537 0.3124999
Moved 500.3265 461 510.5 0.2337964 0.3150719
Moved 500.3572 461 510 0.2337964 0.3137859
Moved 500.3879 461 511.2506 0.2337964 0.3170025
Stationary 500.4187 461 511 0.2337964 0.3163579
Stationary 500.4494 461 511 0.2337964 0.3163579
Stationary 500.4801 461 511 0.2337964 0.3163579
Stationary 500.5109 461 511 0.2337964 0.3163579
Stationary 500.5415 461 511 0.2337964 0.3163579
Stationary 500.5723 461 511 0.2337964 0.3163579
Stationary 500.603 461 511 0.2337964 0.3163579
Stationary 500.6337 461 511 0.2337964 0.3163579
Moved 500.6645 461 491.8798 0.2337964 0.2671804
Moved 500.6952 485.35 459.6 0.2901621 0.1841563
Moved 500.7259 502.385 440.6149 0.329595 0.1353264
Moved 500.7566 516.7493 427.2507 0.3628457 0.1009533
Moved 500.7874 524.951 420.049 0.381831 0.08243054
Moved 500.8181 528.1863 415.6273 0.3893203 0.07105768
Moved 500.8488 529.7609 413.2391 0.392965 0.06491539
Moved 500.8795 530 408.358 0.3935185 0.05236115
Moved 500.9102 525.3647 402.4549 0.3827888 0.03717818
Moved 500.9409 492.9183 391.4364 0.3076814 0.008838402
Moved 500.9717 415.2636 383.1997 0.127925 -0.01234651
Moved 501.0024 342.3682 383 -0.04081443 -0.01286016
Moved 501.0331 282.6583 383 -0.1790318 -0.01286016
Moved 501.0639 252.135 383 -0.2496874 -0.01286016
Moved 501.0946 223.4732 383 -0.3160343 -0.01286016
Moved 501.1253 203.2396 383 -0.3628713 -0.01286016
Moved 501.156 191.5221 388.7817 -0.3899952 0.002010604
Moved 501.1868 186.2483 391.3759 -0.4022029 0.008682675
Moved 501.2175 182.7467 392 -0.4103085 0.01028803
Moved 501.2482 179.8767 394.1234 -0.4169521 0.01574932
Moved 501.279 178.625 395.375 -0.4198496 0.01896854
Moved 501.3096 178 396.5285 -0.4212963 0.02193545
Moved 501.3404 177 398.4067 -0.4236111 0.0267661
Moved 501.3711 177 401.2883 -0.4236111 0.03417757
Moved 501.4018 177 403.7216 -0.4236111 0.04043603
Moved 501.4326 186.6388 412.4487 -0.401299 0.0628823
Moved 501.4633 273.3162 446.6915 -0.2006569 0.1509555
Moved 501.494 413.8261 478.9652 0.1245975 0.233964
Moved 501.5247 502.3823 483 0.3295886 0.2443414
Moved 501.5555 530.2756 483 0.3941566 0.2443414
Moved 501.5862 545.1532 483 0.4285954 0.2443414
Moved 501.6169 551.6509 474.4811 0.4436364 0.2224308
Moved 501.6476 554.5 476 0.4502314 0.2263374
Moved 501.6784 555.3021 476 0.4520881 0.2263374
Moved 501.7091 546.6113 475 0.4319706 0.2237653
Moved 501.7398 515.8621 473.5241 0.3607918 0.2199693
Moved 501.7705 452.0781 470.2913 0.2131437 0.2116545
Moved 501.8013 336.8417 448.1871 -0.05360707 0.154802
Moved 501.832 305.1993 443.3666 -0.1268535 0.1424037
Moved 501.8627 276.945 431.4725 -0.1922569 0.1118118
Moved 501.8934 248.5 414 -0.2581019 0.06687239
Moved 501.9242 224.9476 393.3292 -0.3126214 0.01370665
Moved 501.9549 209.2505 374.2864 -0.3489571 -0.03527166
