that is a very nasty cut
Basic
0.6 0.6
432 388.8
Began 812.8274 316 574 -0.1018519 0.478395
Stationary 812.8581 316 574 -0.1018519 0.478395
Stationary 812.8889 316 574 -0.1018519 0.478395
Stationary 812.9196 316 574 -0.1018519 0.478395
Stationary 812.9503 316 574 -0.1018519 0.478395
Stationary 812.981 316 574 -0.1018519 0.478395
Moved 813.0118 316 558.0921 -0.1018519 0.4374797
Moved 813.0425 328.0496 539.9133 -0.07395933 0.3907233
Moved 813.0732 340.5834 516.7291 -0.04494582 0.3310932
Moved 813.104 351 500 -0.02083332 0.2880658
Moved 813.1347 363.1174 478.7653 0.007216136 0.2334497
Moved 813.1655 373.6421 461.0369 0.03157884 0.1878521
Moved 813.1962 386.125 439.75 0.06047457 0.1331017
Moved 813.2269 396.4013 420.7977 0.08426238 0.08435602
Moved 813.2576 403.9496 404.1008 0.1017352 0.04141156
Moved 813.2884 409.7042 387.8873 0.115056 -0.0002898306
Moved 813.3192 416.2259 373.0964 0.1301525 -0.03833229
Moved 813.3499 420.4955 362.009 0.1400359 -0.06684943
Moved 813.3806 423 353.1353 0.1458333 -0.08967262
Moved 813.4113 425.4989 346.5011 0.1516179 -0.1067359
Moved 813.442 427.0027 341.9947 0.1550987 -0.1183264
Moved 813.4728 428 337.2408 0.1574074 -0.1305535
Moved 813.5035 429 334.245 0.1597223 -0.1382588
Moved 813.5341 429 331.3613 0.1597223 -0.1456757
Moved 813.565 412.5068 330 0.1215435 -0.149177
Moved 813.5958 389.5179 337.3375 0.06832848 -0.1303049
Moved 813.6265 363.7027 348.6877 0.008571149 -0.101112
Moved 813.6572 337.5 360 -0.05208333 -0.07201654
Moved 813.6879 300.9044 374.5753 -0.1367955 -0.03452866
Moved 813.7187 274.3108 385.563 -0.1983547 -0.006267956
Moved 813.7494 251.5173 391.1379 -0.2511174 0.008070714
Moved 813.7802 233.5705 397.2656 -0.2926608 0.0238311
Moved 813.8109 216.5 399.5 -0.3321759 0.02957815
Moved 813.8416 206.5256 400 -0.3552647 0.03086416
Moved 813.8724 199.2755 400 -0.3720474 0.03086416
Moved 813.9031 195.2253 401 -0.3814229 0.03343609
Moved 813.9338 192.3552 402 -0.3880666 0.03600815
Moved 813.9645 191 404.5184 -0.3912037 0.04248564
Moved 813.9953 191 408.017 -0.3912037 0.05148393
Moved 814.026 191 417.5807 -0.3912037 0.07608213
Moved 814.0568 209.5609 433.5609 -0.3482386 0.1171833
Moved 814.0875 229.0473 451.7855 -0.3031311 0.1640573
Moved 814.1182 248.5322 466.0215 -0.2580273 0.2006725
Moved 814.1489 274.5558 485.4169 -0.1977875 0.2505577
Moved 814.1797 301.1382 504.3967 -0.1362543 0.299374
Moved 814.2104 319.5 517.5 -0.09375001 0.3330761
Moved 814.2411 338.1617 529.5441 -0.05055159 0.3640536
Moved 814.2719 350.9129 536.5477 -0.02103488 0.3820671
Moved 814.3027 362.1489 544.1489 0.004974206 0.4016174
Moved 814.3334 370.8553 549.6184 0.02512803 0.4156851
Moved 814.3641 377 553.5 0.03935188 0.4256686
Moved 814.3948 380.3682 556.3682 0.04714857 0.4330456
Moved 814.4256 383 558.2454 0.05324075 0.4378739
Moved 814.4563 385 559 0.05787035 0.4398148
Moved 814.4871 386.6528 560 0.06169637 0.4423867
Moved 814.5178 388.261 561.261 0.06541908 0.4456302
Stationary 814.5485 388 561 0.06481478 0.4449587
Ended 814.5793 389 561 0.06712963 0.4449587
Began 815.2861 453 555 0.2152778 0.4295266
Stationary 815.3169 453 555 0.2152778 0.4295266
Stationary 815.3477 453 555 0.2152778 0.4295266
Stationary 815.3784 453 555 0.2152778 0.4295266
Stationary 815.4091 453 555 0.2152778 0.4295266
Moved 815.4399 440.739 555 0.1868959 0.4295266
Moved 815.4706 433.6209 543.7156 0.1704187 0.4005031
Moved 815.5013 415.7073 530.9338 0.1289522 0.3676281
Moved 815.532 389.6089 509.5847 0.06853908 0.3127178
Moved 815.5627 365.0788 491.1743 0.01175652 0.2653657
Moved 815.5935 341.4161 467.4161 -0.04301836 0.2042594
Moved 815.6243 316.4653 442.4653 -0.1007748 0.1400855
Moved 815.655 292.8764 418.8764 -0.1553787 0.07941461
Moved 815.6857 268.5555 392.9999 -0.2116772 0.01285969
Moved 815.7164 248.3381 371.1726 -0.2584766 -0.04328041
Moved 815.7473 229.2819 351.2819 -0.3025883 -0.09443973
Moved 815.778 211.9819 331.3092 -0.3426345 -0.1458097
Moved 815.8087 200 320 -0.3703704 -0.1748972
Moved 815.8394 190.3973 308.1964 -0.3925988 -0.2052562
Moved 815.8701 182.8605 300.7907 -0.4100452 -0.2243038
Moved 815.9009 178.0515 295.103 -0.421177 -0.2389326
Moved 815.9316 175.5111 293.0223 -0.4270575 -0.2442843
Ended 815.9623 175 292 -0.4282407 -0.2469136
Began 816.8537 155 461 -0.474537 0.1877571
Stationary 816.8844 155 461 -0.474537 0.1877571
Stationary 816.9152 155 461 -0.474537 0.1877571
Stationary 816.9459 155 461 -0.474537 0.1877571
Stationary 816.9766 155 461 -0.474537 0.1877571
Stationary 817.0073 155 461 -0.474537 0.1877571
Stationary 817.038 155 461 -0.474537 0.1877571
Stationary 817.0688 155 461 -0.474537 0.1877571
Ended 817.0992 155 461 -0.474537 0.1877571
Began 819.5276 342 316 -0.04166668 -0.1851853
Stationary 819.5584 342 316 -0.04166668 -0.1851853
Stationary 819.5891 342 316 -0.04166668 -0.1851853
Stationary 819.6198 342 316 -0.04166668 -0.1851853
Stationary 819.6506 342 316 -0.04166668 -0.1851853
Stationary 819.6813 342 316 -0.04166668 -0.1851853
Stationary 819.712 342 316 -0.04166668 -0.1851853
Moved 819.7428 336.4271 336.7768 -0.05456691 -0.1317469
Moved 819.7736 328.23 356.72 -0.0735417 -0.08045259
Moved 819.8043 319.07 380.72 -0.09474541 -0.01872428
Moved 819.835 309.9893 403.6951 -0.1157654 0.04036789
Moved 819.8657 303.3466 421.0757 -0.1311421 0.08507128
Moved 819.8965 295.4884 439.5347 -0.1493323 0.1325481
Moved 819.9272 289.7204 453.5593 -0.1626843 0.1686195
