a very traditional way to dress
Basic
0.6 0.6
432 388.8
Moved 755.6623 173 470.9951 -0.4328704 0.2134646
Moved 755.6931 172.0432 470 -0.4350851 0.2109053
Moved 755.7238 172 468.6115 -0.4351852 0.2073341
Moved 755.7545 171.31 466.31 -0.4367824 0.2014146
Moved 755.7852 171 465 -0.4375 0.1980452
Moved 755.8159 171 460.8948 -0.4375 0.1874865
Moved 755.8467 170.0168 458.0168 -0.439776 0.1800842
Moved 755.8774 170 453.7402 -0.4398148 0.1690849
Moved 755.9081 170 449.6189 -0.4398148 0.1584848
Moved 755.9389 169 444.5012 -0.4421296 0.145322
Moved 755.9696 169 439.7644 -0.4421296 0.1331388
Moved 756.0004 169 434.6213 -0.4421296 0.1199108
Moved 756.0311 169 426.7529 -0.4421296 0.09967308
Moved 756.0618 169 414.2498 -0.4421296 0.06751484
Moved 756.0925 169 405.0581 -0.4421296 0.04387365
Moved 756.1232 176.85 394.5999 -0.4239583 0.01697505
Moved 756.154 179.7178 384.8466 -0.4173198 -0.008110706
Moved 756.1848 182.5901 377.2297 -0.4106711 -0.02770137
Moved 756.2155 185.069 368.7931 -0.4049329 -0.04940048
Moved 756.2462 189.9676 358.0971 -0.3935934 -0.07691081
Moved 756.277 192.8409 350.3182 -0.3869423 -0.09691819
Moved 756.3077 195.7182 345.2819 -0.3802821 -0.1098717
Moved 756.3384 197 341.7367 -0.3773148 -0.11899
Moved 756.3691 199.1353 340 -0.3723721 -0.1234569
Moved 756.3999 200.5 337.5 -0.369213 -0.1298869
Moved 756.4306 201.5 335.5 -0.3668981 -0.1350309
Moved 756.4613 202 334.5993 -0.3657407 -0.1373475
Moved 756.4921 203.5 335 -0.3622685 -0.1363169
Moved 756.5228 204.3489 333.6511 -0.3603036 -0.1397863
Moved 756.5536 206.705 334 -0.3548494 -0.1388889
Moved 756.5843 208.5751 334 -0.3505206 -0.1388889
Moved 756.615 213.8955 334 -0.3382047 -0.1388889
Moved 756.6458 219.6134 342.3067 -0.3249691 -0.1175239
Moved 756.6765 227.5483 347.6989 -0.3066012 -0.1036552
Moved 756.7072 237.1629 353.4419 -0.2843453 -0.08888409
Moved 756.7379 247.3819 359.7864 -0.26069 -0.07256574
Moved 756.7687 258.3796 367.2278 -0.2352324 -0.05342656
Moved 756.7994 268.9099 375.9099 -0.2108567 -0.03109591
Moved 756.83 277.5338 383.5338 -0.190894 -0.01148718
Moved 756.8609 286.1605 391.4403 -0.1709248 0.008848488
Moved 756.8916 293.8251 400.1002 -0.1531827 0.03112177
Moved 756.9224 303.4289 408.4289 -0.1309517 0.05254337
