I can still feel your presence
Basic
0.6 0.6
432 388.8
Began 907.8173 505 546 0.3356481 0.4063785
Stationary 907.848 505 546 0.3356481 0.4063785
Stationary 907.8788 505 546 0.3356481 0.4063785
Stationary 907.9095 505 546 0.3356481 0.4063785
Stationary 907.9402 505 546 0.3356481 0.4063785
Stationary 907.9709 505 546 0.3356481 0.4063785
Stationary 908.0016 505 546 0.3356481 0.4063785
Stationary 908.0324 505 546 0.3356481 0.4063785
Moved 908.0632 505 558.2166 0.3356481 0.4377999
Moved 908.0938 505 561.9505 0.3356481 0.4474034
Moved 908.1246 512.8466 565.6932 0.3538115 0.4570296
Moved 908.1553 514.3957 568 0.3573974 0.4629629
Moved 908.186 515 571.2668 0.3587963 0.4713651
Moved 908.2167 516 574.1318 0.3611111 0.4787341
Moved 908.2474 516 575.5 0.3611111 0.482253
Moved 908.2782 516 577.2489 0.3611111 0.4867512
Stationary 908.3089 516 577 0.3611111 0.4861111
Moved 908.3397 506.1463 577 0.3383017 0.4861111
Moved 908.3704 501.656 570.7495 0.3279075 0.4700345
Moved 908.4011 494.045 561.045 0.3102894 0.4450745
Moved 908.4318 486.4236 552.4236 0.2926473 0.4229002
Moved 908.4626 479.2068 542.8103 0.2759418 0.3981745
Moved 908.4933 473.1758 534.3516 0.2619811 0.3764187
Moved 908.524 465.6471 524.6472 0.2445535 0.3514586
Moved 908.5547 458.0367 513.3822 0.2269367 0.322485
Moved 908.5855 452.6494 504.4742 0.2144663 0.2995734
Moved 908.6161 445.7989 494.6983 0.1986084 0.2744297
Moved 908.6469 441.0324 485.0972 0.1875749 0.2497354
Moved 908.6777 437.1609 476.4827 0.1786133 0.227579
Moved 908.7084 433.6218 467.8654 0.1704208 0.2054151
Moved 908.739 432 459.252 0.1666667 0.1832611
Moved 908.7698 430 454.881 0.162037 0.1720191
Moved 908.8006 429 450.536 0.1597223 0.1608436
Ended 908.8313 426 443 0.1527777 0.1414608
Began 910.3677 276 208 -0.1944444 -0.462963
Stationary 910.3984 276 208 -0.1944444 -0.462963
Stationary 910.4291 276 208 -0.1944444 -0.462963
Stationary 910.4598 276 208 -0.1944444 -0.462963
Stationary 910.4905 276 208 -0.1944444 -0.462963
Moved 910.5213 271.7252 212.8091 -0.2043398 -0.450594
Moved 910.5521 264.1862 221.8138 -0.2217913 -0.4274335
Moved 910.5828 258.4482 228.5518 -0.2350737 -0.4101036
Moved 910.6135 254.4104 234.5896 -0.2444203 -0.394574
Moved 910.6442 249.6759 239.3241 -0.2553799 -0.3823968
Moved 910.6749 246.4631 245.0739 -0.262817 -0.3676085
Moved 910.7057 243.9237 249.1527 -0.2686953 -0.3571176
Moved 910.7365 241.0293 252.9707 -0.2753952 -0.3472976
Moved 910.7672 239.1563 255.8438 -0.2797308 -0.3399081
Moved 910.7979 238.2899 258.7101 -0.2817363 -0.3325358
Moved 910.8286 236.7504 261.2496 -0.2853001 -0.3260041
Moved 910.8594 237 264.127 -0.2847222 -0.3186035
Moved 910.89 236 265.9936 -0.287037 -0.3138025
Moved 910.9208 236 267.5 -0.287037 -0.309928
Moved 910.9515 235 269.3687 -0.2893518 -0.3051217
Moved 910.9822 232.7541 272.2458 -0.2945506 -0.2977216
Moved 911.0129 227.7675 280.465 -0.3060938 -0.2765818
Moved 911.0437 218.706 293.6116 -0.3270694 -0.2427687
Moved 911.0745 207.4063 312.1874 -0.3532262 -0.1949912
Moved 911.1052 199.2055 330.3835 -0.3722095 -0.1481906
Moved 911.1359 192.4575 347.3561 -0.3878298 -0.1045367
Moved 911.1666 188.2089 361.9554 -0.3976645 -0.06698726
Moved 911.1973 185.3378 375.649 -0.4043108 -0.03176701
Moved 911.228 184 387.05 -0.4074074 -0.002443525
Moved 911.2588 184 394.1475 -0.4074074 0.01581125
Moved 911.2895 184 398.5 -0.4074074 0.02700609
Moved 911.3202 184 406.4449 -0.4074074 0.04744063
Moved 911.351 184 410.1898 -0.4074074 0.05707254
Moved 911.3817 184 413.1346 -0.4074074 0.06464644
Moved 911.4124 184 416.1443 -0.4074074 0.07238753
Moved 911.4432 184 417.9868 -0.4074074 0.07712635
Moved 911.4739 184 419.6279 -0.4074074 0.08134736
Moved 911.5046 184 421.3608 -0.4074074 0.08580439
Moved 911.5353 192.2372 422.2372 -0.3883398 0.08805867
Moved 911.566 199.3214 422 -0.3719412 0.08744851
Moved 911.5967 206.9708 422 -0.3542342 0.08744851
Moved 911.6276 215.5909 418.2878 -0.3342803 0.07790074
Moved 911.6583 226.6113 410.1943 -0.3087701 0.05708411
Moved 911.689 238.0781 403.1914 -0.2822267 0.03907251
Moved 911.7197 253.9278 394.4289 -0.2455375 0.01653522
Moved 911.7504 268.3239 385.3409 -0.2122132 -0.006839336
Moved 911.7812 286.7298 373.8687 -0.169607 -0.03634598
Moved 911.8119 310.8027 359.4892 -0.1138826 -0.07333033
Moved 911.8427 335.8367 343.0933 -0.05593354 -0.1155007
Moved 911.8734 355.0427 329.6382 -0.01147533 -0.1501075
Moved 911.9041 373.2818 314.4319 0.03074487 -0.1892185
Moved 911.9348 392.3649 299.1606 0.07491866 -0.2284963
Moved 911.9655 411.5923 287.6447 0.1194265 -0.2581156
Moved 911.9963 425.9885 279.0069 0.1527512 -0.2803321
Moved 912.027 436.8759 272.1241 0.1779535 -0.2980348
Moved 912.0577 446.076 267.6414 0.1992499 -0.3095644
Moved 912.0884 455.6606 262.5596 0.2214365 -0.3226348
Moved 912.1191 462.2747 259.9084 0.2367471 -0.3294536
Moved 912.1498 466.2745 257.3628 0.2460058 -0.3360011
Moved 912.1806 469.5 254.5 0.2534722 -0.3433642
Moved 912.2113 472.3819 252.618 0.2601434 -0.3482047
Moved 912.2421 474.2548 252 0.2644787 -0.3497943
Ended 912.2728 474 250.7455 0.2638889 -0.3530209
Began 913.9935 264 351 -0.2222222 -0.09516476
Stationary 914.0243 264 351 -0.2222222 -0.09516476
Stationary 914.055 264 351 -0.2222222 -0.09516476
Stationary 914.0857 264 351 -0.2222222 -0.09516476
Moved 914.1165 264 363.1688 -0.2222222 -0.06386619
