want to join us for lunch
Basic
0.6 0.6
432 388.8
Began 1586.342 211 465 -0.3449074 0.1980452
Stationary 1586.373 211 465 -0.3449074 0.1980452
Stationary 1586.404 211 465 -0.3449074 0.1980452
Stationary 1586.435 211 465 -0.3449074 0.1980452
Stationary 1586.465 211 465 -0.3449074 0.1980452
Stationary 1586.496 211 465 -0.3449074 0.1980452
Stationary 1586.527 211 465 -0.3449074 0.1980452
Stationary 1586.557 211 465 -0.3449074 0.1980452
Stationary 1586.588 211 465 -0.3449074 0.1980452
Stationary 1586.619 211 465 -0.3449074 0.1980452
Stationary 1586.65 211 465 -0.3449074 0.1980452
Stationary 1586.681 211 465 -0.3449074 0.1980452
Stationary 1586.711 211 465 -0.3449074 0.1980452
Stationary 1586.742 211 465 -0.3449074 0.1980452
Stationary 1586.773 211 465 -0.3449074 0.1980452
Stationary 1586.803 211 465 -0.3449074 0.1980452
Moved 1586.834 211 474 -0.3449074 0.2211934
Moved 1586.865 211 477.9167 -0.3449074 0.2312671
Moved 1586.896 211 481.5 -0.3449074 0.2404835
Moved 1586.926 211 490.1473 -0.3449074 0.2627245
Moved 1586.957 211 499.0374 -0.3449074 0.2855899
Moved 1586.988 211 508.5454 -0.3449074 0.3100447
Moved 1587.019 211 516.312 -0.3449074 0.3300205
Moved 1587.049 211 522.9616 -0.3449074 0.3471234
Moved 1587.08 211 528.3613 -0.3449074 0.3610115
Moved 1587.111 211 532.7833 -0.3449074 0.3723849
Moved 1587.142 211 535.3329 -0.3449074 0.3789427
Moved 1587.172 211 536.5 -0.3449074 0.3819444
Moved 1587.203 211 537.0773 -0.3449074 0.3834291
Stationary 1587.234 211 537.0773 -0.3449074 0.3834291
Stationary 1587.265 211 537 -0.3449074 0.3832304
Stationary 1587.295 211 537 -0.3449074 0.3832304
Moved 1587.326 211 509.9571 -0.3449074 0.3136756
Moved 1587.357 200.5 489.5 -0.369213 0.2610596
Moved 1587.387 200.8827 463.944 -0.3683272 0.1953291
Moved 1587.418 199.3312 447.3182 -0.3719186 0.1525673
Moved 1587.449 199 429.657 -0.3726852 0.1071426
Moved 1587.48 199 411.7872 -0.3726852 0.06118099
Moved 1587.51 199 401.9606 -0.3726852 0.03590697
Moved 1587.541 199 394.8684 -0.3726852 0.01766558
Moved 1587.572 199 389.2309 -0.3726852 0.003165767
Moved 1587.603 199 383.8042 -0.3726852 -0.01079167
Moved 1587.633 199 379.1301 -0.3726852 -0.02281369
Moved 1587.664 199 373.036 -0.3726852 -0.03848771
Moved 1587.695 209.3973 366.6027 -0.3486174 -0.05503423
Moved 1587.726 221.2489 357.3937 -0.3211831 -0.07872004
Moved 1587.756 238.8064 350.4476 -0.2805407 -0.09658546
Moved 1587.787 257.8949 342.7593 -0.2363544 -0.1163598
Moved 1587.818 276.808 335.822 -0.1925741 -0.1342026
Moved 1587.849 318.9777 322.6205 -0.09495899 -0.1681571
Moved 1587.879 324.1956 320.5156 -0.0828805 -0.1735711
Moved 1587.91 339.7281 314.136 -0.04692579 -0.1899795
Moved 1587.941 348 310 -0.0277778 -0.2006174
Moved 1587.972 360.5377 303.7849 0.001244545 -0.2166027
Moved 1588.002 370.6232 297.6884 0.02459079 -0.232283
Moved 1588.033 377.4171 292.5828 0.04031748 -0.2454146
Moved 1588.064 383 288 0.05324075 -0.2572017
Moved 1588.094 390.0251 282.9833 0.06950239 -0.2701047
Moved 1588.125 395 278 0.08101851 -0.2829219
Moved 1588.156 399.1196 273.7607 0.09055465 -0.2938253
Moved 1588.187 402.5 270 0.09837966 -0.303498
Moved 1588.217 404.9524 267.0952 0.1040565 -0.3109693
Moved 1588.248 407.5 264.5 0.1099537 -0.3176441
Moved 1588.279 409.0696 261.9304 0.1135872 -0.3242533
Moved 1588.31 410.304 260.6959 0.1164445 -0.3274283
Moved 1588.34 411.5 260 0.119213 -0.3292181
Moved 1588.371 411 258.9207 0.1180555 -0.3319942
Moved 1588.402 412.5 259 0.1215278 -0.3317901
Moved 1588.433 412 278 0.1203704 -0.2829219
Moved 1588.463 398.9518 309.9067 0.09016614 -0.2008572
Moved 1588.494 388.7514 345.058 0.06655415 -0.1104477
Moved 1588.525 379.5558 380.1935 0.04526814 -0.02007834
Moved 1588.556 372.7628 405.1238 0.02954364 0.04404264
Moved 1588.586 367.0063 422.6519 0.01621833 0.08912518
Moved 1588.617 360.3434 440.5322 0.0007948279 0.1351135
Moved 1588.648 353.7031 456.5938 -0.01457612 0.1764242
Moved 1588.679 347.0725 470.855 -0.02992481 0.2131044
Moved 1588.709 343 485.5 -0.03935183 0.2507715
Moved 1588.74 338.9034 498.4827 -0.04883463 0.2841634
Moved 1588.771 335.3497 507.9508 -0.05706082 0.3085154
Moved 1588.802 332.7933 514.6202 -0.06297851 0.3256691
Moved 1588.832 330.506 519.9881 -0.06827324 0.3394755
Moved 1588.863 328.9491 523.0509 -0.07187703 0.3473531
Moved 1588.894 327.5 527 -0.07523149 0.3575102
Moved 1588.924 326.8367 529.1633 -0.07676695 0.3630743
Moved 1588.955 327 530.1843 -0.07638887 0.3657001
Moved 1588.986 325.5 531.5 -0.07986113 0.3690843
Moved 1589.017 326 532 -0.07870371 0.3703703
Ended 1589.047 326 532 -0.07870371 0.3703703
Began 1590 348 521 -0.0277778 0.3420781
Stationary 1590.031 348 521 -0.0277778 0.3420781
Stationary 1590.062 348 521 -0.0277778 0.3420781
Stationary 1590.092 348 521 -0.0277778 0.3420781
Stationary 1590.123 348 521 -0.0277778 0.3420781
Stationary 1590.154 348 521 -0.0277778 0.3420781
Stationary 1590.185 348 521 -0.0277778 0.3420781
Stationary 1590.215 348 521 -0.0277778 0.3420781
Stationary 1590.246 348 521 -0.0277778 0.3420781
Stationary 1590.277 348 521 -0.0277778 0.3420781
Stationary 1590.308 348 521 -0.0277778 0.3420781
Stationary 1590.338 348 521 -0.0277778 0.3420781
Stationary 1590.369 348 521 -0.0277778 0.3420781
Stationary 1590.4 348 521 -0.0277778 0.3420781
Stationary 1590.431 348 521 -0.0277778 0.3420781
Stationary 1590.461 348 521 -0.0277778 0.3420781
