I can still feel your presence
Basic
0.6 0.6
432 388.8
Began 924.5736 493 547 0.3078704 0.4089505
Stationary 924.6044 493 547 0.3078704 0.4089505
Stationary 924.6351 493 547 0.3078704 0.4089505
Moved 924.6658 483.5634 547 0.2860264 0.4089505
Moved 924.6965 483 547 0.2847222 0.4089505
Moved 924.7272 481.8162 547 0.281982 0.4089505
Stationary 924.758 482 547 0.2824074 0.4089505
Ended 924.7887 482 547 0.2824074 0.4089505
Began 925.7415 285 272 -0.1736111 -0.2983539
Stationary 925.7721 285 272 -0.1736111 -0.2983539
Stationary 925.8029 285 272 -0.1736111 -0.2983539
Stationary 925.8336 285 272 -0.1736111 -0.2983539
Stationary 925.8644 285 272 -0.1736111 -0.2983539
Moved 925.8951 277.768 284.3977 -0.1903518 -0.2664669
Moved 925.9258 274.1447 294.4212 -0.1987392 -0.2406863
Moved 925.9565 269 305 -0.2106481 -0.2134774
Moved 925.9874 265.819 313.2715 -0.2180116 -0.192203
Moved 926.018 262.1451 321.4198 -0.2265161 -0.1712454
Moved 926.0488 257.7753 335.0618 -0.2366312 -0.1361581
Moved 926.0795 253.9267 347.1833 -0.2455401 -0.1049813
Moved 926.1102 246.7229 364.5543 -0.2622156 -0.06030267
Moved 926.141 230.6103 388.5196 -0.2995132 0.001336361
Moved 926.1717 215.6922 407.9617 -0.3340458 0.05134166
Moved 926.2025 205.5377 418.1935 -0.3575518 0.07765824
Moved 926.2332 202.5136 420 -0.3645518 0.08230445
Moved 926.2639 201.5 421 -0.3668981 0.08487643
Moved 926.2946 202 421 -0.3657407 0.08487643
Stationary 926.3254 202 421 -0.3657407 0.08487643
Moved 926.3561 219.3528 403.8727 -0.3255723 0.04082475
Moved 926.3868 245.8315 380.1404 -0.2642789 -0.02021507
Moved 926.4176 272.5 357 -0.2025463 -0.07973259
Moved 926.4483 305.849 332.6132 -0.1253496 -0.1424558
Moved 926.479 332.2836 318.398 -0.06415839 -0.1790175
Moved 926.5098 353.4777 308.2612 -0.01509801 -0.2050896
Moved 926.5405 368.7194 301.6403 0.02018372 -0.2221186
Moved 926.5713 383.6751 297.0812 0.05480359 -0.2338446
Moved 926.6019 395.7266 293.3184 0.08270036 -0.2435227
Moved 926.6327 406.7543 290.5614 0.1082275 -0.2506137
Moved 926.6635 412.7787 289.1107 0.1221729 -0.2543451
Moved 926.6942 418.293 288.3535 0.1349376 -0.2562926
Moved 926.7249 422.8228 288 0.1454232 -0.2572017
Moved 926.7557 425.1804 287 0.1508804 -0.2597736
Moved 926.7864 427.5794 286 0.1564338 -0.2623458
Moved 926.8171 429.3488 286 0.1605297 -0.2623458
Moved 926.8478 430 285 0.162037 -0.2649178
Moved 926.8785 431 285 0.1643519 -0.2649178
Moved 926.9093 438.3842 285 0.1814449 -0.2649178
Ended 926.9401 438.3842 285 0.1814449 -0.2649178
Began 927.524 252 415 -0.25 0.06944436
Stationary 927.5547 252 415 -0.25 0.06944436
Stationary 927.5854 252 415 -0.25 0.06944436
Stationary 927.6161 252 415 -0.25 0.06944436
Stationary 927.6469 252 415 -0.25 0.06944436
Stationary 927.6776 252 415 -0.25 0.06944436
Stationary 927.7084 252 415 -0.25 0.06944436
Moved 927.7391 262.2038 415 -0.2263801 0.06944436
Stationary 927.7699 262.1577 415 -0.2264868 0.06944436
Moved 927.8006 263.2353 415 -0.2239923 0.06944436
Stationary 927.8313 263.2353 415 -0.2239923 0.06944436
Moved 927.8621 264.2396 415 -0.2216675 0.06944436
Moved 927.8928 265.1017 415 -0.219672 0.06944436
Stationary 927.9235 265.1017 415 -0.219672 0.06944436
Moved 927.9542 268.7212 415 -0.2112936 0.06944436
Moved 927.985 275.3981 406.8673 -0.1958377 0.04852695
Moved 928.0157 286.4746 406 -0.1701977 0.04629618
Moved 928.0464 300.9106 410.5624 -0.136781 0.05803069
Moved 928.0771 315.5073 420.2899 -0.1029923 0.08305012
Moved 928.1079 331.1963 433.3303 -0.06667525 0.1165901
Moved 928.1386 343.8817 448.7635 -0.03731077 0.1562846
Moved 928.1694 353.1704 464.3408 -0.01580924 0.1963498
Moved 928.2001 360.4321 475.2427 0.001000166 0.2243897
Moved 928.2308 365.573 484.1459 0.01290043 0.2472888
Moved 928.2616 367 488.3394 0.01620372 0.2580745
Moved 928.2923 368 492.0889 0.01851857 0.2677182
Moved 928.3231 368 493 0.01851857 0.2700616
Moved 928.3538 368 495.3224 0.01851857 0.276035
Moved 928.3845 368 496 0.01851857 0.2777777
Moved 928.4152 368 497.6454 0.01851857 0.2820096
Stationary 928.446 368 498 0.01851857 0.2829217
Moved 928.4766 377.2354 499 0.03989667 0.2854938
Moved 928.5074 394.7842 499 0.08051902 0.2854938
Moved 928.5382 410.0262 500.171 0.1158013 0.2885056
Moved 928.5689 426.9611 501.9922 0.1550026 0.2931899
Moved 928.5996 436.2539 503 0.1765136 0.2957818
Moved 928.6304 442 504 0.1898148 0.2983539
Moved 928.6611 446.9275 505 0.201221 0.3009258
Moved 928.6918 450.7229 505 0.2100066 0.3009258
Moved 928.7225 453.4889 505 0.2164094 0.3009258
Moved 928.7533 456.2528 506 0.2228074 0.3034978
Moved 928.784 459.6797 506 0.23074 0.3034978
Moved 928.8148 462.4427 506 0.2371358 0.3034978
Moved 928.8455 466.4103 506 0.2463201 0.3034978
Moved 928.8762 470.5044 499.9826 0.2557971 0.2880211
Moved 928.907 475.9104 488.1792 0.2683111 0.2576624
Moved 928.9377 483.4042 467.7873 0.2856579 0.2052141
Moved 928.9684 491.8972 449.2057 0.3053174 0.157422
Moved 928.9991 497.9387 436.4354 0.3193026 0.1245767
Moved 929.0299 504.354 423.2919 0.3341529 0.09077138
Moved 929.0606 510.8719 413.1922 0.3492404 0.06479471
Moved 929.0914 516.3953 405.6047 0.3620261 0.04527963
Moved 929.1221 521.2133 399.6801 0.3731788 0.03004125
Moved 929.1528 525.7206 393.4191 0.3836124 0.01393797
Moved 929.1835 530.2634 388.7366 0.3941282 0.001894633
Moved 929.2143 534.397 381.8091 0.4036967 -0.01592322
Moved 929.2451 539.6971 378.3029 0.4159655 -0.02494113
