I want to hold your hand
Basic
0.6 0.6
432 388.8
Began 269.4818 448 513 0.2037037 0.321502
Stationary 269.5125 448 513 0.2037037 0.321502
Stationary 269.5432 448 513 0.2037037 0.321502
Stationary 269.5739 448 513 0.2037037 0.321502
Stationary 269.6046 448 513 0.2037037 0.321502
Stationary 269.6353 448 513 0.2037037 0.321502
Stationary 269.6661 448 513 0.2037037 0.321502
Stationary 269.6968 448 513 0.2037037 0.321502
Stationary 269.7275 448 513 0.2037037 0.321502
Stationary 269.7583 448 513 0.2037037 0.321502
Stationary 269.789 448 513 0.2037037 0.321502
Stationary 269.8197 448 513 0.2037037 0.321502
Stationary 269.8505 448 513 0.2037037 0.321502
Stationary 269.8812 448 513 0.2037037 0.321502
Stationary 269.9119 448 513 0.2037037 0.321502
Stationary 269.9427 448 513 0.2037037 0.321502
Stationary 269.9734 448 513 0.2037037 0.321502
Stationary 270.004 448 513 0.2037037 0.321502
Stationary 270.0348 448 513 0.2037037 0.321502
Stationary 270.0655 448 513 0.2037037 0.321502
Stationary 270.0963 448 513 0.2037037 0.321502
Stationary 270.127 448 513 0.2037037 0.321502
Stationary 270.1577 448 513 0.2037037 0.321502
Stationary 270.1884 448 513 0.2037037 0.321502
Stationary 270.2191 448 513 0.2037037 0.321502
Moved 270.2499 457.7509 520.7509 0.2262752 0.3414373
Moved 270.2806 459 522 0.2291666 0.3446501
Moved 270.3113 461.1206 524.1207 0.2340756 0.3501045
Stationary 270.3421 461 524 0.2337964 0.3497942
Moved 270.3728 462.6565 526 0.2376308 0.3549381
Moved 270.4035 463 527.4139 0.2384259 0.3585748
Moved 270.4342 464 528.2896 0.2407408 0.360827
Moved 270.465 464 529.0505 0.2407408 0.3627842
Moved 270.4958 465 529 0.2430555 0.3626543
Moved 270.5265 465.5469 530 0.2443214 0.3652262
Stationary 270.5572 466 530 0.2453704 0.3652262
Moved 270.5879 466 531 0.2453704 0.3677982
Moved 270.6186 467 531.856 0.2476852 0.3699998
Stationary 270.6493 467 532 0.2476852 0.3703703
Moved 270.6801 467 532.6002 0.2476852 0.3719139
Moved 270.7108 467 533.5 0.2476852 0.3742283
Moved 270.7415 468.0003 533 0.2500008 0.3729423
Stationary 270.7722 468.0003 533 0.2500008 0.3729423
Ended 270.803 468 534 0.25 0.3755144
Began 272.37 275 438 -0.1967592 0.1286007
Stationary 272.4007 275 438 -0.1967592 0.1286007
Stationary 272.4315 275 438 -0.1967592 0.1286007
Stationary 272.4622 275 438 -0.1967592 0.1286007
Stationary 272.4929 275 438 -0.1967592 0.1286007
Stationary 272.5237 275 438 -0.1967592 0.1286007
Stationary 272.5544 275 438 -0.1967592 0.1286007
Moved 272.5851 262.5288 426.5288 -0.2256278 0.09909669
Moved 272.6158 256.7675 417.0234 -0.2389641 0.07464856
Moved 272.6466 248.1255 406.5007 -0.2589686 0.04758415
Moved 272.6772 241 396.5 -0.275463 0.02186214
Moved 272.708 235.8909 390.8909 -0.2872896 0.007435441
Moved 272.7387 230.1163 385.0582 -0.3006567 -0.007566522
Moved 272.7695 226.1901 379.3802 -0.3097451 -0.02217014
Moved 272.8002 222.3177 374.6354 -0.318709 -0.03437395
Moved 272.8309 218.781 370.781 -0.3268958 -0.04428753
Moved 272.8616 214.9115 365.8231 -0.3358529 -0.05703945
Moved 272.8924 212.0418 364 -0.3424958 -0.06172839
Moved 272.9231 210.3912 361.3912 -0.3463168 -0.06843834
Moved 272.9538 209 359.6663 -0.349537 -0.07287469
Moved 272.9846 208 358.5 -0.3518518 -0.07587456
Moved 273.0152 206.6832 357.6832 -0.3548999 -0.07797531
Moved 273.046 205.533 357 -0.3575624 -0.07973259
Stationary 273.0767 205.533 357 -0.3575624 -0.07973259
Moved 273.1074 206 355.8505 -0.3564815 -0.08268905
Moved 273.1382 205 356 -0.3587963 -0.0823046
Stationary 273.1689 205 356 -0.3587963 -0.0823046
Stationary 273.1996 205 356 -0.3587963 -0.0823046
Stationary 273.2303 205 356 -0.3587963 -0.0823046
Stationary 273.2611 205 356 -0.3587963 -0.0823046
Stationary 273.2918 205 356 -0.3587963 -0.0823046
Stationary 273.3225 205 356 -0.3587963 -0.0823046
Stationary 273.3533 205 356 -0.3587963 -0.0823046
Moved 273.384 215.9035 355 -0.3335567 -0.08487654
Moved 273.4147 239.8382 346.7485 -0.2781524 -0.1060994
Moved 273.4455 268.5479 338.0904 -0.2116946 -0.1283683
Moved 273.4762 289.5 332 -0.1631944 -0.144033
Moved 273.5069 314.3536 326.3275 -0.1056629 -0.1586227
Moved 273.5376 333.0749 320.6929 -0.06232664 -0.1731151
Moved 273.5683 351.7887 313.0704 -0.01900772 -0.1927201
Moved 273.5991 366.576 306.9696 0.01522233 -0.2084116
Moved 273.6298 380.5741 300.213 0.0476252 -0.2257898
Moved 273.6604 394.0682 293.1989 0.07886161 -0.2438301
Moved 273.6913 409.7657 283.3619 0.1151984 -0.2691309
Moved 273.7219 419.9289 276.0711 0.1387242 -0.287883
Moved 273.7527 428.0368 268.9631 0.1574927 -0.3061648
Moved 273.7834 435.6519 261.3481 0.17512 -0.3257506
Moved 273.8141 436.977 260.023 0.1781874 -0.329159
Moved 273.8449 439.8402 257.1599 0.1848152 -0.3365231
Moved 273.8756 442.7095 255.2905 0.1914571 -0.341331
Moved 273.9063 444 253.4073 0.1944444 -0.3461745
Moved 273.937 445 251.8694 0.1967593 -0.3501302
Moved 273.9677 446 250.9995 0.199074 -0.3523675
Moved 273.9985 447.3723 251 0.2022508 -0.3523664
Stationary 274.0292 447 251 0.2013889 -0.3523664
Moved 274.06 437.0701 272.9299 0.1784031 -0.2959622
Moved 274.0906 427.5095 306.4715 0.1562721 -0.2096927
Moved 274.1214 417.0353 339.9117 0.1320262 -0.1236839
Moved 274.1521 407.3126 363.9122 0.10952 -0.06195422
Moved 274.1828 397.7695 388.8712 0.08742937 0.002240546
Moved 274.2136 391.4326 408.7023 0.07276058 0.05324662
Moved 274.2443 382.5226 431.1138 0.05213578 0.1108894
Moved 274.275 373.2842 452.7527 0.03075043 0.1665449
