exercise is good for the mind
Basic
0.6 0.6
432 388.8
Began 571.3928 229 512 -0.3032407 0.31893
Stationary 571.4235 229 512 -0.3032407 0.31893
Stationary 571.4542 229 512 -0.3032407 0.31893
Stationary 571.485 229 512 -0.3032407 0.31893
Stationary 571.5157 229 512 -0.3032407 0.31893
Stationary 571.5464 229 512 -0.3032407 0.31893
Stationary 571.5771 229 512 -0.3032407 0.31893
Stationary 571.6079 229 512 -0.3032407 0.31893
Stationary 571.6386 229 512 -0.3032407 0.31893
Stationary 571.6694 229 512 -0.3032407 0.31893
Stationary 571.7 229 512 -0.3032407 0.31893
Stationary 571.7308 229 512 -0.3032407 0.31893
Stationary 571.7615 229 512 -0.3032407 0.31893
Stationary 571.7922 229 512 -0.3032407 0.31893
Stationary 571.823 229 512 -0.3032407 0.31893
Stationary 571.8537 229 512 -0.3032407 0.31893
Moved 571.8844 239.1165 500.619 -0.279823 0.2896577
Moved 571.9152 254.791 464.2861 -0.2435393 0.196209
Moved 571.9459 276.3056 403.0832 -0.193737 0.03879413
Moved 571.9766 294.7497 344.7508 -0.1510423 -0.1112377
Moved 572.0073 301.8443 310.9344 -0.1346198 -0.1982141
Moved 572.038 304 288.8989 -0.1296296 -0.2548898
Moved 572.0687 304 273.9577 -0.1296296 -0.2933187
Moved 572.0995 304 262.2705 -0.1296296 -0.3233784
Moved 572.1302 304 253.3333 -0.1296296 -0.3463652
Moved 572.1609 304 246.1345 -0.1296296 -0.3648804
Moved 572.1917 296.0247 242.0496 -0.1480909 -0.375387
Moved 572.2224 295 238.1455 -0.150463 -0.3854282
Moved 572.2531 294 235.2733 -0.1527778 -0.3928156
Moved 572.2838 292.8916 233.8916 -0.1553435 -0.3963694
Moved 572.3145 293 232.9598 -0.1550926 -0.3987659
Moved 572.3453 291.5 233 -0.1585648 -0.3986626
Stationary 572.376 291.5 233 -0.1585648 -0.3986626
Moved 572.4067 291 238.4359 -0.1597222 -0.3846814
Moved 572.4374 291 271.368 -0.1597222 -0.2999795
Moved 572.4681 291 317.7159 -0.1597222 -0.1807717
Moved 572.4989 291 357.145 -0.1597222 -0.07935959
Moved 572.5296 290.3846 392.769 -0.1611467 0.01226602
Moved 572.5604 290 421.4625 -0.162037 0.08606608
Moved 572.5911 290 443.2066 -0.162037 0.1419922
Moved 572.6218 290 456.489 -0.162037 0.1761548
Moved 572.6525 290 464.4811 -0.162037 0.1967107
Moved 572.6832 294.2875 471.8375 -0.1521123 0.2156314
Moved 572.714 308 487 -0.1203704 0.2546296
Moved 572.7447 332.3363 504.1868 -0.06403635 0.2988343
Moved 572.7754 360.0857 515.6953 0.0001984835 0.3284342
Moved 572.8061 368.702 518.234 0.02014359 0.334964
Moved 572.8368 371.7154 518 0.02711892 0.3343621
Moved 572.8676 375.1877 519 0.03515661 0.3369341
Moved 572.8983 379 520 0.04398147 0.3395061
Moved 572.9291 380.5 520 0.04745374 0.3395061
Moved 572.9597 381.0285 520 0.04867713 0.3395061
Moved 572.9905 382 520 0.05092591 0.3395061
Moved 573.0212 383.0894 520 0.05344759 0.3395061
Stationary 573.0519 383 520 0.05324075 0.3395061
Stationary 573.0826 383 520 0.05324075 0.3395061
Stationary 573.1133 383 520 0.05324075 0.3395061
Moved 573.1441 383 511.5725 0.05324075 0.3178304
Moved 573.1748 375.0577 508.0577 0.0348557 0.3087902
Moved 573.2056 372.1823 504.1824 0.02819985 0.2988228
Moved 573.2363 369.3125 500.3124 0.02155662 0.2888693
Moved 573.267 368 497.5 0.01851857 0.2816358
Moved 573.2977 366 495.8885 0.01388888 0.2774911
Moved 573.3284 364 494.0173 0.009259283 0.2726782
Moved 573.3591 362.6255 492.6255 0.006077588 0.2690986
Moved 573.3899 362 491.7181 0.004629592 0.2667645
Moved 573.4207 360.626 490.626 0.001449188 0.2639558
Moved 573.4514 360 490 0 0.2623456
Moved 573.4821 359 489 -0.002314796 0.2597736
Moved 573.5128 358.427 488 -0.003641148 0.2572016
Moved 573.5435 358 487.5466 -0.004629641 0.2560354
Moved 573.5743 358 486.5 -0.004629641 0.2533436
Moved 573.605 356.092 485.092 -0.009046297 0.2497223
Moved 573.6357 346.5166 466.7804 -0.03121163 0.2026244
Moved 573.6664 320.3105 414.7245 -0.0918738 0.06873582
Moved 573.6971 301.4738 360.8953 -0.1354773 -0.06971383
Moved 573.7278 293.9694 328.8011 -0.1528486 -0.1522606
Moved 573.7586 289.2219 307.6657 -0.1638382 -0.2066211
Moved 573.7893 288 297.4745 -0.1666667 -0.2328332
Moved 573.82 288 292.5 -0.1666667 -0.2456276
Moved 573.8508 288 291.5 -0.1666667 -0.2481996
Moved 573.8815 361.6949 393.4552 0.003923377 0.01403082
Moved 573.9122 398.4806 462.0878 0.08907546 0.190555
Moved 573.9429 425.5726 509.3589 0.1517885 0.3121371
Moved 573.9737 438.9814 528.6356 0.1828273 0.3617171
Moved 574.0044 443.1941 535.3882 0.192579 0.3790849
Moved 574.0351 445 538.063 0.1967593 0.3859643
Moved 574.0658 445 539 0.1967593 0.3883744
Stationary 574.0966 445 539 0.1967593 0.3883744
Moved 574.1273 420.6876 526.4717 0.1404806 0.3561513
Moved 574.158 367.4677 484.1959 0.01728624 0.2474173
Moved 574.1887 288.7833 413.7833 -0.1648534 0.0663151
Moved 574.2195 255.5036 381.1851 -0.2418898 -0.01752806
Moved 574.2502 233.1266 359.6799 -0.2936885 -0.07283976
Moved 574.2809 217.6136 345.678 -0.3295981 -0.1088528
Moved 574.3116 205.1861 336.1241 -0.3583654 -0.1334258
Moved 574.3423 200.186 332.186 -0.3699398 -0.1435544
Moved 574.3731 197.5 332 -0.3761574 -0.144033
Moved 574.4038 221.0343 393.4135 -0.3216798 0.01392349
Moved 574.4346 228.5898 409.1796 -0.3041902 0.05447426
Moved 574.4653 242.9022 442.8044 -0.2710597 0.1409577
Moved 574.496 254.5052 465.5093 -0.2442009 0.1993552
Moved 574.5267 265.1496 485.2992 -0.2195611 0.250255
Moved 574.5574 272.5235 496.0469 -0.202492 0.2778985
Moved 574.5881 281.7309 507.8771 -0.1811784 0.3083257
