this is a non profit organization
Basic
0.6 0.6
432 388.8
Began 781.8501 365 590 0.01157403 0.5195472
Stationary 781.8808 365 590 0.01157403 0.5195472
Stationary 781.9116 365 590 0.01157403 0.5195472
Stationary 781.9423 365 590 0.01157403 0.5195472
Moved 781.973 365 579.7772 0.01157403 0.4932541
Moved 782.0038 365 569.97 0.01157403 0.4680298
Moved 782.0345 374.891 559.436 0.03446987 0.4409362
Moved 782.0652 378.3265 551.0205 0.04242251 0.4192913
Moved 782.096 384.6068 537.483 0.05696018 0.3844727
Moved 782.1267 392.3707 522.0732 0.07493218 0.3448385
Moved 782.1575 399.1453 507.7094 0.09061405 0.3078945
Moved 782.1882 407.2715 490.4569 0.1094249 0.2635208
Moved 782.218 418.3168 466.4884 0.1349927 0.2018735
Moved 782.2496 429.2143 448.1785 0.1602183 0.1547801
Moved 782.2803 437.7131 432.5739 0.1798914 0.1146446
Moved 782.3111 448.2588 417.9883 0.2043027 0.07713027
Moved 782.3419 455.88 408.4933 0.2219445 0.05270918
Moved 782.3726 460 402.0005 0.2314815 0.03600948
Moved 782.4033 461 398.9626 0.2337964 0.02819599
Moved 782.434 462 396.5 0.2361111 0.02186214
Moved 782.4648 462 394.2286 0.2361111 0.01602012
Moved 782.4955 462 392.6798 0.2361111 0.01203651
Moved 782.5262 445.3358 391 0.1975366 0.007715971
Moved 782.5569 419.9807 390 0.1388441 0.005143954
Moved 782.5877 409.7921 398.8685 0.1152594 0.02795388
Moved 782.6184 396.0223 405.9888 0.08338501 0.04626752
Moved 782.6492 376.1477 415.9261 0.03737897 0.07182643
Moved 782.6799 361.1577 426.6739 0.002679726 0.0994698
Moved 782.7106 345.803 439.197 -0.03286347 0.1316795
Moved 782.7414 335.139 450.2888 -0.05754858 0.1602078
Moved 782.7721 325.66 459.34 -0.07949064 0.1834875
Moved 782.8029 318.0451 466.6366 -0.09711787 0.2022545
Moved 782.8336 314.1782 471.8218 -0.106069 0.215591
Moved 782.8643 309.4943 475.7529 -0.1169114 0.2257017
Moved 782.895 306.3773 478.6227 -0.1241265 0.2330829
Moved 782.9258 304.5053 481.4947 -0.12846 0.2404698
Moved 782.9565 303 484.0348 -0.1319445 0.247003
Moved 782.9872 301.0905 486.9094 -0.1363645 0.2543965
Moved 783.0179 300.2217 488.7783 -0.1383757 0.2592033
Moved 783.0487 300 490.3234 -0.1388889 0.2631775
Moved 783.0794 299 492.0759 -0.1412037 0.2676849
Moved 783.1102 297.6271 493.3729 -0.1443817 0.2710207
Moved 783.1409 298 494.2236 -0.1435185 0.2732089
Moved 783.1716 297 495 -0.1458333 0.2752057
Stationary 783.2023 297 495 -0.1458333 0.2752057
Moved 783.2331 295.5 496 -0.1493056 0.2777777
Moved 783.2639 296 497.2492 -0.1481481 0.2809907
Stationary 783.2946 296 497.2492 -0.1481481 0.2809907
Moved 783.3253 295 498.5 -0.150463 0.2842077
Moved 783.356 295 498 -0.150463 0.2829217
Stationary 783.3868 295 498 -0.150463 0.2829217
Moved 783.4172 295 499 -0.150463 0.2854938
Stationary 783.4482 295 499 -0.150463 0.2854938
Moved 783.479 295 500.4841 -0.150463 0.2893108
Moved 783.5097 294 500 -0.1527778 0.2880658
Stationary 783.5404 294 500 -0.1527778 0.2880658
Moved 783.5712 294 501 -0.1527778 0.2906378
Stationary 783.6019 294 501 -0.1527778 0.2906378
Stationary 783.6326 294 501 -0.1527778 0.2906378
Stationary 783.6634 294 501 -0.1527778 0.2906378
Stationary 783.6941 294 501 -0.1527778 0.2906378
Moved 783.7249 294 502.309 -0.1527778 0.2940046
Stationary 783.7556 294 502 -0.1527778 0.2932098
Stationary 783.7863 294 502 -0.1527778 0.2932098
Moved 783.817 312.1259 502 -0.1108196 0.2932098
Moved 783.8477 339.9875 502 -0.04632518 0.2932098
Moved 783.8785 370.7551 490.1655 0.02489597 0.2627713
Moved 783.9092 396.5588 484.4314 0.08462697 0.248023
Moved 783.9399 411.3309 482.1115 0.1188216 0.2420563
Moved 783.9707 420.4441 481 0.1399168 0.2391974
Moved 784.0014 426.5873 481 0.1541373 0.2391974
Moved 784.0322 428.0179 481 0.1574488 0.2391974
Moved 784.0629 430.5 481 0.1631944 0.2391974
Moved 784.0936 431.2485 481 0.1649271 0.2391974
Moved 784.1244 432.2393 481 0.1672206 0.2391974
Stationary 784.1551 432.2393 481 0.1672206 0.2391974
Stationary 784.1858 432 481 0.1666667 0.2391974
Moved 784.2166 433.5 481 0.1701389 0.2391974
Moved 784.2473 433 481 0.1689814 0.2391974
Stationary 784.2781 433 481 0.1689814 0.2391974
Stationary 784.3088 433 481 0.1689814 0.2391974
Stationary 784.3395 433 481 0.1689814 0.2391974
Stationary 784.3702 433 481 0.1689814 0.2391974
Stationary 784.4009 433 481 0.1689814 0.2391974
Stationary 784.4317 433 481 0.1689814 0.2391974
Stationary 784.4624 433 481 0.1689814 0.2391974
Stationary 784.4932 433 481 0.1689814 0.2391974
Stationary 784.5239 433 481 0.1689814 0.2391974
Stationary 784.5546 433 481 0.1689814 0.2391974
Stationary 784.5854 433 481 0.1689814 0.2391974
Stationary 784.6161 433 481 0.1689814 0.2391974
Stationary 784.6469 433 481 0.1689814 0.2391974
Stationary 784.6776 433 481 0.1689814 0.2391974
Stationary 784.7083 433 481 0.1689814 0.2391974
Stationary 784.739 433 481 0.1689814 0.2391974
Ended 784.7698 433 481 0.1689814 0.2391974
Backspace 785.323
Began 786.1528 295 550 -0.150463 0.4166666
Stationary 786.1835 295 550 -0.150463 0.4166666
Stationary 786.2143 295 550 -0.150463 0.4166666
Stationary 786.245 295 550 -0.150463 0.4166666
Moved 786.2758 300.7818 536.6961 -0.1370791 0.3824487
Moved 786.3065 307.3814 526.2371 -0.1218022 0.3555481
Moved 786.3372 313.1476 513.7047 -0.1084545 0.3233145
Moved 786.3679 318.2831 503.5281 -0.09656688 0.2971402
Moved 786.3987 323.9153 494.127 -0.08352931 0.2729602
Moved 786.4294 331.6588 479.8531 -0.06560475 0.2362477
Moved 786.4601 339.5 466 -0.04745369 0.2006171
