insurance is important for bad drivers
Basic
0.6 0.6
432 388.8
Began 809.1415 512 565 0.3518519 0.4552468
Stationary 809.1722 512 565 0.3518519 0.4552468
Stationary 809.2029 512 565 0.3518519 0.4552468
Stationary 809.2337 512 565 0.3518519 0.4552468
Stationary 809.2644 512 565 0.3518519 0.4552468
Moved 809.2948 498.2501 565 0.3200233 0.4552468
Moved 809.3259 489.2104 555.4736 0.2990981 0.4307446
Moved 809.3566 479.5228 547.6421 0.2766731 0.410602
Moved 809.3873 467.6832 536.6832 0.2492666 0.3824154
Moved 809.4181 453.3995 521.3325 0.2162026 0.3429333
Moved 809.4488 442.3088 506.886 0.1905296 0.3057766
Moved 809.4796 433.1696 495.1696 0.1693741 0.2756419
Moved 809.5103 425.3935 481.787 0.1513738 0.2412216
Moved 809.541 415.9394 464.5657 0.1294893 0.196928
Moved 809.5717 409.8872 451.7745 0.1154797 0.164029
Moved 809.6025 404.7439 439.2317 0.1035738 0.1317686
Moved 809.6332 400.9987 424.9938 0.0949045 0.09514863
Moved 809.6639 400 407.896 0.09259263 0.05117274
Moved 809.6946 400 393.5 0.09259263 0.01414597
Moved 809.7254 400 374.2864 0.09259263 -0.03527166
Moved 809.7562 398.8456 360.2278 0.08992036 -0.07143044
Moved 809.7869 399 346.8519 0.09027779 -0.1058337
Moved 809.8176 397.4672 334.803 0.08672952 -0.1368237
Moved 809.8483 395.6003 321.401 0.08240799 -0.1712939
Moved 809.8791 396 308.5928 0.08333336 -0.2042366
Moved 809.9099 395 297.5533 0.08101851 -0.2326305
Moved 809.9406 395 288.8969 0.08101851 -0.2548949
Moved 809.9713 395 283.8544 0.08101851 -0.2678642
Moved 810.002 395 280.5552 0.08101851 -0.2763498
Moved 810.0327 395 279 0.08101851 -0.2803498
Moved 810.0635 395 278 0.08101851 -0.2829219
Stationary 810.0942 395 278 0.08101851 -0.2829219
Stationary 810.1249 395 278 0.08101851 -0.2829219
Moved 810.1557 391.5371 290.6172 0.07300257 -0.2504703
Moved 810.1864 382.9185 304.1222 0.05305211 -0.2157352
Moved 810.2172 373.3406 318.4323 0.03088107 -0.1789295
Moved 810.2479 353.0289 341.118 -0.01613672 -0.1205812
Moved 810.2786 345.4949 347.2041 -0.03357659 -0.1049278
Moved 810.3094 327.9721 357.5139 -0.0741386 -0.07841071
Moved 810.3401 311.744 365.0853 -0.1117038 -0.05893691
Moved 810.3708 300.6814 369.1062 -0.1373117 -0.04859516
Moved 810.4016 287.2938 372.8531 -0.1683015 -0.03895795
Moved 810.4323 272.5406 377.5837 -0.2024522 -0.02679087
Moved 810.463 261.3511 380.1622 -0.228354 -0.02015887
Moved 810.4938 253.8676 382.7108 -0.2456769 -0.01360403
Moved 810.5245 247.8443 386 -0.2596195 -0.005144111
Moved 810.5552 244.5459 387.4541 -0.2672549 -0.00140406
Moved 810.5859 243.0211 389.9789 -0.2707844 0.005089638
Moved 810.6167 243 391.8373 -0.2708333 0.009869429
Moved 810.6475 243 394.7079 -0.2708333 0.01725271
Moved 810.6782 256.3422 400.1711 -0.2399487 0.03130418
Moved 810.7089 272.0544 405.4518 -0.2035779 0.04488643
Moved 810.7396 285.1349 409.0338 -0.1732987 0.05409904
Moved 810.7704 294.8088 411.9044 -0.1509056 0.06148236
Moved 810.8011 304.3258 413.5815 -0.1288755 0.06579588
Moved 810.8318 313.9452 416.3151 -0.1066083 0.07282677
Moved 810.8626 322.5504 419.1835 -0.08668895 0.08020432
Moved 810.8934 331.1761 422.0587 -0.06672189 0.08759949
Moved 810.9241 339.2163 426.1082 -0.04811049 0.09801476
Moved 810.9548 349.6771 431.8386 -0.0238957 0.1127535
Moved 810.9855 359.1741 439.8806 -0.001911869 0.1334376
Moved 811.0162 369.6709 448.5032 0.02238641 0.1556151
Moved 811.0469 380.162 457.162 0.04667123 0.1778857
Moved 811.0777 391.3848 466.7886 0.07265002 0.2026454
Moved 811.1085 402.8367 476.3776 0.09915908 0.2273085
Moved 811.1392 413.9436 487.9437 0.1248695 0.2570566
Moved 811.1699 426.4122 501.4122 0.1537319 0.2916979
Moved 811.2006 435.9125 510.1844 0.1757234 0.3142602
Moved 811.2314 444.8446 516.2297 0.1963996 0.329809
Moved 811.2621 451.3705 521.1852 0.2115058 0.3425545
Moved 811.2928 457.0507 525.0507 0.2246544 0.3524964
Moved 811.3236 459.9163 527.9163 0.2312878 0.3598671
Moved 811.3543 461 529.5 0.2337964 0.3639403
Moved 811.385 461 530.0975 0.2337964 0.3654769
Moved 811.4158 461 531.1972 0.2337964 0.3683055
Moved 811.4465 452.3237 532 0.2137123 0.3703703
Moved 811.4772 444.0944 533 0.1946629 0.3729423
Moved 811.508 429.7279 533 0.1614071 0.3729423
Moved 811.5387 414.4065 533 0.125941 0.3729423
Moved 811.5695 400.0407 533 0.09268671 0.3729423
Moved 811.6002 387.2829 533 0.06315489 0.3729423
Moved 811.6309 374.5397 523.7698 0.03365676 0.3492022
Moved 811.6617 360.537 519.0148 0.001242955 0.3369721
Moved 811.6924 345.9625 513.9875 -0.03249422 0.3240418
Moved 811.7231 329.7155 507.2385 -0.07010306 0.3066834
Moved 811.7539 315.2127 500.7277 -0.1036742 0.2899373
Moved 811.7846 300.8125 495.3625 -0.1370081 0.2761379
Moved 811.8153 290.139 491.7847 -0.1617154 0.266936
Moved 811.846 279.6581 487.829 -0.1859767 0.2567619
Moved 811.8768 270.1493 485.0497 -0.2079877 0.2496134
Moved 811.9075 262.5 482.5 -0.2256944 0.2430555
Moved 811.9383 253.9344 479.6448 -0.2455221 0.235712
Moved 811.969 244.1183 472.1183 -0.2682448 0.2163536
Moved 811.9997 232.7153 460.6204 -0.2946405 0.1867808
Moved 812.0305 224.1852 449.9753 -0.3143862 0.1594014
Moved 812.0612 216.5779 439.1039 -0.3319955 0.1314401
Moved 812.0919 211.3166 427.2916 -0.3441744 0.1010587
Moved 812.1227 207.7917 419.5835 -0.3523339 0.08123323
Moved 812.1534 206 413.4948 -0.3564815 0.06557288
Moved 812.1841 205 409.3781 -0.3587963 0.05498466
