I listen to the tape everyday
Basic
0.6 0.6
432 388.8
Moved 1475.821 204 403 -0.3611111 0.03858017
Moved 1475.851 204 414.9556 -0.3611111 0.06933008
Moved 1475.882 214.5 423.5 -0.3368055 0.09130646
Moved 1475.913 224.351 443.3642 -0.3140023 0.1423975
Moved 1475.943 230.3438 455.6875 -0.3001302 0.1740933
Moved 1475.974 234.7964 463.6945 -0.2898233 0.1946875
Moved 1476.005 238.729 473.187 -0.2807199 0.2191022
Moved 1476.036 240.0023 476.0047 -0.2777724 0.2263495
Moved 1476.066 242.7265 481.7264 -0.2714665 0.2410659
Moved 1476.097 244.4497 488.3491 -0.2674776 0.2580994
Moved 1476.128 248.3533 494.53 -0.2584413 0.2739969
Moved 1476.158 251.1831 499.7746 -0.251891 0.287486
Moved 1476.189 257.6167 506.6166 -0.2369985 0.3050838
Moved 1476.22 267.1559 515.1169 -0.2149168 0.3269469
Moved 1476.251 275.5 522.5 -0.1956018 0.3459361
Moved 1476.281 286.6362 530.4772 -0.1698235 0.3664535
Moved 1476.312 291.781 532.8905 -0.1579143 0.3726607
Moved 1476.343 309.8659 542.4329 -0.1160512 0.397204
Moved 1476.374 321.4781 546.1195 -0.08917118 0.4066859
Moved 1476.404 332.5052 549.7526 -0.06364549 0.4160302
Moved 1476.435 343.3725 552.5931 -0.0384896 0.4233362
Moved 1476.466 354.2711 554.3177 -0.01326139 0.4277719
Moved 1476.496 367.3177 556 0.01693924 0.4320986
Moved 1476.527 377.7962 556 0.04119486 0.4320986
Moved 1476.558 388.6655 556 0.06635536 0.4320986
Moved 1476.589 398.5714 556 0.08928557 0.4320986
Moved 1476.619 405.8049 556 0.1060299 0.4320986
Moved 1476.65 410.9821 556 0.118014 0.4320986
Moved 1476.681 413.7159 556 0.1243422 0.4320986
Moved 1476.712 414.5 556 0.1261574 0.4320986
Moved 1476.742 414 550.0952 0.125 0.4169113
Moved 1476.773 414 546.4382 0.125 0.4075055
Moved 1476.804 405.068 543.724 0.104324 0.4005246
Moved 1476.834 398.019 540.2548 0.08800705 0.3916016
Moved 1476.865 385.1028 537.6205 0.05810847 0.3848264
Moved 1476.896 369.3484 535.9069 0.02163986 0.3804189
Moved 1476.927 355.9028 534 -0.009484242 0.3755144
Moved 1476.957 349.099 532.8198 -0.02523387 0.3724787
Moved 1476.988 332.5 530.5 -0.06365741 0.3665122
Moved 1477.019 320.6096 528.4024 -0.09118149 0.3611172
Moved 1477.049 310.0378 527 -0.1156534 0.3575102
Moved 1477.08 299.0683 525.2671 -0.1410456 0.3530532
Moved 1477.111 290.6319 525 -0.1605742 0.3523662
Moved 1477.142 283.4418 525 -0.1772181 0.3523662
Moved 1477.172 278.1848 524 -0.189387 0.3497942
Moved 1477.203 274.7137 524 -0.197422 0.3497942
Moved 1477.234 269.9847 523 -0.2083687 0.3472221
Moved 1477.265 267.2564 522.2564 -0.2146843 0.3453096
Moved 1477.295 265.764 522 -0.2181388 0.3446501
Moved 1477.326 264.6931 522 -0.2206179 0.3446501
Stationary 1477.357 264.6931 522 -0.2206179 0.3446501
Moved 1477.387 264 519.1931 -0.2222222 0.3374307
Moved 1477.418 264 518.1252 -0.2222222 0.334684
Moved 1477.449 275.7748 506.6702 -0.1949657 0.3052217
Moved 1477.48 288.4127 491.3048 -0.1657114 0.2657016
Moved 1477.51 301.0308 473.963 -0.1365027 0.2210982
Moved 1477.541 311.3782 462.2773 -0.1125505 0.1910423
Moved 1477.572 324.6349 449.3651 -0.0818637 0.157832
Moved 1477.603 333.5409 438.4591 -0.06124795 0.1297815
Moved 1477.633 342.4384 426.9519 -0.04065176 0.1001849
Moved 1477.664 352.0942 415.8869 -0.01830037 0.07172552
Moved 1477.695 362.9425 401.3219 0.006811321 0.03426411
Moved 1477.725 373.8737 389.6579 0.03211498 0.004264101
Moved 1477.756 385.937 375.8755 0.06003946 -0.03118428
Moved 1477.787 396.81 363.19 0.08520821 -0.06381179
