the facts get in the way
Basic
0.6 0.6
432 388.8
Began 546.9578 291 512 -0.1597222 0.31893
Stationary 546.9886 291 512 -0.1597222 0.31893
Stationary 547.0193 291 512 -0.1597222 0.31893
Stationary 547.05 291 512 -0.1597222 0.31893
Stationary 547.0807 291 512 -0.1597222 0.31893
Moved 547.1115 277.8381 512 -0.1901896 0.31893
Moved 547.1422 273.3056 517.9305 -0.2006815 0.3341833
Moved 547.173 267 521.5 -0.2152778 0.3433641
Moved 547.2037 259.8379 526.1081 -0.2318568 0.3552162
Moved 547.2344 252.3645 530.8177 -0.2491562 0.3673295
Moved 547.2651 249.4243 533.5757 -0.2559622 0.3744229
Moved 547.2958 249 535.5 -0.2569445 0.3793723
Moved 547.3266 249 536 -0.2569445 0.3806583
Moved 547.3573 249 537.069 -0.2569445 0.3834077
Moved 547.3881 259.279 537 -0.2331506 0.3832304
Moved 547.4188 268.5684 537 -0.2116473 0.3832304
Moved 547.4495 283.5 524.5 -0.1770833 0.3510802
Moved 547.4803 299.4503 510.7914 -0.1401612 0.3158214
Moved 547.5109 313.0601 497.9399 -0.1086571 0.2827671
Moved 547.5417 323.2834 485.2599 -0.08499215 0.2501541
Moved 547.5724 332.6096 470.9841 -0.0634038 0.2134363
Moved 547.6031 341.7946 455.3081 -0.04214207 0.1731175
Moved 547.6338 352 441.5 -0.01851852 0.1376028
Moved 547.6646 358.1814 429.5466 -0.004209777 0.1068584
Moved 547.6953 365.5482 415.7531 0.01284291 0.07138126
Moved 547.7261 372.8102 403.5864 0.02965331 0.04008827
Moved 547.7568 379.1374 392.8169 0.04429946 0.01238901
Moved 547.7875 388.3058 377.8677 0.06552269 -0.02606043
Moved 547.8182 396.1828 363.6345 0.08375645 -0.06266864
Moved 547.849 401.6937 356.3063 0.09651323 -0.08151686
Moved 547.8797 403.7726 353.2274 0.1013256 -0.08943589
Stationary 547.9105 404 353 0.1018518 -0.09002065
Moved 547.9412 368.1306 378.6086 0.01882076 -0.02415488
Moved 547.9719 343.8313 402.1476 -0.03742764 0.03638785
Moved 548.0027 325.0418 423.9478 -0.08092181 0.09245814
Moved 548.0334 309.8042 438.435 -0.116194 0.1297195
Moved 548.0641 298.0572 451.9237 -0.1433861 0.1644128
Moved 548.0948 289.5 463 -0.1631944 0.1929011
Moved 548.1255 276.0944 476.9056 -0.194226 0.2286666
Moved 548.1563 267.227 487.773 -0.2147522 0.2566178
Moved 548.187 259.6493 497.7014 -0.2322933 0.2821536
Moved 548.2177 252.8542 506.1944 -0.2480226 0.3039978
Moved 548.2485 249.1673 511.6653 -0.2565571 0.3180692
Moved 548.2792 247 515.1956 -0.2615741 0.3271491
Moved 548.3099 246 518.3588 -0.2638889 0.335285
Moved 548.3407 244.1877 521.8124 -0.2680842 0.3441675
Moved 548.3714 243.4249 525.1501 -0.2698496 0.3527522
Moved 548.4022 243 528.346 -0.2708333 0.3609722
Moved 548.4329 241.904 532.096 -0.2733704 0.3706172
Moved 548.4635 242 534.5 -0.2731481 0.3768003
Moved 548.4943 242 534 -0.2731481 0.3755144
Stationary 548.5251 242 534 -0.2731481 0.3755144
Ended 548.5557 242 534 -0.2731481 0.3755144
Began 549.5084 431 277 0.1643519 -0.2854939
Stationary 549.5391 431 277 0.1643519 -0.2854939
Stationary 549.5698 431 277 0.1643519 -0.2854939
Moved 549.6005 421.1616 277 0.1415777 -0.2854939
Moved 549.6313 414.9093 285.5453 0.1271048 -0.2635151
Moved 549.662 407.0959 288.3014 0.1090182 -0.2564265
Moved 549.6927 398.8233 292.0589 0.08986881 -0.2467621
Moved 549.7235 391.9645 295.6904 0.07399181 -0.2374219
Moved 549.7542 386.776 297 0.06198138 -0.2340535
Moved 549.7849 382.0107 299.9893 0.05095065 -0.226365
Moved 549.8157 376.5124 302.4875 0.03822317 -0.2199394
Moved 549.8464 369.4859 306.3428 0.02195805 -0.2100237
Moved 549.8771 359.2765 312.7926 -0.001674742 -0.1934347
Moved 549.9078 347.2114 321.7886 -0.02960319 -0.170297
Moved 549.9385 337.6143 330.3857 -0.05181869 -0.148185
Moved 549.9693 330.3383 336.7744 -0.06866122 -0.1317531
Moved 550.0001 322.1119 344.2587 -0.08770391 -0.1125033
Moved 550.0308 314.8694 352.1306 -0.104469 -0.09225688
Moved 550.0615 307.3992 359.6008 -0.1217611 -0.07304336
Moved 550.0922 300.2312 366.1792 -0.1383538 -0.05612353
Moved 550.123 291.9321 372.712 -0.1575647 -0.03932113
Moved 550.1537 279.5258 380.3556 -0.1862828 -0.01966162
Moved 550.1844 268.8268 386.0866 -0.211049 -0.004921352
Moved 550.2151 257.8378 389.2905 -0.2364866 0.003319257
Moved 550.2458 246.8328 393.0334 -0.2619611 0.01294603
Moved 550.2766 233.0763 396.7847 -0.2938049 0.02259443
Moved 550.3073 221.1287 399.1743 -0.3214614 0.02874033
Moved 550.3381 207.3678 399 -0.3533154 0.02829214
Moved 550.3688 195.2785 399 -0.3812997 0.02829214
Moved 550.3995 185.2471 399 -0.4045207 0.02829214
Moved 550.4302 177.4063 399 -0.4226706 0.02829214
Moved 550.461 170.1473 399 -0.4394739 0.02829214
Moved 550.4917 164.2524 399 -0.4531194 0.02829214
Moved 550.5224 160.3158 393.1054 -0.4622319 0.01313111
Moved 550.5532 157.4471 391 -0.4688725 0.007715971
Moved 550.5839 155.6769 390 -0.4729702 0.005143954
Moved 550.6146 156 388.6438 -0.4722222 0.001655783
Stationary 550.6453 156 389 -0.4722222 0.002572016
Stationary 550.6761 156 389 -0.4722222 0.002572016
Stationary 550.7068 156 389 -0.4722222 0.002572016
Moved 550.7375 168.4309 389 -0.4434469 0.002572016
Moved 550.7682 174.7446 389 -0.4288321 0.002572016
Moved 550.799 183.0181 386.994 -0.4096805 -0.002587675
Moved 550.8297 192.0751 381.4624 -0.3887149 -0.01681489
Moved 550.8604 202 373.5 -0.3657407 -0.03729432
Moved 550.8912 213.7097 364.2903 -0.3386349 -0.06098185
Moved 550.9219 225.6974 353.3026 -0.3108856 -0.08924256
Moved 550.9526 237.1685 339.3978 -0.2843321 -0.1250058
