travel at the speed of light
Basic
0.6 0.6
432 388.8
Moved 284.1507 281.2449 414.0203 -0.1823034 0.0669245
Moved 284.1814 287.1504 399.124 -0.1686333 0.02861093
Moved 284.2121 291.3214 389.0358 -0.1589782 0.002663891
Moved 284.2429 296.0662 383.8676 -0.1479949 -0.01062864
Ended 284.2736 300.3646 382.5452 -0.138045 -0.01402992
Began 284.5812 472 528 0.2592593 0.3600822
Stationary 284.6119 472 528 0.2592593 0.3600822
Moved 284.6427 450.4109 514.1318 0.2092844 0.3244129
Moved 284.6735 419.3119 487.9816 0.137296 0.2571543
Moved 284.7042 391.117 461.8524 0.07203013 0.1899496
Moved 284.735 370.5 443 0.02430558 0.1414608
Moved 284.7658 350.6487 425.1712 -0.02164657 0.09560487
Moved 284.7965 336.3313 413.1094 -0.05478874 0.06458165
Moved 284.8273 320.745 400.196 -0.09086797 0.03136827
Moved 284.858 311.3564 393.5709 -0.112601 0.01432846
Moved 284.8888 308.0205 390.0205 -0.1203229 0.00519674
Moved 284.9195 307 390 -0.1226852 0.005143954
Ended 284.9503 307 390 -0.1226852 0.005143954
Began 285.1964 488 401 0.2962963 0.03343609
Stationary 285.2271 488 401 0.2962963 0.03343609
Stationary 285.2578 488 401 0.2962963 0.03343609
Moved 285.2886 488 422.4227 0.2962963 0.0885357
Moved 285.3193 476.6393 450.984 0.2699983 0.1619958
Moved 285.3501 471.0601 484.2791 0.2570836 0.2476312
Moved 285.3809 470 506.914 0.2546296 0.3058487
Moved 285.4117 469 523.2976 0.2523148 0.3479876
Moved 285.4424 468.1004 530.6987 0.2502324 0.3670234
Moved 285.4732 466.3425 534.6575 0.2461632 0.3772054
Moved 285.5039 464.5836 535 0.2420916 0.3780863
Moved 285.5347 446.2527 508.8791 0.1996591 0.3109029
Moved 285.5654 406.1479 443.0515 0.1068238 0.1415932
Moved 285.5962 385.902 410.5034 0.0599584 0.05787888
Moved 285.6269 365.2731 382.0654 0.01220614 -0.01526413
Moved 285.6577 351.2958 367.8367 -0.0201485 -0.05186041
Moved 285.6884 343.3942 360.3942 -0.03843929 -0.07100258
Moved 285.7192 341.5 359.5 -0.04282405 -0.07330247
Moved 285.7499 342 360 -0.04166668 -0.07201654
Moved 285.7807 372.0053 379.5027 0.02779017 -0.02185531
Moved 285.8114 388.0245 388.0123 0.06487161 3.147517E-05
Moved 285.8422 396.5406 391 0.08458465 0.007715971
Moved 285.873 399.5 392 0.09143522 0.01028803
Moved 285.9037 400 393.0055 0.09259263 0.01287413
Moved 285.9344 400 394.7721 0.09259263 0.0174179
Moved 285.9652 394.1785 404.1754 0.07911693 0.04160316
Moved 285.996 377.1304 419.8478 0.03965368 0.08191308
Moved 286.0268 351.4753 448.9747 -0.01973321 0.1568279
Moved 286.0575 331.5563 470.4437 -0.06584187 0.2120465
Moved 286.0882 320.0205 484.2244 -0.0925452 0.2474907
Moved 286.119 313.696 492.6079 -0.1071851 0.2690532
Moved 286.1497 310.5868 500.8265 -0.1143825 0.2901915
Moved 286.1805 310 509.4993 -0.1157407 0.3124981
Ended 286.2113 310 510.5 -0.1157407 0.3150719
PhraseEnd 286.6111
