is there any indication of this
Basic
0.6 0.6
432 388.8
Began 168.4815 427 519 0.1550926 0.3369341
Stationary 168.5122 427 519 0.1550926 0.3369341
Moved 168.543 408.8388 510.2796 0.1130528 0.3145051
Moved 168.5738 389.5 500 0.06828706 0.2880658
Moved 168.6046 354.1118 481.5559 -0.01363014 0.2406272
Moved 168.6353 325.3549 463.8468 -0.08019696 0.1950792
Moved 168.666 301.4872 448.8555 -0.1354463 0.1565212
Moved 168.6968 279.8474 433.8983 -0.1855385 0.1180509
Moved 168.7276 264.9284 424.6963 -0.2200732 0.09438334
Moved 168.7583 253 417.5 -0.2476852 0.0758744
Moved 168.789 242.2677 410.2677 -0.2725285 0.05727289
Moved 168.8198 232.8566 405.5711 -0.2943133 0.04519309
Moved 168.8506 224.5823 401.0549 -0.3134668 0.0335773
Moved 168.8813 216.2924 395.5283 -0.3326564 0.01936273
Moved 168.9121 212.9998 391.9998 -0.3402784 0.01028736
Ended 168.9428 211.9534 392 -0.3427005 0.01028803
Began 169.1581 377 547 0.03935188 0.4089505
Moved 169.1889 377 531.0199 0.03935188 0.3678494
Moved 169.2197 377 520.3187 0.03935188 0.3403258
Moved 169.2504 392.1591 494.4015 0.07444233 0.2736663
Moved 169.2811 403.3738 469.7029 0.1004023 0.2101411
Moved 169.3118 414.0547 446.8633 0.1251266 0.1513973
Moved 169.3426 419.5346 425.6289 0.1378116 0.09678204
Moved 169.3734 421 413 0.1412037 0.06430033
Moved 169.4041 421 406.0759 0.1412037 0.04649134
Moved 169.4349 421 399.8071 0.1412037 0.03036789
Moved 169.4656 406.0856 394.0171 0.1066796 0.01547605
Moved 169.4964 383.8088 395 0.05511294 0.01800408
Moved 169.5272 345.3006 414.0151 -0.03402645 0.06691124
Moved 169.5579 310.3507 429.6074 -0.1149288 0.1070147
Moved 169.5887 275.9438 445.8224 -0.1945745 0.1487202
Moved 169.6194 251.4426 454.9672 -0.2512903 0.1722408
Moved 169.6501 228.2435 463.1813 -0.3049919 0.1933676
Moved 169.6809 216.5267 468.1578 -0.3321142 0.206167
Moved 169.7117 209.0289 474.9711 -0.3494702 0.2236911
Moved 169.7424 207.6555 477.6891 -0.3526494 0.2306818
Moved 169.7732 208 482.1047 -0.3518518 0.2420388
Moved 169.804 214.9505 489.6064 -0.3357626 0.2613334
Moved 169.8347 228.5 496.5 -0.3043981 0.2790637
Moved 169.8654 249.1243 502.0178 -0.2566568 0.2932554
Moved 169.8962 268.4951 506 -0.2118169 0.3034978
Moved 169.927 272.0899 506 -0.2034955 0.3034978
Moved 169.9578 275.9981 506 -0.1944487 0.3034978
Moved 169.9885 277 506 -0.1921296 0.3034978
Stationary 170.0192 277 506 -0.1921296 0.3034978
Stationary 170.05 277 506 -0.1921296 0.3034978
Moved 170.0807 264.4378 506 -0.2212088 0.3034978
Moved 170.1115 249.652 506 -0.2554351 0.3034978
Moved 170.1422 238.2837 499 -0.2817506 0.2854938
Moved 170.173 230.0294 498 -0.300858 0.2829217
Moved 170.2037 226.5284 498 -0.308962 0.2829217
Stationary 170.2345 227 498 -0.3078704 0.2829217
Ended 170.2653 227 498 -0.3078704 0.2829217
Began 171.1571 182 396 -0.412037 0.02057605
Moved 171.1879 204.9528 371.5774 -0.3589055 -0.04223929
Moved 171.2187 249.9455 336.4283 -0.2547558 -0.1326433
Moved 171.2494 283.8033 318.37 -0.1763812 -0.1790896
Moved 171.2802 316.9066 301.3237 -0.09975313 -0.222933
Moved 171.311 338.1996 289.2003 -0.05046377 -0.2541147
Moved 171.3417 349.8918 283.0721 -0.0233987 -0.2698762
Moved 171.3725 355.5488 279.4512 -0.01030366 -0.2791893
Moved 171.4032 361.2706 277 0.002941191 -0.2854939
Moved 171.434 365.7544 275.1228 0.01332045 -0.2903221
Moved 171.4647 369.2537 275 0.02142062 -0.2906379
Moved 171.4955 372.0747 291.5228 0.02795061 -0.2481409
Moved 171.5262 372 318.9847 0.02777775 -0.1775085
Moved 171.557 359.6889 353.5109 -0.0007200738 -0.08870646
Moved 171.5877 349.9665 381.1006 -0.02322569 -0.01774548
Moved 171.6185 340.6982 404.1383 -0.04468019 0.04150791
Moved 171.6492 334 427.5 -0.06018519 0.1015946
Moved 171.68 327.4223 450.022 -0.07541135 0.1595214
Moved 171.7108 325.1827 464.0863 -0.08059552 0.1956952
Moved 171.7415 325 475 -0.08101851 0.2237653
Moved 171.7722 325 481.8458 -0.08101851 0.2413729
Moved 171.803 325 489.0875 -0.08101851 0.2599987
Moved 171.8338 325 494.724 -0.08101851 0.2744958
Moved 171.8645 325 499.4775 -0.08101851 0.286722
Moved 171.8953 325 503.006 -0.08101851 0.2957974
Ended 171.926 336 506 -0.05555556 0.3034978
Began 172.3258 422 519.4233 0.1435185 0.3380228
Moved 172.3566 408.2049 489.3326 0.1115854 0.260629
Moved 172.3873 395.4055 447.2166 0.08195718 0.1523059
Moved 172.4181 389.6639 415.9837 0.06866654 0.07197446
Moved 172.4489 383.0358 383.179 0.05332361 -0.01239988
Moved 172.4796 369.5326 334.6646 0.02206624 -0.1371795
Moved 172.5104 356.5204 296.3879 -0.008054525 -0.2356279
Moved 172.5411 351.8191 284.2766 -0.01893724 -0.2667785
Moved 172.5719 347.0116 279.0058 -0.03006572 -0.2803349
Moved 172.6026 337.5959 278 -0.05186125 -0.2829219
Moved 172.6334 314.1839 297.8528 -0.1060558 -0.23186
Moved 172.6642 287.6217 321.4348 -0.1675423 -0.1712068
Moved 172.6949 261.8454 344.1545 -0.2272097 -0.1127712
Moved 172.7256 242.9464 365.926 -0.2709574 -0.0567747
Moved 172.7564 241 381.3672 -0.275463 -0.0170597
Moved 172.7872 253.9531 403.0186 -0.2454789 0.03862797
Moved 172.8179 311.7115 441.2154 -0.1117788 0.1368708
Moved 172.8487 363.9149 465.9574 0.009062191 0.2005077
Moved 172.8794 392.7165 477.6866 0.07573257 0.2306753
Moved 172.9102 422.0848 484.6169 0.1437148 0.2485002
Moved 172.9409 436.2309 486 0.1764603 0.2520575
Moved 172.9717 440 486 0.1851852 0.2520575
