win first prize in the contest
Basic
0.6 0.6
432 388.8
Began 1035.707 228 486 -0.3055556 0.2520575
Stationary 1035.738 228 486 -0.3055556 0.2520575
Stationary 1035.769 228 486 -0.3055556 0.2520575
Moved 1035.8 240.799 486 -0.2759282 0.2520575
Moved 1035.83 247.405 486 -0.2606366 0.2520575
Moved 1035.861 258.0128 486 -0.2360814 0.2520575
Moved 1035.892 272.3789 486 -0.2028266 0.2520575
Moved 1035.922 285.5 486 -0.1724537 0.2520575
Moved 1035.953 299.2347 494.7286 -0.1406604 0.2745076
Moved 1035.984 315.8819 496.126 -0.1021252 0.2781017
Moved 1036.015 332.0173 502.0058 -0.06477471 0.2932247
Moved 1036.045 343.741 505.5482 -0.03763651 0.3023359
Moved 1036.076 359.1469 510.4294 -0.001974752 0.3148903
Moved 1036.107 374.8057 515.301 0.03427247 0.3274201
Moved 1036.137 387.9633 519.1606 0.06472995 0.3373471
Moved 1036.168 400.1511 522.3837 0.09294231 0.3456371
Moved 1036.199 414.244 526.561 0.1255647 0.356381
Moved 1036.23 426.7547 529.4387 0.1545247 0.3637825
Moved 1036.26 436.022 531 0.175977 0.3677982
Moved 1036.291 445.7559 532.8779 0.1985089 0.3726283
Moved 1036.322 452.4983 534.7491 0.2141165 0.3774411
Moved 1036.353 456.6179 535 0.2236524 0.3780863
Moved 1036.383 459.1558 536 0.2295273 0.3806583
Moved 1036.414 460.3734 536 0.2323458 0.3806583
Moved 1036.445 461.2309 536 0.2343307 0.3806583
Stationary 1036.475 461 536 0.2337964 0.3806583
Moved 1036.506 462 520.0268 0.2361111 0.3395749
Moved 1036.537 449.3211 484.8276 0.2067619 0.2490421
Moved 1036.568 439.9579 454.8597 0.1850877 0.1719642
Moved 1036.598 433.8587 423.1523 0.1709693 0.09041217
Moved 1036.629 432 396.1713 0.1666667 0.02101674
Moved 1036.66 429 368.4385 0.1597223 -0.05031264
Moved 1036.691 427 349.8455 0.1550926 -0.09813403
Moved 1036.721 425.2925 334.0477 0.1511401 -0.1387664
Moved 1036.752 425 316.0788 0.150463 -0.1849826
Moved 1036.783 425 303.1491 0.150463 -0.2182379
Moved 1036.813 425 294.9263 0.150463 -0.239387
Moved 1036.844 425 286.3215 0.150463 -0.2615188
Moved 1036.875 425 277.9451 0.150463 -0.2830631
Moved 1036.906 425 269.087 0.150463 -0.3058463
Moved 1036.936 425 264.8233 0.150463 -0.3168125
Moved 1036.967 425 258.8997 0.150463 -0.3320481
Moved 1036.998 425 256.0773 0.150463 -0.3393074
Moved 1037.029 425 253.5 0.150463 -0.3459363
Moved 1037.059 425 249.697 0.150463 -0.3557175
Ended 1037.09 425 250 0.150463 -0.3549383
Began 1037.858 349 371 -0.02546296 -0.04372435
Stationary 1037.889 349 371 -0.02546296 -0.04372435
Stationary 1037.92 349 371 -0.02546296 -0.04372435
Stationary 1037.95 349 371 -0.02546296 -0.04372435
Moved 1037.981 356.3805 386.1631 -0.008378427 -0.004724612
Moved 1038.012 362.9145 398.8717 0.006746451 0.02796212
Moved 1038.042 369.6572 409.3143 0.02235452 0.05482081
Moved 1038.073 375.392 417.088 0.03562957 0.07481457
Moved 1038.104 383.8655 427.0818 0.05524417 0.1005191
Moved 1038.135 394.2728 441.3638 0.07933528 0.1372524
Moved 1038.165 403.9159 450.9159 0.1016571 0.1618207
Moved 1038.196 413.5949 462.5949 0.1240623 0.1918592
Moved 1038.227 423.2584 472.6779 0.1464315 0.2177929
Moved 1038.258 431.8612 481.8612 0.1663453 0.2414124
Moved 1038.288 440.3203 492.4804 0.1859265 0.2687252
Moved 1038.319 445.7022 499.1067 0.1983848 0.2857681
Moved 1038.35 450.5778 503.5778 0.2096708 0.2972678
Moved 1038.38 453.4518 507.4518 0.2163237 0.3072321
Moved 1038.411 457.6446 511.3223 0.2260291 0.3171868
Moved 1038.442 461.6479 515.824 0.2352961 0.3287653
Moved 1038.473 464.7007 519.7007 0.2423626 0.3387363
Moved 1038.503 467 521.5712 0.2476852 0.3435472
Moved 1038.534 468.0063 523.0063 0.2500146 0.3472385
Stationary 1038.565 468 523 0.25 0.3472221
Moved 1038.595 468 524 0.25 0.3497942
Stationary 1038.626 468 524 0.25 0.3497942
Moved 1038.657 454.0045 525.2488 0.217603 0.3530062
Moved 1038.688 439.3833 525 0.1837577 0.3523662
Moved 1038.718 422.0255 525 0.1435777 0.3523662
Moved 1038.749 405.3213 525 0.1049103 0.3523662
Moved 1038.78 388.7839 525 0.06662945 0.3523662
Moved 1038.811 348.6781 525 -0.02620811 0.3523662
Moved 1038.841 339.5 525 -0.04745369 0.3523662
Moved 1038.872 332.9197 525 -0.06268581 0.3523662
Moved 1038.903 318.6097 520.8169 -0.09581094 0.3416072
Moved 1038.933 308.5677 516.5226 -0.1190563 0.3305621
Moved 1038.964 302.3167 517 -0.1335261 0.33179
Moved 1038.995 298.312 516 -0.1427963 0.329218
Moved 1039.026 294.2884 515.2884 -0.1521102 0.3273878
Moved 1039.056 291.4175 515 -0.1587557 0.326646
Moved 1039.087 288.8992 515 -0.1645853 0.326646
Moved 1039.118 287.5 515 -0.1678241 0.326646
Moved 1039.149 286.7515 515 -0.1695566 0.326646
Stationary 1039.179 286.7515 515 -0.1695566 0.326646
Stationary 1039.21 286.7515 515 -0.1695566 0.326646
Stationary 1039.241 287 515 -0.1689815 0.326646
Stationary 1039.271 287 515 -0.1689815 0.326646
Moved 1039.302 296.9556 515 -0.1459362 0.326646
Moved 1039.333 304.2134 515 -0.1291356 0.326646
Moved 1039.364 314.1489 515 -0.1061368 0.326646
Moved 1039.394 324.5945 513.8514 -0.08195728 0.3236918
Moved 1039.425 330.3887 513.3057 -0.06854464 0.3222881
Moved 1039.456 336.1313 512.4343 -0.05525167 0.320047
Moved 1039.487 340.8765 512 -0.04426743 0.31893
Moved 1039.517 343.312 512 -0.03862967 0.31893
Moved 1039.548 344.8213 511 -0.0351359 0.3163579
Moved 1039.579 346.6823 510 -0.03082797 0.3137859
Moved 1039.609 348.5 510 -0.02662038 0.3137859
Moved 1039.64 349.374 510 -0.0245973 0.3137859
