want to join us for lunch
Basic
0.6 0.6
432 388.8
Began 289.0543 301 563 -0.1365741 0.4501028
Stationary 289.085 301 563 -0.1365741 0.4501028
Stationary 289.1157 301 563 -0.1365741 0.4501028
Stationary 289.1465 301 563 -0.1365741 0.4501028
Moved 289.1772 290.2842 551.321 -0.1613791 0.4200643
Moved 289.2079 287.3448 544.0172 -0.1681833 0.4012788
Moved 289.2386 282.6111 537.4166 -0.179141 0.3843018
Moved 289.2693 277.9359 527.7435 -0.1899632 0.3594226
Moved 289.3001 273.4305 516.7222 -0.2003923 0.3310756
Moved 289.3308 270.5568 507.6704 -0.2070445 0.3077942
Moved 289.3615 267.6831 501.3663 -0.2136965 0.2915798
Moved 289.3923 266.1039 496.2079 -0.217352 0.2783124
Moved 289.423 264.2707 488.8121 -0.2215956 0.2592904
Moved 289.4537 261.4043 483.213 -0.2282307 0.2448892
Moved 289.4845 257.0838 471.7095 -0.2382319 0.2153022
Moved 289.5152 253.0228 462.0455 -0.2476325 0.1904461
Moved 289.5459 247.2772 451.5544 -0.2609324 0.1634628
Moved 289.5766 242.265 443.7949 -0.2725348 0.1435054
Moved 289.6073 238.5 438 -0.28125 0.1286007
Moved 289.6381 232.6672 430.6672 -0.2947518 0.1097406
Moved 289.6688 225.9071 421.9071 -0.3104003 0.08720959
Moved 289.6995 222.0833 416.0833 -0.3192516 0.07223066
Moved 289.7303 219.6574 412.6574 -0.3248671 0.06341914
Moved 289.7609 216.6789 408.679 -0.3317617 0.05318657
Moved 289.7917 214.8139 405.814 -0.3360788 0.04581781
Moved 289.8224 212.9422 402.9422 -0.3404115 0.03843154
Moved 289.8531 211.4425 401.4425 -0.3438831 0.03457423
Moved 289.8839 209.5757 398.5757 -0.3482045 0.02720075
Moved 289.9146 207.7039 396.7039 -0.3525373 0.02238654
Moved 289.9453 206.1159 394.1159 -0.3562132 0.01573017
Moved 289.976 204.2847 390.5693 -0.3604521 0.006608335
Moved 290.0068 201.4112 387.4113 -0.3671036 -0.001514301
Moved 290.0375 200 384.5457 -0.3703704 -0.008884673
Moved 290.0682 199 383.0248 -0.3726852 -0.01279635
Moved 290.0989 199 381.1481 -0.3726852 -0.01762335
Moved 290.1296 199 378.2783 -0.3726852 -0.02500448
Moved 290.1604 215.5 372 -0.3344907 -0.04115226
Moved 290.1911 241.5106 361.3958 -0.2742809 -0.06842656
Moved 290.2219 275.3144 347.8857 -0.1960315 -0.1031748
Moved 290.2526 309.0074 334.2978 -0.1180383 -0.138123
Moved 290.2833 330.6425 324.6788 -0.0679573 -0.1628633
Moved 290.314 356.4025 314.0991 -0.008327613 -0.1900745
Moved 290.3448 373.0844 307.6385 0.030288 -0.206691
Moved 290.3755 385.1855 302.9536 0.0582997 -0.2187408
Moved 290.4062 393.6757 299.4414 0.07795294 -0.2277741
Moved 290.437 399.8534 296.1466 0.09225319 -0.2362484
Moved 290.4677 406.5997 294.7001 0.1078697 -0.2399689
Moved 290.4984 410.7726 292.1137 0.117529 -0.2466211
Moved 290.5291 417.8817 286.1183 0.1339854 -0.2620415
Moved 290.5598 433.5036 268.9125 0.1701471 -0.306295
Moved 290.5906 444.3758 256.6242 0.1953143 -0.3379007
Moved 290.6213 448.9734 251.0266 0.2059569 -0.3522978
Moved 290.652 451.859 250 0.2126367 -0.3549383
Moved 290.6827 453.366 250 0.216125 -0.3549383
Moved 290.7134 454.0826 250 0.2177838 -0.3549383
Moved 290.7442 455.2268 250 0.2204324 -0.3549383
Moved 290.7749 456.0121 250 0.2222503 -0.3549383
Moved 290.8057 456 261.8212 0.2222222 -0.324534
Moved 290.8363 456 268.0044 0.2222222 -0.3086308
Moved 290.8671 444.979 279.7017 0.1967107 -0.2785452
Moved 290.8978 431.958 301.4588 0.1665694 -0.2225854
Moved 290.9286 421.6743 322.4886 0.1427646 -0.1684964
Moved 290.9592 412.6608 343.6785 0.1218999 -0.1139957
Moved 290.99 399.7428 371.0629 0.09199719 -0.04356243
Moved 291.0208 389.6918 393.6165 0.06873091 0.0144455
Moved 291.0515 383.2766 409.4467 0.05388111 0.05516126
Moved 291.0822 375.745 430.2617 0.03644675 0.1086978
Moved 291.1129 366.128 452.3679 0.01418521 0.1655553
Moved 291.1437 361.5065 465.9742 0.00348717 0.2005509
Moved 291.1744 356.9859 474.0212 -0.006977072 0.2212478
Moved 291.2051 352.1208 486.5167 -0.01823882 0.2533866
Moved 291.2358 345.4958 499.2563 -0.0335745 0.2861529
Moved 291.2666 342.5 508.5 -0.04050925 0.3099279
Moved 291.2973 339.8024 516.5928 -0.04675368 0.3307427
Moved 291.328 339 524.1804 -0.04861111 0.3502582
Moved 291.3587 338 529.8746 -0.05092591 0.3649038
Moved 291.3895 337 534.7048 -0.05324075 0.3773271
Moved 291.4202 337 539.35 -0.05324075 0.3892747
Moved 291.4508 335.5 541.5 -0.05671298 0.3948044
Moved 291.4816 336 544.0999 -0.05555556 0.4014914
Ended 291.5124 336 544.0999 -0.05555556 0.4014914
Began 292.2805 293 479 -0.1550926 0.2340534
Stationary 292.3113 293 479 -0.1550926 0.2340534
Stationary 292.342 293 479 -0.1550926 0.2340534
Stationary 292.3727 293 479 -0.1550926 0.2340534
Moved 292.4035 310.2245 479 -0.1152211 0.2340534
Moved 292.4342 320.7157 483.7526 -0.09093583 0.2462771
Moved 292.4649 333.0517 487.5129 -0.06238029 0.2559488
Moved 292.4956 345.2523 489.0505 -0.03413821 0.2599034
Moved 292.5264 359.7151 492.9288 -0.000659575 0.2698784
Moved 292.5567 369.3966 495.7989 0.02175152 0.2772604
Moved 292.5878 380.018 499.3453 0.04633794 0.2863819
Moved 292.6185 388.7166 502.2388 0.06647348 0.2938241
Moved 292.6492 397.3609 505.2406 0.08648356 0.3015447
Moved 292.68 405.9837 507.9946 0.1064439 0.308628
Moved 292.7107 413.9217 510.6406 0.1248188 0.3154334
Moved 292.7414 423.163 513.3877 0.1462107 0.3224991
Moved 292.7722 434.0916 517.5458 0.1715084 0.3331938
Moved 292.8029 441.4312 519 0.1884983 0.3369341
Moved 292.8336 448.5995 520.6498 0.2050913 0.3411775
