that is a very nasty cut
Basic
0.6 0.6
432 388.8
Began 707.0759 397 516 0.0856481 0.329218
Stationary 707.1066 397 516 0.0856481 0.329218
Stationary 707.1373 397 516 0.0856481 0.329218
Stationary 707.168 397 516 0.0856481 0.329218
Moved 707.1988 397 495.4551 0.0856481 0.2763763
Moved 707.2294 404.7318 475.8455 0.1035459 0.2259399
Moved 707.2602 418.0445 456.3467 0.1343622 0.1757887
Moved 707.291 431.2435 441.7565 0.1649155 0.1382626
Moved 707.3217 447.0932 424.9068 0.2016046 0.09492485
Moved 707.3524 456.7469 413.2531 0.2239511 0.0649513
Moved 707.3831 462.6949 404.9577 0.2377196 0.04361541
Moved 707.4139 464 398.4865 0.2407408 0.02697124
Moved 707.4446 465.515 393.97 0.2442476 0.01535498
Moved 707.4753 466 389.713 0.2453704 0.004405858
Moved 707.506 466 385.9491 0.2453704 -0.005275035
Moved 707.5367 466 383.5016 0.2453704 -0.01156984
Moved 707.5675 466 380.7324 0.2453704 -0.01869257
Moved 707.5983 466 376.9392 0.2453704 -0.02844862
Moved 707.629 440.5526 367.0477 0.1864643 -0.05388989
Moved 707.6597 374.0385 358.7792 0.03249655 -0.07515652
Moved 707.6905 324.6338 359 -0.08186623 -0.07458848
Moved 707.7212 288.3217 367.4464 -0.165922 -0.05286425
Moved 707.7519 259.1838 371.3027 -0.2333709 -0.04294572
Moved 707.7827 229.3618 374.9196 -0.3024032 -0.03364296
Moved 707.8134 205.9648 377.7193 -0.3565631 -0.02644213
Moved 707.8441 183.6683 379.476 -0.4081753 -0.02192415
Moved 707.8749 168.3678 380 -0.4435931 -0.02057613
Moved 707.9056 160.6404 382 -0.4614807 -0.01543218
Moved 707.9363 158.5639 384.4361 -0.4662873 -0.009166419
Moved 707.9671 158 387.1913 -0.4675925 -0.00208007
Moved 707.9977 158 393.4182 -0.4675925 0.01393554
Moved 708.0284 174.8684 405.8684 -0.4285454 0.04595784
Moved 708.0592 189.9061 416.7767 -0.3937358 0.07401396
Moved 708.09 213.1554 428.0777 -0.339918 0.1030804
Moved 708.1207 247.0422 444.6843 -0.2614763 0.1457928
Moved 708.1515 272.8014 457.4452 -0.2018487 0.1786141
Moved 708.1821 301.2671 472.2123 -0.1359558 0.2165954
Moved 708.2128 321.8013 482.8006 -0.08842285 0.2438286
Moved 708.2437 341.1237 495.0707 -0.04369507 0.2753875
Moved 708.2743 355.9164 505.1331 -0.00945275 0.3012682
Moved 708.3051 367.1785 512.0892 0.01661678 0.3191595
Moved 708.3358 376.0692 518.0346 0.03719717 0.334451
Moved 708.3665 383.5588 522.5588 0.05453428 0.3460873
Moved 708.3972 389.092 525.546 0.06734271 0.3537706
Moved 708.428 393.6242 528.3121 0.07783373 0.3608848
Moved 708.4587 397.7536 530 0.08739252 0.3652262
Moved 708.4894 401.5159 532 0.09610166 0.3703703
Moved 708.5202 405.272 533 0.1047962 0.3729423
Moved 708.5509 406.7637 534.7637 0.1082493 0.3774785
Moved 708.5816 407.5 535.5 0.1099537 0.3793723
Moved 708.6124 407 536.1798 0.1087963 0.3811208
Stationary 708.6431 407 536 0.1087963 0.3806583
Stationary 708.6738 407 536 0.1087963 0.3806583
Ended 708.7046 407 536 0.1087963 0.3806583
Began 709.4114 536 535 0.4074074 0.3780863
Stationary 709.4421 536 535 0.4074074 0.3780863
Stationary 709.4728 536 535 0.4074074 0.3780863
Moved 709.5036 515.8391 535 0.3607386 0.3780863
Moved 709.5343 504.1753 526.0701 0.3337391 0.3551185
Moved 709.5651 493.3154 522.2631 0.3086004 0.3453268
Moved 709.5958 481.0138 516.5035 0.2801245 0.330513
Moved 709.6265 470.0164 511.7541 0.2546675 0.3182974
Moved 709.6572 455.6608 504.8304 0.2214369 0.3004896
Moved 709.688 437.5655 496.0262 0.1795496 0.2778451
Moved 709.7187 420.4797 488.4932 0.1399994 0.2584702
Moved 709.7494 401.6266 479.6971 0.09635787 0.2358465
Moved 709.7802 378.3526 469.6322 0.04248291 0.2099592
Moved 709.8109 355.4802 459.3487 -0.01046245 0.1835099
Moved 709.8416 334.2774 448.1387 -0.05954305 0.1546777
Moved 709.8724 321.2898 442.1449 -0.08960693 0.1392615
Moved 709.9031 294.5363 432.5609 -0.1515364 0.1146112
Moved 709.9338 270.8336 426.1852 -0.2064038 0.09821294
Moved 709.9645 246.9842 420.6631 -0.2616106 0.08401007
Moved 709.9953 229.1492 416.8785 -0.3028954 0.07427584
Moved 710.026 216.4583 413.1146 -0.3322726 0.06459495
Moved 710.0567 207.6968 411.3484 -0.3525538 0.06005236
Moved 710.0875 202.1999 408.5999 -0.3652781 0.05298331
Moved 710.1182 199.1587 408 -0.3723179 0.05144025
Moved 710.1489 196.3977 406.3977 -0.3787091 0.04731916
Moved 710.1797 193.634 403.634 -0.3851064 0.04021091
Moved 710.2104 191.1229 401.1229 -0.3909191 0.03375238
Moved 710.2411 188.3966 398.3966 -0.3972301 0.0267402
Moved 710.2719 186.6313 397 -0.4013165 0.02314815
Moved 710.3026 187 395.5 -0.4004629 0.01929004
Moved 710.3333 186.4249 395 -0.4017942 0.01800408
Moved 710.3641 185.5 395 -0.4039352 0.01800408
Moved 710.3948 186 393.7601 -0.4027778 0.01481511
Stationary 710.4255 186 393.7601 -0.4027778 0.01481511
Stationary 710.4562 186 393.7601 -0.4027778 0.01481511
Stationary 710.4869 186 394 -0.4027778 0.01543206
Ended 710.5177 186 394 -0.4027778 0.01543206
Began 711.5626 205 332 -0.3587963 -0.144033
Stationary 711.5933 205 332 -0.3587963 -0.144033
Stationary 711.624 205 332 -0.3587963 -0.144033
Stationary 711.6548 205 332 -0.3587963 -0.144033
Stationary 711.6855 205 332 -0.3587963 -0.144033
Stationary 711.7162 205 332 -0.3587963 -0.144033
Stationary 711.7469 205 332 -0.3587963 -0.144033
Stationary 711.7777 205 332 -0.3587963 -0.144033
Ended 711.8084 205 332 -0.3587963 -0.144033
Began 712.7303 396 222 0.08333336 -0.4269547
Stationary 712.7611 396 222 0.08333336 -0.4269547
Stationary 712.7919 396 222 0.08333336 -0.4269547
