the union will go on strike
Basic
0.6 0.6
432 388.8
Moved 1247.331 409.124 226.3718 0.1137129 -0.4157103
Moved 1247.361 407.2505 215.0022 0.1093763 -0.4449533
Moved 1247.392 406 206.4385 0.1064815 -0.4669793
Moved 1247.423 403.8689 195.6068 0.1015484 -0.4948385
Moved 1247.454 404 186.9865 0.1018518 -0.5170102
Ended 1247.484 404 181 0.1018518 -0.5324075
Began 1247.945 220 578 -0.3240741 0.488683
Stationary 1247.976 220 578 -0.3240741 0.488683
Stationary 1248.006 220 578 -0.3240741 0.488683
Stationary 1248.037 220 578 -0.3240741 0.488683
Moved 1248.068 206.6428 578 -0.3549935 0.488683
Moved 1248.099 199 586 -0.3726852 0.5092591
Moved 1248.129 196.0312 587.9688 -0.3795574 0.514323
Moved 1248.16 194 589 -0.3842593 0.5169753
Moved 1248.191 192 592 -0.3888888 0.5246913
Moved 1248.222 192 594 -0.3888888 0.5298353
Stationary 1248.252 192 594 -0.3888888 0.5298353
Stationary 1248.283 192 594 -0.3888888 0.5298353
Stationary 1248.314 192 594 -0.3888888 0.5298353
Moved 1248.344 192 583.0064 -0.3888888 0.5015596
Moved 1248.375 203.4254 558.2485 -0.3624411 0.4378818
Moved 1248.406 211.9117 534.2649 -0.342797 0.3761957
Moved 1248.437 218.6955 513.9135 -0.3270938 0.3238515
Moved 1248.467 225.4423 502.5577 -0.3114761 0.2946441
Moved 1248.498 232.5 498.5 -0.2951389 0.2842077
Moved 1248.529 251.4706 499 -0.2512255 0.2854938
Moved 1248.559 275.2047 518.1024 -0.1962854 0.3346253
Moved 1248.59 295.1624 528.5812 -0.1500869 0.3615772
Moved 1248.621 323.0128 534.926 -0.08561839 0.3778961
Moved 1248.651 361.4638 536 0.003388425 0.3806583
Moved 1248.682 395.9119 525.5661 0.0831293 0.3538222
Moved 1248.713 425.3181 517.8727 0.1511994 0.3340347
Moved 1248.744 451.8669 505.5665 0.2126549 0.3023829
Moved 1248.774 472.9059 496.5471 0.2613561 0.2791847
Moved 1248.805 490.2147 490.2618 0.3014229 0.2630188
Moved 1248.836 504.5309 484.1564 0.3345621 0.2473157
Moved 1248.866 519.6057 469.6268 0.3694575 0.2099454
