I will meet you at noon
Basic
0.6 0.6
432 388.8
Began 628.0068 398 553 0.08796295 0.4243826
Stationary 628.0375 398 553 0.08796295 0.4243826
Stationary 628.0683 398 553 0.08796295 0.4243826
Stationary 628.099 398 553 0.08796295 0.4243826
Stationary 628.1298 398 553 0.08796295 0.4243826
Stationary 628.1605 398 553 0.08796295 0.4243826
Moved 628.1912 386.1294 544.1295 0.06048481 0.4015675
Moved 628.222 384.8069 542.8069 0.05742351 0.3981659
Moved 628.2527 381.6823 542 0.05019049 0.3960905
Moved 628.2834 379.8112 539.8112 0.04585912 0.3904607
Moved 628.3141 378.5 540 0.04282405 0.3909464
Moved 628.3449 377.6795 538.6795 0.04092485 0.3875501
Moved 628.3757 376.751 537.751 0.0387755 0.385162
Moved 628.4064 375.7506 538 0.03645967 0.3858024
Moved 628.4371 376 536.7508 0.03703703 0.3825894
Stationary 628.4678 376 536.7508 0.03703703 0.3825894
Moved 628.4986 376 536 0.03703703 0.3806583
Stationary 628.5293 376 536 0.03703703 0.3806583
Moved 628.5601 389.0271 535 0.06719241 0.3780863
Moved 628.5908 399.5346 535 0.09151527 0.3780863
Moved 628.6215 410.2683 535 0.1163618 0.3780863
Moved 628.6522 417.4044 535 0.1328807 0.3780863
Moved 628.683 425.2975 535 0.1511517 0.3780863
Moved 628.7137 432.0189 535 0.1667104 0.3780863
Moved 628.7445 438.775 535 0.1823495 0.3780863
Moved 628.7751 444.9207 535 0.1965758 0.3780863
Moved 628.8059 449.336 535 0.2067963 0.3780863
Moved 628.8367 453.2019 535 0.2157452 0.3780863
Moved 628.8674 455.806 535 0.2217732 0.3780863
Moved 628.8981 458.6149 535 0.2282752 0.3780863
Moved 628.9289 461.4869 535 0.2349234 0.3780863
Moved 628.9596 463.1748 535 0.2388304 0.3780863
Moved 628.9904 464.5 535 0.2418981 0.3780863
Moved 629.0211 466.7288 535 0.2470574 0.3780863
Moved 629.0518 468.1664 535 0.2503851 0.3780863
Moved 629.0826 469.0109 535 0.2523401 0.3780863
Moved 629.1133 471.0089 535 0.2569652 0.3780863
Moved 629.144 472 532.678 0.2592593 0.3721141
Moved 629.1747 472.7581 532.2419 0.2610141 0.3709925
Moved 629.2054 473 530.8815 0.2615741 0.3674934
Moved 629.2362 475.149 530 0.2665486 0.3652262
Moved 629.267 475 527.5 0.2662037 0.3587962
Moved 629.2977 476 526.5 0.2685185 0.3562242
Moved 629.3284 477.447 524.553 0.2718681 0.3512165
Moved 629.3591 477 522.6848 0.2708333 0.3464115
Moved 629.39 477 519.8091 0.2708333 0.339015
Moved 629.4207 477 517.2054 0.2708333 0.3323184
Moved 629.4514 477 514.65 0.2708333 0.3257459
Moved 629.4821 477 511.5313 0.2708333 0.3177243
Moved 629.5128 477 510 0.2708333 0.3137859
Moved 629.5436 477 507.5 0.2708333 0.3073559
Moved 629.5743 477 505.5 0.2708333 0.3022119
Moved 629.605 477 504.9246 0.2708333 0.300732
Moved 629.6358 477 503.6255 0.2708333 0.2973906
Moved 629.6666 477 502.8284 0.2708333 0.2953406
Ended 629.6973 477 502 0.2708333 0.2932098
Began 630.8653 213 476 -0.3402778 0.2263374
Stationary 630.896 213 476 -0.3402778 0.2263374
Stationary 630.9267 213 476 -0.3402778 0.2263374
Stationary 630.9568 213 476 -0.3402778 0.2263374
Stationary 630.9882 213 476 -0.3402778 0.2263374
Moved 631.0189 229.4438 476 -0.3022135 0.2263374
Moved 631.0496 240.0579 476 -0.2776437 0.2263374
Moved 631.0803 246.3863 476 -0.2629947 0.2263374
Moved 631.1111 253.2482 476 -0.2471106 0.2263374
Moved 631.1418 258.9865 476 -0.2338274 0.2263374
Moved 631.1726 266.6095 476 -0.2161816 0.2263374
Moved 631.2034 274.6279 476 -0.1976206 0.2263374
Moved 631.2341 284.1095 476 -0.1756725 0.2263374
Moved 631.2648 299.6898 476 -0.1396068 0.2263374
Moved 631.2955 316.1742 476 -0.1014485 0.2263374
Moved 631.3263 333.0911 476 -0.06228919 0.2263374
Moved 631.357 347.9542 476 -0.02788375 0.2263374
Moved 631.3877 362.5439 476 0.005888641 0.2263374
Moved 631.4184 375.0315 476 0.03479521 0.2263374
Moved 631.4492 387.7013 476 0.06412337 0.2263374
Moved 631.4799 400.7225 476 0.09426504 0.2263374
Moved 631.5107 416.4425 476 0.130654 0.2263374
Moved 631.5414 431.713 476 0.1660024 0.2263374
Moved 631.5722 451.947 476 0.2128403 0.2263374
Moved 631.6029 457.6805 476 0.2261122 0.2263374
Moved 631.6336 468.858 484.2012 0.2519862 0.2474311
Moved 631.6644 484.5776 485.1155 0.2883741 0.2497827
Moved 631.6951 492.9719 487 0.3078053 0.2546296
Moved 631.7258 499.605 488.8025 0.3231598 0.2592656
Moved 631.7565 503.3996 490.3997 0.3319436 0.2633736
Moved 631.7874 506.5 490 0.3391203 0.2623456
Moved 631.818 509.1436 492.1436 0.3452397 0.2678589
Moved 631.8488 510 492 0.3472221 0.2674896
Moved 631.8795 511.5 493.5 0.3506944 0.2713476
Moved 631.9102 513.3903 493 0.3550702 0.2700616
Moved 631.941 521.7792 472.4417 0.3744888 0.2171852
Moved 631.9717 530.7664 453.2615 0.3952926 0.1678537
Moved 632.0024 541.0076 432.6541 0.418999 0.114851
Moved 632.0332 548.0732 418.8537 0.4353546 0.0793561
Moved 632.0639 554.7926 407.8112 0.4509088 0.05095458
Moved 632.0947 561.8671 396.1993 0.467285 0.02108856
Moved 632.1254 564.8069 390.3863 0.47409 0.006137502
Moved 632.1561 567.6754 386.3246 0.4807299 -0.004309116
Moved 632.1869 569.1891 382.8109 0.484234 -0.01334649
Moved 632.2176 570.1151 379.8849 0.4863775 -0.02087212
Moved 632.2484 570.98 378.02 0.4883797 -0.02566891
Moved 632.2791 571.5 377.5 0.4895833 -0.02700625
Moved 632.3098 572 376 0.4907407 -0.03086435
Moved 632.3406 573.1247 375 0.4933442 -0.03343629
Moved 632.3713 573 373.5 0.4930556 -0.03729432
Moved 632.402 573 372.8161 0.4930556 -0.03905332
Moved 632.4327 574 371.5117 0.4953703 -0.04240813
