the bathroom is good for reading
Basic
0.6 0.6
432 388.8
Began 1281.499 359 555 -0.002314796 0.4295266
Stationary 1281.53 359 555 -0.002314796 0.4295266
Stationary 1281.56 359 555 -0.002314796 0.4295266
Stationary 1281.591 359 555 -0.002314796 0.4295266
Stationary 1281.622 359 555 -0.002314796 0.4295266
Stationary 1281.652 359 555 -0.002314796 0.4295266
Stationary 1281.683 359 555 -0.002314796 0.4295266
Moved 1281.714 359 544.1354 -0.002314796 0.4015828
Moved 1281.745 359 542.1335 -0.002314796 0.3964338
Moved 1281.775 354.5879 536.7394 -0.0125281 0.38256
Moved 1281.806 351 531.2098 -0.02083332 0.368338
Moved 1281.837 346.6834 526.6833 -0.03082548 0.3566957
Moved 1281.868 343.8352 520.8352 -0.03741845 0.3416542
Moved 1281.898 340.654 515.308 -0.04478236 0.3274383
Moved 1281.929 337.8901 511.8901 -0.05118037 0.3186472
Moved 1281.96 337 507.6425 -0.05324075 0.3077222
Moved 1281.991 337 499.9637 -0.05324075 0.2879723
Moved 1282.021 345.9768 484.2675 -0.03246119 0.2476014
Moved 1282.052 358.3149 462.9592 -0.003900727 0.1927962
Moved 1282.083 373.402 446.598 0.03102312 0.1507149
Moved 1282.114 390.4857 428.5143 0.07056872 0.1042034
Moved 1282.144 402.3793 413.7758 0.0981003 0.06629575
Moved 1282.175 409.8141 403.5812 0.1153104 0.04007516
Moved 1282.206 414.0341 396.9488 0.1250791 0.02301632
Moved 1282.236 417.781 389.4379 0.1337524 0.003698372
Moved 1282.267 420 383.9075 0.1388889 -0.01052613
Moved 1282.298 421 379.6851 0.1412037 -0.02138601
Moved 1282.329 421 378 0.1412037 -0.02572024
Moved 1282.359 421 375.4707 0.1412037 -0.03222563
Moved 1282.39 409.3744 375 0.1142926 -0.03343629
Moved 1282.421 394.4479 385.1727 0.07974048 -0.007272021
Moved 1282.452 375.6093 400.9063 0.03613263 0.03319516
Moved 1282.482 359.5344 417.7098 -0.001077702 0.07641415
Moved 1282.513 340.9107 439.1191 -0.04418825 0.131479
Moved 1282.544 328.5618 454.4134 -0.07277354 0.1708163
Moved 1282.574 317.0106 473.7314 -0.09951243 0.2205025
Moved 1282.605 308.9705 491.0591 -0.1181239 0.2650696
Moved 1282.636 301.4622 508.6134 -0.1355042 0.3102195
Moved 1282.667 295.5787 522.0533 -0.1491234 0.3447872
Moved 1282.697 289.0589 531.9116 -0.1642155 0.3701428
Moved 1282.728 282.5319 540.4681 -0.1793244 0.3921505
Moved 1282.759 277 544.5 -0.1921296 0.4025204
Moved 1282.79 273.1911 549.9044 -0.2009464 0.4164207
Moved 1282.82 270.3235 552.6765 -0.2075845 0.4235506
Moved 1282.851 269 555.4441 -0.2106481 0.4306689
Moved 1282.882 267.5 557.5 -0.2141203 0.4359567
Ended 1282.912 267.5 557.5 -0.2141203 0.4359567
Began 1283.281 403 248 0.09953707 -0.3600824
Stationary 1283.312 403 248 0.09953707 -0.3600824
Stationary 1283.343 403 248 0.09953707 -0.3600824
Stationary 1283.374 403 248 0.09953707 -0.3600824
Stationary 1283.404 403 248 0.09953707 -0.3600824
Stationary 1283.435 403 248 0.09953707 -0.3600824
Stationary 1283.466 403 248 0.09953707 -0.3600824
Stationary 1283.496 403 248 0.09953707 -0.3600824
Moved 1283.527 397.5946 243.7958 0.08702447 -0.3708957
Moved 1283.558 388.2644 238.6322 0.06542683 -0.3841765
Moved 1283.589 377.4857 239 0.04047622 -0.3832304
Moved 1283.619 363.6476 246.1366 0.008443495 -0.3648751
Moved 1283.65 348.6101 256.707 -0.02636542 -0.3376877
Moved 1283.681 319.766 281.0284 -0.09313435 -0.2751328
Moved 1283.712 292.3276 304.9379 -0.1566491 -0.213637
Moved 1283.742 266 326 -0.2175926 -0.1594652
Moved 1283.773 245.8528 341.1262 -0.2642296 -0.1205603
Moved 1283.804 227.2817 355.9319 -0.3072182 -0.08247979
Moved 1283.834 213.2705 367.7295 -0.3396516 -0.05213616
Moved 1283.865 202.0133 376.9894 -0.3657099 -0.02831957
Moved 1283.896 193.4821 385.5179 -0.385458 -0.006384084
Moved 1283.927 187.9623 391.0377 -0.3982354 0.007812947
Moved 1283.957 184.7165 395.2836 -0.4057489 0.01873346
Moved 1283.988 182.2966 397.7034 -0.4113505 0.02495714
Moved 1284.019 182 400.4645 -0.412037 0.032059
Moved 1284.05 182 402.2235 -0.412037 0.03658306
Moved 1284.08 182 405.9627 -0.412037 0.0462003
Moved 1284.111 205.5812 420.2068 -0.357451 0.08283642
Moved 1284.142 240.8251 453.8251 -0.2758678 0.1693031
Moved 1284.173 279.7305 494.689 -0.1858091 0.2744057
Moved 1284.203 308.5 528.5 -0.119213 0.3613682
Moved 1284.234 322.9485 545.1382 -0.08576731 0.4041619
Moved 1284.265 331.8533 553.8533 -0.06515438 0.4265773
Moved 1284.296 336.717 558.4341 -0.05389576 0.4383591
Moved 1284.326 339.0939 560 -0.0483938 0.4423867
Moved 1284.357 340 561.5 -0.04629632 0.4462448
Moved 1284.388 341.1361 561 -0.04366646 0.4449587
Moved 1284.418 343.4232 545.3443 -0.03837213 0.4046921
Moved 1284.449 348.6331 521.4675 -0.02631222 0.3432805
Moved 1284.48 355.914 487.7059 -0.009458264 0.2564452
Moved 1284.511 364.1969 459.0103 0.009715159 0.1826394
Moved 1284.541 374.4872 436.8632 0.03353516 0.1256769
Moved 1284.572 382.7369 420.5262 0.05263169 0.08365796
Moved 1284.603 388.6781 407.6438 0.06638447 0.05052417
Moved 1284.634 392.0969 396.6124 0.07429839 0.0221513
Moved 1284.664 395.6752 387.2992 0.08258145 -0.001802562
Moved 1284.695 399.6821 379.9768 0.09185682 -0.02063586
Moved 1284.726 401.102 374.7961 0.09514342 -0.03396085
Moved 1284.757 401 371.1361 0.09490739 -0.04337429
Moved 1284.787 401 368.7757 0.09490739 -0.0494453
Moved 1284.818 382.6702 364.934 0.05247732 -0.05932615
Moved 1284.849 364.1534 361.1647 0.00961423 -0.06902074
Moved 1284.88 344.8291 360 -0.03511776 -0.07201654
Moved 1284.91 329.9975 360 -0.06945028 -0.07201654
