the price of gas is high
Basic
0.6 0.6
432 388.8
Began 44.27914 291 433 -0.1597222 0.1157406
Stationary 44.30986 291 433 -0.1597222 0.1157406
Stationary 44.34063 291 433 -0.1597222 0.1157406
Stationary 44.3713 291 433 -0.1597222 0.1157406
Stationary 44.40204 291 433 -0.1597222 0.1157406
Stationary 44.43265 291 433 -0.1597222 0.1157406
Moved 44.46347 299.0295 419.2352 -0.1411354 0.08033725
Moved 44.49413 304.5596 410.2538 -0.1283343 0.05723717
Moved 44.52492 312.139 397.1479 -0.1107892 0.0235286
Moved 44.55568 323.9081 379.3286 -0.08354595 -0.02230295
Moved 44.58634 334.4187 363.3022 -0.05921602 -0.06352311
Moved 44.61706 344.5317 348.5854 -0.03580625 -0.101375
Moved 44.64775 353.8589 336.9263 -0.01421541 -0.1313623
Moved 44.67851 363.1222 322.7964 0.007227262 -0.1677048
Moved 44.70918 370.5777 311.0557 0.02448549 -0.1979021
Moved 44.73993 376.106 301.3409 0.03728241 -0.2228885
Moved 44.77065 379.0355 295.9291 0.04406353 -0.236808
Moved 44.80135 381.794 292.2061 0.05044897 -0.2463837
Moved 44.83208 383 289.4403 0.05324075 -0.2534972
Stationary 44.86282 383 289 0.05324075 -0.2546296
Moved 44.89356 370.6438 297.4169 0.02463838 -0.2329812
Moved 44.92427 342.1529 322.3156 -0.04131273 -0.1689416
Moved 44.95498 315.2552 348.7449 -0.103576 -0.1009648
Moved 44.9857 297.0712 370.2384 -0.1456685 -0.04568312
Moved 45.01637 278.2837 395.0744 -0.1891581 0.0181954
Moved 45.04713 266.0945 415.5846 -0.2173737 0.07094799
Moved 45.07785 259.0696 432.8375 -0.2336351 0.1153228
Moved 45.10854 256.6846 440.9461 -0.2391559 0.1361782
Moved 45.13929 254.8289 450.5132 -0.2434516 0.160785
Moved 45.17003 254.0643 456.8715 -0.2452216 0.1771384
Moved 45.20071 254 460.7013 -0.2453704 0.1869888
Moved 45.23143 254 463.1277 -0.2453704 0.1932296
Moved 45.26215 254 464.5 -0.2453704 0.1967592
Ended 45.29287 254 464 -0.2453704 0.1954732
Began 45.87654 691 446 0.7662036 0.1491768
Stationary 45.90724 691 446 0.7662036 0.1491768
Stationary 45.93797 691 446 0.7662036 0.1491768
Moved 45.96864 679.5643 446 0.7397323 0.1491768
Moved 45.99937 669.7806 446 0.7170846 0.1491768
Moved 46.03012 656.8154 446 0.6870726 0.1491768
Moved 46.06084 635.3779 450.2141 0.6374489 0.1600155
Moved 46.09157 598.4479 460.4805 0.5519629 0.1864211
Moved 46.12227 558.4562 465.424 0.4593893 0.1991356
Moved 46.15299 513.2364 473.133 0.3547139 0.2189634
Moved 46.18367 459.2606 480.0095 0.2297698 0.2366499
Moved 46.21442 403.0442 487.2608 0.0996393 0.2553004
Moved 46.24515 371.2784 490 0.02610743 0.2623456
Moved 46.27584 354.6168 492.5638 -0.01246105 0.2689399
Moved 46.30659 327.7372 494.0292 -0.07468228 0.2727087
Moved 46.33734 308.7913 495.3565 -0.1185386 0.2761227
Moved 46.36801 291.9136 497.2173 -0.1576074 0.2809086
Moved 46.39873 280.1149 499.9617 -0.1849191 0.2879671
Moved 46.42946 274.2881 503 -0.1984071 0.2957818
Moved 46.46016 272.8813 505.1187 -0.2016636 0.3012312
Moved 46.49093 273 506 -0.2013889 0.3034978
Moved 46.52163 282.1991 510.8398 -0.1800946 0.315946
Moved 46.55232 316.5391 519.1348 -0.1006039 0.3372806
Moved 46.58302 354.0053 524.6931 -0.01387661 0.3515769
Moved 46.61377 394.1732 528.6116 0.0791047 0.3616552
Moved 46.64449 433.8488 529 0.1709462 0.3626543
Moved 46.67523 438.494 529 0.1816992 0.3626543
Moved 46.70591 447.199 529 0.2018495 0.3626543
Moved 46.73665 452.7294 518.0825 0.2146513 0.3345741
Moved 46.76737 457.131 501.8212 0.2248403 0.2927499
Moved 46.79807 459 470.7147 0.2291666 0.2127433
Moved 46.82877 443.4102 413.7178 0.1930791 0.06614661
Moved 46.85954 423.521 358.7684 0.1470394 -0.07518423
Moved 46.89024 404.1206 312.7214 0.102131 -0.1936177
Moved 46.92096 383.1858 271.653 0.0536708 -0.2992464
Moved 46.98237 363.345 229.6901 0.00774314 -0.4071758
Moved 47.0131 349.5 195 -0.02430553 -0.4963993
Moved 47.04383 345.0247 185.0493 -0.03466517 -0.5219925
Moved 47.0745 342.2414 178.4828 -0.04110788 -0.5388818
Moved 47.10522 340.867 176.8671 -0.04428928 -0.5430374
Moved 47.13597 338.0933 174.0933 -0.05071004 -0.5501717
Moved 47.16665 330.5052 174 -0.06827493 -0.5504115
Moved 47.19738 310.0089 211.1239 -0.1157202 -0.4549283
Moved 47.2281 289.6389 256.4482 -0.1628728 -0.3383533
Moved 47.2588 271.5 306.5 -0.2048611 -0.2096194
Moved 47.28956 259.5758 336.1664 -0.2324633 -0.1333168
Moved 47.32025 251.3982 365.4073 -0.2513931 -0.05810883
Moved 47.35095 247.3824 391.5583 -0.2606888 0.009152095
Moved 47.3817 247 409.1478 -0.2615741 0.05439232
Moved 47.41243 246.2247 421.8764 -0.2633687 0.08713063
Moved 47.44304 246 430.5 -0.2638889 0.1093106
Moved 47.47377 246 436.5639 -0.2638889 0.1249071
Moved 47.50457 246 439.7193 -0.2638889 0.1330228
Moved 47.53529 246 443.9365 -0.2638889 0.1438694
Moved 47.56602 246 446.2147 -0.2638889 0.149729
Moved 47.59676 246 447.9595 -0.2638889 0.1542168
Moved 47.62746 246 449.3697 -0.2638889 0.1578438
Moved 47.65816 244.5 450 -0.2673611 0.1594649
Ended 47.68892 245 450 -0.2662037 0.1594649
Began 48.08827 591 495 0.5347222 0.2752057
Stationary 48.11897 591 495 0.5347222 0.2752057
Stationary 48.14968 591 495 0.5347222 0.2752057
Stationary 48.18043 591 495 0.5347222 0.2752057
Moved 48.21111 567.6487 486.9731 0.4806683 0.2545603
Moved 48.24178 538.1602 472.5801 0.4124079 0.2175413
Moved 48.27258 489.7613 446.1901 0.3003733 0.1496658
Moved 48.30327 423.3133 408.7559 0.1465586 0.05338449
