the postal service is very slow
Basic
0.6 0.6
432 388.8
Began 400.2405 327 590 -0.07638887 0.5195472
Stationary 400.2714 327 590 -0.07638887 0.5195472
Stationary 400.302 327 590 -0.07638887 0.5195472
Stationary 400.3327 327 590 -0.07638887 0.5195472
Stationary 400.3635 327 590 -0.07638887 0.5195472
Moved 400.3942 318 590 -0.09722222 0.5195472
Moved 400.425 316.8206 590 -0.09995222 0.5195472
Moved 400.4557 327.0938 559.6632 -0.07617185 0.4415205
Moved 400.4864 355.4099 503.3441 -0.01062512 0.2966669
Moved 400.5172 386.1361 460.2095 0.0605002 0.1857238
Moved 400.5478 406.703 431.9456 0.1081087 0.1130287
Moved 400.5786 420.4533 410.3841 0.1399381 0.05757222
Moved 400.6093 427.3324 398.3353 0.155862 0.02658243
Moved 400.64 431.0383 388.8852 0.1644405 0.002276691
Moved 400.6703 432.6902 380.2394 0.1682642 -0.01996052
Moved 400.7014 433 370.605 0.1689814 -0.04474035
Moved 400.7322 433 364.3182 0.1689814 -0.06091011
Moved 400.7629 433 360.7914 0.1689814 -0.06998093
Moved 400.7936 415.2926 360 0.127992 -0.07201654
Moved 400.8243 373.1591 392.0341 0.03046095 0.01037566
Moved 400.8551 318.0252 439.5577 -0.09716387 0.1326072
Moved 400.8858 280.1377 473.5112 -0.1848664 0.219936
Moved 400.9165 271.3279 480.754 -0.2052594 0.2385648
Moved 400.9472 267.2111 484.7889 -0.2147891 0.2489426
Moved 400.978 266 487.6796 -0.2175926 0.2563774
Ended 401.0087 266 488.5 -0.2175926 0.2584876
Began 401.4388 573 540 0.4930556 0.3909464
Stationary 401.4695 573 540 0.4930556 0.3909464
Stationary 401.5002 573 540 0.4930556 0.3909464
Stationary 401.5309 573 540 0.4930556 0.3909464
Moved 401.5617 558.0648 540 0.4584834 0.3909464
Moved 401.5924 555.2604 540 0.4519916 0.3909464
Moved 401.6232 547.239 540 0.4334235 0.3909464
Moved 401.6539 540.462 540 0.4177362 0.3909464
Moved 401.6846 518.6075 529.3259 0.3671471 0.3634925
Moved 401.7153 494.1659 524.4523 0.3105691 0.3509575
Moved 401.746 475.0341 520.5763 0.2662826 0.3409883
Moved 401.7768 466.1089 518.0544 0.2456224 0.334502
Moved 401.8075 460.1809 517 0.2319002 0.33179
Moved 401.8382 456.304 516 0.2229259 0.329218
Moved 401.8689 453.5 516 0.2164352 0.329218
Moved 401.8997 450.862 515 0.2103287 0.326646
Moved 401.9304 445.9825 512.9913 0.1990336 0.3214795
Moved 401.9611 427.9704 505.4852 0.1573389 0.3021739
Moved 401.9918 388.9107 486.4553 0.0669229 0.2532286
Moved 402.0226 333.617 456.0095 -0.06107176 0.1749214
Moved 402.0533 296.3324 436.7551 -0.1473786 0.125399
Moved 402.084 262.3923 419.7238 -0.2259437 0.08159409
Moved 402.1147 241.6649 407.7766 -0.2739239 0.05086561
Moved 402.1454 225.406 398.703 -0.3115601 0.02752826
Moved 402.1761 215.7652 393.3826 -0.3338769 0.01384402
Moved 402.2069 210.2145 389.1072 -0.3467258 0.002847797
Moved 402.2376 206.2644 387 -0.3558694 -0.002572055
Moved 402.2683 203 385.3909 -0.3634259 -0.006710805
Moved 402.299 200.5146 385 -0.3691792 -0.007716127
Moved 402.3298 198.998 385 -0.3726898 -0.007716127
Stationary 402.3605 198.998 385 -0.3726898 -0.007716127
Moved 402.3912 198 385 -0.375 -0.007716127
Stationary 402.4217 198 385 -0.375 -0.007716127
Moved 402.4527 198 397.9368 -0.375 0.02555761
Moved 402.4834 232.9977 423.8729 -0.2939869 0.09226567
Moved 402.5141 282.8827 462.2113 -0.1785123 0.1908726
Moved 402.5448 317.636 486.2095 -0.09806483 0.2525964
Moved 402.5756 350.0529 504.696 -0.02302577 0.3001441
Moved 402.6063 364.8975 512.4488 0.0113369 0.3200843
Moved 402.637 369.1055 513 0.0210775 0.321502
Stationary 402.6677 369 513 0.02083332 0.321502
Stationary 402.6984 369 513 0.02083332 0.321502
Moved 402.7293 321.413 481.8573 -0.08932168 0.2414024
Moved 402.7599 269.5121 448.9551 -0.2094626 0.1567774
Moved 402.7906 231.8033 424.1271 -0.2967516 0.09291939
Moved 402.8213 207.1452 404.7877 -0.3538306 0.04317809
Moved 402.8521 193.4471 394.9647 -0.385539 0.0179133
Moved 402.8828 188.9615 391.9615 -0.3959224 0.01018893
Moved 402.9135 187 391 -0.4004629 0.007715971
Stationary 402.9442 187 391 -0.4004629 0.007715971
Moved 402.975 224.5 391 -0.3136574 0.007715971
Moved 403.0057 308.0135 406.7071 -0.1203392 0.04811487
Moved 403.0364 377.5539 409 0.04063398 0.05401234
Moved 403.0671 420.7806 409 0.1406959 0.05401234
Moved 403.0979 443.5067 399.2726 0.1933025 0.02899319
Moved 403.1286 472.0393 393.1921 0.2593502 0.01335419
Moved 403.1593 501.7992 387.7201 0.3282388 -0.000719926
Ended 403.1901 515 386 0.3587963 -0.005144111
Began 403.6201 211 387 -0.3449074 -0.002572055
Stationary 403.6509 211 387 -0.3449074 -0.002572055
Stationary 403.6816 211 387 -0.3449074 -0.002572055
Stationary 403.7123 211 387 -0.3449074 -0.002572055
Stationary 403.743 211 387 -0.3449074 -0.002572055
Stationary 403.7737 211 387 -0.3449074 -0.002572055
Stationary 403.8044 211 387 -0.3449074 -0.002572055
Stationary 403.8352 211 387 -0.3449074 -0.002572055
Stationary 403.8658 211 387 -0.3449074 -0.002572055
Stationary 403.8967 211 387 -0.3449074 -0.002572055
Stationary 403.9274 211 387 -0.3449074 -0.002572055
Stationary 403.9581 211 387 -0.3449074 -0.002572055
Stationary 403.9888 211 387 -0.3449074 -0.002572055
Stationary 404.0196 211 387 -0.3449074 -0.002572055
Stationary 404.0503 211 387 -0.3449074 -0.002572055
Stationary 404.081 211 387 -0.3449074 -0.002572055
Moved 404.1117 211 394.3451 -0.3449074 0.01631964
Moved 404.1424 227.5 420.5 -0.306713 0.08359041
Moved 404.1732 243.9612 453.9289 -0.2686083 0.1695702
Moved 404.2039 255.5876 474.4501 -0.2416953 0.2223511
Moved 404.2346 261.4657 484.4657 -0.2280887 0.2481113
