healthy food is good for you
Basic
0.6 0.6
432 388.8
Moved 373.7882 314.2382 391.1429 -0.1059302 0.008083468
Moved 373.819 352.9125 418.5703 -0.01640623 0.0786273
Moved 373.8497 414.8636 457.1462 0.1269991 0.1778452
Moved 373.8804 461.5102 483.7201 0.2349772 0.2461936
Moved 373.9111 482.9601 494.48 0.2846299 0.2738684
Moved 373.9419 491.7118 499.7118 0.3048884 0.2873245
Moved 373.9726 494.581 501 0.31153 0.2906378
Moved 374.0033 495.5 501 0.3136574 0.2906378
Moved 374.0341 481.8191 501 0.2819887 0.2906378
Moved 374.0648 442.0503 476.2001 0.1899313 0.2268521
Moved 374.0955 413.7976 460.3988 0.1245315 0.1862108
Moved 374.1262 350.5697 429.1251 -0.02182941 0.1057744
Moved 374.157 314.9136 410.0516 -0.1043666 0.05671717
Moved 374.1877 291.5067 397.7181 -0.1585494 0.02499502
Moved 374.218 275.1023 388.2614 -0.1965225 0.0006721245
Moved 374.2491 264.6368 382.0912 -0.220748 -0.01519741
Moved 374.2798 259.6654 379.6653 -0.2322561 -0.02143695
Ended 374.3105 254.5 378.5 -0.244213 -0.02443423
Began 374.6792 460 482 0.2314815 0.2417695
Stationary 374.71 460 482 0.2314815 0.2417695
Stationary 374.7407 460 482 0.2314815 0.2417695
Stationary 374.7714 460 482 0.2314815 0.2417695
Stationary 374.8021 460 482 0.2314815 0.2417695
Stationary 374.8329 460 482 0.2314815 0.2417695
Stationary 374.8636 460 482 0.2314815 0.2417695
Moved 374.8943 446.5 482 0.2002315 0.2417695
Moved 374.925 445.3686 482 0.1976126 0.2417695
Moved 374.9557 439.6104 472.8052 0.1842833 0.2181202
Moved 374.9864 423.4005 464.6669 0.1467603 0.1971885
Moved 375.0172 381.0388 440.3079 0.04870087 0.1345365
Moved 375.0479 316.442 405.7431 -0.1008288 0.04563551
Moved 375.0786 285.4563 390.2281 -0.1725549 0.005730837
Moved 375.1093 270.8594 383.5438 -0.206344 -0.01146152
Moved 375.1401 262.527 380.2635 -0.2256318 -0.01989851
Moved 375.1708 258.3858 379 -0.2352181 -0.02314815
Moved 375.2015 255.5121 378 -0.2418701 -0.02572024
Moved 375.2322 254 378 -0.2453704 -0.02572024
Ended 375.263 253 378 -0.2476852 -0.02572024
Began 375.6317 420 386 0.1388889 -0.005144111
Stationary 375.6624 420 386 0.1388889 -0.005144111
Stationary 375.6931 420 386 0.1388889 -0.005144111
Stationary 375.7238 420 386 0.1388889 -0.005144111
