what goes up must come down
Basic
0.6 0.6
432 388.8
Began 1210.042 244 448 -0.2685185 0.1543209
Stationary 1210.073 244 448 -0.2685185 0.1543209
Stationary 1210.103 244 448 -0.2685185 0.1543209
Stationary 1210.134 244 448 -0.2685185 0.1543209
Stationary 1210.165 244 448 -0.2685185 0.1543209
Stationary 1210.196 244 448 -0.2685185 0.1543209
Stationary 1210.226 244 448 -0.2685185 0.1543209
Stationary 1210.257 244 448 -0.2685185 0.1543209
Stationary 1210.288 244 448 -0.2685185 0.1543209
Stationary 1210.319 244 448 -0.2685185 0.1543209
Stationary 1210.349 244 448 -0.2685185 0.1543209
Stationary 1210.38 244 448 -0.2685185 0.1543209
Stationary 1210.411 244 448 -0.2685185 0.1543209
Moved 1210.442 253.9138 460.7464 -0.2455698 0.1871048
Moved 1210.472 251 457 -0.2523148 0.1774691
Moved 1210.503 251 458 -0.2523148 0.180041
Moved 1210.534 251 460.5 -0.2523148 0.1864711
Moved 1210.564 251 462.3159 -0.2523148 0.1911416
Moved 1210.595 251 466.7565 -0.2523148 0.202563
Moved 1210.626 241.0029 471.8563 -0.2754562 0.2156797
Moved 1210.657 241.318 477.3641 -0.2747269 0.2298458
Moved 1210.688 238.7787 483.4426 -0.2806049 0.2454799
Moved 1210.718 236.2271 488.7729 -0.2865114 0.2591896
Moved 1210.749 234.6831 493.6338 -0.2900854 0.2716918
Moved 1210.78 233 499.0718 -0.2939815 0.2856784
Moved 1210.81 230.9128 503.1744 -0.2988129 0.2962303
Moved 1210.841 227.7398 508.2602 -0.3061579 0.3093111
Moved 1210.872 225.832 511.168 -0.3105741 0.31679
Moved 1210.903 223.5665 513.4335 -0.3158182 0.3226168
Moved 1210.933 222.0215 515.9785 -0.3193948 0.3291627
Moved 1210.964 219.5 518.5 -0.3252315 0.335648
Moved 1210.995 217.9231 520.0768 -0.3288816 0.3397037
Moved 1211.026 218 521.1322 -0.3287037 0.3424181
Moved 1211.056 217 521.8433 -0.3310185 0.344247
Moved 1211.087 215.8911 522 -0.3335854 0.3446501
Stationary 1211.118 216 522 -0.3333333 0.3446501
Moved 1211.148 216 523.5 -0.3333333 0.3485081
Moved 1211.179 216 523 -0.3333333 0.3472221
Stationary 1211.21 216 523 -0.3333333 0.3472221
Moved 1211.241 235.361 509.5112 -0.2885161 0.3125287
Moved 1211.271 260.9982 494.0009 -0.2291708 0.2726361
Moved 1211.302 287.9435 479.0283 -0.1667976 0.2341261
Moved 1211.333 313.8709 464.9606 -0.1067802 0.1979437
Moved 1211.364 337.3858 450.9224 -0.05234763 0.1618373
Moved 1211.394 358.0077 438.9957 -0.00461181 0.1311618
Moved 1211.425 379.4845 427.1972 0.04510294 0.1008157
Moved 1211.456 395.7807 417.5538 0.08282572 0.07601286
Moved 1211.487 405.961 410.039 0.1063913 0.05668455
Moved 1211.517 411.7716 406.1523 0.1198417 0.04668789
Moved 1211.548 415.9557 402.5222 0.1295272 0.03735122
Moved 1211.579 418.0354 398.9645 0.1343413 0.02820089
Moved 1211.609 420.5904 394.4096 0.1402555 0.01648553
Moved 1211.64 422 392.1641 0.1435185 0.01071
Moved 1211.671 423 388.6129 0.1458333 0.001576231
Moved 1211.702 423 384.1351 0.1458333 -0.009940543
Moved 1211.733 399.3159 377.5948 0.09100894 -0.02676245
Moved 1211.763 371.6616 374.2441 0.02699435 -0.03538053
Moved 1211.794 340.3407 374 -0.0455077 -0.03600823
Moved 1211.825 307.7785 373 -0.1208831 -0.03858032
Moved 1211.855 282.4425 373 -0.1795312 -0.03858032
Moved 1211.886 260.378 373 -0.2306066 -0.03858032
Moved 1211.917 238.6738 381.3262 -0.2808476 -0.0171652
Moved 1211.948 220.836 382.7377 -0.3221388 -0.01353472
Moved 1211.978 204.354 383 -0.3602915 -0.01286016
Moved 1212.009 192.1642 384 -0.3885088 -0.01028807
Moved 1212.04 177.9063 384 -0.4215132 -0.01028807
Moved 1212.071 168.8531 384 -0.4424697 -0.01028807
Moved 1212.101 163.7554 384 -0.4542699 -0.01028807
Moved 1212.132 161.2159 384 -0.4601483 -0.01028807
Stationary 1212.163 160.717 384 -0.4613032 -0.01028807
Moved 1212.194 161 391.3913 -0.4606481 0.00872243
Moved 1212.224 175.0553 406.0663 -0.4281128 0.0464667
Moved 1212.255 193.8979 423.5184 -0.3844955 0.09135375
Moved 1212.286 223.1069 448.5276 -0.3168823 0.1556779
Moved 1212.317 243.7991 463.0994 -0.2689835 0.1931567
Moved 1212.347 269.8319 478.2567 -0.2087224 0.2321415
Moved 1212.378 291.1884 492.9244 -0.159286 0.2698672
Moved 1212.409 306.5411 503.1246 -0.1237475 0.2961023
Moved 1212.439 319.223 510.7338 -0.0943913 0.3156732
Moved 1212.47 330.1904 516.5952 -0.06900365 0.330749
Moved 1212.501 338.1199 521.08 -0.0506483 0.3422837
Moved 1212.532 344.8032 524.2021 -0.03517782 0.3503141
Moved 1212.562 352.4564 527.1522 -0.01746198 0.3579016
Moved 1212.593 358.381 530.6905 -0.003747742 0.3670022
Moved 1212.624 361.9285 531.9285 0.004464189 0.3701864
Moved 1212.655 364.4661 533.4661 0.01033823 0.3741411
Stationary 1212.685 364.4661 533.4661 0.01033823 0.3741411
Moved 1212.716 365 534 0.01157403 0.3755144
Stationary 1212.747 365 534 0.01157403 0.3755144
Ended 1212.777 365 534 0.01157403 0.3755144
Began 1213.3 320 357 -0.09259259 -0.07973259
Stationary 1213.331 320 357 -0.09259259 -0.07973259
Stationary 1213.362 320 357 -0.09259259 -0.07973259
Stationary 1213.392 320 357 -0.09259259 -0.07973259
Stationary 1213.423 320 357 -0.09259259 -0.07973259
Stationary 1213.454 320 357 -0.09259259 -0.07973259
Stationary 1213.484 320 357 -0.09259259 -0.07973259
Stationary 1213.515 320 357 -0.09259259 -0.07973259
Stationary 1213.546 320 357 -0.09259259 -0.07973259
Stationary 1213.577 320 357 -0.09259259 -0.07973259
Stationary 1213.607 320 357 -0.09259259 -0.07973259
Stationary 1213.638 320 357 -0.09259259 -0.07973259
Stationary 1213.669 320 357 -0.09259259 -0.07973259
