I can still feel your presence
Basic
0.6 0.6
432 388.8
Began 1135.935 432 591 0.1666667 0.5221192
Stationary 1135.966 432 591 0.1666667 0.5221192
Stationary 1135.996 432 591 0.1666667 0.5221192
Stationary 1136.027 432 591 0.1666667 0.5221192
Stationary 1136.058 432 591 0.1666667 0.5221192
Stationary 1136.089 432 591 0.1666667 0.5221192
Stationary 1136.119 432 591 0.1666667 0.5221192
Stationary 1136.15 432 591 0.1666667 0.5221192
Stationary 1136.181 432 591 0.1666667 0.5221192
Stationary 1136.242 432 591 0.1666667 0.5221192
Stationary 1136.273 432 591 0.1666667 0.5221192
Stationary 1136.304 432 591 0.1666667 0.5221192
Stationary 1136.335 432 591 0.1666667 0.5221192
Stationary 1136.365 432 591 0.1666667 0.5221192
Stationary 1136.396 432 591 0.1666667 0.5221192
Stationary 1136.457 432 591 0.1666667 0.5221192
Stationary 1136.488 432 591 0.1666667 0.5221192
Stationary 1136.519 432 591 0.1666667 0.5221192
Stationary 1136.55 432 591 0.1666667 0.5221192
Stationary 1136.58 432 591 0.1666667 0.5221192
Moved 1136.611 432 579.2709 0.1666667 0.4919519
Moved 1136.642 441.2363 572.6456 0.188047 0.4749114
Moved 1136.672 445.507 563.9859 0.197933 0.4526385
Moved 1136.703 449.7619 552.4763 0.2077821 0.4230356
Moved 1136.734 452.4202 544.7395 0.2139356 0.4031365
Moved 1136.765 453.9603 538.1191 0.2175007 0.3861086
Moved 1136.795 456.1689 530.3245 0.2226131 0.3660609
Moved 1136.826 457 522.694 0.2245371 0.3464351
Moved 1136.857 459.3236 516.0293 0.2299157 0.3292934
Moved 1136.888 459.8665 512.1335 0.2311725 0.3192733
Moved 1136.918 460 507.842 0.2314815 0.3082356
Moved 1136.949 461 504.3472 0.2337964 0.2992467
Moved 1136.98 462.2037 500.5925 0.2365828 0.2895898
Moved 1137.011 462 498.2477 0.2361111 0.2835588
Moved 1137.041 463 495.9753 0.2384259 0.2777143
Moved 1137.072 463 493.4202 0.2384259 0.2711424
Moved 1137.103 463 491.9338 0.2384259 0.2673193
Moved 1137.134 463 490.6682 0.2384259 0.2640641
Stationary 1137.164 463 490.6682 0.2384259 0.2640641
Moved 1137.195 464.2012 489.7988 0.2412064 0.2618281
Moved 1137.226 464 489 0.2407408 0.2597736
Ended 1137.257 464 489 0.2407408 0.2597736
Began 1137.933 262 285 -0.2268519 -0.2649178
Stationary 1137.964 262 285 -0.2268519 -0.2649178
Stationary 1137.994 262 285 -0.2268519 -0.2649178
Stationary 1138.025 262 285 -0.2268519 -0.2649178
Stationary 1138.056 262 285 -0.2268519 -0.2649178
Stationary 1138.086 262 285 -0.2268519 -0.2649178
Stationary 1138.117 262 285 -0.2268519 -0.2649178
Stationary 1138.148 262 285 -0.2268519 -0.2649178
Stationary 1138.179 262 285 -0.2268519 -0.2649178
Stationary 1138.209 262 285 -0.2268519 -0.2649178
Stationary 1138.24 262 285 -0.2268519 -0.2649178
Stationary 1138.271 262 285 -0.2268519 -0.2649178
Stationary 1138.302 262 285 -0.2268519 -0.2649178
Stationary 1138.332 262 285 -0.2268519 -0.2649178
Stationary 1138.363 262 285 -0.2268519 -0.2649178
Stationary 1138.394 262 285 -0.2268519 -0.2649178
Stationary 1138.425 262 285 -0.2268519 -0.2649178
Stationary 1138.455 262 285 -0.2268519 -0.2649178
Stationary 1138.486 262 285 -0.2268519 -0.2649178
Stationary 1138.517 262 285 -0.2268519 -0.2649178
Stationary 1138.548 262 285 -0.2268519 -0.2649178
Stationary 1138.578 262 285 -0.2268519 -0.2649178
Stationary 1138.609 262 285 -0.2268519 -0.2649178
Moved 1138.64 271.1642 285 -0.2056384 -0.2649178
Moved 1138.671 275 285 -0.1967592 -0.2649178
Moved 1138.701 278.2255 277.2106 -0.1892928 -0.2849521
Moved 1138.732 281.6566 275.3434 -0.1813506 -0.2897546
Moved 1138.763 284.8954 274 -0.1738533 -0.2932099
Moved 1138.793 287.4494 271.5506 -0.1679412 -0.2995099
Moved 1138.824 289.0069 269.9932 -0.164336 -0.3035156
Moved 1138.855 291.5 268.5 -0.1585648 -0.307356
Moved 1138.886 292.8416 268 -0.1554593 -0.308642
Moved 1138.916 294.3942 267 -0.1518654 -0.311214
Moved 1138.947 295.9402 264.0598 -0.1482866 -0.3187762
Moved 1138.978 298.4939 261.5062 -0.1423753 -0.3253443
Moved 1139.009 299 260.267 -0.1412037 -0.3285315
Moved 1139.039 300 258.725 -0.1388889 -0.3324973
Moved 1139.07 301.3297 257.6702 -0.1358108 -0.3352104
Moved 1139.101 301 256.9594 -0.1365741 -0.3370385
Moved 1139.132 302.3213 257 -0.1335156 -0.3369342
Stationary 1139.162 302 257 -0.1342593 -0.3369342
Stationary 1139.193 302 257 -0.1342593 -0.3369342
Moved 1139.224 292.1502 265.6186 -0.1570598 -0.314767
Moved 1139.255 285.8466 273.1534 -0.1716513 -0.2953874
Moved 1139.285 275.817 289.3049 -0.194868 -0.2538454
Moved 1139.316 267.1526 301.4631 -0.2149244 -0.2225743
Moved 1139.347 258.5232 313.9537 -0.2349001 -0.1904484
Moved 1139.377 250.1073 325.4878 -0.2543812 -0.1607825
Moved 1139.408 239.2021 341.6631 -0.2796247 -0.1191793
Moved 1139.439 230.5867 351.8843 -0.2995677 -0.09289007
Moved 1139.47 223.9533 362.0935 -0.314923 -0.066632
Moved 1139.5 218.5292 368.7062 -0.3274787 -0.04962387
Moved 1139.531 214.1562 376.5314 -0.3376014 -0.02949758
Moved 1139.562 210.6092 383.1723 -0.3458119 -0.01241692
Moved 1139.593 207.0682 387.8635 -0.3540087 -0.0003510149
Moved 1139.623 205.8631 391.1369 -0.3567984 0.008068045
Moved 1139.654 205 393.7189 -0.3587963 0.01470895
Moved 1139.685 204 395.2605 -0.3611111 0.01867412
Moved 1139.716 202.5 396.5 -0.3645833 0.02186214
Moved 1139.746 202 398.0182 -0.3657407 0.0257671
Moved 1139.777 200.714 398 -0.3687176 0.02572008
Moved 1139.808 201 399.3306 -0.3680556 0.02914232
Moved 1139.839 200 399.6535 -0.3703704 0.029973
