electric cars need big fuel cells
Basic
0.6 0.6
432 388.8
Moved 1412.838 306.0002 539 -0.1249996 0.3883744
Moved 1412.868 295.882 539 -0.1484212 0.3883744
Moved 1412.899 290.4005 539 -0.1611101 0.3883744
Moved 1412.93 283.6606 529.3303 -0.1767116 0.3635037
Moved 1412.96 277.9027 526.4514 -0.19004 0.356099
Moved 1412.991 273.8166 522.8166 -0.1994987 0.3467504
Moved 1413.022 271.0138 519.0275 -0.2059867 0.3370048
Moved 1413.053 270 518 -0.2083333 0.3343621
Moved 1413.083 276.6245 518 -0.1929988 0.3343621
Moved 1413.114 308.3499 518 -0.1195603 0.3343621
Moved 1413.145 351.0929 518 -0.02061829 0.3343621
Moved 1413.176 385.1189 518 0.05814562 0.3343621
Moved 1413.206 410.469 517 0.1168263 0.33179
Moved 1413.237 432.7211 517 0.1683358 0.33179
Moved 1413.268 448.3179 517 0.2044396 0.33179
Moved 1413.298 458.3893 517 0.227753 0.33179
Moved 1413.329 466.0399 517 0.2454627 0.33179
Moved 1413.36 474.1072 517 0.264137 0.33179
Moved 1413.391 480.8523 517 0.2797506 0.33179
Moved 1413.421 488.907 517 0.2983957 0.33179
Moved 1413.452 495.6371 514.1815 0.3139746 0.3245407
Moved 1413.483 503.3806 511 0.3318996 0.3163579
Moved 1413.514 507.5626 509 0.3415801 0.3112139
Moved 1413.544 510.1039 507.8962 0.3474626 0.3083749
Moved 1413.575 511.002 506.998 0.3495417 0.3060647
Stationary 1413.606 511 507 0.349537 0.3060699
Moved 1413.636 511 506 0.349537 0.3034978
Moved 1413.667 511 503.7084 0.349537 0.2976039
Moved 1413.698 495.3214 501.8303 0.313244 0.2927734
Moved 1413.729 484.8373 498.9593 0.2889751 0.285389
Moved 1413.759 476.3646 495.6823 0.2693625 0.2769606
Moved 1413.79 461.9311 488.7587 0.2359516 0.2591528
Moved 1413.821 444.3083 480.1542 0.1951582 0.237022
Moved 1413.852 424.8693 467.1924 0.1501605 0.203684
Moved 1413.882 406.6521 453.0627 0.107991 0.1673424
Moved 1413.913 384.9323 435.5134 0.05771368 0.1222052
Moved 1413.944 367.322 415.8756 0.01694898 0.07169649
Moved 1413.974 352.4007 398.0808 -0.01759107 0.02592801
Moved 1414.005 344.4635 384.7725 -0.0359642 -0.008301401
Moved 1414.036 335.848 369.4134 -0.05590737 -0.04780514
Moved 1414.067 330.8275 357.655 -0.06752888 -0.07804776
Moved 1414.097 325.7627 345.2881 -0.07925302 -0.1098558
Moved 1414.128 319.9366 327.8099 -0.09273926 -0.1548099
Moved 1414.159 316.0966 311.4833 -0.1016281 -0.1968023
Moved 1414.19 311.4554 294.3662 -0.1123717 -0.2408277
Moved 1414.22 306.3781 280.1344 -0.1241247 -0.2774322
Moved 1414.251 301.6269 263.8807 -0.1351229 -0.3192368
Moved 1414.282 297.8728 253.7455 -0.143813 -0.3453048
Moved 1414.312 296.3197 247.6394 -0.1474081 -0.3610098
Moved 1414.343 295 243.1334 -0.150463 -0.3725992
Moved 1414.374 292.6923 238.3845 -0.1558049 -0.3848135
Moved 1414.405 292 234.8236 -0.1574074 -0.3939723
Moved 1414.435 291 232.2743 -0.1597222 -0.4005291
Moved 1414.466 290 229.402 -0.162037 -0.4079168
Moved 1414.497 289 226.5308 -0.1643519 -0.4153016
Moved 1414.527 289 225.8883 -0.1643519 -0.416954
Stationary 1414.558 289 226 -0.1643519 -0.4166668
Stationary 1414.589 289 226 -0.1643519 -0.4166668
Moved 1414.62 289 236.5 -0.1643519 -0.3896605
Ended 1414.65 289 236.5 -0.1643519 -0.3896605
Began 1415.664 410 270 0.1157407 -0.303498
Stationary 1415.695 410 270 0.1157407 -0.303498
Stationary 1415.726 410 270 0.1157407 -0.303498
Moved 1415.756 386.2944 287.0754 0.06086657 -0.2595797
Moved 1415.787 363.6186 305.1296 0.00837634 -0.2131442
