in sharp contrast to your words
Basic
0.6 0.6
432 388.8
Began 1333.393 471 543 0.2569444 0.3986624
Stationary 1333.424 471 543 0.2569444 0.3986624
Stationary 1333.455 471 543 0.2569444 0.3986624
Stationary 1333.485 471 543 0.2569444 0.3986624
Stationary 1333.516 471 543 0.2569444 0.3986624
Stationary 1333.547 471 543 0.2569444 0.3986624
Stationary 1333.578 471 543 0.2569444 0.3986624
Stationary 1333.608 471 543 0.2569444 0.3986624
Stationary 1333.639 471 543 0.2569444 0.3986624
Stationary 1333.67 471 543 0.2569444 0.3986624
Stationary 1333.7 471 543 0.2569444 0.3986624
Stationary 1333.731 471 543 0.2569444 0.3986624
Moved 1333.762 461.4293 527.3388 0.23479 0.3583816
Moved 1333.793 454.51 491.8448 0.2187731 0.2670904
Moved 1333.823 450.818 454.2705 0.2102269 0.1704488
Moved 1333.854 449 387.5287 0.2060185 -0.001212265
Moved 1333.885 449 343.9802 0.2060185 -0.1132198
Moved 1333.916 457.7692 316.8077 0.2263176 -0.1831077
Moved 1333.946 460.4261 301.8693 0.2324679 -0.2215296
Moved 1333.977 462.2952 292.1145 0.2367943 -0.2466191
Moved 1334.008 463.1674 286.6653 0.2388134 -0.2606346
Moved 1334.038 463 283.2344 0.2384259 -0.2694588
Ended 1334.069 463 281 0.2384259 -0.2752058
Began 1334.499 242 402 -0.2731481 0.03600815
Moved 1334.53 235.2889 402 -0.2886832 0.03600815
Moved 1334.561 221.2203 402 -0.3212494 0.03600815
Moved 1334.591 212.975 402 -0.3403356 0.03600815
Moved 1334.622 201.4491 394.8983 -0.3670159 0.0177425
Moved 1334.653 194.4823 392 -0.3831429 0.01028803
Moved 1334.683 189.3692 391 -0.3949788 0.007715971
Moved 1334.714 186.8316 389.8315 -0.4008528 0.004710719
Moved 1334.745 185.5 390 -0.4039352 0.005143954
Moved 1334.776 184.8428 390 -0.4054565 0.005143954
Stationary 1334.806 185 390 -0.4050926 0.005143954
Moved 1334.837 210.8989 403.4996 -0.3451415 0.03986504
Moved 1334.868 271.29 415.4935 -0.2053473 0.07071357
Moved 1334.898 309.33 418.0275 -0.1172916 0.07723125
Moved 1334.929 347.1813 418 -0.02967288 0.07716041
Moved 1334.96 383.1044 418 0.05348245 0.07716041
Moved 1334.991 400.3333 418 0.09336422 0.07716041
Moved 1335.021 405.1991 418 0.1046275 0.07716041
Stationary 1335.052 405 418 0.1041667 0.07716041
Moved 1335.083 363.6653 401.9163 0.008484423 0.03579293
Moved 1335.113 340.5257 394.6642 -0.04507949 0.01714043
Moved 1335.144 300.5469 385.915 -0.137623 -0.005362632
Moved 1335.175 256.321 376.2642 -0.2399978 -0.03018469
Moved 1335.206 225.3132 371.2103 -0.3117751 -0.04318362
Moved 1335.236 198.0751 367.3417 -0.3748262 -0.05313355
Moved 1335.267 178.3482 364.7935 -0.4204904 -0.05968753
Moved 1335.298 161.6375 362.9275 -0.4591723 -0.06448699
Moved 1335.328 148.259 362 -0.4901413 -0.06687243
Moved 1335.359 141.5 362 -0.505787 -0.06687243
Moved 1335.39 139.5 362 -0.5104167 -0.06687243
Moved 1335.421 139 362 -0.511574 -0.06687243
Moved 1335.451 139 372.6527 -0.511574 -0.03947356
Moved 1335.482 153.9567 390.1959 -0.4769522 0.005647714
Moved 1335.513 176.3564 419.8085 -0.4251009 0.08181202
Moved 1335.543 199.907 447.6337 -0.3705857 0.1533789
Moved 1335.574 218.6906 469.9321 -0.3271051 0.2107307
Moved 1335.605 233.3124 487.0714 -0.2932583 0.2548131
Moved 1335.636 250.7744 506.1453 -0.2528372 0.3038715
Moved 1335.666 262.508 517.0053 -0.225676 0.3318037
Moved 1335.697 269.1638 523.1092 -0.210269 0.347503
Moved 1335.728 283.8113 531.9056 -0.1763628 0.3701276
Moved 1335.758 295.2979 537.6489 -0.1497735 0.3848994
Moved 1335.789 309.7862 542.3931 -0.1162357 0.3971014
Moved 1335.82 319.9484 544.2371 -0.09271213 0.4018442
Moved 1335.851 327.2201 546 -0.07587949 0.4063785
Moved 1335.881 335.9485 547.9828 -0.05567471 0.4114785
Moved 1335.912 349.3823 548.626 -0.02457808 0.4131327
Moved 1335.943 383.32 550 0.05398144 0.4166666
Moved 1335.974 427.5888 550 0.1564556 0.4166666
Moved 1336.004 467.3997 539.8834 0.2486106 0.3906464
Moved 1336.035 486.6638 537.3337 0.2932032 0.3840888
Moved 1336.065 501.92 536.0267 0.3285185 0.380727
Moved 1336.096 504.8089 536 0.3352059 0.3806583
Moved 1336.127 509.5679 536 0.3462219 0.3806583
Moved 1336.158 511.8023 536 0.3513943 0.3806583
Moved 1336.188 513.237 536 0.3547153 0.3806583
Ended 1336.219 514 534.7275 0.3564815 0.3773854
Began 1336.588 250 243 -0.2546296 -0.3729424
Stationary 1336.619 250 243 -0.2546296 -0.3729424
Stationary 1336.649 250 243 -0.2546296 -0.3729424
Moved 1336.68 231 228.5 -0.2986111 -0.4102367
Moved 1336.711 223.4154 224.6102 -0.316168 -0.4202412
Moved 1336.741 215.8763 220.9381 -0.3336197 -0.429686
Moved 1336.772 210.1161 218.0581 -0.3469534 -0.4370934
Moved 1336.803 206.0364 216.5182 -0.3563973 -0.4410542
Moved 1336.833 202.644 214.6439 -0.3642501 -0.4458747
Moved 1336.864 201 213.7692 -0.3680556 -0.4481246
Moved 1336.895 198.9493 214 -0.3728026 -0.4475308
Stationary 1336.926 198.9493 214 -0.3728026 -0.4475308
Moved 1336.956 199 225.4275 -0.3726852 -0.4181392
Moved 1336.987 209.8889 239.8055 -0.3474794 -0.3811586
Moved 1337.018 220.6642 256.597 -0.3225366 -0.3379708
Moved 1337.049 238.4487 275.6703 -0.2813689 -0.2889139
Moved 1337.079 261.0016 297.3347 -0.2291631 -0.2331928
Moved 1337.11 285.974 318.5529 -0.1713565 -0.1786192
Moved 1337.141 317.9489 347.454 -0.09734054 -0.104285
Moved 1337.171 332.2393 362.2393 -0.06426097 -0.06625705
Moved 1337.202 376.0977 407.0977 0.03726333 0.04911956
Moved 1337.233 387.5 420 0.06365737 0.08230445
