in sharp contrast to your words
Basic
0.6 0.6
432 388.8
Moved 561.7504 436 345.3384 0.1759259 -0.1097263
Moved 561.7811 434.2939 341.2938 0.1719765 -0.120129
Moved 561.8118 433.4161 338.4161 0.1699447 -0.1275308
Moved 561.8425 433 335.5552 0.1689814 -0.1348889
Moved 561.8733 432 333.9889 0.1666667 -0.1389175
Moved 561.904 432 332.1082 0.1666667 -0.1437548
Moved 561.9347 432 330.6266 0.1666667 -0.1475653
Moved 561.9655 432 329.9026 0.1666667 -0.1494276
Moved 561.9962 432 327.8251 0.1666667 -0.1547708
Moved 562.0269 432 327 0.1666667 -0.1568931
Moved 562.0576 432 325.5198 0.1666667 -0.1607002
Moved 562.0883 430.5866 321.5866 0.163395 -0.1708164
Moved 562.1191 428.7079 313.1238 0.1590462 -0.1925828
Moved 562.1498 425.8284 302.3135 0.1523806 -0.2203871
Moved 562.1805 425 292.8892 0.150463 -0.2446266
Moved 562.2112 425 284.8385 0.150463 -0.2653331
Moved 562.242 425 280.5471 0.150463 -0.2763707
Moved 562.2727 425 278.5 0.150463 -0.2816359
Moved 562.3033 419.5873 290.9444 0.1379336 -0.2496286
Moved 562.3341 405.408 337.2128 0.1051112 -0.1306257
Moved 562.3648 394.2246 392.6933 0.07922361 0.01207112
Moved 562.3956 387.0724 430.493 0.06266763 0.1092928
Moved 562.4263 380.0513 461.3206 0.04641493 0.1885817
Moved 562.457 378.1915 474.0427 0.04210989 0.2213031
Moved 562.4877 373.2284 492.8582 0.03062119 0.2696969
Moved 562.5185 370.7594 502.7217 0.0249061 0.2950661
Moved 562.5491 367.8041 511.3918 0.01806507 0.3173656
Moved 562.5799 367 516.0693 0.01620372 0.3293963
Moved 562.6106 365 519.9417 0.01157403 0.3393562
Moved 562.6413 364 522.4493 0.009259283 0.3458057
Moved 562.6721 361.8409 524.1592 0.004261236 0.3502036
Moved 562.7028 360.8106 525 0.001876354 0.3523662
Moved 562.7335 361 526 0.002314846 0.3549381
Moved 562.7643 359.3891 527 -0.00141417 0.3575102
