want to join us for lunch
Basic
0.6 0.6
432 388.8
Moved 1336.304 501 551.5 0.3263889 0.4205247
Moved 1336.335 501 551 0.3263889 0.4192385
Moved 1336.366 501 544.2877 0.3263889 0.4019743
Moved 1336.396 477.5302 488.7233 0.2720607 0.259062
Moved 1336.427 471.7477 469.9301 0.2586752 0.2107254
Moved 1336.458 461.4461 426.4152 0.234829 0.09880438
Moved 1336.489 453.8886 398.8507 0.2173348 0.02790816
Moved 1336.519 446.2813 369.2711 0.1997253 -0.04817107
Moved 1336.55 439.1029 344.4117 0.1831085 -0.1121099
Moved 1336.581 433.3671 324.1014 0.1698313 -0.1643484
Moved 1336.612 429.1131 309.4524 0.159984 -0.2020258
Moved 1336.642 424.8122 293.4366 0.1500283 -0.2432185
Moved 1336.673 423 285.8799 0.1458333 -0.2626545
Moved 1336.704 421.8723 282.6169 0.1432229 -0.271047
Moved 1336.734 420 275.9199 0.1388889 -0.2882719
Moved 1336.765 419 273.0867 0.1365741 -0.295559
Moved 1336.796 418 271 0.1342593 -0.300926
Ended 1336.827 418 271 0.1342593 -0.300926
Began 1337.472 396 590 0.08333336 0.5195472
Stationary 1337.503 396 590 0.08333336 0.5195472
Stationary 1337.533 396 590 0.08333336 0.5195472
Stationary 1337.564 396 590 0.08333336 0.5195472
Moved 1337.595 387.6427 574.5707 0.06398766 0.4798628
Moved 1337.625 382.5481 559.6444 0.0521947 0.4414721
Moved 1337.656 377.7994 543.3981 0.04120231 0.3996865
Moved 1337.687 372.5645 525.6935 0.02908448 0.3541498
Moved 1337.718 366.5292 509.5486 0.01511395 0.312625
Moved 1337.748 359.9203 495.2005 -0.0001844267 0.2757214
Moved 1337.779 353.5169 484.0338 -0.01500721 0.2470003
Moved 1337.81 346.5773 476.5773 -0.03107106 0.2278221
Moved 1337.84 336.9455 466.9454 -0.05336697 0.2030489
Moved 1337.871 328.3558 458.9039 -0.07325053 0.1823659
Moved 1337.902 315.8928 450.7357 -0.1021001 0.161357
Moved 1337.933 301.2366 442.1183 -0.1360264 0.1391931
Moved 1337.963 283.0028 431.6685 -0.1782343 0.1123161
Moved 1337.994 263.7534 422.8767 -0.2227932 0.08970339
Moved 1338.025 248.0664 417.6888 -0.2591056 0.07635999
Moved 1338.056 232.6729 409.8364 -0.2947388 0.05616356
Moved 1338.086 222.1461 405.0974 -0.3191063 0.04397459
Moved 1338.117 215.3567 402 -0.3348225 0.03600815
Moved 1338.148 210.194 399.194 -0.3467732 0.028791
Moved 1338.178 209.5 398.5 -0.3483796 0.02700609
Moved 1338.209 208 399 -0.3518518 0.02829214
Ended 1338.24 208 399 -0.3518518 0.02829214
Began 1338.793 357 367 -0.006944438 -0.05401234
Stationary 1338.824 357 367 -0.006944438 -0.05401234
Stationary 1338.854 357 367 -0.006944438 -0.05401234
Stationary 1338.885 357 367 -0.006944438 -0.05401234
Stationary 1338.916 357 367 -0.006944438 -0.05401234
Stationary 1338.947 357 367 -0.006944438 -0.05401234
Stationary 1338.977 357 367 -0.006944438 -0.05401234
Stationary 1339.008 357 367 -0.006944438 -0.05401234
Moved 1339.039 376.9133 392.37 0.03915121 0.01123962
Moved 1339.069 398.7859 421.8306 0.08978219 0.08701289
Moved 1339.099 423.8282 455.2853 0.1477505 0.1730587
Moved 1339.131 444.9404 485.7634 0.1966212 0.2514491
Moved 1339.162 465.4183 517.86 0.2440239 0.334002
Moved 1339.192 479.0899 543.1797 0.275671 0.3991248
Moved 1339.223 488.8043 556.7391 0.2981581 0.4339996
Moved 1339.254 496.5705 566.5705 0.3161353 0.4592862
Moved 1339.285 501.6524 573.3048 0.3278991 0.476607
Moved 1339.315 506 578.7111 0.337963 0.4905119
Moved 1339.346 507.0453 580.0453 0.3403827 0.4939437
Moved 1339.377 507 581 0.3402778 0.496399
Moved 1339.407 507 582.3503 0.3402778 0.499872
Moved 1339.438 493.5 582 0.3090277 0.4989711
Moved 1339.469 478.1703 573.399 0.2735424 0.4768493
Moved 1339.5 457.1742 565.6903 0.2249402 0.4570223
Moved 1339.53 435.2703 557.1014 0.1742367 0.4349314
Moved 1339.561 411.9154 546.9661 0.1201745 0.4088634
Moved 1339.592 382.2092 535.4836 0.0514101 0.3793302
Moved 1339.622 358.8883 527.2081 -0.002573431 0.3580455
Moved 1339.653 339.2047 520.7349 -0.04813731 0.3413962
Moved 1339.684 320.5555 513.0952 -0.09130662 0.3217469
Moved 1339.715 300.9728 505.9909 -0.136637 0.3034745
Moved 1339.745 287.4872 500.2436 -0.1678536 0.2886923
Moved 1339.776 277.2405 498.0601 -0.1915729 0.2830763
Moved 1339.807 268.6101 495 -0.2115506 0.2752057
Moved 1339.838 261.9987 492.3329 -0.2268549 0.2683458
Moved 1339.868 256.9211 490.4605 -0.2386087 0.26353
Moved 1339.899 251.8797 487.9399 -0.2502784 0.2570469
Moved 1339.93 249.0663 487 -0.256791 0.2546296
Moved 1339.96 247 486 -0.2615741 0.2520575
Ended 1339.991 247 486 -0.2615741 0.2520575
Began 1340.421 567 375 0.4791667 -0.03343629
Stationary 1340.452 567 375 0.4791667 -0.03343629
Stationary 1340.483 567 375 0.4791667 -0.03343629
Stationary 1340.513 567 375 0.4791667 -0.03343629
Moved 1340.544 545.6116 386.6104 0.4296566 -0.003574277
Moved 1340.575 523.3934 406.6066 0.3782255 0.04785636
Moved 1340.606 508 422 0.3425926 0.08744851
Moved 1340.636 488.0709 448.2506 0.2964605 0.1549655
Moved 1340.667 473.1414 470.5454 0.2619015 0.2123081
Moved 1340.698 459.7787 490.3099 0.2309691 0.2631426
Moved 1340.729 445.3905 506.0079 0.1976633 0.3035181
Moved 1340.759 430.6654 520.3346 0.1635773 0.3403667
Moved 1340.79 415.9604 530.3597 0.129538 0.3661515
Moved 1340.821 399.752 537.624 0.09201845 0.3848354
Moved 1340.851 387.0835 541.4583 0.06269316 0.3946971
Moved 1340.882 376.7872 544.6064 0.03885925 0.4027942
Moved 1340.913 370.0428 546 0.0232473 0.4063785
Moved 1340.944 365.924 548 0.01371284 0.4115225
Moved 1340.974 363.0858 549 0.007142921 0.4140946
Moved 1341.005 361.626 549 0.003763934 0.4140946
Moved 1341.036 360.3376 549 0.0007814169 0.4140946
Moved 1341.066 360 525.6043 0 0.3539205
Moved 1341.097 360 490.8248 0 0.264467
Moved 1341.127 368.9507 450.691 0.02071907 0.1612422
Moved 1341.159 375 416 0.03472219 0.07201634
Moved 1341.189 380.3282 383.3895 0.04705608 -0.01185829
Moved 1341.22 386.4302 356.0641 0.06118099 -0.08213977
Moved 1341.251 391.1577 336.4481 0.0721243 -0.1325923
Moved 1341.281 395.2476 319.6334 0.0815916 -0.1758401
Moved 1341.312 399.4974 303.5132 0.09142915 -0.2173015
Moved 1341.343 403.7617 290.4766 0.1013002 -0.2508318
Moved 1341.374 406.245 281.265 0.1070486 -0.2745243
Moved 1341.404 408.7586 274.7241 0.1128673 -0.2913475
Moved 1341.435 411.6342 266.7316 0.1195236 -0.3119043
Moved 1341.466 414.5 261 0.1261574 -0.3266461
Moved 1341.496 418.1199 253.8202 0.1345368 -0.3451127
Moved 1341.527 420.9547 245.136 0.1410987 -0.3674486
Moved 1341.558 422.8334 240.3331 0.1454476 -0.3798017
Moved 1341.589 424 236.2926 0.1481481 -0.390194
Moved 1341.62 424 233.7583 0.1481481 -0.3967122
Moved 1341.65 424 228.7993 0.1481481 -0.4094667
Moved 1341.681 399.2254 227 0.09079953 -0.4140947
Moved 1341.712 374 227 0.03240744 -0.4140947
Moved 1341.742 346.1606 241.7098 -0.03203571 -0.3762608
Moved 1341.773 324.3959 246.2291 -0.08241688 -0.3646371
Moved 1341.804 306.5574 250.0885 -0.1237098 -0.3547107
Moved 1341.834 292.5128 253.641 -0.1562203 -0.3455737
Moved 1341.865 277.5 255 -0.1909722 -0.3420782
Moved 1341.896 267.4474 256 -0.2142422 -0.3395062
Moved 1341.927 259.2346 258.2551 -0.2332532 -0.333706
Moved 1341.957 256.2271 260.7729 -0.240215 -0.3272302
Moved 1341.988 256 267.602 -0.2407407 -0.3096657
Moved 1342.019 256 279.083 -0.2407407 -0.2801364
Moved 1342.05 273.4143 294.4144 -0.2004298 -0.2407038
Moved 1342.08 297.7083 316.7448 -0.1441937 -0.1832696
Moved 1342.111 318.8565 331.1832 -0.09523948 -0.1461337
Moved 1342.142 334.5287 342.1172 -0.05896131 -0.1180113
Moved 1342.172 347.2883 350.773 -0.02942517 -0.09574851
Moved 1342.203 361.5547 360.3328 0.003598829 -0.0711605
Moved 1342.234 376.8855 368.9313 0.03908674 -0.04904507
Moved 1342.265 389.8661 377.2441 0.06913453 -0.02766448
Moved 1342.295 400.0659 384.0659 0.09274503 -0.01011876
Moved 1342.326 409.6694 389.6694 0.1149756 0.004293732
Moved 1342.357 419.2761 394.184 0.1372131 0.0159054
Moved 1342.388 425.2792 397.6396 0.1511092 0.0247931
Moved 1342.418 432.0215 400.5107 0.1667164 0.03217775
Moved 1342.449 437.3839 403.3839 0.1791293 0.03956763
Moved 1342.48 441.2534 405.2534 0.1880866 0.044376
Moved 1342.51 442.3174 406.3174 0.1905495 0.04711249
Moved 1342.541 443 406 0.1921296 0.04629618
Stationary 1342.572 443 406 0.1921296 0.04629618
Ended 1342.603 443 406 0.1921296 0.04629618
PhraseEnd 1344.876
