this is a very good idea
Basic
0.6 0.6
432 388.8
Began 1026.442 313 513 -0.1087963 0.321502
Stationary 1026.472 313 513 -0.1087963 0.321502
Stationary 1026.503 313 513 -0.1087963 0.321502
Stationary 1026.534 313 513 -0.1087963 0.321502
Stationary 1026.564 313 513 -0.1087963 0.321502
Moved 1026.595 325.1332 501.8668 -0.0807101 0.2928671
Moved 1026.626 332.3138 494.6862 -0.06408846 0.2743986
Moved 1026.657 339.9526 486.0632 -0.04640594 0.25222
Moved 1026.687 347.5443 474.7595 -0.02883256 0.2231467
Moved 1026.718 357.1833 455.6335 -0.006520251 0.1739543
Moved 1026.749 368.5194 433.5479 0.01972079 0.1171498
Moved 1026.78 379.4525 413.2082 0.04502882 0.0648358
Moved 1026.81 393.8747 390.1611 0.07841368 0.005558233
Moved 1026.841 408.2112 371.1043 0.1116001 -0.043456
Moved 1026.872 420.5 357 0.1400463 -0.07973259
Moved 1026.903 429.1632 351.1276 0.1601001 -0.09483643
Moved 1026.933 439.644 346.839 0.184361 -0.1058669
Moved 1026.964 454.149 341.9702 0.2179374 -0.1183894
Moved 1026.995 465.3913 342 0.2439613 -0.1183128
Moved 1027.026 485.0492 373.2272 0.2894658 -0.03799587
Moved 1027.056 498.1582 406.4745 0.3198106 0.04751672
Moved 1027.087 502.1644 429.4792 0.3290842 0.1066851
Moved 1027.118 502 442.6651 0.3287037 0.1405994
Moved 1027.148 497.078 452.0938 0.3173103 0.1648501
Moved 1027.179 479.3326 458.4075 0.2762328 0.1810891
Moved 1027.21 436.9858 459 0.1782078 0.1826131
Moved 1027.241 420.1438 446.7146 0.1392218 0.1510148
Moved 1027.271 383.6431 435.2144 0.05472948 0.121436
Moved 1027.302 351.7225 423.7173 -0.01916086 0.09186536
Moved 1027.333 328.1531 412.5765 -0.07371972 0.06321114
Moved 1027.364 301.2924 402.1097 -0.1358972 0.03629025
Moved 1027.394 279.3311 394.4992 -0.1867335 0.01671603
Moved 1027.425 261.5 388 -0.2280093 -3.924585E-08
Moved 1027.456 250.9406 383.4703 -0.2524522 -0.01165037
Moved 1027.486 244.8559 381.8559 -0.2665374 -0.01580281
Ended 1027.517 245 382 -0.2662037 -0.01543218
Began 1028.255 551 528 0.4421297 0.3600822
Stationary 1028.286 551 528 0.4421297 0.3600822
Stationary 1028.316 551 528 0.4421297 0.3600822
Moved 1028.347 531.7826 528 0.3976449 0.3600822
Moved 1028.378 501.4534 504.7694 0.3274383 0.3003328
Moved 1028.408 464.5706 488.2853 0.2420615 0.2579353
Moved 1028.439 429.8279 471.088 0.1616386 0.2137035
Moved 1028.47 399.5 454.5 0.09143522 0.171039
Moved 1028.501 378.7723 442.8862 0.04345447 0.141168
Moved 1028.531 359.632 432.4213 -0.0008518994 0.1142523
Moved 1028.562 340.5974 420.141 -0.04491354 0.08266711
Moved 1028.593 323.3604 407.8289 -0.08481379 0.05100007
Moved 1028.624 306.1116 395.467 -0.1247417 0.01920519
Moved 1028.654 293.7591 387.8795 -0.1533355 -0.0003099638
Moved 1028.685 285.221 381.1473 -0.1730995 -0.01762524
Moved 1028.716 277.6498 376.0999 -0.1906255 -0.03060737
Moved 1028.746 270.3729 373 -0.2074702 -0.03858032
Moved 1028.777 265.8191 370 -0.2180114 -0.04629637
Ended 1028.808 265.8191 370 -0.2180114 -0.04629637
Began 1029.945 216 418 -0.3333333 0.07716041
Stationary 1029.976 216 418 -0.3333333 0.07716041
Stationary 1030.006 216 418 -0.3333333 0.07716041
Stationary 1030.037 216 418 -0.3333333 0.07716041
Stationary 1030.068 216 418 -0.3333333 0.07716041
Stationary 1030.099 216 418 -0.3333333 0.07716041
Stationary 1030.129 216 418 -0.3333333 0.07716041
Stationary 1030.16 216 418 -0.3333333 0.07716041
Stationary 1030.191 216 418 -0.3333333 0.07716041
Stationary 1030.221 216 418 -0.3333333 0.07716041
Stationary 1030.252 216 418 -0.3333333 0.07716041
Stationary 1030.283 216 418 -0.3333333 0.07716041
Stationary 1030.314 216 418 -0.3333333 0.07716041
Stationary 1030.344 216 418 -0.3333333 0.07716041
Stationary 1030.375 216 418 -0.3333333 0.07716041
Ended 1030.406 216 418 -0.3333333 0.07716041
Began 1031.758 410 287 0.1157407 -0.2597736
Stationary 1031.789 410 287 0.1157407 -0.2597736
Stationary 1031.82 410 287 0.1157407 -0.2597736
Moved 1031.85 402.7 296.3857 0.09884258 -0.2356335
Moved 1031.881 390.0985 317.9861 0.06967247 -0.1800771
Moved 1031.912 379.8862 336.2275 0.04603297 -0.1331597
Moved 1031.943 370.2809 350.2921 0.02379845 -0.0969853
Moved 1031.973 363.1077 360.7847 0.007193685 -0.06999836
Moved 1032.004 354.1237 369.8454 -0.01360257 -0.04669401
Moved 1032.035 342.4697 384.2172 -0.04057948 -0.009729439
Moved 1032.065 332.8532 396.8624 -0.06283974 0.02279407
Moved 1032.096 325.4905 405.5095 -0.07988308 0.04503458
Moved 1032.127 315.7304 417.2695 -0.1024758 0.0752816
Moved 1032.158 306.1015 430.8309 -0.1247651 0.1101618
Moved 1032.188 297.4974 444.171 -0.1446819 0.1444725
Moved 1032.219 289.8458 455.9237 -0.162394 0.1747008
Moved 1032.25 282.4676 465.7986 -0.1794732 0.2000991
Moved 1032.281 274.6258 474.3742 -0.1976255 0.2221557
Moved 1032.311 269.5215 481.2177 -0.2094409 0.2397572
Moved 1032.342 264.9624 488.0376 -0.2199944 0.2572983
Moved 1032.373 260.2241 495.1638 -0.2309627 0.275627
Moved 1032.403 257.7531 499.4937 -0.2366825 0.2867636
Moved 1032.434 257 501.8204 -0.2384259 0.2927478
Moved 1032.465 255.7496 503.2504 -0.2413204 0.2964259
Moved 1032.496 256 505.1137 -0.2407407 0.3012183
Moved 1032.526 255 507.2061 -0.2430556 0.3066
Stationary 1032.557 255 507.2061 -0.2430556 0.3066
Moved 1032.588 255 508 -0.2430556 0.3086419
Moved 1032.619 269.0573 508 -0.2105154 0.3086419
Moved 1032.649 279.6778 508 -0.185931 0.3086419
Moved 1032.68 294.1942 508 -0.1523282 0.3086419
