learn to walk before you run
learn to walk before you run
Basic
0.6 0.6
432 388.8
Began 65.29298 614 387 0.5879629 -0.002572055
Stationary 65.32323 614 387 0.5879629 -0.002572055
Stationary 65.33449 614 387 0.5879629 -0.002572055
Stationary 65.34425 614 387 0.5879629 -0.002572055
Stationary 65.35707 614 387 0.5879629 -0.002572055
Stationary 65.37169 614 387 0.5879629 -0.002572055
Stationary 65.38774 614 387 0.5879629 -0.002572055
Moved 65.40437 601.8392 387 0.5598131 -0.002572055
Moved 65.42021 597.2464 394.8768 0.5491815 0.0176872
Moved 65.43602 592.5382 398.4618 0.5382829 0.0269079
Moved 65.45009 585.9361 402.6384 0.5230002 0.03765004
Moved 65.46922 581.0695 406.7583 0.511735 0.04824662
Moved 65.48112 575.1525 410.8856 0.4980382 0.05886215
Moved 65.49663 571.0121 414.9879 0.488454 0.06941316
Moved 65.5118 565.5858 419.1313 0.4758929 0.08007029
Moved 65.52727 558.9116 425.0884 0.4604434 0.09539195
Moved 65.54338 553.3754 430.6246 0.4476283 0.109631
Moved 65.55894 546.5 436 0.4317129 0.1234567
Moved 65.57307 540.3696 442.6304 0.4175223 0.1405102
Moved 65.58925 534.7528 449.559 0.4045205 0.1583305
Moved 65.60457 528.202 455.798 0.3893564 0.1743776
Moved 65.6212 522.8296 460.3363 0.3769203 0.1860501
Moved 65.63603 516.2274 465.6181 0.3616375 0.199635
Moved 65.65215 508 472.5 0.3425926 0.2173353
Moved 65.66841 503.3568 476.7145 0.3318445 0.2281752
Moved 65.68217 497.7127 480.9655 0.3187794 0.2391086
Moved 65.69814 491.4698 485.1182 0.3043281 0.2497895
Moved 65.71275 484.5397 491.4603 0.2882863 0.2661016
Moved 65.72923 477.6301 496.8959 0.2722918 0.2800821
Moved 65.74529 471.2503 500.6783 0.2575238 0.2898104
Moved 65.76082 462.478 505.761 0.2372175 0.3028831
Moved 65.77425 454.1618 509.9191 0.2179671 0.313578
Moved 65.79076 446.1461 514.7737 0.1994122 0.3260639
Moved 65.80708 436.5149 520.2772 0.1771178 0.3402191
Moved 65.82115 428.2877 522.9041 0.1580733 0.3469756
