just in time for the party
Basic
0.6 0.6
432 388.8
Ended 845.319 377.8443 537 0.04130632 0.3832304
Backspace 846.2719
Began 847.8396 488 337 0.2962963 -0.1311728
Stationary 847.8703 488 337 0.2962963 -0.1311728
Stationary 847.901 488 337 0.2962963 -0.1311728
Stationary 847.9317 488 337 0.2962963 -0.1311728
Moved 847.9625 488 347.4882 0.2962963 -0.104197
Moved 847.9932 488 358.1422 0.2962963 -0.07679488
Moved 848.024 488 363.1915 0.2962963 -0.06380803
Moved 848.0547 488 369.2916 0.2962963 -0.04811832
Moved 848.0854 488 375.5386 0.2962963 -0.03205107
Moved 848.1161 480.0797 386.6814 0.2779622 -0.003391509
Moved 848.147 478.5298 394.8809 0.2743745 0.01769764
Moved 848.1777 478 403.0554 0.2731481 0.03872251
Moved 848.2084 475.7919 410.6243 0.2680369 0.05818991
Moved 848.2391 471.3696 424.076 0.2577999 0.09278811
Moved 848.2698 465.2511 441.621 0.2436369 0.1379141
Moved 848.3006 456.3347 462.3305 0.2229971 0.1911792
Moved 848.3313 449.7973 478.4053 0.2078642 0.2325239
Moved 848.3621 441.1116 497.7769 0.1877583 0.2823478
Moved 848.3928 434.6381 510.7238 0.1727734 0.3156475
Moved 848.4236 428.5416 520.1876 0.1586612 0.3399885
Moved 848.4543 423.9869 527.0196 0.1481179 0.3575605
Moved 848.485 420 533 0.1388889 0.3729423
Moved 848.5157 418.9027 536.0974 0.1363488 0.3809087
Moved 848.5465 418 538.5 0.1342593 0.3870883
Moved 848.5773 417 539.9297 0.1319444 0.3907657
Moved 848.608 416 541.459 0.1296297 0.3946989
Moved 848.6387 414.9919 542 0.1272961 0.3960905
Moved 848.6694 413.7236 542 0.1243602 0.3960905
Moved 848.7002 411.3203 542 0.1187969 0.3960905
Moved 848.731 404.0024 542 0.1018575 0.3960905
Moved 848.7617 388.779 522.7789 0.06661792 0.3466536
Moved 848.7924 374.4827 507.4827 0.03352473 0.3073114
Moved 848.8232 356.7738 494.5204 -0.007468115 0.2739721
Moved 848.8539 334.1868 476.4135 -0.05975271 0.2274008
Moved 848.8846 311.3223 457.7418 -0.1126798 0.1793769
Moved 848.9153 291.9893 442.4919 -0.1574322 0.1401541
Moved 848.9461 274.5 430.5 -0.1979167 0.1093106
Moved 848.9769 257.8366 413.8367 -0.2364893 0.06645226
Moved 849.0076 244.7155 401.7155 -0.2668622 0.03527645
Moved 849.0383 235.6006 392.6006 -0.2879615 0.01183286
Moved 849.069 228.5 387 -0.3043981 -0.002572055
Moved 849.0998 223.063 381.063 -0.3169838 -0.01784211
Moved 849.1306 219.5 377.5 -0.3252315 -0.02700625
Moved 849.1613 216.9299 375.9299 -0.3311807 -0.03104441
Moved 849.192 216 373.5 -0.3333333 -0.03729432
Moved 849.2228 214.1365 373 -0.337647 -0.03858032
Moved 849.2535 214 373 -0.3379629 -0.03858032
Stationary 849.2842 214 373 -0.3379629 -0.03858032
Stationary 849.315 214 373 -0.3379629 -0.03858032
Moved 849.3457 237.2233 390.4771 -0.2842053 0.006371093
Moved 849.3765 264.6709 411.0774 -0.2206692 0.05935539
Moved 849.4072 284.0672 428.0671 -0.1757704 0.1030533
Moved 849.4378 298.9674 442.9674 -0.1412791 0.141377
Moved 849.4686 313.9393 456.2827 -0.1066221 0.1756242
Moved 849.4994 328.0393 469.0393 -0.07398317 0.2084344
Moved 849.5302 335.2336 476.2336 -0.05732953 0.2269383
Moved 849.5609 341.5786 483.868 -0.04264201 0.246574
Moved 849.5916 349.5 495.5 -0.02430553 0.2764916
Moved 849.6224 357.1904 504.1904 -0.006503711 0.2988437
Moved 849.6531 360.6159 509.2318 0.001425743 0.3118101
Moved 849.6838 363 513.1718 0.006944438 0.3219438
Moved 849.7146 365.4537 515.4537 0.01262436 0.327813
Moved 849.7453 367.0013 518.0013 0.0162067 0.3343654
Moved 849.776 368.5 520.5 0.01967589 0.3407921
Ended 849.8068 368 520 0.01851857 0.3395061
