watch out for low flying objects
Basic
0.6 0.6
432 388.8
Moved 859.9434 306.2208 378.8384 -0.1244889 -0.02356392
Moved 859.9741 326.3905 393.8254 -0.07779975 0.01498313
Moved 860.0049 342.139 405.2834 -0.04134481 0.04445323
Moved 860.0356 355.6907 415.7938 -0.009975136 0.07148613
Moved 860.0664 373.0252 426.2202 0.03015091 0.09830282
Moved 860.097 385.6798 435.0098 0.05944391 0.12091
Moved 860.1279 399.6891 444.1513 0.0918729 0.144422
Moved 860.1586 414.5367 453.3067 0.1262424 0.1679698
Moved 860.1893 434.6544 464.8025 0.172811 0.1975371
Moved 860.2201 454.7428 477.2816 0.2193121 0.2296337
Moved 860.2508 471 484 0.2569444 0.2469135
Moved 860.2816 486.0543 491.4217 0.2917923 0.2660022
Moved 860.3123 498.3154 496.0789 0.3201746 0.2779805
Moved 860.343 505.9056 499.9528 0.3377445 0.2879444
Moved 860.3738 510.0384 501.5192 0.3473111 0.2919733
Moved 860.4045 513.3863 503.3863 0.3550609 0.2967754
Moved 860.4353 516.2604 504 0.3617139 0.2983539
Moved 860.466 517.5 505 0.3645833 0.3009258
Moved 860.4968 518.097 506.097 0.3659653 0.3037473
Moved 860.5275 518 507 0.3657407 0.3060699
Stationary 860.5583 518 507 0.3657407 0.3060699
Moved 860.589 507.7784 508 0.3420797 0.3086419
Moved 860.6198 489.5689 508 0.299928 0.3086419
Moved 860.6505 462.5339 508 0.2373469 0.3086419
Moved 860.6812 434.8144 508 0.1731815 0.3086419
Moved 860.712 407.3802 509.0516 0.1096764 0.3113467
Moved 860.7427 383.6249 509.9305 0.05468726 0.3136073
Moved 860.7734 363.3987 510.8002 0.007867218 0.315844
Moved 860.8042 343.5 511 -0.03819446 0.3163579
Moved 860.8349 329.0838 513 -0.07156526 0.321502
Moved 860.8657 315.8331 514 -0.1022383 0.324074
Moved 860.8964 307.1695 514 -0.1222928 0.324074
Moved 860.9271 301.269 514 -0.1359514 0.324074
Moved 860.9579 296.2867 515 -0.1474845 0.326646
Moved 860.9886 295 517.2257 -0.150463 0.3323706
Moved 861.0193 291.9016 519.0984 -0.1576352 0.3371872
Ended 861.0501 290.8402 520.1598 -0.1600921 0.3399171
Began 861.5727 536 331 0.4074074 -0.146605
Stationary 861.6035 536 331 0.4074074 -0.146605
Stationary 861.6342 536 331 0.4074074 -0.146605
Stationary 861.6649 536 331 0.4074074 -0.146605
Stationary 861.6957 536 331 0.4074074 -0.146605
Moved 861.7264 536 357.9186 0.4074074 -0.07736983
Moved 861.7571 536 379.0604 0.4074074 -0.02299297
Moved 861.7879 536 403.1797 0.4074074 0.03904248
Moved 861.8186 536 425.8519 0.4074074 0.09735554
Moved 861.8494 545.9517 443.9517 0.4304436 0.1439085
Moved 861.8801 543 459.5485 0.4236111 0.1840237
Moved 861.9108 543 477.6329 0.4236111 0.2305371
Moved 861.9416 543 496.7081 0.4236111 0.2795989
Moved 861.9724 543 511.5 0.4236111 0.317644
Moved 862.0031 534.8901 520.3297 0.4048381 0.3403541
Moved 862.0338 533.0217 528.9566 0.4005132 0.3625426
Moved 862.0646 531 535.7031 0.3958333 0.3798946
Moved 862.0952 528.7166 539.5668 0.3905477 0.3898321
Moved 862.126 522.4911 544.5089 0.3761369 0.4025432
Moved 862.1567 512.5087 549.2457 0.3530294 0.4147265
Moved 862.1875 498.0266 551 0.319506 0.4192385
Moved 862.2183 479.5322 553 0.2766949 0.4243826
Moved 862.249 452.6974 554 0.2145774 0.4269547
Moved 862.2797 428.8947 554 0.1594785 0.4269547
Moved 862.3104 408.3796 555.8276 0.1119899 0.4316551
Moved 862.3412 386.4739 556 0.06128212 0.4320986
Moved 862.3719 368.3856 556 0.01941114 0.4320986
Moved 862.4027 349.3163 557.3834 -0.02473066 0.4356567
Moved 862.4334 335.5271 557 -0.05665014 0.4346707
Moved 862.4642 318.4206 557 -0.09624868 0.4346707
Moved 862.4949 300.5435 557 -0.1376308 0.4346707
Moved 862.5256 284.5 557 -0.1747685 0.4346707
Moved 862.5564 268.6151 557 -0.2115392 0.4346707
Moved 862.5871 255.2803 548.0561 -0.2424066 0.4116668
Moved 862.6179 240.9451 545.189 -0.2755901 0.4042926
Moved 862.6486 229.9731 542.7433 -0.3009883 0.3980023
Moved 862.6794 218.1266 541 -0.3284107 0.3935184
Moved 862.7101 212.8354 539 -0.3406588 0.3883744
Moved 862.7408 209.0431 538.0431 -0.3494372 0.3859132
Moved 862.7716 206.538 538 -0.3552361 0.3858024
Ended 862.8024 203.6506 538 -0.36192 0.3858024
Began 863.7245 310 357 -0.1157407 -0.07973259
Stationary 863.7553 310 357 -0.1157407 -0.07973259
Stationary 863.786 310 357 -0.1157407 -0.07973259
Stationary 863.8167 310 357 -0.1157407 -0.07973259
Stationary 863.8475 310 357 -0.1157407 -0.07973259
Moved 863.8782 327.6377 367.3188 -0.07491276 -0.05319234
Moved 863.9089 343.1466 377.0978 -0.03901244 -0.02804069
Moved 863.9397 358.2124 386.1517 -0.004138053 -0.004754046
Moved 863.9705 375.4628 396.6419 0.03579358 0.02222713
Moved 864.0012 390.9178 407.1342 0.07156899 0.0492134
Moved 864.0319 402.5965 416.9473 0.09860297 0.07445296
Moved 864.0627 414.0529 424.6318 0.1251225 0.09421744
Moved 864.0934 426.406 435.3248 0.1537176 0.1217202
Moved 864.1242 436.8642 444.8642 0.1779264 0.1462556
Moved 864.1549 444.5 452.5 0.1956019 0.165895
Moved 864.1856 448.3581 457.7162 0.2045326 0.1793111
Moved 864.2164 453.2139 461.2139 0.2157729 0.1883072
Moved 864.2471 456.0877 464.0876 0.2224252 0.1956986
