sharp cheese keeps the mind sharp
Basic
0.6 0.6
432 388.8
Began 794.4596 156 330 -0.4722222 -0.149177
Stationary 794.4903 156 330 -0.4722222 -0.149177
Stationary 794.5211 156 330 -0.4722222 -0.149177
Moved 794.5518 166.9298 330 -0.4469217 -0.149177
Moved 794.5825 193.6356 341.6907 -0.3851028 -0.1191084
Moved 794.6133 224.8336 347.4394 -0.3128852 -0.1043226
Moved 794.644 258.6908 351.3076 -0.234512 -0.09437356
Moved 794.6747 286.7604 351 -0.169536 -0.09516476
Moved 794.7054 310.0881 343.2731 -0.1155368 -0.1150383
Moved 794.7361 324.402 341 -0.08240283 -0.1208849
Moved 794.7668 334.8993 340 -0.0581034 -0.1234569
Moved 794.7976 347.864 340 -0.02809271 -0.1234569
Moved 794.8283 366.2847 346.8555 0.01454781 -0.1058245
Moved 794.8591 389.6621 357.9609 0.06866227 -0.07726104
Moved 794.8898 408.5 369 0.1122685 -0.04886839
Moved 794.9205 418.6076 375.4557 0.1356657 -0.03226417
Moved 794.9513 424.0485 380.0485 0.1482604 -0.02045156
Moved 794.9819 426.8973 382.8973 0.1548548 -0.01312436
Moved 795.0127 429 385.861 0.1597223 -0.00550168
Stationary 795.0435 429 386 0.1597223 -0.005144111
Moved 795.0742 429 388.0833 0.1597223 0.0002141254
Moved 795.1049 413.6848 392.0901 0.1242703 0.01051966
Moved 795.1357 385.6588 395 0.05939543 0.01800408
Moved 795.1663 332.6431 395 -0.06332625 0.01800408
Moved 795.1971 300.6905 395 -0.1372906 0.01800408
Moved 795.2278 282.4479 395 -0.1795187 0.01800408
Moved 795.2585 269.113 395 -0.2103866 0.01800408
Moved 795.2893 260.0405 395 -0.2313877 0.01800408
Moved 795.32 253.9519 395 -0.2454817 0.01800408
Moved 795.3507 249.9675 395 -0.2547047 0.01800408
Moved 795.3815 246.0934 395 -0.2636728 0.01800408
Moved 795.4122 243.2192 395 -0.270326 0.01800408
Moved 795.4429 240.5 395 -0.2766204 0.01800408
Moved 795.4737 237.7997 395 -0.2828711 0.01800408
Moved 795.5044 235.918 395 -0.2872267 0.01800408
Moved 795.5351 232.1032 395 -0.2960574 0.01800408
Moved 795.5658 227.0461 396 -0.3077636 0.02057605
Moved 795.5966 215.6122 397.3469 -0.3342309 0.02404036
Moved 795.6273 204.1158 398.2211 -0.360843 0.02628864
Moved 795.658 197.8335 400.0833 -0.3753855 0.03107824
Moved 795.6888 197 402.3157 -0.3773148 0.03682026
Moved 795.7195 203.2973 417.822 -0.3627378 0.07670273
Moved 795.7502 239.1375 461.7183 -0.2797742 0.1896047
Moved 795.7809 291.6338 513.829 -0.1582551 0.3236341
Moved 795.8116 299.1782 521.1782 -0.1407913 0.3425364
Moved 795.8424 308.3308 530.3308 -0.1196045 0.3660771
Moved 795.8731 310.5477 532.0954 -0.1144729 0.3706157
Moved 795.9039 312 535.0576 -0.1111111 0.3782345
Moved 795.9346 313.9274 537.9274 -0.1066495 0.3856157
Moved 795.9653 315.8021 539.8021 -0.1023099 0.3904375
Moved 795.996 318.5 542.5 -0.0960648 0.3973764
Moved 796.0268 326.9171 545.4586 -0.07658069 0.4049859
Moved 796.0575 365.9085 550.212 0.01367718 0.4172119
Moved 796.0883 412.5689 550 0.1216873 0.4166666
Moved 796.119 444.6754 550 0.196008 0.4166666
Moved 796.1497 495.4013 532.9197 0.313429 0.3727359
Moved 796.1804 529.4071 529.7593 0.3921461 0.3646071
Ended 796.2112 552.5 529 0.4456018 0.3626543
Began 796.6414 273 316 -0.2013889 -0.1851853
Stationary 796.6721 273 316 -0.2013889 -0.1851853
Stationary 796.7029 273 316 -0.2013889 -0.1851853
Stationary 796.7336 273 316 -0.2013889 -0.1851853
Moved 796.7643 273 305.8264 -0.2013889 -0.2113519
Moved 796.795 273 302.6935 -0.2013889 -0.2194098
Moved 796.8258 273 299.8223 -0.2013889 -0.2267947
Moved 796.8565 273 299 -0.2013889 -0.2289095
Stationary 796.8873 273 299 -0.2013889 -0.2289095
Moved 796.9179 291.0099 321.8798 -0.1596993 -0.1700623
Moved 796.9487 327.9305 366.14 -0.07423485 -0.05622448
Moved 796.9794 358.2199 404.0715 -0.004120668 0.0413362
Moved 797.0101 381.627 430.3524 0.05006254 0.108931
Moved 797.0409 394.7872 445.383 0.08052598 0.1475899
Moved 797.0716 401.9183 452.9183 0.09703308 0.1669708
Moved 797.1024 404.9858 457.9716 0.1041338 0.1799679
Moved 797.1331 407 460.8689 0.1087963 0.18742
Moved 797.1638 407 463.7309 0.1087963 0.194781
Moved 797.1945 392.1399 474.4301 0.07439792 0.2222994
Moved 797.2252 339.6055 507.9652 -0.04720941 0.3085524
Moved 797.256 307.5021 526.2715 -0.1215229 0.3556366
Moved 797.2867 291.3483 531.9129 -0.158916 0.3701463
Moved 797.3174 282.6262 534.4579 -0.179106 0.3766921
Moved 797.3481 279.6651 535 -0.1859604 0.3780863
Moved 797.3789 277.8954 537.1046 -0.1900569 0.3834994
Moved 797.4097 276.5 537 -0.193287 0.3832304
Moved 797.4404 274.8136 538 -0.1971907 0.3858024
Moved 797.4711 265.6426 496.6845 -0.2184199 0.2795382
Moved 797.5018 253.6271 433.106 -0.2462335 0.1160133
Moved 797.5325 251.1073 394.6096 -0.2520664 0.01699993
Moved 797.5632 250 370.391 -0.2546296 -0.04529066
Moved 797.594 250 361.0721 -0.2546296 -0.06925889
Moved 797.6248 250 356.5 -0.2546296 -0.0810186
Moved 797.6555 250 364.0663 -0.2546296 -0.06155783
Moved 797.6862 271.5297 414.2129 -0.2047924 0.06741986
Moved 797.7169 278.5603 456.3616 -0.1885179 0.175827
Moved 797.7476 281.2697 478.1575 -0.1822461 0.2318864
Ended 797.7784 286.4693 494.4079 -0.1702099 0.2736827
Began 798.1472 481 342 0.2800926 -0.1183128
Stationary 798.1779 481 342 0.2800926 -0.1183128
Stationary 798.2086 481 342 0.2800926 -0.1183128
Stationary 798.2394 481 342 0.2800926 -0.1183128
Stationary 798.2701 481 342 0.2800926 -0.1183128
Moved 798.3008 431.2414 365.3491 0.1649107 -0.05825851
