taking the train is usually faster
Basic
0.6 0.6
432 388.8
Began 727.2646 396 478 0.08333336 0.2314814
Stationary 727.2943 396 478 0.08333336 0.2314814
Stationary 727.3261 396 478 0.08333336 0.2314814
Stationary 727.3568 396 478 0.08333336 0.2314814
Stationary 727.3876 396 478 0.08333336 0.2314814
Stationary 727.4183 396 478 0.08333336 0.2314814
Moved 727.449 386.3685 473.5796 0.06103823 0.220112
Moved 727.4798 381.769 467.769 0.05039125 0.2051672
Moved 727.5105 372.924 460.9493 0.02991656 0.1876267
Moved 727.5413 361.5693 452.3416 0.003632605 0.1654874
Moved 727.572 346.1563 439.925 -0.03204559 0.133552
Moved 727.6027 326.9782 420.9783 -0.07643928 0.08482061
Moved 727.6335 308.5818 402.5817 -0.1190237 0.03750436
Moved 727.6641 291.5173 381.3563 -0.1585248 -0.01708772
Moved 727.6949 276.4397 364.0156 -0.1934265 -0.06168828
Moved 727.7256 259.568 345.0816 -0.2324814 -0.1103869
Moved 727.7564 246.9378 328.5837 -0.2617181 -0.1528198
Moved 727.7871 237.1227 315.9033 -0.2844383 -0.1854339
Moved 727.8179 230.5423 307.0845 -0.2996707 -0.2081159
Moved 727.8486 225.3982 301.3982 -0.3115783 -0.2227413
Moved 727.8793 223.533 299 -0.3158959 -0.2289095
Moved 727.9101 221.8332 299 -0.3198305 -0.2289095
Stationary 727.9408 222 299 -0.3194444 -0.2289095
Moved 727.9716 220.8991 299 -0.3219928 -0.2289095
Moved 728.0023 221 310.6665 -0.3217593 -0.1989031
Moved 728.033 245.2118 331.1186 -0.2657134 -0.1463
Moved 728.0637 293.1186 361.0712 -0.1548181 -0.06926148
Moved 728.0945 335.3933 380.3306 -0.05695993 -0.01972591
Moved 728.1252 369.4071 394.2221 0.02177566 0.01600328
Moved 728.1559 400.8422 403.2808 0.0945422 0.03930229
Moved 728.1866 427.7446 407.1744 0.1568161 0.04931693
Moved 728.2174 449.3429 408 0.2068123 0.05144025
Moved 728.2476 464.4785 408 0.2418482 0.05144025
Moved 728.2789 478.2885 408 0.2738159 0.05144025
Moved 728.3096 489.3356 408 0.2993879 0.05144025
Moved 728.3403 496.599 398.8004 0.3162014 0.02777865
Moved 728.3711 499.7019 397.2981 0.323384 0.02391477
Moved 728.4018 502.5 395.5 0.3298611 0.01929004
Stationary 728.4326 502.5 395.5 0.3298611 0.01929004
Moved 728.4633 502 409.0729 0.3287037 0.05419974
Moved 728.494 481.6048 445.0344 0.2814926 0.1466934
Moved 728.5247 476.2819 483.6171 0.269171 0.2459288
Moved 728.5554 476 512.0647 0.2685185 0.3190964
Moved 728.5862 476 529.3573 0.2685185 0.3635732
Moved 728.6169 476 542.9051 0.2685185 0.3984183
Moved 728.6476 476 547.839 0.2685185 0.4111084
Stationary 728.6784 476 548 0.2685185 0.4115225
Stationary 728.7092 476 548 0.2685185 0.4115225
Moved 728.7398 464.0497 516.3073 0.2408557 0.3300084
Moved 728.7706 445.8958 447.5657 0.1988328 0.1532038
Moved 728.8013 434.331 391.3224 0.1720625 0.008545236
Moved 728.8321 428.1349 352.8098 0.1577197 -0.09050997
Moved 728.8628 423.6906 315.2872 0.147432 -0.1870187
Moved 728.8935 420.8382 290.0294 0.1408292 -0.2519821
Moved 728.9243 419.3242 267.918 0.1373245 -0.3088529
Moved 728.955 418.4543 248.2714 0.1353108 -0.3593843
Moved 728.9857 416.581 236.3241 0.1309745 -0.3901131
Moved 729.0165 415.7132 228.1396 0.1289658 -0.4111635
Moved 729.0472 414.1693 222.3385 0.1253918 -0.4260842
Moved 729.0779 413 218.2999 0.1226852 -0.4364713
Moved 729.1086 411.4337 216 0.1190595 -0.4423869
Moved 729.1394 405.8373 216 0.1061048 -0.4423869
Moved 729.1701 391.2432 236.6351 0.07232229 -0.389313
Moved 729.2009 376.9003 260.3795 0.03912101 -0.328242
Moved 729.2316 365.8997 286.9008 0.01365662 -0.2600287
Moved 729.2623 356.9642 317.8842 -0.007027239 -0.1803392
Moved 729.2931 350.5795 343.4016 -0.02180666 -0.1147079
Moved 729.3237 346.9986 362.0048 -0.03009578 -0.06686018
Moved 729.3546 345.349 377.9058 -0.0339143 -0.02596254
Moved 729.3853 344 390.627 -0.03703703 0.006756684
Moved 729.416 342 397.5494 -0.04166668 0.02456108
Moved 729.4467 342 400.1614 -0.04166668 0.03127918
Ended 729.4774 342 400.1614 -0.04166668 0.03127918
Began 730.676 293 526 -0.1550926 0.3549381
Stationary 730.7068 293 526 -0.1550926 0.3549381
Stationary 730.7375 293 526 -0.1550926 0.3549381
Stationary 730.7682 293 526 -0.1550926 0.3549381
Stationary 730.799 293 526 -0.1550926 0.3549381
Stationary 730.8297 293 526 -0.1550926 0.3549381
Stationary 730.8604 293 526 -0.1550926 0.3549381
Moved 730.8912 302.8285 512.8953 -0.1323414 0.3212327
Moved 730.9219 315.3897 499.5129 -0.1032647 0.286813
Moved 730.9526 331.7029 477.4244 -0.06550258 0.230001
Moved 730.9833 353.6005 446.7494 -0.01481369 0.1511043
Moved 731.0141 370.4764 416.4599 0.02425104 0.07319921
Moved 731.0448 386.3854 390.5063 0.06107728 0.006446171
Moved 731.0756 402.7545 364.7928 0.09896875 -0.05968918
Moved 731.1063 410.2938 350.9416 0.1164209 -0.09531492
Moved 731.137 417.0931 340.3603 0.1321601 -0.1225302
Moved 731.1678 420.4211 334.5789 0.1398638 -0.1374001
Moved 731.1985 422 330.6918 0.1435185 -0.1473976
Moved 731.2292 423 328.1924 0.1458333 -0.1538261
Moved 731.2599 424 325.5 0.1481481 -0.1607511
Moved 731.2906 411.7433 326 0.1197761 -0.1594652
Moved 731.3214 388.2768 341.4822 0.06545544 -0.1196447
Moved 731.3521 361.3839 362.6587 0.003203551 -0.06517834
Moved 731.3829 334.1808 389.8192 -0.05976662 0.004679048
Moved 731.4136 315.7654 412.9404 -0.102395 0.06414715
Moved 731.4444 302.0412 430.1187 -0.1341639 0.1083297
Moved 731.4751 287.6223 450.5666 -0.1675411 0.1609222
Moved 731.5059 279.0843 459.9157 -0.1873049 0.1849683
