sharp cheese keeps the mind sharp
Basic
0.6 0.6
432 388.8
Began 748.4824 234 376 -0.2916667 -0.03086435
Stationary 748.5131 234 376 -0.2916667 -0.03086435
Stationary 748.5438 234 376 -0.2916667 -0.03086435
Moved 748.5746 259.9867 376 -0.2315123 -0.03086435
Moved 748.6053 282.7927 376 -0.1787206 -0.03086435
Moved 748.636 302.451 376 -0.1332154 -0.03086435
Moved 748.6667 321.4126 376 -0.08932278 -0.03086435
Moved 748.6974 337.9572 376 -0.05102495 -0.03086435
Moved 748.7281 354.7084 376 -0.01224905 -0.03086435
Moved 748.7589 370.8661 376 0.02515316 -0.03086435
Moved 748.7896 388.5553 376 0.06610016 -0.03086435
Moved 748.8203 400.9266 376 0.09473741 -0.03086435
Moved 748.8511 408.734 376 0.1128102 -0.03086435
Moved 748.8818 412.7428 383 0.1220898 -0.01286016
Moved 748.9125 414.1651 383 0.1253822 -0.01286016
Moved 748.9432 415 383 0.1273148 -0.01286016
Stationary 748.974 415 383 0.1273148 -0.01286016
Moved 749.0047 405.1002 383 0.1043986 -0.01286016
Moved 749.0354 383.4091 383 0.05418767 -0.01286016
Moved 749.0661 339.4695 387.5432 -0.04752427 -0.001175099
Moved 749.0968 308.5911 391.1409 -0.1190021 0.008078288
Moved 749.1276 289.8916 394.0181 -0.1622881 0.01547853
Moved 749.1583 275.1783 396 -0.1963465 0.02057605
Moved 749.189 260.8563 397.4288 -0.2294993 0.02425096
Moved 749.2198 248.7559 398.311 -0.2575096 0.02652011
Moved 749.2505 237.3896 399 -0.2838203 0.02829214
Moved 749.2812 225.2302 400 -0.3119672 0.03086416
Moved 749.3119 215.3315 401 -0.3348809 0.03343609
Moved 749.3427 205.7184 401 -0.3571334 0.03343609
Moved 749.3734 199.0267 401 -0.3726234 0.03343609
Moved 749.4041 191.4015 402 -0.3902743 0.03600815
Moved 749.4348 188.2649 403.7351 -0.3975349 0.04047091
Moved 749.4655 187 405.5 -0.4004629 0.04501017
Moved 749.4963 197.1731 419.9124 -0.3769141 0.08207917
Moved 749.527 227.0994 450.0828 -0.3076402 0.159678
Moved 749.5577 250.1122 469.239 -0.2543699 0.208948
Moved 749.5884 267.9088 483.636 -0.2131742 0.2459774
Moved 749.6192 287.4945 502.4944 -0.1678368 0.2944815
Moved 749.6498 301.525 513.525 -0.1353587 0.3228523
Moved 749.6806 311.0055 521.0037 -0.1134132 0.3420875
Moved 749.7112 315.5435 524.5435 -0.1029086 0.3511919
Moved 749.7421 318.4193 527.4193 -0.09625171 0.3585885
Moved 749.7728 321.294 529.294 -0.0895972 0.3634104
Moved 749.8035 322.8622 530 -0.08596723 0.3652262
Moved 749.8342 327.069 531.6897 -0.07622907 0.3695721
Moved 749.865 348.0692 534.5632 -0.02761756 0.3769629
Moved 749.8956 388.51 535 0.06599546 0.3780863
Moved 749.9264 427.0704 536 0.1552556 0.3806583
Moved 749.9572 461.779 536 0.2355995 0.3806583
Moved 749.9877 490.2481 536 0.3015001 0.3806583
Moved 750.0186 509.5 529 0.3460647 0.3626543
Moved 750.0493 522.7237 528 0.3766752 0.3600822
Moved 750.08 540.2615 528 0.4172719 0.3600822
Moved 750.1107 551.6022 528 0.4435235 0.3600822
Moved 750.1414 558.8882 528 0.4603895 0.3600822
Moved 750.1722 565.5657 536 0.4758464 0.3806583
Moved 750.2029 570.2667 538.1333 0.4867283 0.3861453
Moved 750.2336 573.0231 538 0.4931091 0.3858024
Moved 750.2643 575.566 538 0.4989955 0.3858024
Moved 750.2951 576.5 538 0.5011575 0.3858024
Ended 750.3258 577 538 0.5023147 0.3858024
Began 751.0017 271 278 -0.2060186 -0.2829219
Stationary 751.0325 271 278 -0.2060186 -0.2829219
Stationary 751.0632 271 278 -0.2060186 -0.2829219
Moved 751.0939 275.6939 289.0117 -0.1951529 -0.2545996
Moved 751.1246 282.3805 297.761 -0.1796747 -0.2320962
Moved 751.1553 289.1039 307.1559 -0.1641113 -0.2079323
Moved 751.1861 296.7982 320.6637 -0.1463004 -0.1731901
Moved 751.2168 304.5 333.5 -0.1284722 -0.140175
Moved 751.2476 312.7462 346.1193 -0.1093838 -0.107718
Moved 751.2783 319.4873 354.731 -0.09377936 -0.0855686
Moved 751.309 324.2161 361.2161 -0.08283302 -0.06888864
Moved 751.3397 331.574 368.574 -0.06580085 -0.04996398
Moved 751.3704 343.0618 379.5773 -0.03920878 -0.02166348
Moved 751.4012 355.9526 393.3431 -0.009369055 0.01374245
Moved 751.4318 363.7874 400.5249 0.008767049 0.03221421
Moved 751.4626 369.5405 407.5405 0.02208441 0.05025832
Moved 751.4933 373.2864 411.6432 0.0307555 0.06081059
Moved 751.524 375.0903 413.0903 0.03493131 0.06453263
Moved 751.5547 377.0514 416.0513 0.0394708 0.07214841
Moved 751.5855 377 418.9419 0.03935188 0.07958294
Moved 751.6162 377 424.4183 0.03935188 0.09366848
Moved 751.647 362.6176 437.3824 0.006059209 0.1270123
Moved 751.6777 350.0273 449.9727 -0.02308493 0.1593946
Moved 751.7084 337.695 462.305 -0.05163193 0.1911136
Moved 751.7391 326.2583 470.8063 -0.07810578 0.212979
Moved 751.7698 316.5129 478.2435 -0.1006646 0.2321078
Moved 751.8005 306.8613 486.1387 -0.1230062 0.2524143
Moved 751.8313 298.2522 493.7478 -0.1429347 0.271985
Moved 751.862 292.7586 499.2414 -0.1556514 0.2861147
Moved 751.8928 288.6804 502.6598 -0.1650917 0.2949068
Moved 751.9234 285.4683 506.5317 -0.1725272 0.3048655
Moved 751.9542 283.5 508.5 -0.1770833 0.3099279
Moved 751.9849 280.7209 511.2791 -0.1835164 0.3170758
Moved 752.0156 279.7505 512.2495 -0.1857627 0.3195718
Moved 752.0463 277.3387 515.6613 -0.1913457 0.3283469
Moved 752.077 276 517.5315 -0.1944444 0.3331571
Moved 752.1078 274.9667 518 -0.1968362 0.3343621
Moved 752.1385 275 519.5 -0.1967592 0.3382201
Moved 752.1693 274 520.3751 -0.199074 0.3404707
Stationary 752.2 274 520 -0.199074 0.3395061
Stationary 752.2307 274 520 -0.199074 0.3395061
