the back yard of our house
Basic
0.6 0.6
432 388.8
Moved 2002.001 339.97 294.2725 -0.0463658 -0.2410686
Moved 2002.032 327.6054 304.4368 -0.07498746 -0.2149261
Moved 2002.062 316.1654 312.4173 -0.101469 -0.1943999
Moved 2002.093 300.1074 322.9355 -0.1386403 -0.1673468
Moved 2002.124 286.486 333.1084 -0.1701713 -0.1411821
Moved 2002.155 279.6741 338.2607 -0.1859397 -0.1279303
Moved 2002.185 269.827 344.5865 -0.2087337 -0.1116603
Moved 2002.216 259.4315 351.2842 -0.2327975 -0.09443353
Moved 2002.247 247.4657 358.8137 -0.2604961 -0.07506767
Moved 2002.277 237.4645 364.9016 -0.283647 -0.05940943
Moved 2002.308 228.5841 371.062 -0.3042035 -0.04356502
Moved 2002.339 220.8207 377.3845 -0.3221742 -0.02730342
Moved 2002.37 212.5 384 -0.3414352 -0.01028807
Moved 2002.4 205.5151 389.4849 -0.3576039 0.00381921
Moved 2002.431 197.0645 396.9033 -0.3771655 0.02289929
Moved 2002.462 191.2527 401.7473 -0.3906187 0.03535808
Moved 2002.493 185.8108 407.1892 -0.4032158 0.04935492
Moved 2002.523 180.3635 412.8182 -0.4158253 0.0638328
Moved 2002.554 177.5 416.5 -0.4224537 0.07330243
Moved 2002.585 175.0778 418.9222 -0.4280606 0.07953235
Moved 2002.615 174 421.6438 -0.4305556 0.08653232
Moved 2002.646 172.9921 422 -0.4328887 0.08744851
Moved 2002.677 173 423.3547 -0.4328704 0.09093285
Stationary 2002.708 173 423 -0.4328704 0.09002049
Moved 2002.738 198.6611 395.1016 -0.3734697 0.01826545
Moved 2002.769 220.6653 372.3826 -0.3225341 -0.04016829
Moved 2002.8 238.0738 353.9262 -0.2822366 -0.08763843
Moved 2002.83 254.3138 335.6235 -0.244644 -0.1347134
Moved 2002.861 266.1656 322.0429 -0.2172092 -0.1696427
Moved 2002.892 276.5 305.5 -0.193287 -0.2121914
Moved 2002.923 287.7774 292.2227 -0.167182 -0.2463409
Moved 2002.953 298.028 279.972 -0.1434537 -0.2778498
Moved 2002.984 304.7993 269.4015 -0.1277795 -0.3050374
Moved 2003.015 310.126 261.7479 -0.115449 -0.3247224
Moved 2003.046 314.5336 254.3993 -0.1052464 -0.3436232
Moved 2003.076 317.2536 247.2393 -0.09895007 -0.362039
Moved 2003.107 319 244.0129 -0.09490739 -0.3703371
Moved 2003.138 321.5 241.5 -0.08912037 -0.3768004
Moved 2003.168 322.0872 240 -0.08776109 -0.3806585
Moved 2003.199 323 237.1886 -0.08564815 -0.3878894
Moved 2003.23 323 235.7302 -0.08564815 -0.3916404
Moved 2003.261 323.9675 235 -0.0834085 -0.3935186
