hands on experience with a job
Basic
0.6 0.6
432 388.8
Began 1385.473 404 448 0.1018518 0.1543209
Stationary 1385.504 404 448 0.1018518 0.1543209
Stationary 1385.535 404 448 0.1018518 0.1543209
Stationary 1385.565 404 448 0.1018518 0.1543209
Stationary 1385.596 404 448 0.1018518 0.1543209
Stationary 1385.627 404 448 0.1018518 0.1543209
Stationary 1385.657 404 448 0.1018518 0.1543209
Stationary 1385.688 404 448 0.1018518 0.1543209
Moved 1385.719 396.5914 441.4146 0.08470237 0.1373832
Moved 1385.75 389.8165 437.4082 0.06901959 0.1270787
Moved 1385.781 382.9565 433.3043 0.05314002 0.1165234
Moved 1385.811 375.5287 428.3525 0.03594607 0.1037872
Moved 1385.842 365.8596 420.8596 0.01356403 0.08451536
Moved 1385.873 352.5274 408.5273 -0.01729777 0.05279655
Moved 1385.903 336.6143 396.7245 -0.05413343 0.0224396
Moved 1385.934 319.3486 387.8636 -0.09410053 -0.0003507402
Moved 1385.965 285.8936 379.4822 -0.1715426 -0.0219079
Moved 1385.996 251.7792 380 -0.2505111 -0.02057613
Moved 1386.026 221.2081 386.2335 -0.3212774 -0.004543453
Moved 1386.057 199.1603 393.6132 -0.3723142 0.01443718
Moved 1386.088 184.1734 397.9133 -0.4070059 0.02549713
Moved 1386.119 169.8343 401 -0.4401985 0.03343609
Moved 1386.149 167.0704 402.4648 -0.4465964 0.0372037
Moved 1386.18 165.0708 402 -0.4512251 0.03600815
Moved 1386.211 165 403.3089 -0.4513889 0.0393747
Moved 1386.242 164 403 -0.4537037 0.03858017
Moved 1386.272 171.4066 394.6676 -0.4365588 0.01714906
Moved 1386.303 198.0035 371.3304 -0.374992 -0.04287437
Moved 1386.334 233.1551 343.4862 -0.2936223 -0.1144902
Moved 1386.365 269.0962 322.9519 -0.2104255 -0.1673048
Moved 1386.395 307.9068 304.9207 -0.1205861 -0.2136814
Moved 1386.426 343.4316 291.2955 -0.03835271 -0.2487255
Moved 1386.457 370.1673 283.6498 0.02353539 -0.2683904
Moved 1386.487 391.0183 275.3682 0.07180154 -0.289691
Moved 1386.518 409.71 267.9838 0.1150693 -0.3086838
Moved 1386.549 427.6245 258.6877 0.1565381 -0.3325933
Moved 1386.58 440.4589 247.6764 0.1862475 -0.3609147
Moved 1386.61 448.5 239.5 0.2048611 -0.3819445
Moved 1386.641 453.0835 233.9165 0.2154711 -0.3963053
Moved 1386.672 455.8123 231.1877 0.2217877 -0.4033238
Moved 1386.703 457 230 0.2245371 -0.4063786
Stationary 1386.733 457 230 0.2245371 -0.4063786
Moved 1386.764 443.1212 247.505 0.1924103 -0.3613555
Moved 1386.795 420.3898 276.7628 0.1397912 -0.286104
Moved 1386.826 397.2664 306.4169 0.08626491 -0.2098331
Moved 1386.856 375.7147 327.2853 0.03637661 -0.1561593
Moved 1386.887 356.1685 346.2841 -0.008869122 -0.107294
Moved 1386.918 336.0844 362.5963 -0.0553601 -0.0653387
Moved 1386.948 316.3336 378.4998 -0.1010796 -0.02443486
Moved 1386.979 301.6396 386.9202 -0.1350935 -0.002777194
Moved 1387.01 288.0309 395.7268 -0.166595 0.01987343
Moved 1387.041 277.995 401.0016 -0.1898264 0.03344045
Moved 1387.071 272 403 -0.2037037 0.03858017
Moved 1387.102 268.7857 405 -0.2111442 0.04372424
Moved 1387.133 266.5 406.5 -0.2164352 0.04758226
Moved 1387.164 264.5 406 -0.2210648 0.04629618
Moved 1387.194 263.9387 406 -0.2223641 0.04629618
Moved 1387.225 262.776 406 -0.2250556 0.04629618
Moved 1387.256 258.6354 406 -0.2346402 0.04629618
Moved 1387.287 251.7344 406 -0.2506147 0.04629618
Moved 1387.317 241.5368 399.7515 -0.2742203 0.030225
Moved 1387.348 230.0397 397.3466 -0.3008341 0.0240395
Moved 1387.379 222.1579 395.579 -0.3190788 0.01949322
Moved 1387.41 216.8166 396 -0.331443 0.02057605
Moved 1387.44 215.3723 396 -0.3347864 0.02057605
Ended 1387.471 214.5 396 -0.3368055 0.02057605
Began 1387.809 500 535 0.324074 0.3780863
Stationary 1387.84 500 535 0.324074 0.3780863
Stationary 1387.871 500 535 0.324074 0.3780863
Stationary 1387.903 500 535 0.324074 0.3780863
Moved 1387.932 500 523.6565 0.324074 0.3489106
Moved 1387.963 500 520.5175 0.324074 0.340837
Moved 1387.993 500 516.0033 0.324074 0.3292265
Moved 1388.024 500 510.4682 0.324074 0.3149902
Moved 1388.055 495.0102 506.2872 0.3125235 0.3042365
Moved 1388.086 492 499.5688 0.3055556 0.2869568
Moved 1388.116 488.4998 489.9995 0.2974531 0.2623443
Moved 1388.147 484.4921 477.4763 0.288176 0.2301344
Moved 1388.178 476.6855 457.4947 0.2701053 0.1787414
Moved 1388.209 465.2116 430.029 0.2435454 0.1080992
Moved 1388.239 452.1739 399.4782 0.2133655 0.02952215
Moved 1388.27 439.613 371.5325 0.1842894 -0.04235483
Moved 1388.301 423.7375 339.4749 0.1475404 -0.1248074
Moved 1388.332 413.1302 314.3255 0.1229865 -0.1894922
Moved 1388.362 404.7911 292.8458 0.1036831 -0.2447381
Moved 1388.393 398.4874 274.6329 0.08909117 -0.2915819
Moved 1388.424 394.1259 257.3148 0.07899512 -0.3361245
Moved 1388.455 392 246.2281 0.07407407 -0.3646396
Moved 1388.485 391 238.0771 0.07175922 -0.385604
Moved 1388.516 390 229.7474 0.06944448 -0.4070283
Moved 1388.547 390 227.3605 0.06944448 -0.4131676
Moved 1388.578 390 224.9541 0.06944448 -0.4193567
Moved 1388.608 390 223.6409 0.06944448 -0.4227344
Ended 1388.639 390 224 0.06944448 -0.4218107
Began 1389.223 287 474 -0.1689815 0.2211934
Stationary 1389.254 287 474 -0.1689815 0.2211934
Stationary 1389.284 287 474 -0.1689815 0.2211934
Stationary 1389.315 287 474 -0.1689815 0.2211934
Stationary 1389.346 287 474 -0.1689815 0.2211934
Stationary 1389.377 287 474 -0.1689815 0.2211934
Stationary 1389.407 287 474 -0.1689815 0.2211934
Stationary 1389.438 287 474 -0.1689815 0.2211934
Stationary 1389.469 287 474 -0.1689815 0.2211934
