watch out for low flying objects
Basic
0.6 0.6
432 388.8
Began 252.5192 247 474 -0.2615741 0.2211934
Stationary 252.55 247 474 -0.2615741 0.2211934
Moved 252.5807 230.5 444.5 -0.2997685 0.1453189
Moved 252.6114 208.5604 402.4258 -0.3505546 0.03710327
Moved 252.6422 183.7651 356.9771 -0.4079512 -0.07979146
Moved 252.6729 173.0595 332.1785 -0.4327326 -0.1435738
Moved 252.7037 173 328.7762 -0.4328704 -0.1523247
Moved 252.7345 252.6346 361.3325 -0.2485309 -0.06858928
Moved 252.7652 413.3177 473.2104 0.1234208 0.2191624
Moved 252.796 430.0385 495.8366 0.1621262 0.2773575
Moved 252.8268 448.8524 519.7934 0.2056768 0.3389747
Moved 252.8575 456 529.5 0.2222222 0.3639403
Moved 252.8882 456.5 533 0.2233796 0.3729423
Moved 252.919 448.5493 534 0.2049751 0.3755144
Moved 252.9497 389.0136 465.212 0.06716122 0.1985905
Moved 252.9805 324.0605 362.7675 -0.08319338 -0.0648986
Moved 253.0113 287.7689 293.4096 -0.1672017 -0.243288
Moved 253.042 276.1461 266.6743 -0.1941061 -0.3120517
Moved 253.0728 272.6363 254.9089 -0.2022307 -0.3423124
Moved 253.1035 272 252 -0.2037037 -0.3497943
Stationary 253.1343 272 252 -0.2037037 -0.3497943
Moved 253.1651 299.9082 283.8101 -0.1391014 -0.2679781
Moved 253.1958 335.5438 331.791 -0.0566116 -0.1445707
Moved 253.2266 355.2996 357.2551 -0.01088058 -0.07907655
Moved 253.2573 375.6524 378.4163 0.03623237 -0.02464938
Moved 253.288 389.0038 394.0051 0.06713857 0.01544525
Moved 253.3188 396.5 403 0.08449078 0.03858017
Moved 253.3496 400.2362 407.4724 0.09313931 0.05008313
Moved 253.3802 404.0061 410 0.101866 0.05658428
Ended 253.4111 408.1447 411.3816 0.1114462 0.06013784
Began 253.7494 540 534 0.4166667 0.3755144
Stationary 253.7802 540 534 0.4166667 0.3755144
Moved 253.8109 528.8564 534 0.3908713 0.3755144
Moved 253.8416 520.6548 534 0.3718862 0.3755144
Moved 253.8724 506.0858 534 0.3381616 0.3755144
Moved 253.9032 483.4611 534 0.2857897 0.3755144
Moved 253.9339 453.1814 534 0.2156978 0.3755144
Moved 253.9647 431.8682 534 0.1663615 0.3755144
Moved 253.9955 410.5728 534 0.1170666 0.3755144
Moved 254.0262 393.7644 534 0.07815827 0.3755144
Moved 254.0569 380.9218 534 0.04843016 0.3755144
Moved 254.0877 372.9324 534 0.02993624 0.3755144
Moved 254.1185 362.317 534 0.005363326 0.3755144
Moved 254.1492 348.0258 527.0362 -0.027718 0.3576033
Moved 254.18 335.9633 525 -0.05564039 0.3523662
Moved 254.2107 326.4948 523 -0.07755826 0.3472221
Moved 254.2415 321.0744 522 -0.09010563 0.3446501
Moved 254.2722 321 522 -0.09027779 0.3446501
Ended 254.303 328.4268 522 -0.07308613 0.3446501
Began 254.5798 281 352 -0.1828704 -0.09259266
Moved 254.6105 288.8447 358.6378 -0.1647114 -0.07552025
Moved 254.6413 326.468 392.0956 -0.07762044 0.01053402
Moved 254.672 371.2141 429.6785 0.02595862 0.1071976
Moved 254.7028 427.7117 471.4745 0.1567401 0.2146977
Moved 254.7335 455.8511 490.9008 0.2218776 0.2646624
Moved 254.7643 477.6004 503.3431 0.2722233 0.2966642
Moved 254.795 491.2137 510.1068 0.3037353 0.3140607
Moved 254.8258 500.7627 515.5084 0.3258395 0.3279537
Moved 254.8565 503.0204 517 0.3310658 0.33179
Moved 254.8873 503 518.7866 0.3310186 0.3363851
Moved 254.9181 503 520.2345 0.3310186 0.3401092
Moved 254.9488 484.9569 521 0.2892522 0.3420781
Moved 254.9796 451.4345 521 0.2116539 0.3420781
Moved 255.0103 406 521 0.1064815 0.3420781
Moved 255.0411 363.6929 509.1385 0.008548399 0.3115703
Moved 255.0718 338.0283 504.5795 -0.05086044 0.2998444
Moved 255.1026 321.7084 501.5417 -0.08863787 0.292031
Moved 255.1333 313.144 499.048 -0.108463 0.2856171
Moved 255.1641 308.2895 498 -0.1197002 0.2829217
Ended 255.1948 307 498 -0.1226852 0.2829217
Began 255.4101 482 349 0.2824074 -0.1003086
Stationary 255.4409 482 349 0.2824074 -0.1003086
Stationary 255.4717 482 349 0.2824074 -0.1003086
Moved 255.5025 475.5532 362.8145 0.2674842 -0.06477748
Moved 255.5332 469.4451 385.4969 0.2533452 -0.006438047
Moved 255.5639 468 411.1552 0.25 0.05955554
Moved 255.5947 468 432.9797 0.25 0.1156886
Moved 255.6255 468 454.5573 0.25 0.1711864
Moved 255.6562 468 469.4656 0.25 0.2095309
Moved 255.6869 468 483.1052 0.25 0.2446122
Moved 255.7176 468 493.7557 0.25 0.2720053
Moved 255.7483 466.6573 503.0282 0.2468918 0.2958543
Moved 255.7792 464.2162 508.5677 0.2412411 0.310102
Moved 255.81 461.4564 514.0872 0.2348528 0.3242981
Moved 255.8407 457.6854 518.6292 0.2261236 0.3359805
Moved 255.8715 450.5905 522.6063 0.2097004 0.3462096
Moved 255.9022 437.5 525.5 0.1793981 0.3536522
Moved 255.933 414.5345 525 0.1262374 0.3523662
Moved 255.9637 383.5635 525 0.0545451 0.3523662
Moved 255.9945 350.5678 511.0209 -0.02183368 0.3164117
Moved 256.0253 321.7039 502.2346 -0.08864849 0.2938132
Moved 256.056 296.7973 495.955 -0.1463025 0.2776619
Moved 256.0868 282.0715 494.2143 -0.18039 0.2731848
Moved 256.1175 269.9041 493 -0.2085554 0.2700616
Moved 256.1483 258.0605 490.0151 -0.2359712 0.2623846
Moved 256.179 244.263 487.5052 -0.2679097 0.2559289
Moved 256.2098 232 484.5 -0.2962963 0.2481995
Moved 256.2405 225.1757 483 -0.3120933 0.2443414
Ended 256.2713 220 481 -0.3240741 0.2391974
Began 256.6096 260 366 -0.2314815 -0.05658444
Stationary 256.6404 260 366 -0.2314815 -0.05658444
Moved 256.6711 281.5583 376.4025 -0.181578 -0.02982905
Moved 256.7019 338.7227 393.8774 -0.0492531 0.01511684
Moved 256.7326 390.6711 402.7089 0.07099798 0.03783135
