I want to hold your hand
Basic
0.6 0.6
432 388.8
Began 805.0614 336 548 -0.05555556 0.4115225
Stationary 805.0921 336 548 -0.05555556 0.4115225
Stationary 805.1229 336 548 -0.05555556 0.4115225
Stationary 805.1536 336 548 -0.05555556 0.4115225
Ended 805.1843 336 548 -0.05555556 0.4115225
Began 806.3828 203 494 -0.3634259 0.2726337
Stationary 806.4135 203 494 -0.3634259 0.2726337
Moved 806.4443 185.4126 473.0429 -0.4041376 0.2187317
Moved 806.475 164.2248 443.4641 -0.4531832 0.1426544
Moved 806.5057 148.2608 420.2694 -0.490137 0.08299733
Moved 806.5364 139.1486 405.9143 -0.5112302 0.04607585
Moved 806.5671 135 398.0087 -0.5208333 0.02574238
Moved 806.5979 134 393.9354 -0.5231482 0.01526597
Moved 806.6286 147.7527 385.4158 -0.4913132 -0.006646756
Moved 806.6594 211.9469 357.9222 -0.3427156 -0.07736072
Moved 806.6901 285.2914 321.0251 -0.1729366 -0.1722604
Moved 806.7208 342.4802 284.1998 -0.04055505 -0.2669758
Moved 806.7515 374.7232 261.5398 0.03408144 -0.3252578
Moved 806.7823 395.5973 252.1151 0.08240114 -0.3494982
Moved 806.813 405.49 251 0.1053009 -0.3523664
Moved 806.8438 411.4002 282.0033 0.118982 -0.2726254
Moved 806.8745 378.2967 352.4066 0.04235347 -0.09154685
Moved 806.9052 334.0592 421.634 -0.0600482 0.08650709
Moved 806.936 311.6464 457.0305 -0.1119297 0.1775474
Moved 806.9667 296.8135 480.9196 -0.146265 0.2389907
Moved 806.9974 287.7483 500.9207 -0.1672494 0.2904337
Ended 807.0281 284 513 -0.1759259 0.321502
Began 807.7963 301 531 -0.1365741 0.3677982
Stationary 807.8271 301 531 -0.1365741 0.3677982
Moved 807.8578 323.7496 531 -0.08391301 0.3677982
Moved 807.8886 383.4997 531 0.05439748 0.3677982
Moved 807.9193 445.9955 531 0.1990637 0.3677982
Moved 807.9501 486.6658 531 0.2932077 0.3677982
Moved 807.9807 510.769 538 0.3490022 0.3858024
Moved 808.0115 521.4888 539 0.3738166 0.3883744
Moved 808.0422 528.291 539.6455 0.3895626 0.3900346
Moved 808.073 533.5728 540 0.4017887 0.3909464
Ended 808.1037 536.5 540 0.4085648 0.3909464
Began 808.5032 306 411 -0.125 0.05915629
Stationary 808.534 306 411 -0.125 0.05915629
Stationary 808.5647 306 411 -0.125 0.05915629
Moved 808.5954 325.2715 421.3394 -0.08038992 0.08574945
Moved 808.6261 380.3752 465.9418 0.04716495 0.2004676
Moved 808.6569 399.3503 482.5541 0.09108862 0.2431946
Moved 808.6876 428.977 505.9847 0.159669 0.3034585
Moved 808.7183 445.2186 518.8124 0.1972652 0.3364515
Moved 808.749 455.2545 527.1697 0.2204964 0.3579466
Moved 808.7797 458.9527 530.9528 0.2290573 0.3676768
Moved 808.8104 461.5 532.5 0.2349537 0.3716563
Moved 808.8412 464.3389 532 0.2415252 0.3703703
Moved 808.8719 471.6364 522.3029 0.2584176 0.3454293
Moved 808.9027 490.7793 501.2207 0.3027298 0.2912054
Moved 808.9334 508.2437 475.1613 0.3431568 0.2241803
Moved 808.9641 520.0854 449.7864 0.3705682 0.1589155
Moved 808.9948 526.3918 429.6494 0.3851662 0.1071227
Moved 809.0256 528.2595 419.9619 0.3894896 0.08220633
Moved 809.0563 528 414.5919 0.3888889 0.06839465
Moved 809.0871 522.0049 409.6677 0.3750113 0.0557297
Moved 809.1178 503.1501 404 0.3313661 0.04115226
Moved 809.1486 468.5378 404 0.2512449 0.04115226
Moved 809.1793 423.062 422.9742 0.1459768 0.08995409
Moved 809.21 390.0625 438.4688 0.06958912 0.1298063
Moved 809.2407 359.6077 450.9569 -0.0009081761 0.1619261
Moved 809.2714 331.6171 458.8457 -0.06570116 0.1822162
Moved 809.3022 306.7491 463.1564 -0.1232659 0.1933033
Moved 809.3329 284.7594 463 -0.174168 0.1929011
Moved 809.3636 267.6763 463 -0.2137122 0.1929011
Moved 809.3943 255.3436 453.1013 -0.2422601 0.1674416
Moved 809.4251 248.4157 454 -0.258297 0.169753
Ended 809.4558 248 453 -0.2592593 0.167181
Began 809.9475 371 534 0.025463 0.3755144
Stationary 809.9783 371 534 0.025463 0.3755144
Moved 810.009 389.2024 534 0.06759802 0.3755144
Moved 810.0397 426 544 0.1527777 0.4012345
Moved 810.0704 510.018 547.5466 0.347264 0.4103564
Moved 810.1011 556.8773 548 0.4557345 0.4115225
Moved 810.1319 579.2113 548 0.5074336 0.4115225
Moved 810.1626 588.2081 548 0.5282593 0.4115225
Moved 810.1934 590.0384 548 0.5324962 0.4115225
Moved 810.2241 591 548 0.5347222 0.4115225
Moved 810.2548 563.2081 551.4653 0.470389 0.4204354
Moved 810.2855 499.3484 553 0.3225659 0.4243826
Moved 810.3163 432.4711 555 0.1677573 0.4295266
Moved 810.347 398.4337 555 0.08896689 0.4295266
Moved 810.3777 378.9351 555 0.04383117 0.4295266
Moved 810.4084 359.793 548.793 -0.0004792214 0.413562
Moved 810.4392 347.943 547.2357 -0.02790982 0.4095568
Moved 810.4699 343 547 -0.03935183 0.4089505
Ended 810.5006 342 547 -0.04166668 0.4089505
Began 811.023 428 418 0.1574074 0.07716041
Stationary 811.0538 428 418 0.1574074 0.07716041
Stationary 811.0845 428 418 0.1574074 0.07716041
Moved 811.1152 397.6177 409.4633 0.08707801 0.05520393
Moved 811.1459 318.4664 407 -0.09614264 0.04886827
Moved 811.1767 244.721 407 -0.2668495 0.04886827
Moved 811.2074 197.3622 407 -0.3764764 0.04886827
Moved 811.2382 168.7155 407 -0.4427882 0.04886827
Moved 811.2689 152.9898 407 -0.4791903 0.04886827
Moved 811.2996 146.1219 407 -0.4950882 0.04886827
Moved 811.3303 143.5 407 -0.5011575 0.04886827
Moved 811.3611 189.7258 403.1411 -0.3941532 0.03894311
Moved 811.3918 292.1192 386.1501 -0.1571314 -0.00475805
Moved 811.4225 388.9863 371.8979 0.06709795 -0.04141474
Moved 811.4532 425.0838 362.7877 0.1506569 -0.06484647
Moved 811.484 444.1888 356.5623 0.1948815 -0.08085839
