where did you get that tie
Basic
0.6 0.6
432 388.8
Began 755.8023 710 34 0.8101851 -0.9104937
Stationary 755.833 710 34 0.8101851 -0.9104937
Stationary 755.8637 710 34 0.8101851 -0.9104937
Moved 755.8944 710 56 0.8101851 -0.8539096
Moved 755.9251 710 62 0.8101851 -0.8384774
Moved 755.9559 710 69.83655 0.8101851 -0.8183217
Moved 755.9866 710 73.75989 0.8101851 -0.8082308
Moved 756.0173 710 76.38818 0.8101851 -0.8014708
Moved 756.0481 710 78.05908 0.8101851 -0.7971732
Moved 756.0787 710 80 0.8101851 -0.7921811
Stationary 756.1095 710 80 0.8101851 -0.7921811
Stationary 756.1402 710 80 0.8101851 -0.7921811
Stationary 756.1709 710 80 0.8101851 -0.7921811
Stationary 756.2017 710 80 0.8101851 -0.7921811
Ended 756.2324 710 80 0.8101851 -0.7921811
Moved 756.2631 272.8224 465.0888 -0.2018 0.1982736
Moved 756.2938 283.4436 460.2782 -0.1772139 0.1859007
Moved 756.3245 294.4243 454.2878 -0.1517957 0.1704933
Moved 756.3553 306.3739 445.9696 -0.1241345 0.1490987
Moved 756.386 315.636 440.576 -0.1026944 0.1352262
Moved 756.4167 323.1566 435.5623 -0.08528555 0.1223308
Moved 756.4471 330.777 429.8154 -0.06764591 0.1075497
Moved 756.4781 336.9289 425.0711 -0.05340526 0.09534745
Moved 756.5088 343.0139 420.993 -0.03931969 0.08485856
Moved 756.5396 348.762 416.119 -0.02601395 0.07232246
Moved 756.5703 355.5011 409.4989 -0.01041407 0.05529549
Moved 756.6011 361.6227 403.7547 0.003756086 0.04052131
Moved 756.6318 366.2714 399.7286 0.01451721 0.03016605
Moved 756.6625 370.019 396.9905 0.02319227 0.02312362
Moved 756.6932 376.6496 393.2336 0.03854076 0.01346078
Moved 756.7239 382 389 0.05092591 0.002572016
Moved 756.7546 387.6721 386.6639 0.06405592 -0.003436445
Moved 756.7854 396.5799 382.8067 0.08467564 -0.01335733
Moved 756.8161 404.2023 378.9326 0.1023201 -0.02332161
Moved 756.8469 411.8111 376.3963 0.1199331 -0.02984498
Moved 756.8776 417.9578 375 0.1341615 -0.03343629
Moved 756.9083 421.3487 374 0.1420107 -0.03600823
Moved 756.939 424.2203 373 0.1486582 -0.03858032
Moved 756.9697 425.7254 372 0.152142 -0.04115226
Moved 757.0004 427.2971 372 0.1557804 -0.04115226
Moved 757.0312 428.1563 372 0.1577693 -0.04115226
Stationary 757.0619 428.1563 372 0.1577693 -0.04115226
Stationary 757.0927 428 372 0.1574074 -0.04115226
Stationary 757.1234 428 372 0.1574074 -0.04115226
Moved 757.1541 419.7476 388.8786 0.1383046 0.002259659
Moved 757.1848 412.417 399.583 0.1213356 0.0297916
Moved 757.2155 401.9525 412.0475 0.09711226 0.06185061
Moved 757.2463 390.4635 422.5366 0.07051726 0.08882848
Moved 757.2769 378.5 430.5 0.04282405 0.1093106
Moved 757.3077 369.7434 439.0053 0.0225541 0.1311865
Moved 757.3384 357.6146 449.2312 -0.005521724 0.1574875
Moved 757.3691 343.2372 459.8102 -0.03880282 0.1846971
Moved 757.3998 329.9981 468.3346 -0.06944884 0.2066218
Began 757.4305 710 72 0.8101851 -0.8127573
Stationary 757.4612 710 72 0.8101851 -0.8127573
Stationary 757.492 710 72 0.8101851 -0.8127573
Stationary 757.5227 710 72 0.8101851 -0.8127573
Stationary 757.5535 710 72 0.8101851 -0.8127573
Stationary 757.5842 710 72 0.8101851 -0.8127573
Moved 757.6149 710 82 0.8101851 -0.7870369
Moved 757.6456 710 84 0.8101851 -0.7818929
Moved 757.6764 710 85 0.8101851 -0.779321
Moved 757.7071 710 86 0.8101851 -0.776749
Moved 757.7379 710 87 0.8101851 -0.774177
Moved 757.7686 710 88.62451 0.8101851 -0.7699987
Stationary 757.7993 710 89 0.8101851 -0.769033
Moved 757.83 710 90 0.8101851 -0.766461
Moved 757.8607 710 91 0.8101851 -0.7638889
Moved 757.8914 710 92.71973 0.8101851 -0.7594658
Moved 757.9222 710 94 0.8101851 -0.7561727
Moved 757.9529 710 95 0.8101851 -0.7536007
Moved 757.9836 710 96 0.8101851 -0.7510288
Moved 758.0143 710 97 0.8101851 -0.7484568
Moved 758.045 702 99 0.7916667 -0.7433128
Moved 758.0758 700.9219 100 0.7891711 -0.7407408
Stationary 758.1065 701 100 0.7893518 -0.7407408
Moved 758.1372 700 101 0.787037 -0.7381688
Stationary 758.168 700 101 0.787037 -0.7381688
Stationary 758.1987 700 101 0.787037 -0.7381688
Moved 758.2294 700 102 0.787037 -0.7355968
Stationary 758.2601 700 102 0.787037 -0.7355968
Stationary 758.2908 700 102 0.787037 -0.7355968
Stationary 758.3215 700 102 0.787037 -0.7355968
Stationary 758.3522 700 102 0.787037 -0.7355968
Moved 758.383 700 83.79944 0.787037 -0.7824089
Ended 758.4138 700 83.79944 0.787037 -0.7824089
Began 761.2709 458 358 0.2268519 -0.07716057
Stationary 761.3017 458 358 0.2268519 -0.07716057
Moved 761.3324 447.656 368.344 0.2029074 -0.05055556
Moved 761.3632 437.0289 384.6185 0.1783076 -0.008697274
Moved 761.3939 430.2882 394.5677 0.1627042 0.01689212
Moved 761.4246 423.5273 404.2091 0.1470538 0.04168997
Moved 761.4553 419.393 410.821 0.1374838 0.0586959
Moved 761.486 415.9292 416.1417 0.1294657 0.07238077
Moved 761.5167 413.0301 422.9398 0.1227549 0.08986579
Moved 761.5474 409.3132 430.5302 0.1141509 0.1093883
Moved 761.5782 404.5734 438.1399 0.1031792 0.1289605
Moved 761.6089 400.7354 443.5291 0.09429503 0.1428217
Moved 761.6396 398 448.1384 0.08796295 0.1546767
Moved 761.6703 396 451.0072 0.08333336 0.1620555
Moved 761.701 394.5544 452.4456 0.07998695 0.1657551
Moved 761.7318 393 454 0.07638891 0.169753
Moved 761.7625 392 456 0.07407407 0.174897
Moved 761.7933 391 457 0.07175922 0.1774691
Moved 761.824 390 458 0.06944448 0.180041
Moved 761.8547 390 459.1414 0.06944448 0.1829766
Moved 761.8854 389 460.0167 0.06712963 0.1852281
