I will meet you at noon
Basic
0.6 0.6
432 388.8
Began 1311.85 415 576 0.1273148 0.483539
Stationary 1311.881 415 576 0.1273148 0.483539
Stationary 1311.911 415 576 0.1273148 0.483539
Stationary 1311.942 415 576 0.1273148 0.483539
Stationary 1311.973 415 576 0.1273148 0.483539
Stationary 1312.004 415 576 0.1273148 0.483539
Stationary 1312.034 415 576 0.1273148 0.483539
Stationary 1312.065 415 576 0.1273148 0.483539
Stationary 1312.096 415 576 0.1273148 0.483539
Stationary 1312.126 415 576 0.1273148 0.483539
Ended 1312.157 415 576 0.1273148 0.483539
Backspace 1313.786
Began 1314.616 456 525 0.2222222 0.3523662
Stationary 1314.647 456 525 0.2222222 0.3523662
Stationary 1314.678 456 525 0.2222222 0.3523662
Stationary 1314.708 456 525 0.2222222 0.3523662
Stationary 1314.739 456 525 0.2222222 0.3523662
Stationary 1314.77 456 525 0.2222222 0.3523662
Stationary 1314.801 456 525 0.2222222 0.3523662
Stationary 1314.831 456 525 0.2222222 0.3523662
Stationary 1314.862 456 525 0.2222222 0.3523662
Stationary 1314.893 456 525 0.2222222 0.3523662
Moved 1314.923 456 514.8804 0.2222222 0.3263383
Moved 1314.954 456 510.3279 0.2222222 0.3146292
Moved 1314.985 456 506.1096 0.2222222 0.3037798
Moved 1315.016 456 502.5 0.2222222 0.2944958
Moved 1315.047 463.1956 496.9441 0.2388788 0.2802059
Moved 1315.077 464.5755 492.849 0.2420729 0.2696733
Moved 1315.108 465.8569 490.1431 0.2450392 0.2627135
Moved 1315.139 466 486.2707 0.2453704 0.2527537
Moved 1315.169 467.5 485.5 0.2488426 0.2507715
Moved 1315.2 468.4706 482.5294 0.2510893 0.243131
Ended 1315.231 469 482 0.2523148 0.2417695
Began 1316.153 200 510 -0.3703704 0.3137859
Stationary 1316.184 200 510 -0.3703704 0.3137859
Stationary 1316.214 200 510 -0.3703704 0.3137859
Moved 1316.245 220.7483 510 -0.3223419 0.3137859
Moved 1316.276 228.0776 510 -0.3053759 0.3137859
Moved 1316.307 249.626 499.4748 -0.2554954 0.2867149
Moved 1316.337 261.3253 495.9186 -0.2284135 0.2775685
Moved 1316.368 269.2542 494 -0.2100596 0.2726337
Moved 1316.399 273.854 492.073 -0.1994119 0.2676773
Moved 1316.43 278.8966 490.5517 -0.1877393 0.2637645
Moved 1316.46 283.0035 490 -0.1782326 0.2623456
Moved 1316.491 289.5 489 -0.1631944 0.2597736
Moved 1316.522 297.3674 486.1581 -0.1449829 0.2524643
Moved 1316.552 308.3585 483.6604 -0.1195405 0.24604
Moved 1316.583 317.5382 480.1155 -0.09829119 0.2369224
Moved 1316.614 327.4469 476.2766 -0.07535432 0.2270487
Moved 1316.645 339.6737 472.5305 -0.04705166 0.2174138
Moved 1316.675 352.9593 468.8082 -0.01629785 0.2078398
Moved 1316.706 371.2627 464.4964 0.02607107 0.1967499
Moved 1316.737 391.614 461.7095 0.07318069 0.189582
Moved 1316.768 407.5 461 0.1099537 0.1877571
Moved 1316.798 428.7439 461 0.1591295 0.1877571
Moved 1316.829 444.9024 476.252 0.1965333 0.2269856
Moved 1316.86 456.7907 491.1861 0.2240526 0.2653963
Moved 1316.891 461 503.5 0.2337964 0.2970678
Moved 1316.921 461 509.9579 0.2337964 0.3136776
Moved 1316.952 461 513.5 0.2337964 0.3227879
Moved 1316.983 461 515 0.2337964 0.326646
Moved 1317.014 461 516 0.2337964 0.329218
Moved 1317.044 461 508.693 0.2337964 0.3104243
Moved 1317.075 461 490.8085 0.2337964 0.2644252
Moved 1317.106 461 467.9289 0.2337964 0.2055783
Moved 1317.136 466.5 448.5 0.2465278 0.1556069
Moved 1317.167 476.2141 429.3754 0.269014 0.1064181
Moved 1317.198 488.4228 410.8658 0.297275 0.05881132
Moved 1317.229 504.4968 394.5032 0.3344833 0.01672619
Moved 1317.259 518.2316 381.7684 0.3662768 -0.01602777
Moved 1317.29 524.9841 375.0159 0.3819076 -0.03339524
Moved 1317.321 531.4083 369.5917 0.3967785 -0.04734659
Moved 1317.352 534.7498 367.2502 0.4045135 -0.05336894
Moved 1317.382 537.2937 367 0.4104021 -0.05401234
Ended 1317.413 538.2073 365.7927 0.412517 -0.05711771
Began 1318.059 433 290 0.1689814 -0.2520577
Stationary 1318.089 433 290 0.1689814 -0.2520577
Stationary 1318.12 433 290 0.1689814 -0.2520577
Stationary 1318.151 433 290 0.1689814 -0.2520577
Moved 1318.182 421.8246 312.8011 0.1431125 -0.1934128
Moved 1318.212 412.9023 335.1954 0.122459 -0.1358144
Moved 1318.243 405.5688 353.6727 0.1054834 -0.08829046
Moved 1318.274 394.1826 375.2714 0.07912625 -0.03273819
Moved 1318.304 383.3997 398.2006 0.05416602 0.02623593
Moved 1318.335 373.4052 418.5861 0.03103057 0.07866773
Moved 1318.366 362.0324 440.9352 0.004704594 0.1361503
Moved 1318.397 352.844 457.023 -0.01656488 0.1775283
Moved 1318.427 342.5 470.5 -0.04050925 0.2121912
Moved 1318.458 329.5231 485.5564 -0.07054836 0.2509166
Moved 1318.489 319.5235 497.4765 -0.09369562 0.2815753
Moved 1318.52 310.372 504.4709 -0.1148796 0.2995651
Moved 1318.55 302.4992 509.7504 -0.1331036 0.3131438
Moved 1318.581 291.3355 512.9161 -0.1589456 0.3212863
Moved 1318.612 281.6193 515.4602 -0.1814367 0.3278297
Moved 1318.642 271.9968 515 -0.203711 0.326646
Moved 1318.673 261.74 515 -0.2274538 0.326646
Moved 1318.704 249.0191 515 -0.2569003 0.326646
Moved 1318.735 236.3442 515 -0.2862402 0.326646
Moved 1318.766 225.4886 507.1221 -0.3113689 0.3063839
Moved 1318.796 216.5618 504.8904 -0.3320328 0.3006441
Moved 1318.827 211.6886 504 -0.3433134 0.2983539
Moved 1318.858 208.7971 503 -0.3500066 0.2957818
Stationary 1318.888 208.7971 503 -0.3500066 0.2957818
Stationary 1318.919 209 503 -0.349537 0.2957818
Moved 1318.95 228.5 503 -0.3043981 0.2957818
Moved 1318.981 257.8884 501.9111 -0.2363695 0.2929812
Moved 1319.011 281.6991 499.3668 -0.181252 0.286437
