traveling requires a lot of fuel
Basic
0.6 0.6
432 388.8
Began 1064.829 472 475 0.2592593 0.2237653
Stationary 1064.859 472 475 0.2592593 0.2237653
Stationary 1064.89 472 475 0.2592593 0.2237653
Stationary 1064.921 472 475 0.2592593 0.2237653
Stationary 1064.952 472 475 0.2592593 0.2237653
Moved 1064.982 460.4546 475 0.2325338 0.2237653
Moved 1065.013 452.0748 480.1339 0.2131361 0.2369697
Moved 1065.044 444.5 488 0.1956019 0.2572016
Moved 1065.075 433.9174 497.0551 0.1711051 0.2804913
Moved 1065.105 422.4996 506.6253 0.144675 0.3051061
Moved 1065.136 409.2986 514.2208 0.1141171 0.3246419
Moved 1065.167 396.9155 520.6507 0.08545259 0.3411797
Moved 1065.198 383.3838 525.3081 0.05412906 0.3531587
Moved 1065.228 371.9039 528.0192 0.02755543 0.3601317
Moved 1065.259 359.4396 530 -0.001297196 0.3652262
Moved 1065.29 346.9165 531 -0.03028597 0.3677982
Moved 1065.321 333.6422 531 -0.0610134 0.3677982
Moved 1065.351 322.5372 531 -0.08671939 0.3677982
Moved 1065.382 310.86 531 -0.11375 0.3677982
Moved 1065.413 296.0562 526.2899 -0.1480182 0.3556837
Moved 1065.443 281.7074 519.5415 -0.1812329 0.3383269
Moved 1065.474 273.0128 516.671 -0.2013591 0.3309437
Moved 1065.505 266.4007 514.1335 -0.2166651 0.3244174
Moved 1065.536 261.2682 512 -0.2285458 0.31893
Moved 1065.566 258 510.3974 -0.2361111 0.3148081
Moved 1065.597 255.5284 509 -0.2418323 0.3112139
Moved 1065.628 253.022 506.022 -0.2476342 0.3035546
Moved 1065.659 251.1614 501.3228 -0.2519412 0.2914678
Moved 1065.689 247.5759 493.1518 -0.260241 0.270452
Moved 1065.72 240.4474 478.8948 -0.2767421 0.233783
Moved 1065.751 223.2262 448.7104 -0.316606 0.1561481
Moved 1065.782 202.0371 417.051 -0.3656548 0.07471959
Moved 1065.812 185.8655 394.0098 -0.4030891 0.01545721
Moved 1065.843 171.6913 376.3066 -0.4358997 -0.03007575
Moved 1065.874 161.2415 361.9886 -0.4600891 -0.0669017
Moved 1065.905 152.6648 349.553 -0.4799426 -0.09888629
Moved 1065.935 147.2468 342.4936 -0.4924843 -0.1170433
Moved 1065.966 144.4538 337.4537 -0.4989496 -0.1300059
Moved 1065.997 144 333.1717 -0.5000001 -0.1410194
Moved 1066.027 144 328.4339 -0.5000001 -0.153205
Moved 1066.058 149.7096 322.553 -0.4867834 -0.1683308
Moved 1066.089 158.0642 314.9358 -0.4674439 -0.1879223
Moved 1066.12 168.7881 305.7695 -0.4426202 -0.2114981
Moved 1066.151 185.9674 293.8804 -0.4028533 -0.2420771
Moved 1066.181 208.385 284.3075 -0.3509606 -0.2666989
Moved 1066.212 233.3345 274.6246 -0.2932073 -0.2916035
Moved 1066.243 255.9669 268.674 -0.2408174 -0.3069085
Moved 1066.273 276.0703 262.6942 -0.1942818 -0.3222886
Moved 1066.304 302.7191 256.8402 -0.1325946 -0.3373451
Moved 1066.335 324.5939 251.1523 -0.08195857 -0.3519745
Moved 1066.366 340.0796 243.5522 -0.04611199 -0.3715221
Moved 1066.396 350.3633 234.6367 -0.02230724 -0.3944529
Moved 1066.427 358.5896 226.4104 -0.003264745 -0.4156111
Moved 1066.458 364.1543 220.9229 0.009616314 -0.4297252
Moved 1066.489 367.7269 218 0.01788636 -0.4372429
Moved 1066.519 370.5 215.5 0.02430558 -0.4436729
Moved 1066.55 373.3823 216 0.03097743 -0.4423869
Moved 1066.581 376.2495 216 0.03761471 -0.4423869
Moved 1066.612 377.5 216 0.04050931 -0.4423869
Moved 1066.642 380 226.3042 0.04629632 -0.4158843
Moved 1066.673 381 233.0398 0.04861106 -0.3985602
Moved 1066.704 381 239.7649 0.04861106 -0.3812631
Moved 1066.734 381 244.7968 0.04861106 -0.3683212
Moved 1066.765 381 250.5227 0.04861106 -0.3535939
Moved 1066.796 381 253.6312 0.04861106 -0.3455988
Moved 1066.827 381 256.1316 0.04861106 -0.3391678
Moved 1066.857 381 260.0745 0.04861106 -0.3290264
Moved 1066.888 381 261.8981 0.04861106 -0.3243363
Moved 1066.919 381 264.5 0.04861106 -0.3176441
Moved 1066.95 381 266.2826 0.04861106 -0.3130592
Moved 1066.98 381 269.154 0.04861106 -0.305674
Moved 1067.011 381 271.0173 0.04861106 -0.3008813
Moved 1067.042 381 273.68 0.04861106 -0.2940329
Moved 1067.073 381 276.4542 0.04861106 -0.2868976
Moved 1067.103 381 279.3291 0.04861106 -0.2795033
Moved 1067.134 383.1967 285.3935 0.05369613 -0.2639057
Moved 1067.165 386.7357 292.2073 0.0618883 -0.2463805
Moved 1067.196 392.2094 298.2094 0.07455874 -0.2309431
Moved 1067.226 400.4311 305.4311 0.09359042 -0.2123686
Moved 1067.257 416.4238 314.3851 0.1306107 -0.1893389
Moved 1067.288 430.9986 322.4993 0.1643487 -0.1684689
Moved 1067.318 446.7943 330.3972 0.2009129 -0.1481555
Moved 1067.349 458.6991 337.1327 0.2284701 -0.1308316
Moved 1067.38 466.2558 340.0853 0.2459625 -0.1232376
Moved 1067.411 472.9292 342.9764 0.2614102 -0.1158016
Moved 1067.441 478.7085 346.8542 0.2747881 -0.1058276
Moved 1067.472 482.7214 348.7214 0.2840773 -0.1010252
Moved 1067.503 487.4848 351.2424 0.2951038 -0.09454107
Moved 1067.534 490.1118 353.1118 0.3011846 -0.08973313
Moved 1067.564 492.9772 354 0.3078176 -0.08744855
Moved 1067.595 494.4095 355.4095 0.311133 -0.08382341
Moved 1067.626 495 356.2045 0.3125 -0.08177855
Moved 1067.656 497.1346 356 0.3174412 -0.0823046
Moved 1067.687 497 357.3729 0.3171296 -0.07877333
Moved 1067.718 498.2845 357 0.320103 -0.07973259
Moved 1067.749 498 358.1238 0.3194444 -0.07684197
Stationary 1067.779 498 358 0.3194444 -0.07716057
Stationary 1067.81 498 358 0.3194444 -0.07716057
Moved 1067.841 498 359.1006 0.3194444 -0.07432985
Stationary 1067.872 498 359.1006 0.3194444 -0.07432985
