the bathroom is good for reading
Basic
0.6 0.6
432 388.8
Began 1033.432 364 559 0.009259283 0.4398148
Stationary 1033.463 364 559 0.009259283 0.4398148
Stationary 1033.494 364 559 0.009259283 0.4398148
Stationary 1033.525 364 559 0.009259283 0.4398148
Stationary 1033.555 364 559 0.009259283 0.4398148
Stationary 1033.586 364 559 0.009259283 0.4398148
Stationary 1033.617 364 559 0.009259283 0.4398148
Stationary 1033.647 364 559 0.009259283 0.4398148
Stationary 1033.678 364 559 0.009259283 0.4398148
Stationary 1033.709 364 559 0.009259283 0.4398148
Stationary 1033.74 364 559 0.009259283 0.4398148
Stationary 1033.77 364 559 0.009259283 0.4398148
Stationary 1033.801 364 559 0.009259283 0.4398148
Stationary 1033.832 364 559 0.009259283 0.4398148
Stationary 1033.862 364 559 0.009259283 0.4398148
Stationary 1033.893 364 559 0.009259283 0.4398148
Moved 1033.924 352.7645 549.5289 -0.01674891 0.415455
Moved 1033.955 348.0946 546.0947 -0.0275587 0.406622
Moved 1033.985 343.6653 541.6653 -0.0378117 0.3952297
Moved 1034.016 338.8764 537.9382 -0.04889717 0.3856435
Moved 1034.047 333.3716 533.3716 -0.06163985 0.373898
Moved 1034.078 329.459 529.918 -0.07069677 0.3650153
Moved 1034.108 325.7363 526.7363 -0.07931421 0.3568318
Moved 1034.139 321.3482 522.6964 -0.08947182 0.3464411
Moved 1034.17 318.623 519.623 -0.09578005 0.3385365
Moved 1034.2 317 516.8978 -0.09953702 0.3315271
Moved 1034.231 315.1708 513.1708 -0.1037712 0.3219414
Moved 1034.262 315 508.4665 -0.1041667 0.3098418
Moved 1034.292 315 502.0105 -0.1041667 0.2932368
Moved 1034.323 315 494.8441 -0.1041667 0.2748048
Moved 1034.354 324.8771 486.6843 -0.08130292 0.2538177
Moved 1034.385 331.7036 477.4445 -0.06550084 0.2300527
Moved 1034.415 339.7207 467.7057 -0.04694283 0.2050043
Moved 1034.446 346.5978 458.1033 -0.03102352 0.1803066
Moved 1034.477 352.528 451.472 -0.01729632 0.1632511
Moved 1034.508 358.811 444.189 -0.002752244 0.1445189
Moved 1034.538 363.2625 437.6062 0.007552207 0.1275879
Moved 1034.569 368.7039 432.2961 0.02014786 0.1139304
Moved 1034.6 372.4047 427.5953 0.02871454 0.1018397
Moved 1034.63 376.9911 421.0089 0.03933132 0.08489922
Moved 1034.661 380.7215 414.8355 0.04796644 0.06902133
Moved 1034.692 384.4477 410.5522 0.05659193 0.0580047
Moved 1034.723 386.8456 406.1544 0.06214271 0.04669327
Moved 1034.753 389 402.4282 0.06712963 0.03710951
Moved 1034.784 391.2925 399.7075 0.07243633 0.03011189
Moved 1034.815 393.0145 396.9855 0.07642239 0.02311094
Moved 1034.846 394.4474 394.5526 0.0797395 0.01685319
Moved 1034.876 396 391.8212 0.08333336 0.009828104
Moved 1034.907 398.8991 387.2017 0.09004434 -0.002053225
Moved 1034.938 403 381.5 0.09953707 -0.01671818
Moved 1034.968 407.068 374.864 0.1089537 -0.03378621
Moved 1034.999 411.7498 366.7506 0.1197912 -0.05465386
Moved 1035.03 415 361.5154 0.1273148 -0.06811895
Moved 1035.061 416 359.1071 0.1296297 -0.0743132
Moved 1035.091 416 357.7734 0.1296297 -0.07774353
Stationary 1035.122 416 358 0.1296297 -0.07716057
Moved 1035.153 398.7845 374.1796 0.0897789 -0.03554638
Moved 1035.183 384.9137 387.7386 0.05767068 -0.0006724777
Moved 1035.214 368.1135 404.8865 0.01878132 0.04343221
Moved 1035.245 353.5079 416.5937 -0.01502802 0.07354344
Moved 1035.276 337.8516 431.1484 -0.05126938 0.1109782
Moved 1035.306 326.9038 443.0963 -0.07661164 0.1417083
Moved 1035.337 316.2944 454.7056 -0.1011703 0.1715678
Moved 1035.368 307.5748 465.9003 -0.1213547 0.2003609
Moved 1035.399 299.4159 475.7788 -0.140241 0.2257685
Moved 1035.429 292.1042 484.5276 -0.1571661 0.2482706
Moved 1035.46 282.9101 496.4532 -0.1784489 0.2789433
Moved 1035.491 275.7527 505.2473 -0.1950169 0.3015619
Moved 1035.521 268.5 512.5 -0.2118056 0.3202159
Moved 1035.552 265.5 514 -0.21875 0.324074
Moved 1035.583 255.5201 522.4799 -0.2418516 0.3458846
Moved 1035.614 250.4436 526.5563 -0.2536027 0.356369
Moved 1035.644 247.0934 528.9533 -0.2613578 0.3625342
Moved 1035.675 244.3333 531.6667 -0.267747 0.369513
Moved 1035.706 240.2082 533 -0.2772959 0.3729423
Ended 1035.736 239 536.2557 -0.2800926 0.3813161
Began 1036.75 383 205 0.05324075 -0.470679
Stationary 1036.781 383 205 0.05324075 -0.470679
Stationary 1036.812 383 205 0.05324075 -0.470679
Stationary 1036.842 383 205 0.05324075 -0.470679
Stationary 1036.873 383 205 0.05324075 -0.470679
Stationary 1036.904 383 205 0.05324075 -0.470679
Moved 1036.935 383 215.593 0.05324075 -0.4434336
Moved 1036.965 383 217.5 0.05324075 -0.4385288
Stationary 1036.996 383 217.5 0.05324075 -0.4385288
Moved 1037.027 383 219.3226 0.05324075 -0.433841
Moved 1037.057 383 221.0394 0.05324075 -0.4294254
Stationary 1037.088 383 221.0394 0.05324075 -0.4294254
Moved 1037.119 383 223.271 0.05324075 -0.4236858
Moved 1037.15 383 224.3552 0.05324075 -0.420897
Moved 1037.18 383 225.6438 0.05324075 -0.4175828
Moved 1037.211 383 228.3693 0.05324075 -0.4105729
Moved 1037.242 383 231.0947 0.05324075 -0.4035629
Moved 1037.272 383 233.8186 0.05324075 -0.3965572
Moved 1037.303 383 238.4646 0.05324075 -0.3846076
Moved 1037.334 383 242.9233 0.05324075 -0.3731396
Moved 1037.365 383 246.6896 0.05324075 -0.3634528
Moved 1037.395 383 249.413 0.05324075 -0.3564482
Moved 1037.426 383 251.8105 0.05324075 -0.3502816
Moved 1037.457 383 254.5339 0.05324075 -0.3432771
Moved 1037.488 383 258.4987 0.05324075 -0.3330796
Moved 1037.518 376.9577 262.5106 0.03925393 -0.3227609
Moved 1037.549 371.5914 267.8171 0.02683202 -0.3091123
