where can my little dog be
Basic
0.6 0.6
432 388.8
Began 390.2255 194 485 -0.3842593 0.2494856
Stationary 390.2562 194 485 -0.3842593 0.2494856
Moved 390.287 215.2581 464.3548 -0.3350506 0.1963857
Moved 390.3177 237.5 448 -0.2835648 0.1543209
Moved 390.3485 264.9578 433.0234 -0.2200052 0.115801
Moved 390.3792 296.6356 419.294 -0.1466768 0.08048866
Moved 390.41 325 408 -0.08101851 0.05144025
Moved 390.4408 346.4865 397.2568 -0.03128136 0.02380854
Moved 390.4714 362.6994 387.9755 0.006248653 -6.318583E-05
Moved 390.5023 370.8499 382.1501 0.02511541 -0.01504592
Moved 390.533 376.1898 377.8102 0.03747652 -0.02620846
Moved 390.5638 377.6596 376 0.04087865 -0.03086435
Moved 390.5945 378 375 0.04166663 -0.03343629
Moved 390.6253 370.4662 374 0.0242274 -0.03600823
Moved 390.656 344.6011 393.4848 -0.03564561 0.01410696
Moved 390.6868 319.1714 414.4805 -0.09451066 0.06810824
Moved 390.7176 291.2021 436.684 -0.1592545 0.1252159
Moved 390.7483 272.8266 453.1733 -0.2017902 0.1676268
Moved 390.7791 262.5 464 -0.2256944 0.1954732
Moved 390.8098 256.9773 471.0453 -0.2384784 0.2135939
Moved 390.8405 256 481.2971 -0.2407407 0.2399615
Moved 390.8713 267.6306 500.5074 -0.2138181 0.2893709
Moved 390.9021 272.8126 504.8501 -0.2018226 0.3005402
Moved 390.9328 286.2581 514.1291 -0.1706988 0.324406
Moved 390.9636 304.3289 519.9511 -0.1288682 0.3393803
Moved 390.9943 312.4676 521 -0.1100287 0.3420781
Moved 391.0251 316.6644 522 -0.100314 0.3446501
Moved 391.0558 318.2187 522 -0.09671598 0.3446501
Stationary 391.0865 318 522 -0.09722222 0.3446501
Stationary 391.1172 318 522 -0.09722222 0.3446501
Stationary 391.1481 318 522 -0.09722222 0.3446501
Moved 391.1788 302.0516 513.6723 -0.1341398 0.3232311
Moved 391.2096 280.365 510.1042 -0.1843404 0.3140541
Moved 391.2404 269 507.5 -0.2106481 0.3073559
Moved 391.2711 263.8786 507 -0.2225033 0.3060699
Moved 391.3019 263 507 -0.2245371 0.3060699
Ended 391.3327 263 507 -0.2245371 0.3060699
Began 391.7632 282 303 -0.1805555 -0.2186215
Stationary 391.794 282 303 -0.1805555 -0.2186215
Stationary 391.8247 282 303 -0.1805555 -0.2186215
Moved 391.8555 265.6726 318.0715 -0.2183505 -0.1798573
Moved 391.8863 248.9172 332.1365 -0.2571362 -0.1436818
Moved 391.917 228.2005 345.5997 -0.3050914 -0.1090544
Moved 391.9477 208.9586 357.595 -0.3496327 -0.07820215
Moved 391.9785 189.7046 369.5974 -0.3942022 -0.04733191
Moved 392.0091 175.9488 376.0256 -0.4260445 -0.03079842
Moved 392.04 168.8283 381.1717 -0.4425271 -0.0175626
Moved 392.0708 166.1657 383.8343 -0.4486905 -0.01071428
Moved 392.1015 163.5 385 -0.4548612 -0.007716127
Moved 392.1323 164 387 -0.4537037 -0.002572055
Moved 392.163 196.3812 387 -0.3787473 -0.002572055
Moved 392.1938 231.2872 369.0774 -0.2979462 -0.04866933
Moved 392.2245 261.6986 353.1644 -0.2275494 -0.08959781
Moved 392.2553 292.1266 338.4367 -0.1571145 -0.1274777
Moved 392.286 320.6273 327.149 -0.09114047 -0.1565097
Moved 392.3168 344.9671 319.5629 -0.03479844 -0.1760215
Moved 392.3476 370.2737 314.0162 0.02378176 -0.1902875
Moved 392.3783 396.7028 307.1772 0.08496006 -0.2078776
Moved 392.4091 415.0023 302.6659 0.1273202 -0.2194807
Moved 392.4398 426.7287 300.0678 0.1544646 -0.226163
Moved 392.4706 434.025 297.6583 0.1713541 -0.2323604
Moved 392.5013 440.2047 294.8976 0.1856591 -0.2394608
Ended 392.5321 444 294 0.1944444 -0.2417696
Began 392.7781 461 274 0.2337964 -0.2932099
Stationary 392.8089 461 274 0.2337964 -0.2932099
Moved 392.8397 461 295.7118 0.2337964 -0.2373669
Moved 392.8705 461 318.4752 0.2337964 -0.1788189
Moved 392.9012 450.3752 349.1241 0.2092018 -0.09998941
Moved 392.9319 442.4143 385.3426 0.1907739 -0.006834941
Moved 392.9627 434.7683 414.1057 0.1730748 0.06714409
Moved 392.9934 429.6404 435.4385 0.1612045 0.1220124
Moved 393.0242 423.1989 453.8029 0.1462937 0.1692461
Moved 393.055 414.5679 473.8641 0.1263147 0.2208439
Moved 393.0857 403.5503 491.787 0.1008108 0.2669419
Moved 393.1165 396.9782 502.3696 0.08559774 0.2941604
Moved 393.1472 388.9765 513.3646 0.06707529 0.3224398
Moved 393.1779 381.757 521.243 0.05036354 0.342703
Moved 393.2087 377.1227 527.7546 0.03963589 0.3594511
Moved 393.2394 376 531.4614 0.03703703 0.368985
Moved 393.2702 376 534.0847 0.03703703 0.375732
Ended 393.301 376 534.0847 0.03703703 0.375732
Began 393.547 506 358 0.337963 -0.07716057
Stationary 393.5778 506 358 0.337963 -0.07716057
Moved 393.6086 496.3255 378.6745 0.3155683 -0.02398534
Moved 393.6393 490.2744 398.3536 0.3015611 0.02662973
Moved 393.6701 486.8568 410.7163 0.2936499 0.05842672
Moved 393.7008 484.0898 430.3717 0.2872448 0.1089806
Moved 393.7315 480.3325 449.3375 0.2785474 0.1577611
Moved 393.7623 477.5599 460.3203 0.2721294 0.1860088
Moved 393.7931 476.1138 464.7724 0.268782 0.1974598
Moved 393.8237 472.3545 470.291 0.2600799 0.2116536
Moved 393.8546 465.8187 475.7875 0.2449507 0.2257909
Moved 393.8853 458.4034 480.731 0.2277857 0.2385056
Moved 393.9161 445.1374 482.5725 0.1970773 0.243242
Moved 393.9468 428.6695 484 0.1589572 0.2469135
Moved 393.9776 407.3185 485 0.1095336 0.2494856
Moved 394.0083 391.1238 485 0.07204591 0.2494856
Moved 394.0391 380.9963 485 0.04860262 0.2494856
Moved 394.0699 369.6133 485 0.0222529 0.2494856
Moved 394.1006 360.4166 485 0.0009643038 0.2494856
Moved 394.1314 353.394 485 -0.01529157 0.2494856
Moved 394.1621 346.8705 485 -0.03039231 0.2494856
